strategy,holding_days,stop_loss_pct,take_profit_pct,total_trades,win_rate_pct,profit_factor,sharpe_ratio,max_drawdown_pct,total_return_pct,final_equity
COMBINED,90,12.0,40.0,1013,68.90424481737413,3.2921312320238454,0.93,33.22382731050208,329.134,429134.0
INDUSTRY_MOMENTUM,90,12.0,40.0,948,69.09282700421942,3.321063487386387,0.93,32.77875412890658,307.209,407209.0
COMBINED,60,10.0,30.0,1013,66.63376110562686,2.891193231890018,0.87,32.55303790758264,225.32999999999998,325330.0
INDUSTRY_MOMENTUM,60,10.0,30.0,948,66.66666666666666,2.877605621115215,0.87,31.614332645733057,208.433,308433.0
COMBINED,45,10.0,25.0,1013,64.95557749259625,2.63184896959216,0.82,30.54485144058548,169.851,269851.0
CONVICTION,90,12.0,40.0,503,67.59443339960238,3.0478190382577837,0.9,24.604795737122558,160.42000000000002,260420.0
INDUSTRY_MOMENTUM,45,10.0,25.0,948,65.084388185654,2.595835884874464,0.81,30.379246101625707,156.36,256360.0
CONVICTION,60,10.0,30.0,503,65.4075546719682,2.6921615645728876,0.84,22.478606678787795,108.674,208674.0
COMBINED,30,8.0,20.0,1013,62.88252714708786,2.1031886916502303,0.64,27.678488417830604,100.67699999999999,200677.0
CLUSTER_BUY,90,12.0,40.0,215,75.34883720930232,4.624392719889784,1.2,12.305660503527365,99.968,199968.0
INDUSTRY_MOMENTUM,30,8.0,20.0,948,62.763713080168785,2.0631663113006398,0.63,27.30885415139162,91.747,191747.0
CONVICTION,45,10.0,25.0,503,63.817097415506964,2.435371847841573,0.78,19.71152041207079,80.599,180599.0
COMBINED,20,8.0,15.0,1013,57.35439289239882,1.8521833307546742,0.56,21.10254527655409,71.60300000000001,171603.0
CLUSTER_BUY,60,10.0,30.0,215,71.16279069767441,3.789166879414518,1.09,10.037852236085797,65.551,165551.0
INDUSTRY_MOMENTUM,20,8.0,15.0,948,57.17299578059072,1.8088126031054415,0.54,21.086948034201384,64.227,164227.0
CONVICTION,30,8.0,20.0,503,61.82902584493042,2.029961912822683,0.62,16.11987721025675,48.676,148676.0
CLUSTER_BUY,45,10.0,25.0,215,66.51162790697674,3.169457530668408,0.98,10.318481582756958,46.511,146511.0
CONVICTION,20,8.0,15.0,503,58.05168986083499,1.890911687013636,0.59,10.29078355260898,37.437,137437.0
CLUSTER_BUY,30,8.0,20.0,215,67.90697674418604,2.673268422217305,0.84,8.74095971145444,30.246000000000002,130246.0
CLUSTER_BUY,20,8.0,15.0,215,58.6046511627907,2.2557853418477944,0.74,6.837871868598598,21.435000000000002,121435.0
CSUITE_CLUSTER,90,12.0,40.0,24,75.0,2.283069883527454,0.8,4.133983044132795,6.1690000000000005,106169.0
CSUITE_CLUSTER,60,10.0,30.0,24,75.0,2.465590742996346,0.92,2.915125125224412,4.813,104813.0
CSUITE_CLUSTER,45,10.0,25.0,24,66.66666666666666,2.469217238346526,0.82,2.0478493609160697,3.341,103341.0
CSUITE_CLUSTER,30,8.0,20.0,24,70.83333333333334,2.3746719160104988,0.88,1.3937560527550643,2.095,102095.0
CSUITE_CLUSTER,20,8.0,15.0,24,66.66666666666666,1.7902511078286558,0.58,1.5233743690017758,1.6049999999999998,101605.0
