ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
CMCSA,Comcast Corporation,1166691,Communication Services,Entertainment,2026-07-29,2026-07-28,1863223,Insider_CMCSA_2026_2,Chief Executive Officer,False,True,False,M,A,4800.0,374.67,1798416.0,206400.0,D,False,False,0001166691-26-000002
CMCSA,Comcast Corporation,1166691,Communication Services,Entertainment,2026-07-04,2026-07-03,1374772,Insider_CMCSA_2026_3,Director,True,False,False,M,A,3300.0,318.63,1051479.0,99000.0,D,False,False,0001166691-26-000003
CMCSA,Comcast Corporation,1166691,Communication Services,Entertainment,2026-04-21,2026-04-20,1290663,Insider_CMCSA_2026_4,Director,True,False,False,S,D,1400.0,129.87,181818.0,56000.0,D,False,True,0001166691-26-000004
CMCSA,Comcast Corporation,1166691,Communication Services,Entertainment,2026-03-20,2026-03-19,1758836,Insider_CMCSA_2026_1,Director,True,False,False,S,D,2200.0,252.99,556578.0,66000.0,D,False,True,0001166691-26-000001
CMCSA,Comcast Corporation,1166691,Communication Services,Entertainment,2025-11-09,2025-11-08,1593724,Insider_CMCSA_2025_6,Executive Vice President,False,True,False,P,A,1900.0,396.9,754110.0,39900.0,D,True,False,0001166691-25-000006
CMCSA,Comcast Corporation,1166691,Communication Services,Entertainment,2025-11-06,2025-11-05,1669992,Insider_CMCSA_2025_7,Director,True,False,False,S,D,700.0,274.43,192101.0,16100.0,D,False,True,0001166691-25-000007
CMCSA,Comcast Corporation,1166691,Communication Services,Entertainment,2025-09-26,2025-09-25,1175285,Insider_CMCSA_2025_9,Director,True,False,False,S,D,1500.0,83.8,125700.0,27000.0,D,False,True,0001166691-25-000009
CMCSA,Comcast Corporation,1166691,Communication Services,Entertainment,2025-09-11,2025-09-10,1199325,Insider_CMCSA_2025_5,Director,True,False,False,S,D,3200.0,378.34,1210688.0,99200.0,D,False,True,0001166691-25-000005
CMCSA,Comcast Corporation,1166691,Communication Services,Entertainment,2025-09-06,2025-09-05,1906496,Insider_CMCSA_2025_1,Chief Operating Officer,False,True,False,S,D,3900.0,225.35,878865.0,132600.0,D,False,True,0001166691-25-000001
CMCSA,Comcast Corporation,1166691,Communication Services,Entertainment,2025-07-25,2025-07-24,1531896,Insider_CMCSA_2025_10,Director,True,False,False,S,D,800.0,53.32,42656.0,36800.0,D,False,True,0001166691-25-000010
