ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-07-15,2026-07-14,1922325,Insider_F_2026_8,Chief Executive Officer,False,True,False,S,D,1000.0,191.8,191800.0,42000.0,D,False,True,0000037996-26-000008
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-06-05,2026-06-04,1855681,Insider_F_2026_11,Director,True,False,False,A,A,4700.0,167.59,787673.0,75200.0,D,False,False,0000037996-26-000011
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-05-20,2026-05-19,1716789,Insider_F_2026_1,Chief Financial Officer,False,True,False,S,D,2500.0,447.37,1118425.0,35000.0,D,False,True,0000037996-26-000001
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-05-19,2026-05-18,1543331,Insider_F_2026_6,Chief Executive Officer,False,True,False,S,D,2400.0,380.61,913464.0,31200.0,D,False,True,0000037996-26-000006
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-05-14,2026-05-13,1778025,Insider_F_2026_4,Executive Vice President,False,True,False,P,A,3900.0,194.05,756795.0,132600.0,D,True,False,0000037996-26-000004
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-05-08,2026-05-07,1496354,Insider_F_2026_3,Chief Operating Officer,False,True,False,S,D,1900.0,221.95,421705.0,20900.0,D,False,True,0000037996-26-000003
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-04-29,2026-04-28,1851028,Insider_F_2026_9,General Counsel,False,False,False,S,D,4000.0,61.54,246160.0,68000.0,D,False,True,0000037996-26-000009
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-04-09,2026-04-08,1821609,Insider_F_2026_2,Chief Financial Officer,False,True,False,S,D,2200.0,272.82,600204.0,33000.0,D,False,True,0000037996-26-000002
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-02-11,2026-02-10,1387823,Insider_F_2026_10,Chief Executive Officer,False,True,False,S,D,1400.0,86.66,121324.0,14000.0,D,False,True,0000037996-26-000010
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-01-31,2026-01-30,1326230,Insider_F_2026_7,Director,True,False,False,S,D,3400.0,321.44,1092896.0,37400.0,D,False,True,0000037996-26-000007
F,Ford Motor Company,37996,Consumer Discretionary,Automotive,2026-01-26,2026-01-25,1220508,Insider_F_2026_5,Chief Operating Officer,False,True,False,A,A,4700.0,223.52,1050544.0,131600.0,D,False,False,0000037996-26-000005
