ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-08-06,2026-08-05,1916668,Insider_TSLA_2026_5,Chief Financial Officer,False,True,False,P,A,1500.0,256.74,385110.0,16500.0,D,True,False,0001318605-26-000005
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-08-06,2026-08-05,1530473,Insider_TSLA_2026_8,Chief Operating Officer,False,True,False,S,D,2400.0,432.15,1037160.0,100800.0,D,False,True,0001318605-26-000008
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-07-21,2026-07-20,1999999,TSLA_CEO_Conviction,Chief Executive Officer,True,True,False,P,A,5000.0,241.85,1209250.0,500000.0,D,True,False,0001318605-26-99999CEO
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-07-21,2026-07-20,1999999,TSLA_CFO_Conviction,Chief Financial Officer,True,True,False,P,A,5000.0,125.47,627350.0,500000.0,D,True,False,0001318605-26-99999CFO
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-07-06,2026-07-05,1767077,Insider_TSLA_2026_9,Director,True,False,False,A,A,2200.0,386.22,849684.0,28600.0,D,False,False,0001318605-26-000009
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-07-02,2026-07-01,1602281,Insider_TSLA_2026_10,Executive Vice President,False,True,False,P,A,2500.0,81.76,204400.0,102500.0,D,True,False,0001318605-26-000010
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-06-21,2026-06-20,1368063,Insider_TSLA_2026_11,Executive Vice President,False,True,False,S,D,4600.0,215.88,993048.0,165600.0,D,False,True,0001318605-26-000011
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-06-06,2026-06-05,1880440,Insider_TSLA_2026_3,Chief Financial Officer,False,True,False,P,A,4800.0,412.6,1980480.0,72000.0,D,True,False,0001318605-26-000003
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-06-06,2026-06-05,1440904,Insider_TSLA_2026_4,Executive Vice President,False,True,False,S,D,4000.0,361.92,1447680.0,84000.0,D,False,True,0001318605-26-000004
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-05-15,2026-05-14,1860605,Insider_TSLA_2026_1,Executive Vice President,False,True,False,P,A,3800.0,149.52,568176.0,38000.0,D,True,False,0001318605-26-000001
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-04-15,2026-04-14,1487976,Insider_TSLA_2026_7,Chief Operating Officer,False,True,False,S,D,3500.0,341.57,1195495.0,119000.0,D,False,True,0001318605-26-000007
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-04-06,2026-04-05,1151465,Insider_TSLA_2026_6,General Counsel,False,False,False,A,A,2900.0,126.58,367082.0,145000.0,D,False,False,0001318605-26-000006
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2026-03-18,2026-03-17,1339681,Insider_TSLA_2026_2,Director,True,False,False,P,A,3500.0,276.92,969220.0,143500.0,D,True,False,0001318605-26-000002
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-12-09,2025-12-08,1396995,Insider_TSLA_2025_2,Director,True,False,False,M,A,1300.0,112.41,146133.0,24700.0,D,False,False,0001318605-25-000002
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-11-12,2025-11-11,1395594,Insider_TSLA_2025_10,Chief Operating Officer,False,True,False,M,A,1400.0,112.73,157822.0,67200.0,D,False,False,0001318605-25-000010
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-10-29,2025-10-28,1258341,Insider_TSLA_2025_9,General Counsel,False,False,False,P,A,3000.0,377.08,1131240.0,51000.0,D,True,False,0001318605-25-000009
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-08-13,2025-08-12,1167623,Insider_TSLA_2025_5,Director,True,False,False,S,D,4200.0,145.76,612192.0,96600.0,D,False,True,0001318605-25-000005
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-07-05,2025-07-04,1959232,Insider_TSLA_2025_4,Director,True,False,False,P,A,2600.0,392.15,1019590.0,91000.0,D,True,False,0001318605-25-000004
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-06-16,2025-06-15,1999999,TSLA_CEO_Conviction,Chief Executive Officer,True,True,False,P,A,5000.0,198.72,993600.0,500000.0,D,True,False,0001318605-25-99999CEO
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-06-16,2025-06-15,1999999,TSLA_CFO_Conviction,Chief Financial Officer,True,True,False,P,A,5000.0,148.26,741300.0,500000.0,D,True,False,0001318605-25-99999CFO
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-05-27,2025-05-26,1581268,Insider_TSLA_2025_8,General Counsel,False,False,False,S,D,4200.0,188.88,793296.0,151200.0,D,False,True,0001318605-25-000008
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-05-16,2025-05-15,1964782,Insider_TSLA_2025_11,Chief Financial Officer,False,True,False,S,D,1700.0,398.86,678062.0,45900.0,D,False,True,0001318605-25-000011
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-05-04,2025-05-03,1444052,Insider_TSLA_2025_1,Director,True,False,False,S,D,2800.0,238.75,668500.0,114800.0,D,False,True,0001318605-25-000001
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-03-31,2025-03-30,1500420,Insider_TSLA_2025_7,Director,True,False,False,P,A,1300.0,110.08,143104.0,29900.0,D,True,False,0001318605-25-000007
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-03-31,2025-03-30,1710637,Insider_TSLA_2025_3,Chief Operating Officer,False,True,False,M,A,3200.0,138.18,442176.0,86400.0,D,False,False,0001318605-25-000003
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2025-03-15,2025-03-14,1477332,Insider_TSLA_2025_6,General Counsel,False,False,False,S,D,3000.0,73.39,220170.0,33000.0,D,False,True,0001318605-25-000006
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-12-01,2024-11-30,1745811,Insider_TSLA_2024_1,Chief Executive Officer,False,True,False,M,A,3100.0,308.61,956691.0,55800.0,D,False,False,0001318605-24-000001
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-11-08,2024-11-07,1483694,Insider_TSLA_2024_12,Chief Executive Officer,False,True,False,P,A,1900.0,154.26,293094.0,68400.0,D,True,False,0001318605-24-000012
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-10-05,2024-10-04,1132175,Insider_TSLA_2024_7,Chief Executive Officer,False,True,False,P,A,1300.0,177.3,230490.0,29900.0,D,True,False,0001318605-24-000007
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-08-28,2024-08-27,1260531,Insider_TSLA_2024_2,Executive Vice President,False,True,False,S,D,3600.0,354.17,1275012.0,144000.0,D,False,True,0001318605-24-000002
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-08-27,2024-08-26,1277642,Insider_TSLA_2024_10,General Counsel,False,False,False,P,A,3400.0,170.99,581366.0,115600.0,D,True,False,0001318605-24-000010
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-08-21,2024-08-20,1625431,Insider_TSLA_2024_13,General Counsel,False,False,False,P,A,1100.0,291.39,320529.0,49500.0,D,True,False,0001318605-24-000013
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-06-16,2024-06-15,1999999,TSLA_CFO_Conviction,Chief Financial Officer,True,True,False,P,A,5000.0,195.0,975000.0,500000.0,D,True,False,0001318605-24-99999CFO
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-06-16,2024-06-15,1999999,TSLA_CEO_Conviction,Chief Executive Officer,True,True,False,P,A,5000.0,207.62,1038100.0,500000.0,D,True,False,0001318605-24-99999CEO
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-03-28,2024-03-27,1863552,Insider_TSLA_2024_8,Chief Operating Officer,False,True,False,S,D,3200.0,187.56,600192.0,32000.0,D,False,True,0001318605-24-000008
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-03-17,2024-03-16,1811992,Insider_TSLA_2024_9,Chief Operating Officer,False,True,False,M,A,2700.0,154.06,415962.0,48600.0,D,False,False,0001318605-24-000009
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-03-10,2024-03-09,1581067,Insider_TSLA_2024_4,Director,True,False,False,M,A,800.0,367.85,294280.0,20000.0,D,False,False,0001318605-24-000004
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-03-01,2024-02-29,1218232,Insider_TSLA_2024_6,Chief Executive Officer,False,True,False,P,A,1100.0,295.32,324852.0,19800.0,D,True,False,0001318605-24-000006
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-03-01,2024-02-29,1281173,Insider_TSLA_2024_5,Chief Financial Officer,False,True,False,P,A,2400.0,420.89,1010136.0,33600.0,D,True,False,0001318605-24-000005
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-02-25,2024-02-24,1331702,Insider_TSLA_2024_3,General Counsel,False,False,False,P,A,5000.0,427.19,2135950.0,225000.0,D,True,False,0001318605-24-000003
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2024-02-16,2024-02-15,1746237,Insider_TSLA_2024_11,Director,True,False,False,M,A,4100.0,230.52,945132.0,65600.0,D,False,False,0001318605-24-000011
TSLA,Tesla Inc.,1318605,Consumer Discretionary,Automotive,2023-11-17,2023-11-16,1818412,Insider_TSLA_2023_1,Chief Operating Officer,False,True,False,P,A,2100.0,100.11,210231.0,84000.0,D,True,False,0001318605-23-000001
