ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2026-07-22,2026-07-21,1435841,Insider_EBAY_2026_6,Executive Vice President,False,True,False,S,D,3600.0,405.6,1460160.0,90000.0,D,False,True,0001065088-26-000006
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2026-06-10,2026-06-09,1393114,Insider_EBAY_2026_10,Chief Financial Officer,False,True,False,P,A,2200.0,55.52,122144.0,110000.0,D,True,False,0001065088-26-000010
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2026-06-04,2026-06-03,1636535,Insider_EBAY_2026_5,Director,True,False,False,S,D,1200.0,184.27,221124.0,19200.0,D,False,True,0001065088-26-000005
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2026-04-24,2026-04-23,1333693,Insider_EBAY_2026_7,Chief Executive Officer,False,True,False,S,D,3600.0,342.55,1233180.0,129600.0,D,False,True,0001065088-26-000007
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2026-04-14,2026-04-13,1155014,Insider_EBAY_2026_2,Chief Operating Officer,False,True,False,P,A,4600.0,115.85,532910.0,92000.0,D,True,False,0001065088-26-000002
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2026-03-22,2026-03-21,1489816,Insider_EBAY_2026_3,Chief Financial Officer,False,True,False,S,D,800.0,394.45,315560.0,38400.0,D,False,True,0001065088-26-000003
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2026-03-21,2026-03-20,1409046,Insider_EBAY_2026_8,Director,True,False,False,S,D,1500.0,62.51,93765.0,73500.0,D,False,True,0001065088-26-000008
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2026-02-19,2026-02-18,1669348,Insider_EBAY_2026_1,Executive Vice President,False,True,False,S,D,2300.0,154.1,354430.0,80500.0,D,False,True,0001065088-26-000001
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2026-02-17,2026-02-16,1738544,Insider_EBAY_2026_4,Executive Vice President,False,True,False,S,D,700.0,141.72,99204.0,19600.0,D,False,True,0001065088-26-000004
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2026-01-22,2026-01-21,1897254,Insider_EBAY_2026_9,Director,True,False,False,A,A,1400.0,227.35,318290.0,60200.0,D,False,False,0001065088-26-000009
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2025-12-15,2025-12-14,1861897,Insider_EBAY_2025_9,General Counsel,False,False,False,S,D,3700.0,167.88,621156.0,74000.0,D,False,True,0001065088-25-000009
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2025-11-28,2025-11-27,1622640,Insider_EBAY_2025_2,Chief Financial Officer,False,True,False,A,A,2900.0,154.51,448079.0,75400.0,D,False,False,0001065088-25-000002
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2025-11-02,2025-11-01,1867822,Insider_EBAY_2025_7,Chief Operating Officer,False,True,False,M,A,2600.0,294.57,765882.0,124800.0,D,False,False,0001065088-25-000007
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2025-10-30,2025-10-29,1685259,Insider_EBAY_2025_5,Executive Vice President,False,True,False,M,A,600.0,204.08,122448.0,16200.0,D,False,False,0001065088-25-000005
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2025-09-02,2025-09-01,1540658,Insider_EBAY_2025_1,Executive Vice President,False,True,False,S,D,3700.0,234.35,867095.0,96200.0,D,False,True,0001065088-25-000001
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2025-07-30,2025-07-29,1616031,Insider_EBAY_2025_6,Executive Vice President,False,True,False,P,A,1400.0,372.31,521234.0,39200.0,D,True,False,0001065088-25-000006
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2025-07-02,2025-07-01,1450844,Insider_EBAY_2025_8,Director,True,False,False,P,A,600.0,428.01,256806.0,18600.0,D,True,False,0001065088-25-000008
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2025-03-15,2025-03-14,1417914,Insider_EBAY_2025_4,Chief Executive Officer,False,True,False,S,D,4700.0,350.82,1648854.0,79900.0,D,False,True,0001065088-25-000004
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2025-01-18,2025-01-17,1242608,Insider_EBAY_2025_3,Executive Vice President,False,True,False,S,D,1900.0,180.09,342171.0,20900.0,D,False,True,0001065088-25-000003
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2024-11-07,2024-11-06,1450161,Insider_EBAY_2024_11,Chief Operating Officer,False,True,False,A,A,4400.0,129.82,571208.0,52800.0,D,False,False,0001065088-24-000011
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2024-08-19,2024-08-18,1655478,Insider_EBAY_2024_7,Executive Vice President,False,True,False,M,A,3600.0,88.44,318384.0,39600.0,D,False,False,0001065088-24-000007
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2024-08-04,2024-08-03,1793546,Insider_EBAY_2024_9,Director,True,False,False,A,A,4800.0,247.24,1186752.0,100800.0,D,False,False,0001065088-24-000009
EBAY,eBay Inc.,1065088,Consumer Discretionary,Internet Retail,2024-07-24,2024-07-23,1838828,Insider_EBAY_2024_4,Director,True,False,False,S,D,4700.0,115.24,541628.0,169200.0,D,False,True,0001065088-24-000004
