ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2026-07-26,2026-07-25,1436508,Insider_SBUX_2026_2,Director,True,False,False,M,A,3900.0,290.63,1133457.0,132600.0,D,False,False,0000829224-26-000002
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2026-05-22,2026-05-21,1675069,Insider_SBUX_2026_3,Chief Operating Officer,False,True,False,P,A,500.0,347.59,173795.0,14000.0,D,True,False,0000829224-26-000003
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2026-04-26,2026-04-25,1464314,Insider_SBUX_2026_4,Chief Operating Officer,False,True,False,S,D,2600.0,322.31,838006.0,26000.0,D,False,True,0000829224-26-000004
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2026-04-06,2026-04-05,1357509,Insider_SBUX_2026_1,General Counsel,False,False,False,S,D,700.0,213.01,149107.0,29400.0,D,False,True,0000829224-26-000001
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2025-12-30,2025-12-29,1887863,Insider_SBUX_2025_5,Director,True,False,False,M,A,2200.0,361.96,796312.0,96800.0,D,False,False,0000829224-25-000005
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2025-12-11,2025-12-10,1154657,Insider_SBUX_2025_2,General Counsel,False,False,False,A,A,1300.0,306.95,399035.0,49400.0,D,False,False,0000829224-25-000002
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2025-09-21,2025-09-20,1553080,Insider_SBUX_2025_4,Chief Financial Officer,False,True,False,P,A,3500.0,53.78,188230.0,129500.0,D,True,False,0000829224-25-000004
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2025-06-07,2025-06-06,1904788,Insider_SBUX_2025_1,Chief Executive Officer,False,True,False,P,A,3700.0,67.7,250490.0,37000.0,D,True,False,0000829224-25-000001
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2025-04-02,2025-04-01,1118592,Insider_SBUX_2025_3,Chief Executive Officer,False,True,False,S,D,3700.0,434.96,1609352.0,103600.0,D,False,True,0000829224-25-000003
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2024-12-14,2024-12-13,1782412,Insider_SBUX_2024_4,Director,True,False,False,S,D,2900.0,276.59,802111.0,136300.0,D,False,True,0000829224-24-000004
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2024-12-08,2024-12-07,1720804,Insider_SBUX_2024_2,Director,True,False,False,S,D,4700.0,336.42,1581174.0,155100.0,D,False,True,0000829224-24-000002
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2024-10-10,2024-10-09,1719560,Insider_SBUX_2024_7,Director,True,False,False,S,D,4700.0,321.9,1512930.0,206800.0,D,False,True,0000829224-24-000007
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2024-08-02,2024-08-01,1273997,Insider_SBUX_2024_1,Director,True,False,False,S,D,3100.0,365.98,1134538.0,62000.0,D,False,True,0000829224-24-000001
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2024-06-20,2024-06-19,1281000,Insider_SBUX_2024_6,Director,True,False,False,S,D,4500.0,322.15,1449675.0,216000.0,D,False,True,0000829224-24-000006
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2024-04-11,2024-04-10,1223677,Insider_SBUX_2024_3,Director,True,False,False,S,D,1900.0,385.35,732165.0,58900.0,D,False,True,0000829224-24-000003
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2024-02-26,2024-02-25,1440648,Insider_SBUX_2024_5,Chief Financial Officer,False,True,False,S,D,4300.0,154.04,662372.0,77400.0,D,False,True,0000829224-24-000005
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2024-01-15,2024-01-14,1491615,Insider_SBUX_2024_8,Chief Operating Officer,False,True,False,S,D,5000.0,322.06,1610300.0,220000.0,D,False,True,0000829224-24-000008
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-11-05,2023-11-04,1538485,Insider_SBUX_2023_10,Executive Vice President,False,True,False,S,D,4000.0,232.92,931680.0,80000.0,D,False,True,0000829224-23-000010
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-10-25,2023-10-24,1948697,Insider_SBUX_2023_5,Chief Financial Officer,False,True,False,S,D,4000.0,194.42,777680.0,40000.0,D,False,True,0000829224-23-000005
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-10-21,2023-10-20,1579573,Insider_SBUX_2023_6,General Counsel,False,False,False,M,A,4600.0,63.1,290260.0,55200.0,D,False,False,0000829224-23-000006
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-09-05,2023-09-04,1825797,Insider_SBUX_2023_8,Chief Operating Officer,False,True,False,S,D,4100.0,114.56,469696.0,98400.0,D,False,True,0000829224-23-000008
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-08-26,2023-08-25,1413899,Insider_SBUX_2023_11,General Counsel,False,False,False,M,A,4500.0,182.78,822510.0,216000.0,D,False,False,0000829224-23-000011
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-07-19,2023-07-18,1267855,Insider_SBUX_2023_9,Chief Operating Officer,False,True,False,S,D,2600.0,196.27,510302.0,93600.0,D,False,True,0000829224-23-000009
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-06-12,2023-06-11,1781907,Insider_SBUX_2023_1,Chief Financial Officer,False,True,False,M,A,2500.0,168.19,420475.0,35000.0,D,False,False,0000829224-23-000001
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-06-05,2023-06-04,1425782,Insider_SBUX_2023_7,Director,True,False,False,S,D,1300.0,330.26,429338.0,31200.0,D,False,True,0000829224-23-000007
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-05-29,2023-05-28,1241165,Insider_SBUX_2023_2,General Counsel,False,False,False,S,D,4300.0,72.68,312524.0,172000.0,D,False,True,0000829224-23-000002
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-04-04,2023-04-03,1349807,Insider_SBUX_2023_3,General Counsel,False,False,False,P,A,3900.0,247.93,966927.0,58500.0,D,True,False,0000829224-23-000003
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-04-03,2023-04-02,1951126,Insider_SBUX_2023_12,Chief Executive Officer,False,True,False,P,A,4500.0,110.11,495495.0,58500.0,D,True,False,0000829224-23-000012
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2023-01-16,2023-01-15,1346914,Insider_SBUX_2023_4,Chief Executive Officer,False,True,False,S,D,3500.0,316.98,1109430.0,98000.0,D,False,True,0000829224-23-000004
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2022-12-02,2022-12-01,1944428,Insider_SBUX_2022_4,Director,True,False,False,S,D,3300.0,205.25,677325.0,79200.0,D,False,True,0000829224-22-000004
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2022-10-24,2022-10-23,1660225,Insider_SBUX_2022_3,Director,True,False,False,S,D,4400.0,258.06,1135464.0,189200.0,D,False,True,0000829224-22-000003
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2022-07-20,2022-07-19,1198226,Insider_SBUX_2022_1,Chief Executive Officer,False,True,False,P,A,900.0,300.73,270657.0,29700.0,D,True,False,0000829224-22-000001
SBUX,Starbucks Corporation,829224,Consumer Discretionary,Restaurants,2022-03-14,2022-03-13,1247293,Insider_SBUX_2022_2,Chief Operating Officer,False,True,False,A,A,2400.0,78.08,187392.0,105600.0,D,False,False,0000829224-22-000002
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-12-09,2021-12-08,0001995647,Insider_SBUX_2021_11,Chief Financial Officer,False,True,False,S,D,2800.0,253.08,708624.0,100800.0,D,False,True,0000829224-21-000011
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-11-16,2021-11-15,0001701508,Insider_SBUX_2021_7,Chief Executive Officer,False,True,False,S,D,1000.0,192.76,192760.0,39000.0,D,False,True,0000829224-21-000007
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-10-21,2021-10-20,0001909663,Insider_SBUX_2021_4,Chief Executive Officer,False,True,False,M,A,500.0,86.77,43385.0,16000.0,D,False,False,0000829224-21-000004
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-07-19,2021-07-18,0001500067,Insider_SBUX_2021_5,Chief Operating Officer,False,True,False,S,D,1000.0,124.46,124460.0,45000.0,D,False,True,0000829224-21-000005
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-05-27,2021-05-26,0001958385,Insider_SBUX_2021_2,Director,True,False,False,S,D,2100.0,155.26,326046.0,73500.0,D,False,True,0000829224-21-000002
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-05-17,2021-05-16,0001242003,Insider_SBUX_2021_12,Director,True,False,False,A,A,4200.0,385.14,1617588.0,138600.0,D,False,False,0000829224-21-000012
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-05-17,2021-05-16,0001456863,Insider_SBUX_2021_8,General Counsel,False,False,False,S,D,800.0,96.68,77344.0,25600.0,D,False,True,0000829224-21-000008
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-05-05,2021-05-04,0001586720,Insider_SBUX_2021_6,General Counsel,False,False,False,S,D,3400.0,448.83,1526022.0,156400.0,D,False,True,0000829224-21-000006
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-05-01,2021-04-30,0001204052,Insider_SBUX_2021_13,Chief Financial Officer,False,True,False,A,A,2300.0,161.04,370392.0,36800.0,D,False,False,0000829224-21-000013
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-04-14,2021-04-13,0001549510,Insider_SBUX_2021_3,Chief Operating Officer,False,True,False,P,A,1700.0,392.3,666910.0,20400.0,D,True,False,0000829224-21-000003
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-03-18,2021-03-17,0001839111,Insider_SBUX_2021_9,Chief Financial Officer,False,True,False,P,A,4300.0,301.93,1298299.0,47300.0,D,True,False,0000829224-21-000009
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-02-23,2021-02-22,0001705525,Insider_SBUX_2021_10,Director,True,False,False,S,D,3500.0,66.53,232855.0,157500.0,D,False,True,0000829224-21-000010
SBUX,Starbucks Corporation,0000829224,Consumer Discretionary,Restaurants,2021-01-04,2021-01-03,0001562790,Insider_SBUX_2021_1,Director,True,False,False,P,A,3800.0,77.51,294538.0,76000.0,D,True,False,0000829224-21-000001
