ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-07-04,2026-07-03,1707539,Insider_COST_2026_11,Director,True,False,False,S,D,1000.0,154.19,154190.0,16000.0,D,False,True,0000909832-26-000011
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-06-09,2026-06-08,1511060,Insider_COST_2026_10,Chief Executive Officer,False,True,False,A,A,2400.0,244.3,586320.0,40800.0,D,False,False,0000909832-26-000010
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-05-28,2026-05-27,1942090,Insider_COST_2026_6,Executive Vice President,False,True,False,M,A,3900.0,144.9,565110.0,167700.0,D,False,False,0000909832-26-000006
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-05-07,2026-05-06,1758607,Insider_COST_2026_7,Chief Executive Officer,False,True,False,S,D,3100.0,391.57,1213867.0,142600.0,D,False,True,0000909832-26-000007
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-04-05,2026-04-04,1536913,Insider_COST_2026_1,Executive Vice President,False,True,False,M,A,1800.0,307.92,554256.0,84600.0,D,False,False,0000909832-26-000001
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-04-03,2026-04-02,1440115,Insider_COST_2026_5,Director,True,False,False,S,D,1600.0,244.32,390912.0,36800.0,D,False,True,0000909832-26-000005
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-04-01,2026-03-31,1485854,Insider_COST_2026_8,Chief Financial Officer,False,True,False,S,D,1500.0,175.14,262710.0,61500.0,D,False,True,0000909832-26-000008
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-03-09,2026-03-08,1696267,Insider_COST_2026_9,Director,True,False,False,S,D,4300.0,422.47,1816621.0,68800.0,D,False,True,0000909832-26-000009
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-02-23,2026-02-22,1830194,Insider_COST_2026_4,Chief Financial Officer,False,True,False,S,D,3400.0,270.17,918578.0,61200.0,D,False,True,0000909832-26-000004
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-01-20,2026-01-19,1523315,Insider_COST_2026_3,Chief Executive Officer,False,True,False,S,D,3900.0,135.87,529893.0,191100.0,D,False,True,0000909832-26-000003
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2026-01-09,2026-01-08,1654838,Insider_COST_2026_2,Director,True,False,False,S,D,4700.0,84.06,395082.0,98700.0,D,False,True,0000909832-26-000002
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2025-11-27,2025-11-26,1191094,Insider_COST_2025_12,General Counsel,False,False,False,S,D,4600.0,238.36,1096456.0,216200.0,D,False,True,0000909832-25-000012
COST,Costco Wholesale Corporation,909832,Consumer Staples,Discount Stores,2025-11-18,2025-11-17,1881839,Insider_COST_2025_2,Executive Vice President,False,True,False,S,D,3200.0,138.25,442400.0,48000.0,D,False,True,0000909832-25-000002
