ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2026-08-06,2026-08-05,1997092,Insider_WMT_2026_7,Director,True,False,False,P,A,4900.0,103.85,508865.0,220500.0,D,True,False,0000104169-26-000007
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2026-05-08,2026-05-07,1758090,Insider_WMT_2026_6,General Counsel,False,False,False,P,A,4800.0,388.27,1863696.0,220800.0,D,True,False,0000104169-26-000006
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2026-04-25,2026-04-24,1597119,Insider_WMT_2026_2,Chief Operating Officer,False,True,False,S,D,4600.0,134.49,618654.0,225400.0,D,False,True,0000104169-26-000002
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2026-04-17,2026-04-16,1284882,Insider_WMT_2026_1,Director,True,False,False,S,D,1400.0,101.28,141792.0,49000.0,D,False,True,0000104169-26-000001
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2026-03-11,2026-03-10,1328525,Insider_WMT_2026_3,Chief Executive Officer,False,True,False,A,A,800.0,234.22,187376.0,24800.0,D,False,False,0000104169-26-000003
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2026-02-24,2026-02-23,1554641,Insider_WMT_2026_5,Director,True,False,False,S,D,3300.0,328.65,1084545.0,151800.0,D,False,True,0000104169-26-000005
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2026-01-15,2026-01-14,1356141,Insider_WMT_2026_4,Chief Financial Officer,False,True,False,S,D,1200.0,320.38,384456.0,55200.0,D,False,True,0000104169-26-000004
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-12-24,2025-12-23,1430954,Insider_WMT_2025_4,Chief Executive Officer,False,True,False,P,A,3800.0,172.93,657134.0,49400.0,D,True,False,0000104169-25-000004
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-12-17,2025-12-16,1595990,Insider_WMT_2025_11,Chief Operating Officer,False,True,False,P,A,4600.0,412.65,1898190.0,151800.0,D,True,False,0000104169-25-000011
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-11-29,2025-11-28,1784973,Insider_WMT_2025_1,Director,True,False,False,P,A,5000.0,425.82,2129100.0,245000.0,D,True,False,0000104169-25-000001
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-11-28,2025-11-27,1522022,Insider_WMT_2025_7,Chief Financial Officer,False,True,False,S,D,3300.0,402.31,1327623.0,161700.0,D,False,True,0000104169-25-000007
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-11-24,2025-11-23,1832897,Insider_WMT_2025_12,Chief Financial Officer,False,True,False,S,D,3300.0,183.16,604428.0,115500.0,D,False,True,0000104169-25-000012
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-10-31,2025-10-30,1854633,Insider_WMT_2025_14,Chief Operating Officer,False,True,False,S,D,2600.0,227.62,591812.0,52000.0,D,False,True,0000104169-25-000014
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-10-03,2025-10-02,1640732,Insider_WMT_2025_6,Executive Vice President,False,True,False,S,D,1400.0,108.04,151256.0,37800.0,D,False,True,0000104169-25-000006
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-09-15,2025-09-14,1639014,Insider_WMT_2025_8,Chief Financial Officer,False,True,False,A,A,1200.0,349.64,419568.0,18000.0,D,False,False,0000104169-25-000008
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-08-30,2025-08-29,1770717,Insider_WMT_2025_13,Executive Vice President,False,True,False,M,A,2500.0,433.59,1083975.0,52500.0,D,False,False,0000104169-25-000013
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-07-06,2025-07-05,1918094,Insider_WMT_2025_10,Director,True,False,False,M,A,1500.0,140.72,211080.0,49500.0,D,False,False,0000104169-25-000010
WMT,Walmart Inc.,104169,Consumer Staples,Discount Stores,2025-06-06,2025-06-05,1836293,Insider_WMT_2025_2,Director,True,False,False,M,A,900.0,414.37,372933.0,21600.0,D,False,False,0000104169-25-000002
