ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2026-06-24,2026-06-23,1562967,Insider_PG_2026_4,Director,True,False,False,S,D,500.0,300.93,150465.0,14000.0,D,False,True,0000080424-26-000004
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2026-05-21,2026-05-20,1981077,Insider_PG_2026_6,Director,True,False,False,S,D,2500.0,380.0,950000.0,85000.0,D,False,True,0000080424-26-000006
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2026-03-28,2026-03-27,1536210,Insider_PG_2026_3,Chief Executive Officer,False,True,False,S,D,700.0,357.24,250068.0,9100.0,D,False,True,0000080424-26-000003
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2026-03-12,2026-03-11,1144287,Insider_PG_2026_5,Director,True,False,False,S,D,4000.0,292.62,1170480.0,120000.0,D,False,True,0000080424-26-000005
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2026-03-06,2026-03-05,1893187,Insider_PG_2026_1,Director,True,False,False,M,A,2900.0,196.55,569995.0,72500.0,D,False,False,0000080424-26-000001
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2026-02-01,2026-01-31,1869542,Insider_PG_2026_2,General Counsel,False,False,False,S,D,3400.0,204.97,696898.0,81600.0,D,False,True,0000080424-26-000002
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2026-01-26,2026-01-25,1104262,Insider_PG_2026_7,Chief Executive Officer,False,True,False,M,A,2500.0,117.05,292625.0,67500.0,D,False,False,0000080424-26-000007
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2026-01-09,2026-01-08,1211036,Insider_PG_2026_8,Chief Operating Officer,False,True,False,S,D,4500.0,175.71,790695.0,202500.0,D,False,True,0000080424-26-000008
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2025-10-26,2025-10-25,1977444,Insider_PG_2025_1,Chief Financial Officer,False,True,False,S,D,2500.0,160.67,401675.0,85000.0,D,False,True,0000080424-25-000001
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2025-10-05,2025-10-04,1627947,Insider_PG_2025_3,Director,True,False,False,S,D,3200.0,380.88,1218816.0,67200.0,D,False,True,0000080424-25-000003
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2025-07-09,2025-07-08,1154705,Insider_PG_2025_2,Chief Operating Officer,False,True,False,S,D,4300.0,291.53,1253579.0,154800.0,D,False,True,0000080424-25-000002
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2025-05-06,2025-05-05,1517484,Insider_PG_2025_4,Chief Financial Officer,False,True,False,S,D,900.0,262.49,236241.0,24300.0,D,False,True,0000080424-25-000004
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-12-23,2024-12-22,1845320,Insider_PG_2024_9,Chief Operating Officer,False,True,False,S,D,2200.0,313.34,689348.0,72600.0,D,False,True,0000080424-24-000009
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-07-28,2024-07-27,1762425,Insider_PG_2024_10,General Counsel,False,False,False,M,A,4400.0,192.45,846780.0,154000.0,D,False,False,0000080424-24-000010
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-07-11,2024-07-10,1874819,Insider_PG_2024_3,General Counsel,False,False,False,P,A,1900.0,394.27,749113.0,24700.0,D,True,False,0000080424-24-000003
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-07-09,2024-07-08,1208018,Insider_PG_2024_11,General Counsel,False,False,False,M,A,4300.0,181.82,781826.0,172000.0,D,False,False,0000080424-24-000011
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-05-26,2024-05-25,1916625,Insider_PG_2024_4,General Counsel,False,False,False,S,D,4900.0,51.18,250782.0,156800.0,D,False,True,0000080424-24-000004
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-05-21,2024-05-20,1955146,Insider_PG_2024_7,Director,True,False,False,S,D,4100.0,260.53,1068173.0,110700.0,D,False,True,0000080424-24-000007
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-05-16,2024-05-15,1915757,Insider_PG_2024_6,Chief Financial Officer,False,True,False,S,D,2300.0,94.93,218339.0,46000.0,D,False,True,0000080424-24-000006
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-04-16,2024-04-15,1224860,Insider_PG_2024_5,Chief Financial Officer,False,True,False,P,A,2500.0,339.79,849475.0,107500.0,D,True,False,0000080424-24-000005
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-04-05,2024-04-04,1253266,Insider_PG_2024_2,General Counsel,False,False,False,S,D,3700.0,90.85,336145.0,77700.0,D,False,True,0000080424-24-000002
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-03-20,2024-03-19,1347104,Insider_PG_2024_8,Director,True,False,False,M,A,600.0,437.29,262374.0,18600.0,D,False,False,0000080424-24-000008
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2024-02-28,2024-02-27,1562338,Insider_PG_2024_1,Chief Operating Officer,False,True,False,S,D,1700.0,105.74,179758.0,34000.0,D,False,True,0000080424-24-000001
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-11-26,2023-11-25,1142493,Insider_PG_2023_11,Director,True,False,False,S,D,3200.0,391.91,1254112.0,92800.0,D,False,True,0000080424-23-000011
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-11-23,2023-11-22,1380052,Insider_PG_2023_9,Executive Vice President,False,True,False,P,A,1200.0,328.34,394008.0,34800.0,D,True,False,0000080424-23-000009
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-08-18,2023-08-17,1696790,Insider_PG_2023_10,Director,True,False,False,S,D,4600.0,115.54,531484.0,82800.0,D,False,True,0000080424-23-000010
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-07-26,2023-07-25,1434475,Insider_PG_2023_5,Director,True,False,False,S,D,4900.0,106.94,524006.0,186200.0,D,False,True,0000080424-23-000005
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-06-15,2023-06-14,1875257,Insider_PG_2023_6,Executive Vice President,False,True,False,S,D,2900.0,153.71,445759.0,78300.0,D,False,True,0000080424-23-000006
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-06-15,2023-06-14,1525822,Insider_PG_2023_8,Director,True,False,False,M,A,4000.0,326.93,1307720.0,136000.0,D,False,False,0000080424-23-000008
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-04-16,2023-04-15,1740424,Insider_PG_2023_4,Director,True,False,False,S,D,3300.0,318.82,1052106.0,33000.0,D,False,True,0000080424-23-000004
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-04-04,2023-04-03,1938262,Insider_PG_2023_7,Executive Vice President,False,True,False,S,D,1600.0,255.24,408384.0,16000.0,D,False,True,0000080424-23-000007
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-02-26,2023-02-25,1444859,Insider_PG_2023_2,Executive Vice President,False,True,False,S,D,1400.0,175.25,245350.0,19600.0,D,False,True,0000080424-23-000002
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-01-24,2023-01-23,1224841,Insider_PG_2023_3,Director,True,False,False,M,A,1100.0,226.96,249656.0,38500.0,D,False,False,0000080424-23-000003
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2023-01-20,2023-01-19,1796391,Insider_PG_2023_1,Chief Executive Officer,False,True,False,S,D,4400.0,278.06,1223464.0,44000.0,D,False,True,0000080424-23-000001
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2022-07-12,2022-07-11,1686516,Insider_PG_2022_1,Chief Financial Officer,False,True,False,S,D,1200.0,391.04,469248.0,57600.0,D,False,True,0000080424-22-000001
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2022-05-05,2022-05-04,1143273,Insider_PG_2022_2,Executive Vice President,False,True,False,S,D,3100.0,225.06,697686.0,37200.0,D,False,True,0000080424-22-000002
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2022-04-07,2022-04-06,1902764,Insider_PG_2022_3,Executive Vice President,False,True,False,M,A,1500.0,148.56,222840.0,46500.0,D,False,False,0000080424-22-000003
PG,The Procter & Gamble Company,80424,Consumer Staples,Household & Personal Products,2022-01-27,2022-01-26,1249602,Insider_PG_2022_4,Director,True,False,False,S,D,900.0,186.45,167805.0,32400.0,D,False,True,0000080424-22-000004
