ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2026-07-20,2026-07-19,1272890,Insider_EOG_2026_2,Director,True,False,False,S,D,2700.0,228.0,615600.0,59400.0,D,False,True,0000821189-26-000002
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2026-05-29,2026-05-28,1524889,Insider_EOG_2026_3,Director,True,False,False,S,D,600.0,325.93,195558.0,25200.0,D,False,True,0000821189-26-000003
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2026-04-14,2026-04-13,1320903,Insider_EOG_2026_5,Director,True,False,False,S,D,3500.0,384.17,1344595.0,119000.0,D,False,True,0000821189-26-000005
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2026-03-22,2026-03-21,1895781,Insider_EOG_2026_7,Chief Executive Officer,False,True,False,S,D,3700.0,328.36,1214932.0,62900.0,D,False,True,0000821189-26-000007
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2026-02-28,2026-02-27,1407326,Insider_EOG_2026_1,Director,True,False,False,P,A,1000.0,427.15,427150.0,18000.0,D,True,False,0000821189-26-000001
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2026-02-13,2026-02-12,1475256,Insider_EOG_2026_6,Chief Operating Officer,False,True,False,S,D,4900.0,375.34,1839166.0,117600.0,D,False,True,0000821189-26-000006
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2026-01-10,2026-01-09,1485506,Insider_EOG_2026_4,General Counsel,False,False,False,S,D,700.0,169.41,118587.0,9100.0,D,False,True,0000821189-26-000004
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2025-07-14,2025-07-13,1534533,Insider_EOG_2025_2,Director,True,False,False,A,A,4500.0,345.21,1553445.0,72000.0,D,False,False,0000821189-25-000002
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2025-07-02,2025-07-01,1248161,Insider_EOG_2025_1,Chief Operating Officer,False,True,False,S,D,4900.0,225.53,1105097.0,112700.0,D,False,True,0000821189-25-000001
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2025-06-28,2025-06-27,1198668,Insider_EOG_2025_7,Director,True,False,False,S,D,1600.0,316.62,506592.0,49600.0,D,False,True,0000821189-25-000007
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2025-05-29,2025-05-28,1234408,Insider_EOG_2025_3,Chief Financial Officer,False,True,False,A,A,5000.0,398.66,1993300.0,250000.0,D,False,False,0000821189-25-000003
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2025-05-09,2025-05-08,1901105,Insider_EOG_2025_6,Chief Executive Officer,False,True,False,S,D,1000.0,80.82,80820.0,31000.0,D,False,True,0000821189-25-000006
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2025-03-10,2025-03-09,1137391,Insider_EOG_2025_4,Executive Vice President,False,True,False,M,A,4600.0,52.65,242190.0,92000.0,D,False,False,0000821189-25-000004
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2025-03-07,2025-03-06,1901286,Insider_EOG_2025_5,Executive Vice President,False,True,False,S,D,1200.0,113.88,136656.0,33600.0,D,False,True,0000821189-25-000005
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-12-26,2024-12-25,1310797,Insider_EOG_2024_12,Director,True,False,False,P,A,3100.0,310.88,963728.0,117800.0,D,True,False,0000821189-24-000012
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-11-25,2024-11-24,1257305,Insider_EOG_2024_11,Chief Financial Officer,False,True,False,S,D,5000.0,373.95,1869750.0,110000.0,D,False,True,0000821189-24-000011
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-11-18,2024-11-17,1221546,Insider_EOG_2024_10,Chief Executive Officer,False,True,False,M,A,2800.0,82.53,231084.0,134400.0,D,False,False,0000821189-24-000010
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-09-20,2024-09-19,1730083,Insider_EOG_2024_7,Director,True,False,False,A,A,600.0,198.4,119040.0,22800.0,D,False,False,0000821189-24-000007
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-09-12,2024-09-11,1106504,Insider_EOG_2024_13,Chief Executive Officer,False,True,False,S,D,2300.0,265.04,609592.0,108100.0,D,False,True,0000821189-24-000013
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-08-24,2024-08-23,1506415,Insider_EOG_2024_14,Chief Operating Officer,False,True,False,S,D,2000.0,392.6,785200.0,88000.0,D,False,True,0000821189-24-000014
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-07-17,2024-07-16,1273601,Insider_EOG_2024_1,General Counsel,False,False,False,S,D,2000.0,331.2,662400.0,100000.0,D,False,True,0000821189-24-000001
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-05-13,2024-05-12,1690133,Insider_EOG_2024_2,Director,True,False,False,A,A,2200.0,349.25,768350.0,55000.0,D,False,False,0000821189-24-000002
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-04-14,2024-04-13,1611994,Insider_EOG_2024_5,Director,True,False,False,S,D,1700.0,389.09,661453.0,34000.0,D,False,True,0000821189-24-000005
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-04-03,2024-04-02,1128955,Insider_EOG_2024_9,General Counsel,False,False,False,P,A,2800.0,321.39,899892.0,75600.0,D,True,False,0000821189-24-000009
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-03-12,2024-03-11,1380344,Insider_EOG_2024_6,Chief Operating Officer,False,True,False,S,D,1400.0,397.12,555968.0,15400.0,D,False,True,0000821189-24-000006
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-02-22,2024-02-21,1117966,Insider_EOG_2024_3,Director,True,False,False,S,D,2300.0,400.63,921449.0,32200.0,D,False,True,0000821189-24-000003
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-02-05,2024-02-04,1329274,Insider_EOG_2024_8,General Counsel,False,False,False,S,D,3700.0,222.57,823509.0,70300.0,D,False,True,0000821189-24-000008
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2024-01-10,2024-01-09,1767036,Insider_EOG_2024_4,Director,True,False,False,S,D,4200.0,369.98,1553916.0,50400.0,D,False,True,0000821189-24-000004
EOG,EOG Resources Inc.,821189,Energy,Oil & Gas E&P,2023-12-19,2023-12-18,1513069,Insider_EOG_2023_8,Chief Operating Officer,False,True,False,S,D,4400.0,305.03,1342132.0,79200.0,D,False,True,0000821189-23-000008
