ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2026-07-05,2026-07-04,1671316,Insider_CVX_2026_1,Chief Operating Officer,False,True,False,A,A,2200.0,125.47,276034.0,99000.0,D,False,False,0000093410-26-000001
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2026-07-04,2026-07-03,1187335,Insider_CVX_2026_6,General Counsel,False,False,False,S,D,800.0,161.48,129184.0,21600.0,D,False,True,0000093410-26-000006
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2026-07-02,2026-07-01,1542941,Insider_CVX_2026_3,General Counsel,False,False,False,M,A,2400.0,260.56,625344.0,40800.0,D,False,False,0000093410-26-000003
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2026-06-29,2026-06-28,1713688,Insider_CVX_2026_7,Director,True,False,False,S,D,1100.0,355.72,391292.0,37400.0,D,False,True,0000093410-26-000007
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2026-05-21,2026-05-20,1943180,Insider_CVX_2026_4,General Counsel,False,False,False,S,D,3900.0,442.61,1726179.0,70200.0,D,False,True,0000093410-26-000004
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2026-04-27,2026-04-26,1738170,Insider_CVX_2026_2,Executive Vice President,False,True,False,M,A,3000.0,235.38,706140.0,111000.0,D,False,False,0000093410-26-000002
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2026-02-19,2026-02-18,1681055,Insider_CVX_2026_5,General Counsel,False,False,False,S,D,2000.0,218.27,436540.0,76000.0,D,False,True,0000093410-26-000005
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-12-23,2025-12-22,1159613,Insider_CVX_2025_9,Chief Executive Officer,False,True,False,M,A,1700.0,398.57,677569.0,49300.0,D,False,False,0000093410-25-000009
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-11-26,2025-11-25,1396668,Insider_CVX_2025_2,Executive Vice President,False,True,False,M,A,3400.0,240.13,816442.0,129200.0,D,False,False,0000093410-25-000002
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-10-29,2025-10-28,1327770,Insider_CVX_2025_3,Director,True,False,False,S,D,3600.0,288.76,1039536.0,133200.0,D,False,True,0000093410-25-000003
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-08-27,2025-08-26,1675005,Insider_CVX_2025_11,Chief Operating Officer,False,True,False,P,A,4300.0,98.66,424238.0,90300.0,D,True,False,0000093410-25-000011
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-08-15,2025-08-14,1949592,Insider_CVX_2025_5,Chief Operating Officer,False,True,False,P,A,3600.0,307.66,1107576.0,115200.0,D,True,False,0000093410-25-000005
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-07-29,2025-07-28,1276201,Insider_CVX_2025_8,Chief Executive Officer,False,True,False,P,A,2300.0,230.33,529759.0,115000.0,D,True,False,0000093410-25-000008
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-05-09,2025-05-08,1362461,Insider_CVX_2025_6,Chief Operating Officer,False,True,False,M,A,3200.0,61.08,195456.0,124800.0,D,False,False,0000093410-25-000006
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-04-22,2025-04-21,1376569,Insider_CVX_2025_4,Director,True,False,False,M,A,1600.0,133.52,213632.0,56000.0,D,False,False,0000093410-25-000004
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-04-17,2025-04-16,1499707,Insider_CVX_2025_10,Director,True,False,False,S,D,4300.0,416.65,1791595.0,176300.0,D,False,True,0000093410-25-000010
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-02-24,2025-02-23,1567367,Insider_CVX_2025_1,Chief Financial Officer,False,True,False,S,D,3300.0,99.47,328251.0,49500.0,D,False,True,0000093410-25-000001
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2025-01-17,2025-01-16,1441769,Insider_CVX_2025_7,Executive Vice President,False,True,False,M,A,2600.0,354.83,922558.0,70200.0,D,False,False,0000093410-25-000007
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2024-12-11,2024-12-10,1569396,Insider_CVX_2024_7,Executive Vice President,False,True,False,S,D,1400.0,379.78,531692.0,56000.0,D,False,True,0000093410-24-000007
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2024-11-22,2024-11-21,1407489,Insider_CVX_2024_8,General Counsel,False,False,False,M,A,800.0,257.71,206168.0,30400.0,D,False,False,0000093410-24-000008
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2024-11-21,2024-11-20,1682165,Insider_CVX_2024_3,Director,True,False,False,P,A,1500.0,155.43,233145.0,46500.0,D,True,False,0000093410-24-000003
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2024-10-31,2024-10-30,1544970,Insider_CVX_2024_5,Chief Executive Officer,False,True,False,A,A,3200.0,155.62,497984.0,153600.0,D,False,False,0000093410-24-000005
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2024-10-16,2024-10-15,1221359,Insider_CVX_2024_1,Director,True,False,False,M,A,4100.0,251.99,1033159.0,57400.0,D,False,False,0000093410-24-000001
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2024-07-14,2024-07-13,1365370,Insider_CVX_2024_10,Director,True,False,False,M,A,1000.0,261.4,261400.0,17000.0,D,False,False,0000093410-24-000010
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2024-07-13,2024-07-12,1555449,Insider_CVX_2024_9,Chief Executive Officer,False,True,False,S,D,2000.0,269.45,538900.0,48000.0,D,False,True,0000093410-24-000009
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2024-07-07,2024-07-06,1965071,Insider_CVX_2024_4,Chief Financial Officer,False,True,False,S,D,3200.0,408.36,1306752.0,108800.0,D,False,True,0000093410-24-000004
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2024-03-13,2024-03-12,1175476,Insider_CVX_2024_2,Chief Executive Officer,False,True,False,S,D,3500.0,376.13,1316455.0,45500.0,D,False,True,0000093410-24-000002
CVX,Chevron Corporation,93410,Energy,Oil & Gas Integrated,2024-01-27,2024-01-26,1716252,Insider_CVX_2024_6,Executive Vice President,False,True,False,S,D,1200.0,319.86,383832.0,19200.0,D,False,True,0000093410-24-000006
