ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
AXP,American Express Company,4962,Financials,Credit Services,2026-07-23,2026-07-22,1277337,Insider_AXP_2026_9,Executive Vice President,False,True,False,P,A,4600.0,82.07,377522.0,46000.0,D,True,False,0000004962-26-000009
AXP,American Express Company,4962,Financials,Credit Services,2026-07-05,2026-07-04,1706353,Insider_AXP_2026_6,General Counsel,False,False,False,P,A,1000.0,67.25,67250.0,46000.0,D,True,False,0000004962-26-000006
AXP,American Express Company,4962,Financials,Credit Services,2026-06-21,2026-06-20,1520919,Insider_AXP_2026_1,Director,True,False,False,P,A,4400.0,266.96,1174624.0,206800.0,D,True,False,0000004962-26-000001
AXP,American Express Company,4962,Financials,Credit Services,2026-05-22,2026-05-21,1495326,Insider_AXP_2026_7,Chief Financial Officer,False,True,False,S,D,1600.0,236.78,378848.0,20800.0,D,False,True,0000004962-26-000007
AXP,American Express Company,4962,Financials,Credit Services,2026-04-26,2026-04-25,1834854,Insider_AXP_2026_2,Executive Vice President,False,True,False,P,A,4700.0,350.29,1646363.0,51700.0,D,True,False,0000004962-26-000002
AXP,American Express Company,4962,Financials,Credit Services,2026-04-17,2026-04-16,1179234,Insider_AXP_2026_12,Chief Financial Officer,False,True,False,S,D,800.0,158.57,126856.0,13600.0,D,False,True,0000004962-26-000012
AXP,American Express Company,4962,Financials,Credit Services,2026-04-14,2026-04-13,1677866,Insider_AXP_2026_3,Chief Operating Officer,False,True,False,S,D,3500.0,206.57,722995.0,168000.0,D,False,True,0000004962-26-000003
AXP,American Express Company,4962,Financials,Credit Services,2026-04-14,2026-04-13,1444013,Insider_AXP_2026_5,General Counsel,False,False,False,A,A,4300.0,311.16,1337988.0,116100.0,D,False,False,0000004962-26-000005
AXP,American Express Company,4962,Financials,Credit Services,2026-04-10,2026-04-09,1874497,Insider_AXP_2026_11,Chief Financial Officer,False,True,False,M,A,4000.0,368.99,1475960.0,116000.0,D,False,False,0000004962-26-000011
AXP,American Express Company,4962,Financials,Credit Services,2026-04-08,2026-04-07,1492771,Insider_AXP_2026_14,Chief Financial Officer,False,True,False,S,D,3700.0,121.9,451030.0,118400.0,D,False,True,0000004962-26-000014
AXP,American Express Company,4962,Financials,Credit Services,2026-03-11,2026-03-10,1643292,Insider_AXP_2026_8,Chief Financial Officer,False,True,False,M,A,4800.0,341.75,1640400.0,153600.0,D,False,False,0000004962-26-000008
AXP,American Express Company,4962,Financials,Credit Services,2026-02-21,2026-02-20,1790812,Insider_AXP_2026_4,General Counsel,False,False,False,A,A,500.0,199.78,99890.0,16000.0,D,False,False,0000004962-26-000004
AXP,American Express Company,4962,Financials,Credit Services,2026-01-19,2026-01-18,1151254,Insider_AXP_2026_10,Chief Financial Officer,False,True,False,P,A,1500.0,138.88,208320.0,33000.0,D,True,False,0000004962-26-000010
AXP,American Express Company,4962,Financials,Credit Services,2026-01-09,2026-01-08,1711698,Insider_AXP_2026_13,Executive Vice President,False,True,False,P,A,4500.0,104.36,469620.0,184500.0,D,True,False,0000004962-26-000013
AXP,American Express Company,4962,Financials,Credit Services,2025-11-12,2025-11-11,1121216,Insider_AXP_2025_1,Executive Vice President,False,True,False,P,A,2200.0,344.15,757130.0,44000.0,D,True,False,0000004962-25-000001
AXP,American Express Company,4962,Financials,Credit Services,2025-08-19,2025-08-18,1475652,Insider_AXP_2025_3,General Counsel,False,False,False,S,D,3400.0,333.15,1132710.0,74800.0,D,False,True,0000004962-25-000003
AXP,American Express Company,4962,Financials,Credit Services,2025-08-15,2025-08-14,1711925,Insider_AXP_2025_4,Chief Executive Officer,False,True,False,P,A,4900.0,205.87,1008763.0,161700.0,D,True,False,0000004962-25-000004
AXP,American Express Company,4962,Financials,Credit Services,2025-07-27,2025-07-26,1745636,Insider_AXP_2025_9,Chief Executive Officer,False,True,False,S,D,3700.0,302.46,1119102.0,129500.0,D,False,True,0000004962-25-000009
AXP,American Express Company,4962,Financials,Credit Services,2025-07-23,2025-07-22,1188175,Insider_AXP_2025_8,Director,True,False,False,S,D,1300.0,126.59,164567.0,65000.0,D,False,True,0000004962-25-000008
AXP,American Express Company,4962,Financials,Credit Services,2025-05-17,2025-05-16,1418315,Insider_AXP_2025_5,Chief Executive Officer,False,True,False,M,A,2400.0,279.68,671232.0,45600.0,D,False,False,0000004962-25-000005
AXP,American Express Company,4962,Financials,Credit Services,2025-05-11,2025-05-10,1712995,Insider_AXP_2025_11,Chief Financial Officer,False,True,False,P,A,2500.0,135.51,338775.0,107500.0,D,True,False,0000004962-25-000011
AXP,American Express Company,4962,Financials,Credit Services,2025-04-21,2025-04-20,1789609,Insider_AXP_2025_10,Director,True,False,False,P,A,1200.0,123.42,148104.0,57600.0,D,True,False,0000004962-25-000010
AXP,American Express Company,4962,Financials,Credit Services,2025-04-19,2025-04-18,1405010,Insider_AXP_2025_7,General Counsel,False,False,False,P,A,3800.0,64.34,244492.0,178600.0,D,True,False,0000004962-25-000007
AXP,American Express Company,4962,Financials,Credit Services,2025-02-21,2025-02-20,1606296,Insider_AXP_2025_6,Director,True,False,False,S,D,2200.0,265.45,583990.0,99000.0,D,False,True,0000004962-25-000006
AXP,American Express Company,4962,Financials,Credit Services,2025-02-14,2025-02-13,1598245,Insider_AXP_2025_2,General Counsel,False,False,False,S,D,3300.0,275.52,909216.0,108900.0,D,False,True,0000004962-25-000002
AXP,American Express Company,4962,Financials,Credit Services,2024-12-19,2024-12-18,1216742,Insider_AXP_2024_9,Executive Vice President,False,True,False,S,D,4000.0,263.44,1053760.0,76000.0,D,False,True,0000004962-24-000009
AXP,American Express Company,4962,Financials,Credit Services,2024-10-19,2024-10-18,1917443,Insider_AXP_2024_5,Chief Financial Officer,False,True,False,S,D,800.0,89.64,71712.0,24000.0,D,False,True,0000004962-24-000005
AXP,American Express Company,4962,Financials,Credit Services,2024-06-17,2024-06-16,1251971,Insider_AXP_2024_1,Chief Executive Officer,False,True,False,P,A,1200.0,83.65,100380.0,38400.0,D,True,False,0000004962-24-000001
AXP,American Express Company,4962,Financials,Credit Services,2024-06-07,2024-06-06,1622064,Insider_AXP_2024_8,Chief Financial Officer,False,True,False,P,A,2800.0,87.99,246372.0,95200.0,D,True,False,0000004962-24-000008
