ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2026-07-28,2026-07-27,1991535,Insider_MA_2026_3,Director,True,False,False,P,A,2200.0,357.7,786940.0,105600.0,D,True,False,0001141391-26-000003
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2026-05-10,2026-05-09,1100132,Insider_MA_2026_5,Chief Operating Officer,False,True,False,P,A,1100.0,288.06,316866.0,49500.0,D,True,False,0001141391-26-000005
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2026-04-28,2026-04-27,1916776,Insider_MA_2026_2,Chief Executive Officer,False,True,False,P,A,1700.0,165.48,281316.0,85000.0,D,True,False,0001141391-26-000002
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2026-02-12,2026-02-11,1636974,Insider_MA_2026_4,Chief Executive Officer,False,True,False,S,D,1500.0,391.62,587430.0,49500.0,D,False,True,0001141391-26-000004
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2026-02-02,2026-02-01,1525757,Insider_MA_2026_1,Director,True,False,False,A,A,3900.0,268.24,1046136.0,101400.0,D,False,False,0001141391-26-000001
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2025-11-06,2025-11-05,1366709,Insider_MA_2025_7,Director,True,False,False,M,A,4600.0,222.56,1023776.0,64400.0,D,False,False,0001141391-25-000007
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2025-10-20,2025-10-19,1608389,Insider_MA_2025_4,Chief Operating Officer,False,True,False,S,D,1400.0,257.4,360360.0,32200.0,D,False,True,0001141391-25-000004
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2025-09-12,2025-09-11,1541697,Insider_MA_2025_3,Chief Executive Officer,False,True,False,P,A,2200.0,246.89,543158.0,24200.0,D,True,False,0001141391-25-000003
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2025-09-04,2025-09-03,1255539,Insider_MA_2025_11,Chief Executive Officer,False,True,False,P,A,3800.0,313.05,1189590.0,125400.0,D,True,False,0001141391-25-000011
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2025-06-06,2025-06-05,1568852,Insider_MA_2025_9,General Counsel,False,False,False,A,A,2500.0,103.04,257600.0,42500.0,D,False,False,0001141391-25-000009
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2025-05-22,2025-05-21,1635795,Insider_MA_2025_2,General Counsel,False,False,False,P,A,3100.0,272.01,843231.0,40300.0,D,True,False,0001141391-25-000002
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2025-02-25,2025-02-24,1117622,Insider_MA_2025_12,Director,True,False,False,P,A,2100.0,410.93,862953.0,100800.0,D,True,False,0001141391-25-000012
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2025-02-05,2025-02-04,1288060,Insider_MA_2025_1,Chief Executive Officer,False,True,False,S,D,3000.0,278.92,836760.0,51000.0,D,False,True,0001141391-25-000001
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2025-01-31,2025-01-30,1232646,Insider_MA_2025_8,Chief Operating Officer,False,True,False,P,A,2000.0,262.24,524480.0,80000.0,D,True,False,0001141391-25-000008
MA,Mastercard Incorporated,1141391,Financials,Credit Services,2025-01-29,2025-01-28,1363546,Insider_MA_2025_10,Chief Executive Officer,False,True,False,S,D,1100.0,198.23,218053.0,33000.0,D,False,True,0001141391-25-000010
