ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-07-18,2026-07-17,1857410,Insider_CB_2026_8,Chief Financial Officer,False,True,False,P,A,3500.0,118.58,415030.0,94500.0,D,True,False,0001559720-26-000008
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-07-06,2026-07-05,1168265,Insider_CB_2026_4,General Counsel,False,False,False,P,A,1400.0,142.47,199458.0,61600.0,D,True,False,0001559720-26-000004
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-07-01,2026-06-30,1945292,Insider_CB_2026_13,Director,True,False,False,S,D,4900.0,222.29,1089221.0,205800.0,D,False,True,0001559720-26-000013
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-06-12,2026-06-11,1840991,Insider_CB_2026_3,Director,True,False,False,S,D,1100.0,405.75,446325.0,26400.0,D,False,True,0001559720-26-000003
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-06-11,2026-06-10,1937299,Insider_CB_2026_6,General Counsel,False,False,False,S,D,1600.0,349.67,559472.0,68800.0,D,False,True,0001559720-26-000006
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-05-24,2026-05-23,1338726,Insider_CB_2026_1,Chief Executive Officer,False,True,False,S,D,3800.0,409.72,1556936.0,114000.0,D,False,True,0001559720-26-000001
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-05-12,2026-05-11,1437993,Insider_CB_2026_12,Director,True,False,False,S,D,5000.0,151.12,755600.0,145000.0,D,False,True,0001559720-26-000012
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-04-29,2026-04-28,1129113,Insider_CB_2026_7,Director,True,False,False,S,D,4100.0,101.88,417708.0,172200.0,D,False,True,0001559720-26-000007
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-03-11,2026-03-10,1674097,Insider_CB_2026_11,Director,True,False,False,A,A,3100.0,280.24,868744.0,105400.0,D,False,False,0001559720-26-000011
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-02-27,2026-02-26,1237862,Insider_CB_2026_2,Chief Executive Officer,False,True,False,M,A,2400.0,393.33,943992.0,98400.0,D,False,False,0001559720-26-000002
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-02-23,2026-02-22,1911596,Insider_CB_2026_9,General Counsel,False,False,False,A,A,1200.0,234.3,281160.0,39600.0,D,False,False,0001559720-26-000009
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-02-10,2026-02-09,1280219,Insider_CB_2026_10,Chief Financial Officer,False,True,False,S,D,1200.0,117.91,141492.0,15600.0,D,False,True,0001559720-26-000010
CB,Chubb Limited,1559720,Financials,Insurance - Property & Casualty,2026-01-27,2026-01-26,1822639,Insider_CB_2026_5,Director,True,False,False,S,D,1100.0,55.07,60577.0,37400.0,D,False,True,0001559720-26-000005
