ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
PGR,The Progressive Corporation,80661,Financials,Insurance - Property & Casualty,2026-07-25,2026-07-24,1775844,Insider_PGR_2026_5,Director,True,False,False,S,D,2300.0,164.98,379454.0,89700.0,D,False,True,0000080661-26-000005
PGR,The Progressive Corporation,80661,Financials,Insurance - Property & Casualty,2026-07-02,2026-07-01,1215376,Insider_PGR_2026_8,Director,True,False,False,S,D,4500.0,117.1,526950.0,225000.0,D,False,True,0000080661-26-000008
PGR,The Progressive Corporation,80661,Financials,Insurance - Property & Casualty,2026-05-29,2026-05-28,1761707,Insider_PGR_2026_3,Chief Executive Officer,False,True,False,S,D,3900.0,175.01,682539.0,81900.0,D,False,True,0000080661-26-000003
PGR,The Progressive Corporation,80661,Financials,Insurance - Property & Casualty,2026-05-25,2026-05-24,1658605,Insider_PGR_2026_4,General Counsel,False,False,False,S,D,2600.0,389.12,1011712.0,39000.0,D,False,True,0000080661-26-000004
PGR,The Progressive Corporation,80661,Financials,Insurance - Property & Casualty,2026-03-21,2026-03-20,1253232,Insider_PGR_2026_2,Director,True,False,False,M,A,3800.0,99.15,376770.0,148200.0,D,False,False,0000080661-26-000002
PGR,The Progressive Corporation,80661,Financials,Insurance - Property & Casualty,2026-03-16,2026-03-15,1484828,Insider_PGR_2026_7,General Counsel,False,False,False,S,D,1300.0,99.68,129584.0,35100.0,D,False,True,0000080661-26-000007
PGR,The Progressive Corporation,80661,Financials,Insurance - Property & Casualty,2026-03-04,2026-03-03,1150033,Insider_PGR_2026_1,General Counsel,False,False,False,S,D,4500.0,394.51,1775295.0,139500.0,D,False,True,0000080661-26-000001
PGR,The Progressive Corporation,80661,Financials,Insurance - Property & Casualty,2026-01-09,2026-01-08,1532781,Insider_PGR_2026_6,Chief Financial Officer,False,True,False,S,D,2200.0,335.43,737946.0,81400.0,D,False,True,0000080661-26-000006
PGR,The Progressive Corporation,80661,Financials,Insurance - Property & Casualty,2025-12-02,2025-12-01,1365529,Insider_PGR_2025_2,Executive Vice President,False,True,False,S,D,4300.0,240.0,1032000.0,150500.0,D,False,True,0000080661-25-000002
PGR,The Progressive Corporation,80661,Financials,Insurance - Property & Casualty,2025-08-27,2025-08-26,1293062,Insider_PGR_2025_4,Chief Operating Officer,False,True,False,S,D,2300.0,297.39,683997.0,48300.0,D,False,True,0000080661-25-000004
