ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-08-04,2026-08-03,1989461,Insider_AMGN_2026_9,Chief Operating Officer,False,True,False,S,D,4000.0,399.28,1597120.0,64000.0,D,False,True,0000031462-26-000009
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-07-24,2026-07-23,1653939,Insider_AMGN_2026_10,Director,True,False,False,S,D,3800.0,429.36,1631568.0,91200.0,D,False,True,0000031462-26-000010
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-07-21,2026-07-20,1999999,AMGN_CEO_Conviction,Chief Executive Officer,True,True,False,P,A,5000.0,247.42,1237100.0,500000.0,D,True,False,0000031462-26-99999CEO
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-07-21,2026-07-20,1999999,AMGN_CFO_Conviction,Chief Financial Officer,True,True,False,P,A,5000.0,102.39,511950.0,500000.0,D,True,False,0000031462-26-99999CFO
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-06-27,2026-06-26,1661093,Insider_AMGN_2026_6,General Counsel,False,False,False,A,A,2900.0,272.56,790424.0,84100.0,D,False,False,0000031462-26-000006
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-06-22,2026-06-21,1802952,Insider_AMGN_2026_2,Chief Executive Officer,False,True,False,S,D,1300.0,353.74,459862.0,36400.0,D,False,True,0000031462-26-000002
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-06-14,2026-06-13,1332560,Insider_AMGN_2026_12,Director,True,False,False,S,D,500.0,348.02,174010.0,12000.0,D,False,True,0000031462-26-000012
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-05-17,2026-05-16,1649287,Insider_AMGN_2026_1,General Counsel,False,False,False,S,D,4900.0,396.69,1943781.0,181300.0,D,False,True,0000031462-26-000001
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-05-16,2026-05-15,1805148,Insider_AMGN_2026_3,Chief Operating Officer,False,True,False,A,A,2900.0,182.85,530265.0,60900.0,D,False,False,0000031462-26-000003
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-02-16,2026-02-15,1816878,Insider_AMGN_2026_8,Chief Financial Officer,False,True,False,S,D,4000.0,133.0,532000.0,44000.0,D,False,True,0000031462-26-000008
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-02-05,2026-02-04,1656626,Insider_AMGN_2026_5,Chief Executive Officer,False,True,False,P,A,2100.0,251.09,527289.0,21000.0,D,True,False,0000031462-26-000005
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-01-30,2026-01-29,1862747,Insider_AMGN_2026_4,Chief Financial Officer,False,True,False,P,A,3000.0,95.24,285720.0,84000.0,D,True,False,0000031462-26-000004
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-01-29,2026-01-28,1586039,Insider_AMGN_2026_7,Chief Financial Officer,False,True,False,S,D,2900.0,167.36,485344.0,43500.0,D,False,True,0000031462-26-000007
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2026-01-27,2026-01-26,1608910,Insider_AMGN_2026_11,Chief Operating Officer,False,True,False,S,D,2300.0,93.49,215027.0,75900.0,D,False,True,0000031462-26-000011
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2025-12-30,2025-12-29,1324438,Insider_AMGN_2025_1,Executive Vice President,False,True,False,P,A,700.0,210.63,147441.0,16800.0,D,True,False,0000031462-25-000001
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2025-09-07,2025-09-06,1112788,Insider_AMGN_2025_2,General Counsel,False,False,False,A,A,3300.0,312.44,1031052.0,42900.0,D,False,False,0000031462-25-000002
AMGN,Amgen Inc.,31462,Health Care,Biotechnology,2025-08-26,2025-08-25,1494355,Insider_AMGN_2025_5,Director,True,False,False,S,D,900.0,440.94,396846.0,12600.0,D,False,True,0000031462-25-000005
