ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-07-19,2026-07-18,1825241,Insider_VRTX_2026_6,Chief Executive Officer,False,True,False,A,A,4900.0,420.07,2058343.0,98000.0,D,False,False,0000875320-26-000006
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-06-01,2026-05-31,1280326,Insider_VRTX_2026_10,Chief Financial Officer,False,True,False,M,A,4200.0,146.0,613200.0,155400.0,D,False,False,0000875320-26-000010
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-04-08,2026-04-07,1580373,Insider_VRTX_2026_3,Chief Operating Officer,False,True,False,A,A,1000.0,325.43,325430.0,39000.0,D,False,False,0000875320-26-000003
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-03-31,2026-03-30,1892992,Insider_VRTX_2026_1,Executive Vice President,False,True,False,P,A,4300.0,445.52,1915736.0,107500.0,D,True,False,0000875320-26-000001
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-03-09,2026-03-08,1586801,Insider_VRTX_2026_4,General Counsel,False,False,False,P,A,900.0,342.43,308187.0,18000.0,D,True,False,0000875320-26-000004
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-03-03,2026-03-02,1893668,Insider_VRTX_2026_11,Executive Vice President,False,True,False,M,A,600.0,351.77,211062.0,14400.0,D,False,False,0000875320-26-000011
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-02-27,2026-02-26,1812844,Insider_VRTX_2026_5,Chief Operating Officer,False,True,False,M,A,4600.0,169.8,781080.0,184000.0,D,False,False,0000875320-26-000005
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-02-12,2026-02-11,1972668,Insider_VRTX_2026_8,Executive Vice President,False,True,False,S,D,3100.0,321.13,995503.0,37200.0,D,False,True,0000875320-26-000008
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-02-06,2026-02-05,1284985,Insider_VRTX_2026_7,Chief Financial Officer,False,True,False,P,A,4200.0,306.18,1285956.0,189000.0,D,True,False,0000875320-26-000007
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-02-05,2026-02-04,1342114,Insider_VRTX_2026_2,General Counsel,False,False,False,M,A,3600.0,411.58,1481688.0,154800.0,D,False,False,0000875320-26-000002
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2026-01-26,2026-01-25,1434263,Insider_VRTX_2026_9,General Counsel,False,False,False,M,A,1200.0,394.52,473424.0,24000.0,D,False,False,0000875320-26-000009
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2025-11-03,2025-11-02,1881809,Insider_VRTX_2025_1,Chief Operating Officer,False,True,False,S,D,4600.0,411.68,1893728.0,105800.0,D,False,True,0000875320-25-000001
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2025-10-01,2025-09-30,1229321,Insider_VRTX_2025_4,Chief Executive Officer,False,True,False,A,A,1300.0,321.37,417781.0,62400.0,D,False,False,0000875320-25-000004
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2025-08-05,2025-08-04,1616434,Insider_VRTX_2025_2,Director,True,False,False,M,A,1600.0,101.24,161984.0,49600.0,D,False,False,0000875320-25-000002
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2025-04-29,2025-04-28,1648708,Insider_VRTX_2025_3,Director,True,False,False,S,D,4000.0,359.88,1439520.0,84000.0,D,False,True,0000875320-25-000003
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-11-25,2024-11-24,1474437,Insider_VRTX_2024_4,Chief Executive Officer,False,True,False,P,A,2700.0,88.12,237924.0,89100.0,D,True,False,0000875320-24-000004
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-10-26,2024-10-25,1966150,Insider_VRTX_2024_1,Chief Operating Officer,False,True,False,P,A,1300.0,203.11,264043.0,49400.0,D,True,False,0000875320-24-000001
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-09-24,2024-09-23,1541958,Insider_VRTX_2024_13,Executive Vice President,False,True,False,S,D,5000.0,110.26,551300.0,205000.0,D,False,True,0000875320-24-000013
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-09-18,2024-09-17,1775764,Insider_VRTX_2024_12,Director,True,False,False,M,A,500.0,388.61,194305.0,19000.0,D,False,False,0000875320-24-000012
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-09-10,2024-09-09,1633253,Insider_VRTX_2024_10,Executive Vice President,False,True,False,S,D,2300.0,103.78,238694.0,55200.0,D,False,True,0000875320-24-000010
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-08-31,2024-08-30,1589028,Insider_VRTX_2024_9,Chief Operating Officer,False,True,False,A,A,700.0,447.54,313278.0,29400.0,D,False,False,0000875320-24-000009
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-08-28,2024-08-27,1469050,Insider_VRTX_2024_2,Director,True,False,False,S,D,1300.0,139.01,180713.0,42900.0,D,False,True,0000875320-24-000002
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-08-10,2024-08-09,1990375,Insider_VRTX_2024_6,Chief Operating Officer,False,True,False,P,A,800.0,431.17,344936.0,37600.0,D,True,False,0000875320-24-000006
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-04-22,2024-04-21,1113487,Insider_VRTX_2024_5,Chief Operating Officer,False,True,False,S,D,1600.0,327.04,523264.0,75200.0,D,False,True,0000875320-24-000005
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-04-22,2024-04-21,1486980,Insider_VRTX_2024_8,Chief Executive Officer,False,True,False,P,A,2100.0,302.44,635124.0,88200.0,D,True,False,0000875320-24-000008
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-04-19,2024-04-18,1861902,Insider_VRTX_2024_3,Executive Vice President,False,True,False,P,A,2000.0,72.93,145860.0,24000.0,D,True,False,0000875320-24-000003
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-04-16,2024-04-15,1264149,Insider_VRTX_2024_11,Director,True,False,False,M,A,2100.0,228.87,480627.0,52500.0,D,False,False,0000875320-24-000011
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2024-03-01,2024-02-29,1312152,Insider_VRTX_2024_7,General Counsel,False,False,False,P,A,4500.0,62.72,282240.0,76500.0,D,True,False,0000875320-24-000007
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2023-11-09,2023-11-08,1999215,Insider_VRTX_2023_3,Chief Financial Officer,False,True,False,M,A,4800.0,239.26,1148448.0,163200.0,D,False,False,0000875320-23-000003
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2023-10-23,2023-10-22,1948887,Insider_VRTX_2023_7,Chief Operating Officer,False,True,False,S,D,2100.0,302.01,634221.0,65100.0,D,False,True,0000875320-23-000007
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2023-09-03,2023-09-02,1740527,Insider_VRTX_2023_2,Chief Financial Officer,False,True,False,S,D,700.0,268.77,188139.0,9800.0,D,False,True,0000875320-23-000002
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2023-08-13,2023-08-12,1759451,Insider_VRTX_2023_9,General Counsel,False,False,False,S,D,3500.0,317.15,1110025.0,84000.0,D,False,True,0000875320-23-000009
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2023-07-18,2023-07-17,1546192,Insider_VRTX_2023_4,Chief Executive Officer,False,True,False,P,A,3500.0,379.07,1326745.0,168000.0,D,True,False,0000875320-23-000004
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2023-07-11,2023-07-10,1560469,Insider_VRTX_2023_6,Chief Financial Officer,False,True,False,P,A,4800.0,231.68,1112064.0,67200.0,D,True,False,0000875320-23-000006
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2023-03-19,2023-03-18,1985632,Insider_VRTX_2023_8,General Counsel,False,False,False,P,A,2900.0,392.01,1136829.0,145000.0,D,True,False,0000875320-23-000008
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2023-02-01,2023-01-31,1941897,Insider_VRTX_2023_1,General Counsel,False,False,False,S,D,2600.0,80.95,210470.0,75400.0,D,False,True,0000875320-23-000001
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2023-01-24,2023-01-23,1257130,Insider_VRTX_2023_5,Chief Financial Officer,False,True,False,P,A,800.0,404.6,323680.0,27200.0,D,True,False,0000875320-23-000005
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-11-10,2022-11-09,1107321,Insider_VRTX_2022_12,Director,True,False,False,S,D,2000.0,182.04,364080.0,34000.0,D,False,True,0000875320-22-000012
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-10-16,2022-10-15,1515760,Insider_VRTX_2022_1,Chief Financial Officer,False,True,False,S,D,1100.0,56.43,62073.0,48400.0,D,False,True,0000875320-22-000001
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-09-09,2022-09-08,1721797,Insider_VRTX_2022_7,Chief Financial Officer,False,True,False,P,A,700.0,344.84,241388.0,33600.0,D,True,False,0000875320-22-000007
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-08-05,2022-08-04,1277408,Insider_VRTX_2022_10,Director,True,False,False,S,D,800.0,330.62,264496.0,24000.0,D,False,True,0000875320-22-000010
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-07-28,2022-07-27,1330345,Insider_VRTX_2022_13,Executive Vice President,False,True,False,S,D,2200.0,69.59,153098.0,35200.0,D,False,True,0000875320-22-000013
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-06-14,2022-06-13,1761249,Insider_VRTX_2022_6,Director,True,False,False,P,A,1000.0,110.34,110340.0,31000.0,D,True,False,0000875320-22-000006
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-06-02,2022-06-01,1672221,Insider_VRTX_2022_5,Director,True,False,False,P,A,4700.0,409.47,1924509.0,159800.0,D,True,False,0000875320-22-000005
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-05-29,2022-05-28,1143054,Insider_VRTX_2022_2,Chief Financial Officer,False,True,False,P,A,3000.0,111.23,333690.0,30000.0,D,True,False,0000875320-22-000002
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-05-24,2022-05-23,1473307,Insider_VRTX_2022_8,Chief Executive Officer,False,True,False,S,D,4700.0,221.23,1039781.0,159800.0,D,False,True,0000875320-22-000008
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-05-16,2022-05-15,1486741,Insider_VRTX_2022_11,Chief Financial Officer,False,True,False,A,A,2200.0,166.38,366036.0,101200.0,D,False,False,0000875320-22-000011
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-04-13,2022-04-12,1445393,Insider_VRTX_2022_4,Director,True,False,False,A,A,2000.0,332.37,664740.0,86000.0,D,False,False,0000875320-22-000004
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-04-03,2022-04-02,1958770,Insider_VRTX_2022_3,Director,True,False,False,P,A,4200.0,239.2,1004640.0,75600.0,D,True,False,0000875320-22-000003
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-03-27,2022-03-26,1425281,Insider_VRTX_2022_14,Director,True,False,False,P,A,4200.0,325.42,1366764.0,155400.0,D,True,False,0000875320-22-000014
VRTX,Vertex Pharmaceuticals Incorporated,875320,Health Care,Biotechnology,2022-03-24,2022-03-23,1726707,Insider_VRTX_2022_9,Executive Vice President,False,True,False,P,A,4600.0,297.93,1370478.0,133400.0,D,True,False,0000875320-22-000009
VRTX,Vertex Pharmaceuticals Incorporated,0000875320,Health Care,Biotechnology,2021-12-04,2021-12-03,0001371182,Insider_VRTX_2021_6,Chief Operating Officer,False,True,False,P,A,4600.0,109.42,503332.0,128800.0,D,True,False,0000875320-21-000006
VRTX,Vertex Pharmaceuticals Incorporated,0000875320,Health Care,Biotechnology,2021-09-13,2021-09-12,0001658123,Insider_VRTX_2021_2,Director,True,False,False,M,A,2900.0,290.77,843233.0,142100.0,D,False,False,0000875320-21-000002
VRTX,Vertex Pharmaceuticals Incorporated,0000875320,Health Care,Biotechnology,2021-09-02,2021-09-01,0001924822,Insider_VRTX_2021_1,General Counsel,False,False,False,S,D,5000.0,337.03,1685150.0,95000.0,D,False,True,0000875320-21-000001
VRTX,Vertex Pharmaceuticals Incorporated,0000875320,Health Care,Biotechnology,2021-08-22,2021-08-21,0001716569,Insider_VRTX_2021_7,General Counsel,False,False,False,A,A,5000.0,390.47,1952350.0,200000.0,D,False,False,0000875320-21-000007
VRTX,Vertex Pharmaceuticals Incorporated,0000875320,Health Care,Biotechnology,2021-06-04,2021-06-03,0001943970,Insider_VRTX_2021_5,Chief Executive Officer,False,True,False,A,A,3900.0,447.15,1743885.0,179400.0,D,False,False,0000875320-21-000005
VRTX,Vertex Pharmaceuticals Incorporated,0000875320,Health Care,Biotechnology,2021-03-07,2021-03-06,0001684191,Insider_VRTX_2021_4,Chief Executive Officer,False,True,False,M,A,3700.0,224.7,831390.0,111000.0,D,False,False,0000875320-21-000004
VRTX,Vertex Pharmaceuticals Incorporated,0000875320,Health Care,Biotechnology,2021-01-23,2021-01-22,0001808826,Insider_VRTX_2021_3,Chief Executive Officer,False,True,False,S,D,900.0,359.75,323775.0,41400.0,D,False,True,0000875320-21-000003
