ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2026-06-25,2026-06-24,1778478,Insider_ELV_2026_6,Director,True,False,False,M,A,3900.0,322.52,1257828.0,163800.0,D,False,False,0001156039-26-000006
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2026-06-14,2026-06-13,1578387,Insider_ELV_2026_5,Director,True,False,False,P,A,500.0,203.55,101775.0,15000.0,D,True,False,0001156039-26-000005
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2026-05-25,2026-05-24,1604308,Insider_ELV_2026_4,Executive Vice President,False,True,False,S,D,500.0,281.12,140560.0,22000.0,D,False,True,0001156039-26-000004
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2026-05-09,2026-05-08,1608685,Insider_ELV_2026_2,Executive Vice President,False,True,False,S,D,3100.0,71.01,220131.0,148800.0,D,False,True,0001156039-26-000002
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2026-03-19,2026-03-18,1423631,Insider_ELV_2026_3,Director,True,False,False,M,A,3400.0,100.53,341802.0,170000.0,D,False,False,0001156039-26-000003
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2026-03-18,2026-03-17,1749094,Insider_ELV_2026_1,Chief Executive Officer,False,True,False,S,D,2100.0,349.53,734013.0,86100.0,D,False,True,0001156039-26-000001
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2025-11-13,2025-11-12,1276644,Insider_ELV_2025_12,General Counsel,False,False,False,P,A,5000.0,153.99,769950.0,50000.0,D,True,False,0001156039-25-000012
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2025-08-17,2025-08-16,1614545,Insider_ELV_2025_1,Director,True,False,False,S,D,3800.0,127.3,483740.0,95000.0,D,False,True,0001156039-25-000001
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2025-07-05,2025-07-04,1632396,Insider_ELV_2025_5,Chief Financial Officer,False,True,False,S,D,3000.0,115.59,346770.0,36000.0,D,False,True,0001156039-25-000005
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2025-07-04,2025-07-03,1847672,Insider_ELV_2025_7,Director,True,False,False,S,D,4000.0,316.64,1266560.0,104000.0,D,False,True,0001156039-25-000007
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2025-06-15,2025-06-14,1220349,Insider_ELV_2025_6,General Counsel,False,False,False,S,D,3000.0,170.72,512160.0,30000.0,D,False,True,0001156039-25-000006
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2025-05-25,2025-05-24,1862719,Insider_ELV_2025_3,Executive Vice President,False,True,False,P,A,4200.0,334.4,1404480.0,46200.0,D,True,False,0001156039-25-000003
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2025-05-21,2025-05-20,1497543,Insider_ELV_2025_8,Director,True,False,False,S,D,900.0,417.86,376074.0,44100.0,D,False,True,0001156039-25-000008
ELV,Elevance Health Inc.,1156039,Health Care,Health Care Plans,2025-05-02,2025-05-01,1178275,Insider_ELV_2025_10,Executive Vice President,False,True,False,S,D,2400.0,321.09,770616.0,96000.0,D,False,True,0001156039-25-000010
