ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2026-06-10,2026-06-09,1779945,Insider_UNH_2026_3,Executive Vice President,False,True,False,S,D,1500.0,82.56,123840.0,19500.0,D,False,True,0000731766-26-000003
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2026-04-29,2026-04-28,1679231,Insider_UNH_2026_5,Chief Executive Officer,False,True,False,S,D,2800.0,184.23,515844.0,112000.0,D,False,True,0000731766-26-000005
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2026-04-22,2026-04-21,1446782,Insider_UNH_2026_2,Director,True,False,False,M,A,2300.0,224.4,516120.0,71300.0,D,False,False,0000731766-26-000002
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2026-02-20,2026-02-19,1334901,Insider_UNH_2026_4,Director,True,False,False,M,A,2900.0,274.52,796108.0,58000.0,D,False,False,0000731766-26-000004
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2026-01-11,2026-01-10,1566144,Insider_UNH_2026_1,Director,True,False,False,S,D,3500.0,138.02,483070.0,73500.0,D,False,True,0000731766-26-000001
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2025-12-25,2025-12-24,1326274,Insider_UNH_2025_2,Chief Operating Officer,False,True,False,P,A,4900.0,411.93,2018457.0,127400.0,D,True,False,0000731766-25-000002
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2025-12-08,2025-12-07,1164204,Insider_UNH_2025_3,Chief Executive Officer,False,True,False,P,A,3700.0,289.1,1069670.0,44400.0,D,True,False,0000731766-25-000003
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2025-10-31,2025-10-30,1355398,Insider_UNH_2025_7,Executive Vice President,False,True,False,S,D,1200.0,111.3,133560.0,21600.0,D,False,True,0000731766-25-000007
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2025-09-07,2025-09-06,1375594,Insider_UNH_2025_5,Chief Operating Officer,False,True,False,S,D,3500.0,217.94,762790.0,161000.0,D,False,True,0000731766-25-000005
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2025-06-11,2025-06-10,1134160,Insider_UNH_2025_6,General Counsel,False,False,False,M,A,4300.0,126.97,545971.0,146200.0,D,False,False,0000731766-25-000006
UNH,UnitedHealth Group Incorporated,731766,Health Care,Health Care Plans,2025-05-21,2025-05-20,1546944,Insider_UNH_2025_4,Chief Operating Officer,False,True,False,P,A,2100.0,351.25,737625.0,35700.0,D,True,False,0000731766-25-000004
