ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2026-07-06,2026-07-05,1886798,Insider_ABT_2026_3,Executive Vice President,False,True,False,P,A,4200.0,161.73,679266.0,117600.0,D,True,False,0000001800-26-000003
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2026-06-06,2026-06-05,1963885,Insider_ABT_2026_1,Chief Executive Officer,False,True,False,M,A,600.0,149.3,89580.0,13800.0,D,False,False,0000001800-26-000001
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2026-01-28,2026-01-27,1216282,Insider_ABT_2026_4,General Counsel,False,False,False,P,A,3400.0,91.87,312358.0,129200.0,D,True,False,0000001800-26-000004
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2026-01-22,2026-01-21,1248328,Insider_ABT_2026_2,Executive Vice President,False,True,False,P,A,1800.0,293.65,528570.0,73800.0,D,True,False,0000001800-26-000002
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2025-11-16,2025-11-15,1106163,Insider_ABT_2025_7,Chief Executive Officer,False,True,False,S,D,2100.0,67.31,141351.0,54600.0,D,False,True,0000001800-25-000007
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2025-10-11,2025-10-10,1452899,Insider_ABT_2025_4,Chief Financial Officer,False,True,False,S,D,1200.0,83.01,99612.0,30000.0,D,False,True,0000001800-25-000004
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2025-07-20,2025-07-19,1337842,Insider_ABT_2025_3,Director,True,False,False,P,A,2300.0,402.33,925359.0,105800.0,D,True,False,0000001800-25-000003
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2025-07-01,2025-06-30,1268938,Insider_ABT_2025_10,Chief Executive Officer,False,True,False,S,D,2500.0,154.64,386600.0,45000.0,D,False,True,0000001800-25-000010
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2025-05-09,2025-05-08,1379476,Insider_ABT_2025_6,Chief Financial Officer,False,True,False,S,D,3900.0,366.44,1429116.0,163800.0,D,False,True,0000001800-25-000006
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2025-04-16,2025-04-15,1279089,Insider_ABT_2025_5,Executive Vice President,False,True,False,S,D,1000.0,330.61,330610.0,42000.0,D,False,True,0000001800-25-000005
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2025-04-14,2025-04-13,1766182,Insider_ABT_2025_1,Chief Executive Officer,False,True,False,P,A,2200.0,302.65,665830.0,92400.0,D,True,False,0000001800-25-000001
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2025-04-10,2025-04-09,1483681,Insider_ABT_2025_9,General Counsel,False,False,False,M,A,700.0,197.53,138271.0,9100.0,D,False,False,0000001800-25-000009
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2025-02-25,2025-02-24,1155348,Insider_ABT_2025_2,Director,True,False,False,S,D,4800.0,78.26,375648.0,124800.0,D,False,True,0000001800-25-000002
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2025-02-18,2025-02-17,1844149,Insider_ABT_2025_8,Chief Operating Officer,False,True,False,S,D,1100.0,293.79,323169.0,49500.0,D,False,True,0000001800-25-000008
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-12-28,2024-12-27,1927527,Insider_ABT_2024_9,Director,True,False,False,M,A,3800.0,111.21,422598.0,182400.0,D,False,False,0000001800-24-000009
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-11-19,2024-11-18,1860520,Insider_ABT_2024_10,General Counsel,False,False,False,P,A,3400.0,311.89,1060426.0,57800.0,D,True,False,0000001800-24-000010
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-11-03,2024-11-02,1833418,Insider_ABT_2024_5,Chief Executive Officer,False,True,False,S,D,2700.0,187.26,505602.0,72900.0,D,False,True,0000001800-24-000005
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-11-02,2024-11-01,1249393,Insider_ABT_2024_7,Chief Financial Officer,False,True,False,S,D,3800.0,350.05,1330190.0,136800.0,D,False,True,0000001800-24-000007
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-10-24,2024-10-23,1415512,Insider_ABT_2024_1,Chief Financial Officer,False,True,False,S,D,1600.0,433.04,692864.0,78400.0,D,False,True,0000001800-24-000001
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-10-01,2024-09-30,1431802,Insider_ABT_2024_3,Chief Financial Officer,False,True,False,S,D,4300.0,442.27,1901761.0,103200.0,D,False,True,0000001800-24-000003
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-09-16,2024-09-15,1160948,Insider_ABT_2024_4,Executive Vice President,False,True,False,A,A,1300.0,88.64,115232.0,19500.0,D,False,False,0000001800-24-000004
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-06-23,2024-06-22,1520279,Insider_ABT_2024_11,Director,True,False,False,S,D,4700.0,126.98,596806.0,61100.0,D,False,True,0000001800-24-000011
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-06-04,2024-06-03,1112297,Insider_ABT_2024_2,General Counsel,False,False,False,S,D,4700.0,335.17,1575299.0,150400.0,D,False,True,0000001800-24-000002
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-05-17,2024-05-16,1817562,Insider_ABT_2024_6,Director,True,False,False,S,D,1700.0,69.0,117300.0,71400.0,D,False,True,0000001800-24-000006
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2024-05-07,2024-05-06,1155757,Insider_ABT_2024_8,Executive Vice President,False,True,False,M,A,500.0,247.92,123960.0,16000.0,D,False,False,0000001800-24-000008
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2023-11-13,2023-11-12,1914485,Insider_ABT_2023_1,Director,True,False,False,S,D,1900.0,251.7,478230.0,22800.0,D,False,True,0000001800-23-000001
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2023-11-04,2023-11-03,1239382,Insider_ABT_2023_4,Chief Executive Officer,False,True,False,P,A,2500.0,406.38,1015950.0,102500.0,D,True,False,0000001800-23-000004
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2023-08-04,2023-08-03,1261830,Insider_ABT_2023_3,Executive Vice President,False,True,False,P,A,600.0,372.59,223554.0,29400.0,D,True,False,0000001800-23-000003
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2023-07-02,2023-07-01,1727990,Insider_ABT_2023_7,Chief Financial Officer,False,True,False,S,D,4000.0,282.16,1128640.0,200000.0,D,False,True,0000001800-23-000007
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2023-06-18,2023-06-17,1833824,Insider_ABT_2023_5,Chief Operating Officer,False,True,False,S,D,1700.0,236.31,401727.0,52700.0,D,False,True,0000001800-23-000005
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2023-04-29,2023-04-28,1727571,Insider_ABT_2023_2,Chief Executive Officer,False,True,False,M,A,3400.0,290.3,987020.0,153000.0,D,False,False,0000001800-23-000002
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2023-04-07,2023-04-06,1316212,Insider_ABT_2023_6,Executive Vice President,False,True,False,S,D,4200.0,317.72,1334424.0,67200.0,D,False,True,0000001800-23-000006
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2023-02-05,2023-02-04,1636375,Insider_ABT_2023_9,Chief Executive Officer,False,True,False,S,D,3200.0,242.39,775648.0,32000.0,D,False,True,0000001800-23-000009
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2023-01-16,2023-01-15,1855681,Insider_ABT_2023_8,Director,True,False,False,S,D,1000.0,166.62,166620.0,44000.0,D,False,True,0000001800-23-000008
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-12-11,2022-12-10,1480539,Insider_ABT_2022_12,Director,True,False,False,P,A,1900.0,205.91,391229.0,41800.0,D,True,False,0000001800-22-000012
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-11-20,2022-11-19,1514951,Insider_ABT_2022_4,Chief Operating Officer,False,True,False,M,A,4700.0,50.24,236128.0,65800.0,D,False,False,0000001800-22-000004
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-11-14,2022-11-13,1768462,Insider_ABT_2022_2,Chief Executive Officer,False,True,False,S,D,900.0,150.04,135036.0,43200.0,D,False,True,0000001800-22-000002
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-07-29,2022-07-28,1468201,Insider_ABT_2022_3,Chief Executive Officer,False,True,False,M,A,3500.0,247.94,867790.0,49000.0,D,False,False,0000001800-22-000003
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-05-26,2022-05-25,1596455,Insider_ABT_2022_1,Chief Executive Officer,False,True,False,M,A,2200.0,316.31,695882.0,74800.0,D,False,False,0000001800-22-000001
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-05-22,2022-05-21,1277458,Insider_ABT_2022_6,Executive Vice President,False,True,False,S,D,4000.0,344.56,1378240.0,132000.0,D,False,True,0000001800-22-000006
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-03-14,2022-03-13,1472492,Insider_ABT_2022_10,Chief Operating Officer,False,True,False,S,D,2600.0,146.51,380926.0,41600.0,D,False,True,0000001800-22-000010
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-03-11,2022-03-10,1470102,Insider_ABT_2022_5,Director,True,False,False,M,A,3800.0,409.41,1555758.0,133000.0,D,False,False,0000001800-22-000005
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-03-10,2022-03-09,1532146,Insider_ABT_2022_8,Chief Operating Officer,False,True,False,M,A,3200.0,219.63,702816.0,150400.0,D,False,False,0000001800-22-000008
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-02-24,2022-02-23,1490268,Insider_ABT_2022_9,Chief Executive Officer,False,True,False,S,D,1400.0,277.85,388990.0,32200.0,D,False,True,0000001800-22-000009
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-02-02,2022-02-01,1162278,Insider_ABT_2022_7,Director,True,False,False,S,D,1800.0,159.38,286884.0,18000.0,D,False,True,0000001800-22-000007
ABT,Abbott Laboratories,1800,Health Care,Medical Devices,2022-01-17,2022-01-16,1922921,Insider_ABT_2022_11,Chief Executive Officer,False,True,False,P,A,4100.0,257.97,1057677.0,86100.0,D,True,False,0000001800-22-000011
ABT,Abbott Laboratories,0000001800,Health Care,Medical Devices,2021-12-17,2021-12-16,0001423996,Insider_ABT_2021_3,Chief Executive Officer,False,True,False,M,A,2200.0,363.74,800228.0,63800.0,D,False,False,0000001800-21-000003
ABT,Abbott Laboratories,0000001800,Health Care,Medical Devices,2021-09-08,2021-09-07,0001398653,Insider_ABT_2021_4,Chief Operating Officer,False,True,False,S,D,2400.0,174.74,419376.0,120000.0,D,False,True,0000001800-21-000004
ABT,Abbott Laboratories,0000001800,Health Care,Medical Devices,2021-08-17,2021-08-16,0001243241,Insider_ABT_2021_2,Chief Executive Officer,False,True,False,A,A,3900.0,278.08,1084512.0,58500.0,D,False,False,0000001800-21-000002
ABT,Abbott Laboratories,0000001800,Health Care,Medical Devices,2021-01-19,2021-01-18,0001789469,Insider_ABT_2021_1,Director,True,False,False,P,A,4300.0,88.64,381152.0,94600.0,D,True,False,0000001800-21-000001
