ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-07-13,2026-07-12,1750181,Insider_MDT_2026_12,Chief Operating Officer,False,True,False,S,D,1100.0,62.44,68684.0,27500.0,D,False,True,0000143899-26-000012
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-07-01,2026-06-30,1306839,Insider_MDT_2026_10,General Counsel,False,False,False,S,D,4500.0,344.03,1548135.0,162000.0,D,False,True,0000143899-26-000010
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-06-03,2026-06-02,1514486,Insider_MDT_2026_1,General Counsel,False,False,False,S,D,2700.0,117.65,317655.0,81000.0,D,False,True,0000143899-26-000001
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-05-24,2026-05-23,1682684,Insider_MDT_2026_3,Director,True,False,False,S,D,3100.0,383.47,1188757.0,43400.0,D,False,True,0000143899-26-000003
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-05-18,2026-05-17,1290742,Insider_MDT_2026_7,Chief Operating Officer,False,True,False,S,D,3700.0,105.7,391090.0,144300.0,D,False,True,0000143899-26-000007
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-05-17,2026-05-16,1782945,Insider_MDT_2026_5,Director,True,False,False,S,D,1000.0,232.31,232310.0,46000.0,D,False,True,0000143899-26-000005
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-05-06,2026-05-05,1532940,Insider_MDT_2026_8,Chief Executive Officer,False,True,False,S,D,3000.0,396.58,1189740.0,54000.0,D,False,True,0000143899-26-000008
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-04-08,2026-04-07,1443713,Insider_MDT_2026_6,Chief Operating Officer,False,True,False,S,D,3300.0,197.16,650628.0,125400.0,D,False,True,0000143899-26-000006
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-03-20,2026-03-19,1292091,Insider_MDT_2026_14,Executive Vice President,False,True,False,P,A,4500.0,414.0,1863000.0,216000.0,D,True,False,0000143899-26-000014
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-03-08,2026-03-07,1783003,Insider_MDT_2026_11,Chief Operating Officer,False,True,False,S,D,3400.0,361.45,1228930.0,74800.0,D,False,True,0000143899-26-000011
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-03-07,2026-03-06,1283476,Insider_MDT_2026_2,General Counsel,False,False,False,S,D,3900.0,238.59,930501.0,58500.0,D,False,True,0000143899-26-000002
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-02-18,2026-02-17,1956050,Insider_MDT_2026_13,General Counsel,False,False,False,S,D,2800.0,207.75,581700.0,39200.0,D,False,True,0000143899-26-000013
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-01-24,2026-01-23,1263106,Insider_MDT_2026_4,General Counsel,False,False,False,S,D,1900.0,393.68,747992.0,77900.0,D,False,True,0000143899-26-000004
MDT,Medtronic plc,143899,Health Care,Medical Devices,2026-01-09,2026-01-08,1590035,Insider_MDT_2026_9,Director,True,False,False,P,A,1100.0,327.98,360778.0,48400.0,D,True,False,0000143899-26-000009
MDT,Medtronic plc,143899,Health Care,Medical Devices,2025-12-23,2025-12-22,1468653,Insider_MDT_2025_3,Chief Financial Officer,False,True,False,S,D,4600.0,252.65,1162190.0,96600.0,D,False,True,0000143899-25-000003
MDT,Medtronic plc,143899,Health Care,Medical Devices,2025-12-20,2025-12-19,1462665,Insider_MDT_2025_2,Director,True,False,False,S,D,1900.0,56.15,106685.0,89300.0,D,False,True,0000143899-25-000002
MDT,Medtronic plc,143899,Health Care,Medical Devices,2025-09-28,2025-09-27,1216681,Insider_MDT_2025_9,Chief Executive Officer,False,True,False,S,D,4200.0,360.36,1513512.0,67200.0,D,False,True,0000143899-25-000009
MDT,Medtronic plc,143899,Health Care,Medical Devices,2025-09-22,2025-09-21,1874266,Insider_MDT_2025_8,Chief Financial Officer,False,True,False,A,A,2500.0,421.66,1054150.0,45000.0,D,False,False,0000143899-25-000008
MDT,Medtronic plc,143899,Health Care,Medical Devices,2025-06-23,2025-06-22,1941203,Insider_MDT_2025_10,Director,True,False,False,P,A,2900.0,336.46,975734.0,78300.0,D,True,False,0000143899-25-000010
MDT,Medtronic plc,143899,Health Care,Medical Devices,2025-06-20,2025-06-19,1445503,Insider_MDT_2025_6,Chief Operating Officer,False,True,False,M,A,4200.0,302.27,1269534.0,151200.0,D,False,False,0000143899-25-000006
MDT,Medtronic plc,143899,Health Care,Medical Devices,2025-04-23,2025-04-22,1657093,Insider_MDT_2025_4,General Counsel,False,False,False,S,D,4000.0,298.94,1195760.0,140000.0,D,False,True,0000143899-25-000004
MDT,Medtronic plc,143899,Health Care,Medical Devices,2025-04-03,2025-04-02,1684852,Insider_MDT_2025_5,Executive Vice President,False,True,False,S,D,3600.0,432.17,1555812.0,176400.0,D,False,True,0000143899-25-000005
MDT,Medtronic plc,143899,Health Care,Medical Devices,2025-03-21,2025-03-20,1378014,Insider_MDT_2025_1,General Counsel,False,False,False,S,D,1200.0,140.45,168540.0,57600.0,D,False,True,0000143899-25-000001
MDT,Medtronic plc,143899,Health Care,Medical Devices,2025-03-08,2025-03-07,1507327,Insider_MDT_2025_7,Director,True,False,False,S,D,2200.0,62.84,138248.0,90200.0,D,False,True,0000143899-25-000007
