ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2026-08-05,2026-08-04,1514323,Insider_SYK_2026_8,Chief Financial Officer,False,True,False,P,A,1100.0,208.63,229493.0,20900.0,D,True,False,0000310764-26-000008
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2026-06-08,2026-06-07,1271224,Insider_SYK_2026_2,Chief Executive Officer,False,True,False,A,A,4600.0,291.52,1340992.0,69000.0,D,False,False,0000310764-26-000002
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2026-06-02,2026-06-01,1761286,Insider_SYK_2026_7,Chief Financial Officer,False,True,False,S,D,2300.0,307.27,706721.0,71300.0,D,False,True,0000310764-26-000007
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2026-04-04,2026-04-03,1155693,Insider_SYK_2026_4,Chief Financial Officer,False,True,False,M,A,4300.0,421.41,1812063.0,206400.0,D,False,False,0000310764-26-000004
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2026-03-13,2026-03-12,1655373,Insider_SYK_2026_3,Executive Vice President,False,True,False,M,A,3100.0,131.14,406534.0,99200.0,D,False,False,0000310764-26-000003
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2026-02-18,2026-02-17,1111133,Insider_SYK_2026_1,Chief Executive Officer,False,True,False,P,A,1700.0,429.36,729912.0,22100.0,D,True,False,0000310764-26-000001
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2026-02-06,2026-02-05,1839437,Insider_SYK_2026_5,General Counsel,False,False,False,S,D,4100.0,103.86,425826.0,94300.0,D,False,True,0000310764-26-000005
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2026-01-28,2026-01-27,1686104,Insider_SYK_2026_6,Chief Operating Officer,False,True,False,S,D,2600.0,119.72,311272.0,98800.0,D,False,True,0000310764-26-000006
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2026-01-09,2026-01-08,1553873,Insider_SYK_2026_9,General Counsel,False,False,False,M,A,3500.0,296.0,1036000.0,91000.0,D,False,False,0000310764-26-000009
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-11-13,2025-11-12,1708472,Insider_SYK_2025_3,Chief Executive Officer,False,True,False,M,A,1700.0,336.1,571370.0,73100.0,D,False,False,0000310764-25-000003
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-10-22,2025-10-21,1877116,Insider_SYK_2025_5,General Counsel,False,False,False,A,A,1200.0,420.1,504120.0,30000.0,D,False,False,0000310764-25-000005
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-08-06,2025-08-05,1899182,Insider_SYK_2025_4,Chief Executive Officer,False,True,False,S,D,900.0,445.35,400815.0,30600.0,D,False,True,0000310764-25-000004
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-06-09,2025-06-08,1649470,Insider_SYK_2025_11,Chief Executive Officer,False,True,False,A,A,2900.0,377.92,1095968.0,121800.0,D,False,False,0000310764-25-000011
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-04-25,2025-04-24,1494053,Insider_SYK_2025_10,Director,True,False,False,P,A,1300.0,355.95,462735.0,62400.0,D,True,False,0000310764-25-000010
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-04-09,2025-04-08,1344888,Insider_SYK_2025_9,Director,True,False,False,S,D,4200.0,401.33,1685586.0,197400.0,D,False,True,0000310764-25-000009
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-04-02,2025-04-01,1497249,Insider_SYK_2025_1,Chief Executive Officer,False,True,False,S,D,3400.0,443.85,1509090.0,142800.0,D,False,True,0000310764-25-000001
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-03-28,2025-03-27,1774646,Insider_SYK_2025_7,Chief Executive Officer,False,True,False,S,D,3900.0,72.87,284193.0,109200.0,D,False,True,0000310764-25-000007
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-03-03,2025-03-02,1891402,Insider_SYK_2025_2,Chief Financial Officer,False,True,False,A,A,1200.0,51.68,62016.0,16800.0,D,False,False,0000310764-25-000002
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-02-18,2025-02-17,1536553,Insider_SYK_2025_6,Executive Vice President,False,True,False,S,D,3600.0,135.13,486468.0,54000.0,D,False,True,0000310764-25-000006
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2025-02-17,2025-02-16,1868512,Insider_SYK_2025_8,Chief Executive Officer,False,True,False,S,D,3800.0,169.12,642656.0,186200.0,D,False,True,0000310764-25-000008
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2024-12-06,2024-12-05,1779771,Insider_SYK_2024_4,Executive Vice President,False,True,False,M,A,3100.0,148.95,461745.0,108500.0,D,False,False,0000310764-24-000004
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2024-09-01,2024-08-31,1300710,Insider_SYK_2024_3,Director,True,False,False,S,D,2800.0,431.11,1207108.0,47600.0,D,False,True,0000310764-24-000003
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2024-07-22,2024-07-21,1900764,Insider_SYK_2024_2,Chief Operating Officer,False,True,False,P,A,800.0,57.38,45904.0,23200.0,D,True,False,0000310764-24-000002
SYK,Stryker Corporation,310764,Health Care,Medical Devices,2024-06-16,2024-06-15,1562071,Insider_SYK_2024_6,Chief Operating Officer,False,True,False,M,A,2100.0,254.86,535206.0,77700.0,D,False,False,0000310764-24-000006
