ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-08-06,2026-08-05,1828548,Insider_JNJ_2026_10,Director,True,False,False,A,A,1600.0,174.75,279600.0,59200.0,D,False,False,0000200406-26-000010
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-07-18,2026-07-17,1941082,Insider_JNJ_2026_6,Chief Financial Officer,False,True,False,P,A,3300.0,302.14,997062.0,128700.0,D,True,False,0000200406-26-000006
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-06-15,2026-06-14,1818026,Insider_JNJ_2026_1,General Counsel,False,False,False,S,D,3600.0,194.5,700200.0,100800.0,D,False,True,0000200406-26-000001
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-06-04,2026-06-03,1426435,Insider_JNJ_2026_5,Chief Executive Officer,False,True,False,S,D,2600.0,199.61,518986.0,106600.0,D,False,True,0000200406-26-000005
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-05-23,2026-05-22,1771209,Insider_JNJ_2026_2,Director,True,False,False,M,A,3300.0,128.18,422994.0,52800.0,D,False,False,0000200406-26-000002
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-05-02,2026-05-01,1282887,Insider_JNJ_2026_8,General Counsel,False,False,False,S,D,3200.0,313.54,1003328.0,83200.0,D,False,True,0000200406-26-000008
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-04-04,2026-04-03,1165726,Insider_JNJ_2026_9,Director,True,False,False,S,D,4800.0,116.39,558672.0,201600.0,D,False,True,0000200406-26-000009
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-03-19,2026-03-18,1596508,Insider_JNJ_2026_4,General Counsel,False,False,False,A,A,3500.0,425.86,1490510.0,98000.0,D,False,False,0000200406-26-000004
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-02-15,2026-02-14,1465616,Insider_JNJ_2026_7,Chief Financial Officer,False,True,False,S,D,4600.0,282.01,1297246.0,59800.0,D,False,True,0000200406-26-000007
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-02-05,2026-02-04,1452835,Insider_JNJ_2026_12,Executive Vice President,False,True,False,S,D,3100.0,157.28,487568.0,52700.0,D,False,True,0000200406-26-000012
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-01-24,2026-01-23,1424967,Insider_JNJ_2026_3,Executive Vice President,False,True,False,M,A,4200.0,209.39,879438.0,96600.0,D,False,False,0000200406-26-000003
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2026-01-23,2026-01-22,1196607,Insider_JNJ_2026_11,General Counsel,False,False,False,P,A,2000.0,445.34,890680.0,68000.0,D,True,False,0000200406-26-000011
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2025-12-22,2025-12-21,1383622,Insider_JNJ_2025_2,Director,True,False,False,A,A,3300.0,272.14,898062.0,141900.0,D,False,False,0000200406-25-000002
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2025-12-14,2025-12-13,1629185,Insider_JNJ_2025_3,Director,True,False,False,S,D,3300.0,269.16,888228.0,59400.0,D,False,True,0000200406-25-000003
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2025-10-10,2025-10-09,1779961,Insider_JNJ_2025_7,Director,True,False,False,M,A,4600.0,257.65,1185190.0,105800.0,D,False,False,0000200406-25-000007
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2025-09-27,2025-09-26,1221278,Insider_JNJ_2025_6,General Counsel,False,False,False,P,A,1300.0,140.61,182793.0,40300.0,D,True,False,0000200406-25-000006
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2025-08-31,2025-08-30,1317783,Insider_JNJ_2025_4,General Counsel,False,False,False,M,A,4800.0,272.54,1308192.0,216000.0,D,False,False,0000200406-25-000004
JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,2025-08-07,2025-08-06,1385567,Insider_JNJ_2025_8,Chief Executive Officer,False,True,False,S,D,2800.0,344.12,963536.0,39200.0,D,False,True,0000200406-25-000008
