ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-06-18,2026-06-17,1247760,Insider_LLY_2026_11,General Counsel,False,False,False,P,A,3000.0,140.37,421110.0,45000.0,D,True,False,0000059478-26-000011
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-05-14,2026-05-13,1106256,Insider_LLY_2026_4,Chief Operating Officer,False,True,False,A,A,4400.0,223.38,982872.0,96800.0,D,False,False,0000059478-26-000004
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-05-12,2026-05-11,1823683,Insider_LLY_2026_7,Chief Financial Officer,False,True,False,P,A,600.0,87.03,52218.0,22200.0,D,True,False,0000059478-26-000007
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-05-07,2026-05-06,1978370,Insider_LLY_2026_8,Chief Executive Officer,False,True,False,S,D,1800.0,225.19,405342.0,23400.0,D,False,True,0000059478-26-000008
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-04-25,2026-04-24,1406428,Insider_LLY_2026_10,Chief Operating Officer,False,True,False,S,D,1600.0,390.82,625312.0,59200.0,D,False,True,0000059478-26-000010
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-04-05,2026-04-04,1670813,Insider_LLY_2026_6,Chief Financial Officer,False,True,False,S,D,4400.0,113.9,501160.0,127600.0,D,False,True,0000059478-26-000006
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-03-26,2026-03-25,1703071,Insider_LLY_2026_9,Chief Financial Officer,False,True,False,S,D,1600.0,417.4,667840.0,80000.0,D,False,True,0000059478-26-000009
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-03-14,2026-03-13,1115499,Insider_LLY_2026_5,General Counsel,False,False,False,S,D,2700.0,280.79,758133.0,45900.0,D,False,True,0000059478-26-000005
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-03-05,2026-03-04,1195077,Insider_LLY_2026_2,Chief Financial Officer,False,True,False,P,A,3500.0,240.98,843430.0,80500.0,D,True,False,0000059478-26-000002
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-02-07,2026-02-06,1758830,Insider_LLY_2026_3,Chief Operating Officer,False,True,False,P,A,900.0,407.63,366867.0,18000.0,D,True,False,0000059478-26-000003
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2026-02-01,2026-01-31,1912730,Insider_LLY_2026_1,Executive Vice President,False,True,False,S,D,4700.0,434.83,2043701.0,47000.0,D,False,True,0000059478-26-000001
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2025-09-08,2025-09-07,1233712,Insider_LLY_2025_1,Director,True,False,False,A,A,3100.0,242.91,753021.0,105400.0,D,False,False,0000059478-25-000001
LLY,Eli Lilly and Company,59478,Health Care,Pharmaceuticals,2025-08-13,2025-08-12,1345954,Insider_LLY_2025_4,Chief Financial Officer,False,True,False,S,D,2500.0,429.32,1073300.0,45000.0,D,False,True,0000059478-25-000004
