ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
CAT,Caterpillar Inc.,18230,Industrials,Industrial Machinery,2026-06-29,2026-06-28,1686766,Insider_CAT_2026_4,Chief Operating Officer,False,True,False,S,D,3900.0,423.37,1651143.0,50700.0,D,False,True,0000018230-26-000004
CAT,Caterpillar Inc.,18230,Industrials,Industrial Machinery,2026-05-15,2026-05-14,1247425,Insider_CAT_2026_5,General Counsel,False,False,False,P,A,5000.0,428.68,2143400.0,130000.0,D,True,False,0000018230-26-000005
CAT,Caterpillar Inc.,18230,Industrials,Industrial Machinery,2026-05-05,2026-05-04,1575775,Insider_CAT_2026_3,Chief Financial Officer,False,True,False,M,A,4800.0,211.51,1015248.0,153600.0,D,False,False,0000018230-26-000003
CAT,Caterpillar Inc.,18230,Industrials,Industrial Machinery,2026-04-19,2026-04-18,1318134,Insider_CAT_2026_1,General Counsel,False,False,False,A,A,2200.0,389.6,857120.0,55000.0,D,False,False,0000018230-26-000001
CAT,Caterpillar Inc.,18230,Industrials,Industrial Machinery,2026-04-02,2026-04-01,1730808,Insider_CAT_2026_2,Director,True,False,False,S,D,3400.0,348.18,1183812.0,146200.0,D,False,True,0000018230-26-000002
CAT,Caterpillar Inc.,18230,Industrials,Industrial Machinery,2026-03-24,2026-03-23,1762548,Insider_CAT_2026_7,General Counsel,False,False,False,M,A,1100.0,232.58,255838.0,25300.0,D,False,False,0000018230-26-000007
CAT,Caterpillar Inc.,18230,Industrials,Industrial Machinery,2026-03-08,2026-03-07,1251708,Insider_CAT_2026_6,General Counsel,False,False,False,P,A,1500.0,312.18,468270.0,69000.0,D,True,False,0000018230-26-000006
CAT,Caterpillar Inc.,18230,Industrials,Industrial Machinery,2025-12-14,2025-12-13,1756258,Insider_CAT_2025_8,Director,True,False,False,S,D,3400.0,146.58,498372.0,149600.0,D,False,True,0000018230-25-000008
CAT,Caterpillar Inc.,18230,Industrials,Industrial Machinery,2025-10-28,2025-10-27,1948947,Insider_CAT_2025_9,General Counsel,False,False,False,S,D,2500.0,444.97,1112425.0,97500.0,D,False,True,0000018230-25-000009
CAT,Caterpillar Inc.,18230,Industrials,Industrial Machinery,2025-09-18,2025-09-17,1309137,Insider_CAT_2025_7,Director,True,False,False,P,A,1900.0,167.05,317395.0,60800.0,D,True,False,0000018230-25-000007
