ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2026-07-26,2026-07-25,1620625,Insider_UPS_2026_3,Executive Vice President,False,True,False,S,D,500.0,224.39,112195.0,21000.0,D,False,True,0001090727-26-000003
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2026-07-15,2026-07-14,1868656,Insider_UPS_2026_6,Chief Financial Officer,False,True,False,S,D,1500.0,124.71,187065.0,16500.0,D,False,True,0001090727-26-000006
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2026-06-16,2026-06-15,1920821,Insider_UPS_2026_4,Director,True,False,False,M,A,1800.0,412.99,743382.0,59400.0,D,False,False,0001090727-26-000004
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2026-05-29,2026-05-28,1475344,Insider_UPS_2026_1,Director,True,False,False,M,A,1200.0,180.32,216384.0,25200.0,D,False,False,0001090727-26-000001
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2026-04-09,2026-04-08,1861863,Insider_UPS_2026_5,Chief Executive Officer,False,True,False,A,A,1800.0,361.09,649962.0,39600.0,D,False,False,0001090727-26-000005
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2026-02-28,2026-02-27,1878012,Insider_UPS_2026_2,Chief Operating Officer,False,True,False,P,A,4900.0,199.11,975639.0,245000.0,D,True,False,0001090727-26-000002
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2026-01-15,2026-01-14,1255095,Insider_UPS_2026_7,General Counsel,False,False,False,S,D,4800.0,264.19,1268112.0,72000.0,D,False,True,0001090727-26-000007
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2025-11-04,2025-11-03,1466552,Insider_UPS_2025_7,Director,True,False,False,M,A,2500.0,174.82,437050.0,35000.0,D,False,False,0001090727-25-000007
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2025-10-16,2025-10-15,1783588,Insider_UPS_2025_3,Chief Financial Officer,False,True,False,S,D,1400.0,282.08,394912.0,33600.0,D,False,True,0001090727-25-000003
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2025-10-15,2025-10-14,1818950,Insider_UPS_2025_6,Chief Executive Officer,False,True,False,S,D,1400.0,398.33,557662.0,23800.0,D,False,True,0001090727-25-000006
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2025-10-15,2025-10-14,1325783,Insider_UPS_2025_8,Director,True,False,False,A,A,5000.0,434.63,2173150.0,245000.0,D,False,False,0001090727-25-000008
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2025-10-09,2025-10-08,1648899,Insider_UPS_2025_1,Chief Executive Officer,False,True,False,S,D,5000.0,65.86,329300.0,70000.0,D,False,True,0001090727-25-000001
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2025-09-30,2025-09-29,1726695,Insider_UPS_2025_5,General Counsel,False,False,False,A,A,3900.0,364.77,1422603.0,54600.0,D,False,False,0001090727-25-000005
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2025-07-07,2025-07-06,1901872,Insider_UPS_2025_9,Chief Financial Officer,False,True,False,M,A,4600.0,407.9,1876340.0,87400.0,D,False,False,0001090727-25-000009
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2025-05-10,2025-05-09,1471087,Insider_UPS_2025_4,Chief Operating Officer,False,True,False,S,D,4900.0,301.17,1475733.0,73500.0,D,False,True,0001090727-25-000004
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2025-04-20,2025-04-19,1447825,Insider_UPS_2025_2,Chief Executive Officer,False,True,False,P,A,4100.0,151.88,622708.0,184500.0,D,True,False,0001090727-25-000002
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2024-09-21,2024-09-20,1942884,Insider_UPS_2024_2,Director,True,False,False,S,D,4100.0,296.64,1216224.0,164000.0,D,False,True,0001090727-24-000002
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2024-07-09,2024-07-08,1895126,Insider_UPS_2024_1,Chief Operating Officer,False,True,False,S,D,5000.0,438.05,2190250.0,75000.0,D,False,True,0001090727-24-000001
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2024-07-06,2024-07-05,1568633,Insider_UPS_2024_4,Director,True,False,False,S,D,1100.0,209.87,230857.0,19800.0,D,False,True,0001090727-24-000004
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2024-03-13,2024-03-12,1518305,Insider_UPS_2024_3,Director,True,False,False,P,A,1900.0,60.73,115387.0,24700.0,D,True,False,0001090727-24-000003
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2023-12-28,2023-12-27,1566689,Insider_UPS_2023_3,Chief Operating Officer,False,True,False,S,D,2000.0,373.14,746280.0,100000.0,D,False,True,0001090727-23-000003
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2023-09-26,2023-09-25,1819173,Insider_UPS_2023_1,Chief Executive Officer,False,True,False,S,D,2900.0,141.73,411017.0,40600.0,D,False,True,0001090727-23-000001
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2023-07-11,2023-07-10,1862194,Insider_UPS_2023_2,Executive Vice President,False,True,False,P,A,3400.0,101.76,345984.0,119000.0,D,True,False,0001090727-23-000002
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2023-03-11,2023-03-10,1421068,Insider_UPS_2023_4,General Counsel,False,False,False,S,D,4400.0,239.52,1053888.0,145200.0,D,False,True,0001090727-23-000004
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2022-11-06,2022-11-05,1669338,Insider_UPS_2022_6,Chief Financial Officer,False,True,False,S,D,2600.0,338.7,880620.0,88400.0,D,False,True,0001090727-22-000006
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2022-09-30,2022-09-29,1192269,Insider_UPS_2022_7,Chief Financial Officer,False,True,False,S,D,3900.0,352.87,1376193.0,81900.0,D,False,True,0001090727-22-000007
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2022-09-21,2022-09-20,1669368,Insider_UPS_2022_8,Executive Vice President,False,True,False,S,D,2600.0,233.36,606736.0,75400.0,D,False,True,0001090727-22-000008
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2022-07-28,2022-07-27,1226842,Insider_UPS_2022_4,Chief Financial Officer,False,True,False,S,D,3900.0,394.67,1539213.0,163800.0,D,False,True,0001090727-22-000004
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2022-07-05,2022-07-04,1541960,Insider_UPS_2022_5,General Counsel,False,False,False,A,A,2400.0,283.48,680352.0,31200.0,D,False,False,0001090727-22-000005
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2022-06-15,2022-06-14,1302186,Insider_UPS_2022_2,General Counsel,False,False,False,P,A,3800.0,198.12,752856.0,102600.0,D,True,False,0001090727-22-000002
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2022-06-05,2022-06-04,1507967,Insider_UPS_2022_3,Director,True,False,False,S,D,3100.0,233.31,723261.0,102300.0,D,False,True,0001090727-22-000003
UPS,United Parcel Service Inc.,1090727,Industrials,Integrated Freight & Logistics,2022-05-05,2022-05-04,1407763,Insider_UPS_2022_9,Chief Executive Officer,False,True,False,A,A,4700.0,62.66,294502.0,164500.0,D,False,False,0001090727-22-000009
