ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2026-05-01,2026-04-30,1633448,Insider_IBM_2026_3,Chief Executive Officer,False,True,False,S,D,1400.0,415.24,581336.0,54600.0,D,False,True,0000051143-26-000003
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2026-02-23,2026-02-22,1769642,Insider_IBM_2026_1,Director,True,False,False,S,D,4100.0,215.54,883714.0,77900.0,D,False,True,0000051143-26-000001
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2026-02-19,2026-02-18,1391894,Insider_IBM_2026_2,General Counsel,False,False,False,S,D,4100.0,398.85,1635285.0,139400.0,D,False,True,0000051143-26-000002
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2026-02-17,2026-02-16,1966155,Insider_IBM_2026_4,Director,True,False,False,S,D,600.0,190.09,114054.0,17400.0,D,False,True,0000051143-26-000004
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2025-12-27,2025-12-26,1459478,Insider_IBM_2025_1,Director,True,False,False,P,A,3400.0,73.69,250546.0,61200.0,D,True,False,0000051143-25-000001
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2025-11-21,2025-11-20,1406654,Insider_IBM_2025_3,Chief Financial Officer,False,True,False,S,D,1800.0,50.71,91278.0,55800.0,D,False,True,0000051143-25-000003
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2025-11-17,2025-11-16,1615154,Insider_IBM_2025_7,Director,True,False,False,A,A,2100.0,409.59,860139.0,88200.0,D,False,False,0000051143-25-000007
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2025-11-08,2025-11-07,1107161,Insider_IBM_2025_6,General Counsel,False,False,False,S,D,3800.0,297.44,1130272.0,98800.0,D,False,True,0000051143-25-000006
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2025-09-25,2025-09-24,1535440,Insider_IBM_2025_4,Director,True,False,False,S,D,500.0,203.85,101925.0,25000.0,D,False,True,0000051143-25-000004
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2025-08-26,2025-08-25,1508538,Insider_IBM_2025_9,Chief Financial Officer,False,True,False,S,D,1600.0,363.75,582000.0,52800.0,D,False,True,0000051143-25-000009
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2025-05-06,2025-05-05,1389943,Insider_IBM_2025_8,Chief Operating Officer,False,True,False,A,A,1600.0,419.23,670768.0,24000.0,D,False,False,0000051143-25-000008
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2025-01-30,2025-01-29,1393538,Insider_IBM_2025_5,Director,True,False,False,S,D,2500.0,83.04,207600.0,102500.0,D,False,True,0000051143-25-000005
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2025-01-07,2025-01-06,1188338,Insider_IBM_2025_2,Chief Executive Officer,False,True,False,P,A,2400.0,58.62,140688.0,96000.0,D,True,False,0000051143-25-000002
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2024-12-25,2024-12-24,1772265,Insider_IBM_2024_1,Director,True,False,False,S,D,3500.0,338.6,1185100.0,171500.0,D,False,True,0000051143-24-000001
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2024-12-13,2024-12-12,1934300,Insider_IBM_2024_8,Director,True,False,False,S,D,3300.0,269.63,889779.0,59400.0,D,False,True,0000051143-24-000008
IBM,International Business Machines Corporation,51143,Information Technology,IT Services,2024-11-09,2024-11-08,1539108,Insider_IBM_2024_7,Chief Operating Officer,False,True,False,M,A,1700.0,374.22,636174.0,71400.0,D,False,False,0000051143-24-000007
