ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
AMD,Advanced Micro Devices Inc.,2488,Information Technology,Semiconductors,2026-08-03,2026-08-02,1495706,Insider_AMD_2026_8,General Counsel,False,False,False,P,A,700.0,50.32,35224.0,8400.0,D,True,False,0000002488-26-000008
AMD,Advanced Micro Devices Inc.,2488,Information Technology,Semiconductors,2026-07-23,2026-07-22,1115250,Insider_AMD_2026_6,Chief Operating Officer,False,True,False,P,A,3700.0,372.41,1377917.0,185000.0,D,True,False,0000002488-26-000006
AMD,Advanced Micro Devices Inc.,2488,Information Technology,Semiconductors,2026-07-21,2026-07-20,1999999,AMD_CEO_Conviction,Chief Executive Officer,True,True,False,P,A,5000.0,193.13,965650.0,500000.0,D,True,False,0000002488-26-99999CEO
AMD,Advanced Micro Devices Inc.,2488,Information Technology,Semiconductors,2026-07-21,2026-07-20,1999999,AMD_CFO_Conviction,Chief Financial Officer,True,True,False,P,A,5000.0,138.07,690350.0,500000.0,D,True,False,0000002488-26-99999CFO
AMD,Advanced Micro Devices Inc.,2488,Information Technology,Semiconductors,2026-07-12,2026-07-11,1350924,Insider_AMD_2026_9,Director,True,False,False,S,D,1400.0,60.6,84840.0,21000.0,D,False,True,0000002488-26-000009
AMD,Advanced Micro Devices Inc.,2488,Information Technology,Semiconductors,2026-06-19,2026-06-18,1544167,Insider_AMD_2026_2,Chief Operating Officer,False,True,False,P,A,500.0,75.93,37965.0,22500.0,D,True,False,0000002488-26-000002
AMD,Advanced Micro Devices Inc.,2488,Information Technology,Semiconductors,2026-05-24,2026-05-23,1801159,Insider_AMD_2026_4,Chief Operating Officer,False,True,False,P,A,4400.0,280.08,1232352.0,92400.0,D,True,False,0000002488-26-000004
AMD,Advanced Micro Devices Inc.,2488,Information Technology,Semiconductors,2026-05-12,2026-05-11,1451482,Insider_AMD_2026_7,Director,True,False,False,P,A,4100.0,274.83,1126803.0,151700.0,D,True,False,0000002488-26-000007
AMD,Advanced Micro Devices Inc.,2488,Information Technology,Semiconductors,2026-04-26,2026-04-25,1862403,Insider_AMD_2026_1,Director,True,False,False,S,D,4900.0,204.44,1001756.0,98000.0,D,False,True,0000002488-26-000001
AMD,Advanced Micro Devices Inc.,2488,Information Technology,Semiconductors,2026-02-28,2026-02-27,1132849,Insider_AMD_2026_11,Executive Vice President,False,True,False,S,D,4400.0,320.82,1411608.0,88000.0,D,False,True,0000002488-26-000011
