ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
INTC,Intel Corporation,50863,Information Technology,Semiconductors,2026-07-29,2026-07-28,1934793,Insider_INTC_2026_1,Director,True,False,False,P,A,4300.0,294.66,1267038.0,47300.0,D,True,False,0000050863-26-000001
INTC,Intel Corporation,50863,Information Technology,Semiconductors,2026-05-26,2026-05-25,1854066,Insider_INTC_2026_4,General Counsel,False,False,False,P,A,3900.0,401.34,1565226.0,93600.0,D,True,False,0000050863-26-000004
INTC,Intel Corporation,50863,Information Technology,Semiconductors,2026-02-18,2026-02-17,1899897,Insider_INTC_2026_5,Chief Financial Officer,False,True,False,S,D,3500.0,55.85,195475.0,136500.0,D,False,True,0000050863-26-000005
INTC,Intel Corporation,50863,Information Technology,Semiconductors,2026-02-03,2026-02-02,1635697,Insider_INTC_2026_3,Chief Executive Officer,False,True,False,M,A,3600.0,429.59,1546524.0,104400.0,D,False,False,0000050863-26-000003
INTC,Intel Corporation,50863,Information Technology,Semiconductors,2026-01-04,2026-01-03,1795999,Insider_INTC_2026_2,Director,True,False,False,P,A,4200.0,381.14,1600788.0,71400.0,D,True,False,0000050863-26-000002
INTC,Intel Corporation,50863,Information Technology,Semiconductors,2025-11-15,2025-11-14,1209390,Insider_INTC_2025_3,Chief Executive Officer,False,True,False,S,D,1200.0,167.98,201576.0,51600.0,D,False,True,0000050863-25-000003
INTC,Intel Corporation,50863,Information Technology,Semiconductors,2025-11-03,2025-11-02,1568776,Insider_INTC_2025_4,Chief Financial Officer,False,True,False,P,A,3600.0,55.26,198936.0,75600.0,D,True,False,0000050863-25-000004
INTC,Intel Corporation,50863,Information Technology,Semiconductors,2025-08-10,2025-08-09,1435790,Insider_INTC_2025_7,Chief Operating Officer,False,True,False,P,A,3700.0,317.24,1173788.0,92500.0,D,True,False,0000050863-25-000007
INTC,Intel Corporation,50863,Information Technology,Semiconductors,2025-07-09,2025-07-08,1119260,Insider_INTC_2025_9,Chief Financial Officer,False,True,False,P,A,3000.0,354.27,1062810.0,81000.0,D,True,False,0000050863-25-000009
INTC,Intel Corporation,50863,Information Technology,Semiconductors,2025-06-18,2025-06-17,1592298,Insider_INTC_2025_5,General Counsel,False,False,False,P,A,1100.0,235.51,259061.0,13200.0,D,True,False,0000050863-25-000005
