ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-07-21,2026-07-20,1999999,NVDA_CEO_Conviction,Chief Executive Officer,True,True,False,P,A,5000.0,239.93,1199650.0,500000.0,D,True,False,0001045810-26-99999CEO
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-07-21,2026-07-20,1999999,NVDA_CFO_Conviction,Chief Financial Officer,True,True,False,P,A,5000.0,204.6,1023000.0,500000.0,D,True,False,0001045810-26-99999CFO
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-06-18,2026-06-17,1198695,Insider_NVDA_2026_3,Chief Financial Officer,False,True,False,M,A,3500.0,205.56,719460.0,35000.0,D,False,False,0001045810-26-000003
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-06-08,2026-06-07,1537301,Insider_NVDA_2026_5,Director,True,False,False,P,A,2800.0,263.11,736708.0,72800.0,D,True,False,0001045810-26-000005
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-05-19,2026-05-18,1823144,Insider_NVDA_2026_7,Chief Operating Officer,False,True,False,S,D,2000.0,51.04,102080.0,44000.0,D,False,True,0001045810-26-000007
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-05-12,2026-05-11,1486787,Insider_NVDA_2026_10,Chief Financial Officer,False,True,False,P,A,1100.0,432.28,475508.0,23100.0,D,True,False,0001045810-26-000010
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-05-11,2026-05-10,1103583,Insider_NVDA_2026_12,Director,True,False,False,P,A,4800.0,132.65,636720.0,182400.0,D,True,False,0001045810-26-000012
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-04-14,2026-04-13,1248674,Insider_NVDA_2026_14,Chief Executive Officer,False,True,False,S,D,600.0,85.72,51432.0,20400.0,D,False,True,0001045810-26-000014
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-04-10,2026-04-09,1347514,Insider_NVDA_2026_2,Executive Vice President,False,True,False,P,A,4400.0,326.77,1437788.0,215600.0,D,True,False,0001045810-26-000002
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-04-02,2026-04-01,1392135,Insider_NVDA_2026_6,Chief Operating Officer,False,True,False,A,A,2400.0,195.71,469704.0,55200.0,D,False,False,0001045810-26-000006
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-03-28,2026-03-27,1472326,Insider_NVDA_2026_13,Chief Executive Officer,False,True,False,A,A,3800.0,78.8,299440.0,174800.0,D,False,False,0001045810-26-000013
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-03-27,2026-03-26,1467637,Insider_NVDA_2026_11,Executive Vice President,False,True,False,P,A,3800.0,301.33,1145054.0,41800.0,D,True,False,0001045810-26-000011
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-02-04,2026-02-03,1219978,Insider_NVDA_2026_1,Chief Executive Officer,False,True,False,A,A,3600.0,238.27,857772.0,172800.0,D,False,False,0001045810-26-000001
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-02-03,2026-02-02,1155207,Insider_NVDA_2026_8,Executive Vice President,False,True,False,S,D,2000.0,59.59,119180.0,40000.0,D,False,True,0001045810-26-000008
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-01-19,2026-01-18,1489039,Insider_NVDA_2026_9,Director,True,False,False,P,A,4300.0,110.75,476225.0,150500.0,D,True,False,0001045810-26-000009
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2026-01-04,2026-01-03,1427447,Insider_NVDA_2026_4,Chief Operating Officer,False,True,False,M,A,1900.0,427.76,812744.0,39900.0,D,False,False,0001045810-26-000004
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2025-12-30,2025-12-29,1976375,Insider_NVDA_2025_4,Director,True,False,False,S,D,2600.0,310.93,808418.0,31200.0,D,False,True,0001045810-25-000004
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2025-08-31,2025-08-30,1137260,Insider_NVDA_2025_5,Chief Executive Officer,False,True,False,S,D,1100.0,419.53,461483.0,14300.0,D,False,True,0001045810-25-000005
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2025-06-16,2025-06-15,1999999,NVDA_CEO_Conviction,Chief Executive Officer,True,True,False,P,A,5000.0,182.73,913650.0,500000.0,D,True,False,0001045810-25-99999CEO
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2025-06-16,2025-06-15,1999999,NVDA_CFO_Conviction,Chief Financial Officer,True,True,False,P,A,5000.0,141.29,706450.0,500000.0,D,True,False,0001045810-25-99999CFO
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2025-05-04,2025-05-03,1846214,Insider_NVDA_2025_3,Chief Financial Officer,False,True,False,S,D,4600.0,94.97,436862.0,78200.0,D,False,True,0001045810-25-000003
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2025-04-17,2025-04-16,1669806,Insider_NVDA_2025_1,Chief Financial Officer,False,True,False,S,D,3500.0,64.53,225855.0,87500.0,D,False,True,0001045810-25-000001
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2025-04-11,2025-04-10,1693312,Insider_NVDA_2025_2,General Counsel,False,False,False,P,A,1200.0,324.17,389004.0,55200.0,D,True,False,0001045810-25-000002
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2024-11-12,2024-11-11,1886499,Insider_NVDA_2024_5,General Counsel,False,False,False,P,A,1600.0,125.98,201568.0,54400.0,D,True,False,0001045810-24-000005
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2024-09-11,2024-09-10,1703597,Insider_NVDA_2024_3,Director,True,False,False,A,A,3700.0,256.56,949272.0,122100.0,D,False,False,0001045810-24-000003
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2024-08-03,2024-08-02,1701371,Insider_NVDA_2024_1,Chief Financial Officer,False,True,False,P,A,2700.0,221.84,598968.0,29700.0,D,True,False,0001045810-24-000001
NVDA,NVIDIA Corporation,1045810,Information Technology,Semiconductors,2024-06-16,2024-06-15,1999999,NVDA_CEO_Conviction,Chief Executive Officer,True,True,False,P,A,5000.0,167.19,835950.0,500000.0,D,True,False,0001045810-24-99999CEO
