ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
QCOM,QUALCOMM Incorporated,804328,Information Technology,Semiconductors,2026-07-04,2026-07-03,1184769,Insider_QCOM_2026_2,Executive Vice President,False,True,False,M,A,2700.0,253.98,685746.0,64800.0,D,False,False,0000804328-26-000002
QCOM,QUALCOMM Incorporated,804328,Information Technology,Semiconductors,2026-06-13,2026-06-12,1736488,Insider_QCOM_2026_3,Director,True,False,False,S,D,4000.0,59.84,239360.0,108000.0,D,False,True,0000804328-26-000003
QCOM,QUALCOMM Incorporated,804328,Information Technology,Semiconductors,2026-05-10,2026-05-09,1744336,Insider_QCOM_2026_1,Executive Vice President,False,True,False,P,A,2100.0,193.53,406413.0,58800.0,D,True,False,0000804328-26-000001
QCOM,QUALCOMM Incorporated,804328,Information Technology,Semiconductors,2026-02-23,2026-02-22,1294501,Insider_QCOM_2026_4,Chief Executive Officer,False,True,False,P,A,600.0,60.22,36132.0,12000.0,D,True,False,0000804328-26-000004
QCOM,QUALCOMM Incorporated,804328,Information Technology,Semiconductors,2025-11-02,2025-11-01,1724971,Insider_QCOM_2025_3,Chief Operating Officer,False,True,False,M,A,2500.0,424.94,1062350.0,27500.0,D,False,False,0000804328-25-000003
QCOM,QUALCOMM Incorporated,804328,Information Technology,Semiconductors,2025-05-31,2025-05-30,1990622,Insider_QCOM_2025_4,Executive Vice President,False,True,False,P,A,2500.0,173.68,434200.0,120000.0,D,True,False,0000804328-25-000004
QCOM,QUALCOMM Incorporated,804328,Information Technology,Semiconductors,2025-05-30,2025-05-29,1622070,Insider_QCOM_2025_7,Executive Vice President,False,True,False,S,D,2300.0,356.28,819444.0,48300.0,D,False,True,0000804328-25-000007
QCOM,QUALCOMM Incorporated,804328,Information Technology,Semiconductors,2025-05-06,2025-05-05,1381505,Insider_QCOM_2025_5,Director,True,False,False,P,A,1600.0,385.04,616064.0,32000.0,D,True,False,0000804328-25-000005
QCOM,QUALCOMM Incorporated,804328,Information Technology,Semiconductors,2025-03-31,2025-03-30,1339875,Insider_QCOM_2025_6,General Counsel,False,False,False,P,A,4600.0,149.62,688252.0,147200.0,D,True,False,0000804328-25-000006
QCOM,QUALCOMM Incorporated,804328,Information Technology,Semiconductors,2025-03-15,2025-03-14,1307889,Insider_QCOM_2025_1,Executive Vice President,False,True,False,P,A,2300.0,282.24,649152.0,115000.0,D,True,False,0000804328-25-000001
