ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2026-07-11,2026-07-10,1302433,Insider_TXN_2026_6,Director,True,False,False,P,A,700.0,212.6,148820.0,33600.0,D,True,False,0000097476-26-000006
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2026-07-03,2026-07-02,1629138,Insider_TXN_2026_5,General Counsel,False,False,False,P,A,3500.0,247.01,864535.0,115500.0,D,True,False,0000097476-26-000005
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2026-06-16,2026-06-15,1150925,Insider_TXN_2026_7,Director,True,False,False,P,A,3700.0,318.9,1179930.0,66600.0,D,True,False,0000097476-26-000007
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2026-06-14,2026-06-13,1732266,Insider_TXN_2026_2,Director,True,False,False,M,A,3800.0,135.4,514520.0,125400.0,D,False,False,0000097476-26-000002
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2026-03-27,2026-03-26,1196755,Insider_TXN_2026_1,Chief Financial Officer,False,True,False,S,D,1100.0,164.72,181192.0,40700.0,D,False,True,0000097476-26-000001
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2026-03-23,2026-03-22,1558708,Insider_TXN_2026_8,Chief Executive Officer,False,True,False,P,A,500.0,447.04,223520.0,6500.0,D,True,False,0000097476-26-000008
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2026-03-12,2026-03-11,1611488,Insider_TXN_2026_3,Director,True,False,False,M,A,1400.0,51.15,71610.0,51800.0,D,False,False,0000097476-26-000003
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2026-03-10,2026-03-09,1515205,Insider_TXN_2026_4,Chief Executive Officer,False,True,False,S,D,2700.0,222.58,600966.0,110700.0,D,False,True,0000097476-26-000004
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2025-12-23,2025-12-22,1239501,Insider_TXN_2025_9,Chief Executive Officer,False,True,False,S,D,2700.0,226.27,610929.0,105300.0,D,False,True,0000097476-25-000009
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2025-12-20,2025-12-19,1144524,Insider_TXN_2025_10,Chief Financial Officer,False,True,False,M,A,5000.0,363.01,1815050.0,195000.0,D,False,False,0000097476-25-000010
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2025-10-21,2025-10-20,1588097,Insider_TXN_2025_12,Chief Financial Officer,False,True,False,P,A,900.0,88.95,80055.0,9000.0,D,True,False,0000097476-25-000012
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2025-09-27,2025-09-26,1847654,Insider_TXN_2025_1,Director,True,False,False,A,A,1000.0,432.85,432850.0,48000.0,D,False,False,0000097476-25-000001
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2025-07-12,2025-07-11,1121097,Insider_TXN_2025_11,General Counsel,False,False,False,M,A,1100.0,160.39,176429.0,14300.0,D,False,False,0000097476-25-000011
TXN,Texas Instruments Incorporated,97476,Information Technology,Semiconductors,2025-07-06,2025-07-05,1545633,Insider_TXN_2025_6,Chief Operating Officer,False,True,False,A,A,4500.0,268.02,1206090.0,49500.0,D,False,False,0000097476-25-000006
