ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-07-21,2026-07-20,1997252,Insider_ADBE_2026_1,General Counsel,False,False,False,S,D,2900.0,337.36,978344.0,136300.0,D,False,True,0000796343-26-000001
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-07-11,2026-07-10,1912638,Insider_ADBE_2026_8,Chief Financial Officer,False,True,False,M,A,4600.0,289.34,1330964.0,78200.0,D,False,False,0000796343-26-000008
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-07-01,2026-06-30,1261699,Insider_ADBE_2026_5,Chief Executive Officer,False,True,False,S,D,1600.0,334.75,535600.0,72000.0,D,False,True,0000796343-26-000005
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-06-19,2026-06-18,1928991,Insider_ADBE_2026_12,Executive Vice President,False,True,False,P,A,4300.0,343.52,1477136.0,146200.0,D,True,False,0000796343-26-000012
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-06-10,2026-06-09,1347865,Insider_ADBE_2026_3,Executive Vice President,False,True,False,A,A,4900.0,61.8,302820.0,210700.0,D,False,False,0000796343-26-000003
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-06-08,2026-06-07,1445753,Insider_ADBE_2026_2,General Counsel,False,False,False,P,A,4600.0,373.93,1720078.0,165600.0,D,True,False,0000796343-26-000002
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-05-18,2026-05-17,1697160,Insider_ADBE_2026_6,Director,True,False,False,M,A,2800.0,376.24,1053472.0,39200.0,D,False,False,0000796343-26-000006
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-05-13,2026-05-12,1878446,Insider_ADBE_2026_9,Executive Vice President,False,True,False,S,D,2400.0,209.27,502248.0,108000.0,D,False,True,0000796343-26-000009
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-04-23,2026-04-22,1570907,Insider_ADBE_2026_13,Chief Executive Officer,False,True,False,S,D,1100.0,116.08,127688.0,37400.0,D,False,True,0000796343-26-000013
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-03-31,2026-03-30,1796927,Insider_ADBE_2026_4,Executive Vice President,False,True,False,S,D,4600.0,292.88,1347248.0,59800.0,D,False,True,0000796343-26-000004
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-03-14,2026-03-13,1768298,Insider_ADBE_2026_7,Chief Financial Officer,False,True,False,S,D,3100.0,348.83,1081373.0,105400.0,D,False,True,0000796343-26-000007
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-03-11,2026-03-10,1664073,Insider_ADBE_2026_14,Chief Executive Officer,False,True,False,A,A,1400.0,238.57,333998.0,70000.0,D,False,False,0000796343-26-000014
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-03-07,2026-03-06,1201330,Insider_ADBE_2026_10,Director,True,False,False,P,A,900.0,173.1,155790.0,9900.0,D,True,False,0000796343-26-000010
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2026-01-12,2026-01-11,1372439,Insider_ADBE_2026_11,Chief Executive Officer,False,True,False,P,A,4200.0,120.53,506226.0,84000.0,D,True,False,0000796343-26-000011
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2025-12-14,2025-12-13,1282253,Insider_ADBE_2025_2,Chief Financial Officer,False,True,False,A,A,4900.0,396.82,1944418.0,83300.0,D,False,False,0000796343-25-000002
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2025-12-13,2025-12-12,1834082,Insider_ADBE_2025_8,Director,True,False,False,S,D,4700.0,199.15,936005.0,112800.0,D,False,True,0000796343-25-000008
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2025-11-24,2025-11-23,1874504,Insider_ADBE_2025_5,Chief Operating Officer,False,True,False,P,A,1500.0,376.81,565215.0,24000.0,D,True,False,0000796343-25-000005
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2025-09-12,2025-09-11,1280262,Insider_ADBE_2025_7,Executive Vice President,False,True,False,P,A,2000.0,360.67,721340.0,86000.0,D,True,False,0000796343-25-000007
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2025-07-27,2025-07-26,1324996,Insider_ADBE_2025_3,Executive Vice President,False,True,False,P,A,2500.0,146.65,366625.0,105000.0,D,True,False,0000796343-25-000003
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2025-03-16,2025-03-15,1518264,Insider_ADBE_2025_1,Chief Financial Officer,False,True,False,S,D,2800.0,123.59,346052.0,86800.0,D,False,True,0000796343-25-000001
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2025-03-09,2025-03-08,1178368,Insider_ADBE_2025_6,Director,True,False,False,P,A,4000.0,344.73,1378920.0,160000.0,D,True,False,0000796343-25-000006
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2025-01-27,2025-01-26,1195619,Insider_ADBE_2025_4,Chief Executive Officer,False,True,False,P,A,2700.0,82.93,223911.0,135000.0,D,True,False,0000796343-25-000004
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2024-12-16,2024-12-15,1985839,Insider_ADBE_2024_14,Chief Financial Officer,False,True,False,P,A,3100.0,317.3,983630.0,86800.0,D,True,False,0000796343-24-000014
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2024-11-23,2024-11-22,1681951,Insider_ADBE_2024_9,Chief Operating Officer,False,True,False,M,A,1200.0,306.45,367740.0,34800.0,D,False,False,0000796343-24-000009
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2024-11-08,2024-11-07,1928098,Insider_ADBE_2024_7,Director,True,False,False,A,A,3400.0,60.15,204510.0,64600.0,D,False,False,0000796343-24-000007
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2024-11-02,2024-11-01,1825417,Insider_ADBE_2024_3,Chief Operating Officer,False,True,False,A,A,2900.0,346.77,1005633.0,60900.0,D,False,False,0000796343-24-000003
ADBE,Adobe Inc.,796343,Information Technology,Software - Infrastructure,2024-10-19,2024-10-18,1562149,Insider_ADBE_2024_13,Director,True,False,False,S,D,3400.0,156.84,533256.0,64600.0,D,False,True,0000796343-24-000013
