ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-07-21,2026-07-20,1999999,MSFT_CEO_Conviction,Chief Executive Officer,True,True,False,P,A,5000.0,165.6,828000.0,500000.0,D,True,False,0000789019-26-99999CEO
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-07-21,2026-07-20,1999999,MSFT_CFO_Conviction,Chief Financial Officer,True,True,False,P,A,5000.0,242.24,1211200.0,500000.0,D,True,False,0000789019-26-99999CFO
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-07-17,2026-07-16,1858518,Insider_MSFT_2026_1,Chief Operating Officer,False,True,False,S,D,3300.0,267.56,882948.0,62700.0,D,False,True,0000789019-26-000001
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-06-14,2026-06-13,1217605,Insider_MSFT_2026_5,Chief Financial Officer,False,True,False,P,A,4200.0,361.86,1519812.0,50400.0,D,True,False,0000789019-26-000005
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-05-07,2026-05-06,1912853,Insider_MSFT_2026_2,Chief Executive Officer,False,True,False,A,A,1900.0,347.65,660535.0,34200.0,D,False,False,0000789019-26-000002
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-05-05,2026-05-04,1731843,Insider_MSFT_2026_3,Director,True,False,False,A,A,1600.0,156.37,250192.0,70400.0,D,False,False,0000789019-26-000003
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-04-29,2026-04-28,1201727,Insider_MSFT_2026_6,Chief Financial Officer,False,True,False,P,A,3300.0,183.53,605649.0,125400.0,D,True,False,0000789019-26-000006
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-04-12,2026-04-11,1511389,Insider_MSFT_2026_8,Director,True,False,False,S,D,4000.0,241.86,967440.0,168000.0,D,False,True,0000789019-26-000008
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-04-09,2026-04-08,1459861,Insider_MSFT_2026_9,Executive Vice President,False,True,False,P,A,3400.0,377.98,1285132.0,91800.0,D,True,False,0000789019-26-000009
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-03-06,2026-03-05,1939887,Insider_MSFT_2026_4,General Counsel,False,False,False,P,A,3400.0,241.06,819604.0,71400.0,D,True,False,0000789019-26-000004
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2026-02-04,2026-02-03,1876196,Insider_MSFT_2026_7,Director,True,False,False,M,A,3200.0,435.77,1394464.0,32000.0,D,False,False,0000789019-26-000007
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2025-12-17,2025-12-16,1695618,Insider_MSFT_2025_1,Chief Operating Officer,False,True,False,P,A,4600.0,151.26,695796.0,69000.0,D,True,False,0000789019-25-000001
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2025-11-09,2025-11-08,1829927,Insider_MSFT_2025_4,Chief Executive Officer,False,True,False,S,D,4600.0,444.5,2044700.0,165600.0,D,False,True,0000789019-25-000004
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2025-10-17,2025-10-16,1396711,Insider_MSFT_2025_5,General Counsel,False,False,False,P,A,2100.0,363.6,763560.0,23100.0,D,True,False,0000789019-25-000005
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2025-07-08,2025-07-07,1578340,Insider_MSFT_2025_2,Chief Operating Officer,False,True,False,P,A,3100.0,292.55,906905.0,43400.0,D,True,False,0000789019-25-000002
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2025-07-02,2025-07-01,1593857,Insider_MSFT_2025_6,Chief Operating Officer,False,True,False,S,D,2000.0,268.48,536960.0,28000.0,D,False,True,0000789019-25-000006
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2025-06-29,2025-06-28,1789826,Insider_MSFT_2025_3,Director,True,False,False,P,A,500.0,421.48,210740.0,10000.0,D,True,False,0000789019-25-000003
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2025-06-16,2025-06-15,1999999,MSFT_CFO_Conviction,Chief Financial Officer,True,True,False,P,A,5000.0,129.48,647400.0,500000.0,D,True,False,0000789019-25-99999CFO
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2025-06-16,2025-06-15,1999999,MSFT_CEO_Conviction,Chief Executive Officer,True,True,False,P,A,5000.0,105.13,525650.0,500000.0,D,True,False,0000789019-25-99999CEO
MSFT,Microsoft Corporation,789019,Information Technology,Software - Infrastructure,2024-11-19,2024-11-18,1886844,Insider_MSFT_2024_1,Chief Operating Officer,False,True,False,A,A,3500.0,441.98,1546930.0,80500.0,D,False,False,0000789019-24-000001
