ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2026-08-05,2026-08-04,1826467,Insider_ORCL_2026_4,Director,True,False,False,S,D,4700.0,82.79,389113.0,47000.0,D,False,True,0001341439-26-000004
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2026-06-19,2026-06-18,1800357,Insider_ORCL_2026_3,Director,True,False,False,P,A,4100.0,150.89,618649.0,200900.0,D,True,False,0001341439-26-000003
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2026-04-15,2026-04-14,1399381,Insider_ORCL_2026_5,Chief Financial Officer,False,True,False,S,D,4600.0,310.48,1428208.0,105800.0,D,False,True,0001341439-26-000005
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2026-02-12,2026-02-11,1671489,Insider_ORCL_2026_1,Chief Executive Officer,False,True,False,P,A,900.0,94.97,85473.0,40500.0,D,True,False,0001341439-26-000001
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2026-01-06,2026-01-05,1285412,Insider_ORCL_2026_2,Chief Financial Officer,False,True,False,M,A,1400.0,334.29,468006.0,19600.0,D,False,False,0001341439-26-000002
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2025-11-26,2025-11-25,1173822,Insider_ORCL_2025_3,Chief Financial Officer,False,True,False,M,A,1600.0,246.02,393632.0,59200.0,D,False,False,0001341439-25-000003
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2025-09-05,2025-09-04,1271538,Insider_ORCL_2025_2,Chief Executive Officer,False,True,False,P,A,2300.0,319.42,734666.0,101200.0,D,True,False,0001341439-25-000002
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2025-06-17,2025-06-16,1977576,Insider_ORCL_2025_1,General Counsel,False,False,False,M,A,1500.0,365.38,548070.0,51000.0,D,False,False,0001341439-25-000001
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2025-04-10,2025-04-09,1505936,Insider_ORCL_2025_4,General Counsel,False,False,False,P,A,1500.0,401.95,602925.0,39000.0,D,True,False,0001341439-25-000004
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2025-01-14,2025-01-13,1824507,Insider_ORCL_2025_5,Chief Financial Officer,False,True,False,A,A,4700.0,285.98,1344106.0,98700.0,D,False,False,0001341439-25-000005
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2025-01-10,2025-01-09,1546853,Insider_ORCL_2025_6,Director,True,False,False,M,A,4300.0,422.24,1815632.0,150500.0,D,False,False,0001341439-25-000006
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-12-23,2024-12-22,1767134,Insider_ORCL_2024_1,Chief Financial Officer,False,True,False,P,A,800.0,353.88,283104.0,38400.0,D,True,False,0001341439-24-000001
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-11-01,2024-10-31,1145107,Insider_ORCL_2024_14,Director,True,False,False,P,A,2800.0,344.77,965356.0,120400.0,D,True,False,0001341439-24-000014
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-10-05,2024-10-04,1945497,Insider_ORCL_2024_5,Chief Operating Officer,False,True,False,P,A,2900.0,206.97,600213.0,142100.0,D,True,False,0001341439-24-000005
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-09-06,2024-09-05,1753660,Insider_ORCL_2024_4,Executive Vice President,False,True,False,S,D,1000.0,328.16,328160.0,42000.0,D,False,True,0001341439-24-000004
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-09-03,2024-09-02,1243832,Insider_ORCL_2024_7,Chief Executive Officer,False,True,False,S,D,600.0,131.31,78786.0,29400.0,D,False,True,0001341439-24-000007
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-08-20,2024-08-19,1592567,Insider_ORCL_2024_11,Director,True,False,False,S,D,3300.0,130.1,429330.0,59400.0,D,False,True,0001341439-24-000011
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-07-19,2024-07-18,1582335,Insider_ORCL_2024_10,Director,True,False,False,P,A,4600.0,175.49,807254.0,96600.0,D,True,False,0001341439-24-000010
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-06-09,2024-06-08,1417340,Insider_ORCL_2024_13,Chief Operating Officer,False,True,False,P,A,4500.0,203.44,915480.0,103500.0,D,True,False,0001341439-24-000013
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-06-09,2024-06-08,1286117,Insider_ORCL_2024_3,Chief Operating Officer,False,True,False,S,D,5000.0,205.27,1026350.0,60000.0,D,False,True,0001341439-24-000003
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-06-07,2024-06-06,1940188,Insider_ORCL_2024_9,General Counsel,False,False,False,S,D,800.0,171.01,136808.0,21600.0,D,False,True,0001341439-24-000009
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-06-03,2024-06-02,1611777,Insider_ORCL_2024_6,Chief Financial Officer,False,True,False,M,A,3700.0,138.81,513597.0,181300.0,D,False,False,0001341439-24-000006
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-05-29,2024-05-28,1288904,Insider_ORCL_2024_2,Director,True,False,False,P,A,1700.0,293.55,499035.0,73100.0,D,True,False,0001341439-24-000002
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-03-08,2024-03-07,1541025,Insider_ORCL_2024_8,Chief Financial Officer,False,True,False,S,D,3100.0,140.14,434434.0,124000.0,D,False,True,0001341439-24-000008
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2024-02-11,2024-02-10,1827364,Insider_ORCL_2024_12,Chief Operating Officer,False,True,False,M,A,1100.0,153.21,168531.0,13200.0,D,False,False,0001341439-24-000012
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-11-27,2023-11-26,1156997,Insider_ORCL_2023_10,General Counsel,False,False,False,S,D,4000.0,266.58,1066320.0,48000.0,D,False,True,0001341439-23-000010
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-11-25,2023-11-24,1102931,Insider_ORCL_2023_9,Chief Executive Officer,False,True,False,S,D,4200.0,400.56,1682352.0,84000.0,D,False,True,0001341439-23-000009
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-11-06,2023-11-05,1611204,Insider_ORCL_2023_11,Chief Executive Officer,False,True,False,S,D,4200.0,226.55,951510.0,210000.0,D,False,True,0001341439-23-000011
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-10-21,2023-10-20,1583700,Insider_ORCL_2023_7,Executive Vice President,False,True,False,M,A,4900.0,220.83,1082067.0,98000.0,D,False,False,0001341439-23-000007
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-08-14,2023-08-13,1132548,Insider_ORCL_2023_12,Chief Executive Officer,False,True,False,P,A,4800.0,223.47,1072656.0,48000.0,D,True,False,0001341439-23-000012
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-08-14,2023-08-13,1613422,Insider_ORCL_2023_5,Director,True,False,False,P,A,2700.0,164.85,445095.0,56700.0,D,True,False,0001341439-23-000005
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-07-27,2023-07-26,1758916,Insider_ORCL_2023_3,Director,True,False,False,P,A,2200.0,221.25,486750.0,28600.0,D,True,False,0001341439-23-000003
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-07-02,2023-07-01,1100662,Insider_ORCL_2023_1,Chief Executive Officer,False,True,False,P,A,2800.0,189.0,529200.0,134400.0,D,True,False,0001341439-23-000001
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-06-24,2023-06-23,1239391,Insider_ORCL_2023_8,Chief Financial Officer,False,True,False,P,A,3000.0,395.72,1187160.0,105000.0,D,True,False,0001341439-23-000008
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-03-02,2023-03-01,1781738,Insider_ORCL_2023_13,Chief Operating Officer,False,True,False,P,A,1600.0,394.28,630848.0,80000.0,D,True,False,0001341439-23-000013
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-02-26,2023-02-25,1592541,Insider_ORCL_2023_6,General Counsel,False,False,False,A,A,2600.0,230.87,600262.0,80600.0,D,False,False,0001341439-23-000006
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-02-22,2023-02-21,1616333,Insider_ORCL_2023_2,Chief Operating Officer,False,True,False,M,A,4000.0,206.45,825800.0,200000.0,D,False,False,0001341439-23-000002
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2023-02-06,2023-02-05,1879638,Insider_ORCL_2023_4,Executive Vice President,False,True,False,M,A,2100.0,179.69,377349.0,81900.0,D,False,False,0001341439-23-000004
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-12-18,2022-12-17,1990242,Insider_ORCL_2022_4,Chief Financial Officer,False,True,False,S,D,2300.0,393.89,905947.0,94300.0,D,False,True,0001341439-22-000004
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-12-08,2022-12-07,1673430,Insider_ORCL_2022_3,Chief Executive Officer,False,True,False,S,D,3000.0,197.51,592530.0,60000.0,D,False,True,0001341439-22-000003
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-11-18,2022-11-17,1220714,Insider_ORCL_2022_9,General Counsel,False,False,False,P,A,2300.0,180.24,414552.0,110400.0,D,True,False,0001341439-22-000009
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-09-29,2022-09-28,1361346,Insider_ORCL_2022_13,Director,True,False,False,P,A,1800.0,56.98,102564.0,21600.0,D,True,False,0001341439-22-000013
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-09-29,2022-09-28,1511890,Insider_ORCL_2022_14,Chief Operating Officer,False,True,False,S,D,1200.0,154.06,184872.0,49200.0,D,False,True,0001341439-22-000014
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-08-28,2022-08-27,1352853,Insider_ORCL_2022_12,Director,True,False,False,P,A,900.0,370.41,333369.0,13500.0,D,True,False,0001341439-22-000012
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-08-16,2022-08-15,1275395,Insider_ORCL_2022_11,Chief Operating Officer,False,True,False,S,D,3400.0,221.77,754018.0,54400.0,D,False,True,0001341439-22-000011
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-08-02,2022-08-01,1932942,Insider_ORCL_2022_6,Chief Executive Officer,False,True,False,S,D,2500.0,203.06,507650.0,97500.0,D,False,True,0001341439-22-000006
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-07-08,2022-07-07,1807450,Insider_ORCL_2022_1,Chief Financial Officer,False,True,False,P,A,3600.0,429.72,1546992.0,79200.0,D,True,False,0001341439-22-000001
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-06-19,2022-06-18,1251501,Insider_ORCL_2022_7,Executive Vice President,False,True,False,P,A,3200.0,403.16,1290112.0,80000.0,D,True,False,0001341439-22-000007
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-06-18,2022-06-17,1717523,Insider_ORCL_2022_8,Chief Financial Officer,False,True,False,M,A,2200.0,246.47,542234.0,39600.0,D,False,False,0001341439-22-000008
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-05-08,2022-05-07,1935262,Insider_ORCL_2022_2,Director,True,False,False,P,A,2200.0,347.34,764148.0,48400.0,D,True,False,0001341439-22-000002
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-02-16,2022-02-15,1464476,Insider_ORCL_2022_10,Executive Vice President,False,True,False,P,A,1400.0,154.7,216580.0,70000.0,D,True,False,0001341439-22-000010
ORCL,Oracle Corporation,1341439,Information Technology,Software - Infrastructure,2022-02-12,2022-02-11,1468256,Insider_ORCL_2022_5,Director,True,False,False,S,D,3000.0,353.93,1061790.0,105000.0,D,False,True,0001341439-22-000005
ORCL,Oracle Corporation,0001341439,Information Technology,Software - Infrastructure,2021-09-07,2021-09-06,0001234365,Insider_ORCL_2021_5,Chief Financial Officer,False,True,False,S,D,500.0,134.18,67090.0,18500.0,D,False,True,0001341439-21-000005
ORCL,Oracle Corporation,0001341439,Information Technology,Software - Infrastructure,2021-08-08,2021-08-07,0001607948,Insider_ORCL_2021_3,Director,True,False,False,P,A,3300.0,207.22,683826.0,39600.0,D,True,False,0001341439-21-000003
ORCL,Oracle Corporation,0001341439,Information Technology,Software - Infrastructure,2021-04-08,2021-04-07,0001893909,Insider_ORCL_2021_2,General Counsel,False,False,False,P,A,1500.0,423.92,635880.0,25500.0,D,True,False,0001341439-21-000002
ORCL,Oracle Corporation,0001341439,Information Technology,Software - Infrastructure,2021-03-02,2021-03-01,0001487282,Insider_ORCL_2021_1,General Counsel,False,False,False,P,A,3500.0,178.22,623770.0,42000.0,D,True,False,0001341439-21-000001
ORCL,Oracle Corporation,0001341439,Information Technology,Software - Infrastructure,2021-01-25,2021-01-24,0001113442,Insider_ORCL_2021_4,Chief Operating Officer,False,True,False,M,A,800.0,157.0,125600.0,8000.0,D,False,False,0001341439-21-000004
