ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2026-07-23,2026-07-22,1601801,Insider_PANW_2026_5,Director,True,False,False,S,D,4600.0,110.26,507196.0,142600.0,D,False,True,0001326801-26-000005
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2026-07-18,2026-07-17,1124248,Insider_PANW_2026_8,Director,True,False,False,P,A,2600.0,358.54,932204.0,72800.0,D,True,False,0001326801-26-000008
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2026-05-05,2026-05-04,1373998,Insider_PANW_2026_4,Director,True,False,False,P,A,1900.0,169.95,322905.0,22800.0,D,True,False,0001326801-26-000004
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2026-04-18,2026-04-17,1825992,Insider_PANW_2026_1,Chief Executive Officer,False,True,False,S,D,800.0,250.7,200560.0,28800.0,D,False,True,0001326801-26-000001
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2026-02-22,2026-02-21,1873997,Insider_PANW_2026_2,Chief Operating Officer,False,True,False,M,A,4000.0,397.03,1588120.0,192000.0,D,False,False,0001326801-26-000002
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2026-01-28,2026-01-27,1454851,Insider_PANW_2026_7,Chief Executive Officer,False,True,False,P,A,4800.0,261.25,1254000.0,81600.0,D,True,False,0001326801-26-000007
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2026-01-19,2026-01-18,1194852,Insider_PANW_2026_6,General Counsel,False,False,False,P,A,4700.0,89.47,420509.0,183300.0,D,True,False,0001326801-26-000006
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2026-01-12,2026-01-11,1125945,Insider_PANW_2026_3,Chief Financial Officer,False,True,False,A,A,3200.0,212.87,681184.0,83200.0,D,False,False,0001326801-26-000003
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2025-12-05,2025-12-04,1691986,Insider_PANW_2025_3,Chief Executive Officer,False,True,False,P,A,600.0,78.52,47112.0,17400.0,D,True,False,0001326801-25-000003
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2025-12-01,2025-11-30,1617650,Insider_PANW_2025_1,Director,True,False,False,M,A,1300.0,158.54,206102.0,35100.0,D,False,False,0001326801-25-000001
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2025-10-21,2025-10-20,1147243,Insider_PANW_2025_4,Executive Vice President,False,True,False,P,A,3100.0,311.54,965774.0,37200.0,D,True,False,0001326801-25-000004
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2025-09-26,2025-09-25,1905931,Insider_PANW_2025_5,Executive Vice President,False,True,False,A,A,4400.0,72.07,317108.0,206800.0,D,False,False,0001326801-25-000005
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2025-03-08,2025-03-07,1823919,Insider_PANW_2025_2,Chief Executive Officer,False,True,False,P,A,4500.0,180.06,810270.0,103500.0,D,True,False,0001326801-25-000002
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2024-11-17,2024-11-16,1138853,Insider_PANW_2024_2,Chief Executive Officer,False,True,False,P,A,4800.0,240.02,1152096.0,148800.0,D,True,False,0001326801-24-000002
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2024-05-16,2024-05-15,1488272,Insider_PANW_2024_4,Director,True,False,False,P,A,3600.0,348.22,1253592.0,108000.0,D,True,False,0001326801-24-000004
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2024-04-25,2024-04-24,1660792,Insider_PANW_2024_3,Executive Vice President,False,True,False,P,A,3000.0,97.82,293460.0,36000.0,D,True,False,0001326801-24-000003
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2024-03-30,2024-03-29,1423417,Insider_PANW_2024_1,Director,True,False,False,P,A,500.0,322.6,161300.0,5000.0,D,True,False,0001326801-24-000001
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2023-12-17,2023-12-16,1911644,Insider_PANW_2023_9,Chief Operating Officer,False,True,False,P,A,3300.0,104.13,343629.0,79200.0,D,True,False,0001326801-23-000009
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2023-11-06,2023-11-05,1477103,Insider_PANW_2023_1,Executive Vice President,False,True,False,S,D,4500.0,178.73,804285.0,184500.0,D,False,True,0001326801-23-000001
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2023-09-15,2023-09-14,1242294,Insider_PANW_2023_11,Executive Vice President,False,True,False,A,A,5000.0,64.04,320200.0,210000.0,D,False,False,0001326801-23-000011
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2023-08-30,2023-08-29,1416377,Insider_PANW_2023_12,Director,True,False,False,M,A,4300.0,147.82,635626.0,60200.0,D,False,False,0001326801-23-000012
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2023-07-25,2023-07-24,1872088,Insider_PANW_2023_4,Director,True,False,False,S,D,1400.0,148.68,208152.0,14000.0,D,False,True,0001326801-23-000004
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2023-06-05,2023-06-04,1658307,Insider_PANW_2023_8,General Counsel,False,False,False,S,D,3700.0,219.08,810596.0,122100.0,D,False,True,0001326801-23-000008
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2023-04-29,2023-04-28,1597811,Insider_PANW_2023_6,General Counsel,False,False,False,P,A,3900.0,63.25,246675.0,97500.0,D,True,False,0001326801-23-000006
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2023-04-28,2023-04-27,1659754,Insider_PANW_2023_3,Chief Operating Officer,False,True,False,A,A,4600.0,76.92,353832.0,69000.0,D,False,False,0001326801-23-000003
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2023-02-15,2023-02-14,1527948,Insider_PANW_2023_5,Executive Vice President,False,True,False,P,A,4600.0,148.9,684940.0,179400.0,D,True,False,0001326801-23-000005
PANW,Palo Alto Networks Inc.,1326801,Information Technology,Software - Infrastructure,2023-01-26,2023-01-25,1370676,Insider_PANW_2023_2,Chief Financial Officer,False,True,False,A,A,3200.0,259.27,829664.0,96000.0,D,False,False,0001326801-23-000002
