ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2026-08-06,2026-08-05,1143798,Insider_SPG_2026_3,Executive Vice President,False,True,False,P,A,4400.0,405.78,1785432.0,154000.0,D,True,False,0000906345-26-000003
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2026-08-05,2026-08-04,1293501,Insider_SPG_2026_1,Director,True,False,False,S,D,3800.0,389.1,1478580.0,133000.0,D,False,True,0000906345-26-000001
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2026-07-22,2026-07-21,1845098,Insider_SPG_2026_4,Chief Financial Officer,False,True,False,S,D,1600.0,279.78,447648.0,36800.0,D,False,True,0000906345-26-000004
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2026-07-12,2026-07-11,1898978,Insider_SPG_2026_8,Chief Financial Officer,False,True,False,M,A,800.0,397.73,318184.0,24800.0,D,False,False,0000906345-26-000008
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2026-04-29,2026-04-28,1980698,Insider_SPG_2026_9,Chief Operating Officer,False,True,False,S,D,1000.0,422.18,422180.0,31000.0,D,False,True,0000906345-26-000009
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2026-04-27,2026-04-26,1228298,Insider_SPG_2026_5,Director,True,False,False,M,A,2900.0,256.28,743212.0,78300.0,D,False,False,0000906345-26-000005
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2026-03-31,2026-03-30,1309846,Insider_SPG_2026_7,Chief Financial Officer,False,True,False,S,D,2100.0,297.87,625527.0,60900.0,D,False,True,0000906345-26-000007
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2026-01-17,2026-01-16,1625628,Insider_SPG_2026_6,Director,True,False,False,P,A,2700.0,91.69,247563.0,54000.0,D,True,False,0000906345-26-000006
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2026-01-12,2026-01-11,1581597,Insider_SPG_2026_2,Chief Operating Officer,False,True,False,M,A,3200.0,233.04,745728.0,48000.0,D,False,False,0000906345-26-000002
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-12-07,2025-12-06,1310140,Insider_SPG_2025_3,Director,True,False,False,S,D,3900.0,339.8,1325220.0,183300.0,D,False,True,0000906345-25-000003
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-12-02,2025-12-01,1767922,Insider_SPG_2025_9,Executive Vice President,False,True,False,S,D,500.0,57.55,28775.0,22500.0,D,False,True,0000906345-25-000009
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-11-19,2025-11-18,1454802,Insider_SPG_2025_5,Director,True,False,False,M,A,2400.0,237.43,569832.0,84000.0,D,False,False,0000906345-25-000005
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-11-10,2025-11-09,1551496,Insider_SPG_2025_2,Director,True,False,False,P,A,900.0,403.34,363006.0,15300.0,D,True,False,0000906345-25-000002
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-10-09,2025-10-08,1834458,Insider_SPG_2025_10,Chief Executive Officer,False,True,False,S,D,3900.0,50.51,196989.0,163800.0,D,False,True,0000906345-25-000010
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-09-06,2025-09-05,1938524,Insider_SPG_2025_8,Chief Operating Officer,False,True,False,M,A,2900.0,332.76,965004.0,95700.0,D,False,False,0000906345-25-000008
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-08-11,2025-08-10,1772432,Insider_SPG_2025_11,Chief Financial Officer,False,True,False,S,D,500.0,312.64,156320.0,6000.0,D,False,True,0000906345-25-000011
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-08-02,2025-08-01,1846736,Insider_SPG_2025_4,Chief Operating Officer,False,True,False,S,D,4000.0,304.09,1216360.0,88000.0,D,False,True,0000906345-25-000004
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-06-30,2025-06-29,1579037,Insider_SPG_2025_1,Director,True,False,False,M,A,4100.0,86.01,352641.0,53300.0,D,False,False,0000906345-25-000001
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-05-22,2025-05-21,1682317,Insider_SPG_2025_14,Chief Operating Officer,False,True,False,S,D,4000.0,356.1,1424400.0,44000.0,D,False,True,0000906345-25-000014
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-03-18,2025-03-17,1490147,Insider_SPG_2025_13,Chief Financial Officer,False,True,False,S,D,3600.0,448.88,1615968.0,122400.0,D,False,True,0000906345-25-000013
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-03-10,2025-03-09,1739314,Insider_SPG_2025_12,Chief Financial Officer,False,True,False,P,A,2900.0,431.87,1252423.0,69600.0,D,True,False,0000906345-25-000012
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-02-19,2025-02-18,1228510,Insider_SPG_2025_7,General Counsel,False,False,False,S,D,500.0,420.15,210075.0,23000.0,D,False,True,0000906345-25-000007
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2025-02-10,2025-02-09,1773786,Insider_SPG_2025_6,Director,True,False,False,S,D,4000.0,233.19,932760.0,168000.0,D,False,True,0000906345-25-000006
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2024-10-21,2024-10-20,1267395,Insider_SPG_2024_8,Executive Vice President,False,True,False,P,A,1900.0,414.74,788006.0,79800.0,D,True,False,0000906345-24-000008
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2024-09-15,2024-09-14,1637800,Insider_SPG_2024_10,Chief Executive Officer,False,True,False,M,A,2300.0,292.67,673141.0,64400.0,D,False,False,0000906345-24-000010
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2024-07-26,2024-07-25,1547991,Insider_SPG_2024_12,Chief Operating Officer,False,True,False,S,D,3100.0,407.98,1264738.0,96100.0,D,False,True,0000906345-24-000012
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2024-07-24,2024-07-23,1166063,Insider_SPG_2024_2,Director,True,False,False,A,A,2900.0,153.03,443787.0,113100.0,D,False,False,0000906345-24-000002
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2024-07-15,2024-07-14,1662403,Insider_SPG_2024_3,General Counsel,False,False,False,M,A,700.0,143.0,100100.0,18900.0,D,False,False,0000906345-24-000003
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2024-06-14,2024-06-13,1559528,Insider_SPG_2024_6,Chief Operating Officer,False,True,False,S,D,600.0,73.1,43860.0,11400.0,D,False,True,0000906345-24-000006
SPG,Simon Property Group Inc.,906345,Real Estate,REIT - Retail,2024-06-09,2024-06-08,1868162,Insider_SPG_2024_4,General Counsel,False,False,False,S,D,3500.0,260.68,912380.0,56000.0,D,False,True,0000906345-24-000004
