ticker,company_name,cik,sector,industry,filing_date,transaction_date,reporting_owner_cik,reporting_owner_name,officer_title,is_director,is_officer,is_ten_percent_owner,transaction_code,acquired_disposed_code,shares,price_per_share,total_value,shares_owned_following,direct_or_indirect,is_open_market_buy,is_open_market_sell,accession_number
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-06-28,2026-06-27,1107496,Insider_AMT_2026_9,Chief Executive Officer,False,True,False,P,A,2900.0,308.34,894186.0,55100.0,D,True,False,0001053507-26-000009
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-06-25,2026-06-24,1445411,Insider_AMT_2026_4,Director,True,False,False,S,D,2100.0,212.55,446355.0,63000.0,D,False,True,0001053507-26-000004
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-05-24,2026-05-23,1411864,Insider_AMT_2026_3,Chief Operating Officer,False,True,False,M,A,2200.0,362.65,797830.0,30800.0,D,False,False,0001053507-26-000003
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-05-03,2026-05-02,1623608,Insider_AMT_2026_2,Chief Executive Officer,False,True,False,P,A,4200.0,274.15,1151430.0,205800.0,D,True,False,0001053507-26-000002
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-05-02,2026-05-01,1685790,Insider_AMT_2026_6,Director,True,False,False,S,D,4400.0,304.24,1338656.0,202400.0,D,False,True,0001053507-26-000006
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-04-12,2026-04-11,1118719,Insider_AMT_2026_12,Executive Vice President,False,True,False,S,D,2700.0,74.16,200232.0,86400.0,D,False,True,0001053507-26-000012
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-04-07,2026-04-06,1732976,Insider_AMT_2026_5,Chief Executive Officer,False,True,False,S,D,2400.0,340.75,817800.0,79200.0,D,False,True,0001053507-26-000005
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-03-21,2026-03-20,1628853,Insider_AMT_2026_1,Chief Operating Officer,False,True,False,S,D,2600.0,70.7,183820.0,109200.0,D,False,True,0001053507-26-000001
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-03-18,2026-03-17,1150483,Insider_AMT_2026_13,Chief Financial Officer,False,True,False,P,A,2300.0,108.21,248883.0,92000.0,D,True,False,0001053507-26-000013
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-03-05,2026-03-04,1148572,Insider_AMT_2026_8,Director,True,False,False,S,D,500.0,263.63,131815.0,21500.0,D,False,True,0001053507-26-000008
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-02-17,2026-02-16,1594983,Insider_AMT_2026_11,Director,True,False,False,S,D,3900.0,123.31,480909.0,128700.0,D,False,True,0001053507-26-000011
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-01-28,2026-01-27,1448971,Insider_AMT_2026_10,Director,True,False,False,S,D,3400.0,224.96,764864.0,139400.0,D,False,True,0001053507-26-000010
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2026-01-04,2026-01-03,1224707,Insider_AMT_2026_7,Director,True,False,False,P,A,2900.0,113.5,329150.0,46400.0,D,True,False,0001053507-26-000007
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2025-11-16,2025-11-15,1183833,Insider_AMT_2025_3,Chief Operating Officer,False,True,False,P,A,4200.0,338.6,1422120.0,172200.0,D,True,False,0001053507-25-000003
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2025-11-09,2025-11-08,1429689,Insider_AMT_2025_5,General Counsel,False,False,False,S,D,3200.0,253.2,810240.0,137600.0,D,False,True,0001053507-25-000005
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2025-10-18,2025-10-17,1760980,Insider_AMT_2025_2,General Counsel,False,False,False,M,A,3000.0,287.43,862290.0,108000.0,D,False,False,0001053507-25-000002
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2025-09-19,2025-09-18,1758701,Insider_AMT_2025_8,Executive Vice President,False,True,False,M,A,2000.0,92.74,185480.0,74000.0,D,False,False,0001053507-25-000008
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2025-06-01,2025-05-31,1266096,Insider_AMT_2025_1,General Counsel,False,False,False,M,A,2800.0,411.47,1152116.0,95200.0,D,False,False,0001053507-25-000001
AMT,American Tower Corporation,1053507,Real Estate,REIT - Telecom Tower,2025-05-31,2025-05-30,1955780,Insider_AMT_2025_7,General Counsel,False,False,False,S,D,1700.0,324.78,552126.0,69700.0,D,False,True,0001053507-25-000007
