date,open,high,low,close,volume,adjusted_close
2021-01-04,134.03,134.2,132.76,133.48,7965678,133.48
2021-01-05,132.7,133.16,130.62,131.89,9800712,131.89
2021-01-06,133.79,134.88,132.4,133.64,7060606,133.64
2021-01-07,133.06,134.25,131.35,132.8,6390289,132.8
2021-01-08,131.22,131.48,129.72,130.6,9394155,130.6
2021-01-11,133.28,134.71,132.73,133.72,9280818,133.72
2021-01-12,132.29,133.79,131.07,132.43,8981875,132.43
2021-01-13,133.21,134.81,132.79,133.8,2592571,133.8
2021-01-14,134.69,135.52,134.24,134.88,3585065,134.88
2021-01-15,135.94,136.68,135.48,136.08,2712908,136.08
2021-01-19,134.2,134.94,133.78,134.36,5036906,134.36
2021-01-20,133.93,134.2,132.54,133.37,8079594,133.37
2021-01-21,132.63,133.67,131.01,132.34,9905171,132.34
2021-01-22,137.59,139.27,136.33,137.8,2618433,137.8
2021-01-25,134.14,135.23,133.89,134.56,2909369,134.56
2021-01-26,136.94,137.81,135.79,136.8,6564767,136.8
2021-01-27,138.55,139.28,137.3,138.29,6167413,138.29
2021-01-28,136.35,137.17,135.13,136.15,4821970,136.15
2021-01-29,133.32,134.52,132.3,133.41,3746836,133.41
2021-02-01,135.4,136.14,134.66,135.4,7868280,135.4
2021-02-02,133.36,134.79,132.83,133.81,1811217,133.81
2021-02-03,138.26,139.34,137.84,138.59,8742978,138.59
2021-02-04,134.98,135.27,132.61,133.94,3926319,133.94
2021-02-05,137.23,137.5,136.14,136.82,8170470,136.82
2021-02-08,139.72,141.39,139.27,140.33,2851371,140.33
2021-02-09,135.1,135.98,133.84,134.91,6430529,134.91
2021-02-10,136.94,139.38,136.58,137.98,3525923,137.98
2021-02-11,138.97,139.84,137.6,138.72,6763331,138.72
2021-02-12,137.86,139.58,136.66,138.12,7187231,138.12
2021-02-16,139.17,140.79,138.37,139.58,2229943,139.58
2021-02-17,141.01,141.57,139.75,140.66,5020299,140.66
2021-02-18,136.06,136.82,135.1,135.96,3075246,135.96
2021-02-19,140.71,142.64,139.58,141.11,3616587,141.11
2021-02-22,135.88,137.93,135.57,136.75,4877443,136.75
2021-02-23,141.0,141.9,139.46,140.68,5844293,140.68
2021-02-24,140.98,141.21,139.91,140.56,4462712,140.56
2021-02-25,139.17,140.65,138.89,139.77,2127046,139.77
2021-02-26,136.48,137.77,134.83,136.3,2425086,136.3
2021-03-01,142.06,143.27,141.07,142.17,5158675,142.17
2021-03-02,139.92,140.44,138.26,139.35,7355426,139.35
2021-03-03,142.89,143.96,140.72,142.34,2078697,142.34
2021-03-04,137.9,138.26,135.86,137.06,7672395,137.06
2021-03-05,141.74,142.91,140.47,141.69,4315642,141.69
2021-03-08,138.22,138.46,137.2,137.83,2109511,137.83
2021-03-09,141.39,144.09,141.09,142.59,8808080,142.59
2021-03-10,137.76,139.8,137.34,138.57,2946647,138.57
2021-03-11,136.79,139.1,136.44,137.77,9015363,137.77
2021-03-12,140.81,141.37,140.21,140.79,9935802,140.79
2021-03-15,143.13,144.22,142.6,143.41,2227783,143.41
2021-03-16,139.59,140.17,138.59,139.38,6714533,139.38
2021-03-17,141.33,142.58,140.68,141.63,4465304,141.63
2021-03-18,143.41,145.32,143.12,144.22,6685523,144.22
2021-03-19,140.76,141.77,140.65,141.21,5882400,141.21
2021-03-22,142.59,143.7,141.6,142.65,2594117,142.65
2021-03-23,139.53,140.16,138.9,139.53,6113960,139.53
2021-03-24,142.19,142.87,141.17,142.02,7168290,142.02
2021-03-25,140.91,141.49,139.89,140.69,3118934,140.69
2021-03-26,140.38,142.37,139.57,140.97,7485619,140.97
2021-03-29,146.28,147.89,145.49,146.69,4445783,146.69
2021-03-30,142.25,144.71,141.51,143.11,7452493,143.11
2021-03-31,144.15,145.37,142.71,144.04,5980604,144.04
2021-04-01,146.32,147.46,145.88,146.67,5900978,146.67
2021-04-05,147.69,148.64,145.92,147.28,1724055,147.28
2021-04-06,144.5,146.46,143.98,145.22,9388091,145.22
2021-04-07,147.02,148.46,146.4,147.43,6267460,147.43
2021-04-08,142.8,143.15,140.81,141.98,8993035,141.98
2021-04-09,146.67,149.09,145.95,147.52,6881933,147.52
2021-04-12,147.05,148.87,146.19,147.53,9563302,147.53
2021-04-13,143.49,144.09,140.95,142.52,5590391,142.52
2021-04-14,145.55,146.01,142.75,144.38,3256796,144.38
2021-04-15,149.22,150.08,146.76,148.42,9532944,148.42
2021-04-16,141.39,143.69,140.85,142.27,6678569,142.27
2021-04-19,146.98,148.48,145.36,146.92,9095082,146.92
2021-04-20,145.47,146.75,145.15,145.95,4950330,145.95
2021-04-21,148.18,149.99,146.63,148.31,4601396,148.31
2021-04-22,148.73,149.65,147.65,148.65,6161404,148.65
2021-04-23,147.64,149.36,147.04,148.2,4996576,148.2
2021-04-26,148.35,149.73,147.31,148.52,5649233,148.52
2021-04-27,143.46,144.95,143.07,144.01,9526251,144.01
2021-04-28,144.4,145.13,142.69,143.91,6921740,143.91
2021-04-29,150.05,151.71,149.55,150.63,7157613,150.63
2021-04-30,150.02,150.7,148.1,149.4,7731744,149.4
2021-05-03,145.07,146.07,144.55,145.31,3964424,145.31
2021-05-04,147.53,147.99,145.31,146.65,4679353,146.65
2021-05-05,144.57,147.45,144.25,145.85,8233440,145.85
2021-05-06,148.9,149.16,146.96,148.06,8689518,148.06
2021-05-07,145.74,146.32,143.58,144.95,2838309,144.95
2021-05-10,149.27,150.21,148.85,149.53,7580261,149.53
2021-05-11,144.64,146.8,143.76,145.28,4436179,145.28
2021-05-12,151.6,152.11,150.07,151.09,7648705,151.09
2021-05-13,152.08,153.31,151.91,152.61,9226562,152.61
2021-05-14,147.69,149.23,146.53,147.88,9966353,147.88
2021-05-17,148.38,148.62,146.74,147.68,8950797,147.68
2021-05-18,153.34,154.29,152.23,153.26,4466204,153.26
2021-05-19,149.06,150.43,147.99,149.21,6775634,149.21
2021-05-20,148.65,149.71,146.67,148.19,4773575,148.19
2021-05-21,152.81,153.52,152.22,152.87,8859555,152.87
2021-05-24,152.22,153.54,151.82,152.68,8970733,152.68
2021-05-25,153.23,154.44,151.56,153.0,1562608,153.0
2021-05-26,151.53,151.8,149.74,150.77,9168957,150.77
2021-05-27,147.67,148.71,145.35,147.03,3247499,147.03
2021-05-28,148.02,148.84,146.2,147.52,2684299,147.52
2021-06-01,151.4,151.6,150.34,150.97,8276554,150.97
2021-06-02,148.84,150.13,147.61,148.87,3489639,148.87
2021-06-03,152.32,152.63,150.93,151.78,3135432,151.78
2021-06-04,152.05,152.96,150.9,151.93,2113006,151.93
2021-06-07,148.59,150.86,148.02,149.44,5540410,149.44
2021-06-08,152.02,152.75,151.51,152.13,5283151,152.13
2021-06-09,154.61,155.91,154.05,154.98,4001940,154.98
2021-06-10,150.01,151.79,149.21,150.5,7879541,150.5
2021-06-11,153.88,156.96,153.54,155.25,8159440,155.25
2021-06-14,148.62,150.29,147.91,149.1,2484980,149.1
2021-06-15,152.05,152.58,150.54,151.56,5069104,151.56
2021-06-16,156.66,156.91,155.45,156.18,1869913,156.18
2021-06-17,155.62,156.58,154.74,155.66,6311238,155.66
2021-06-18,152.65,153.71,151.55,152.63,9131161,152.63
2021-06-21,152.52,154.08,150.84,152.46,6223882,152.46
2021-06-22,151.38,152.66,149.3,150.98,4784692,150.98
2021-06-23,152.97,153.49,150.73,152.11,3112551,152.11
2021-06-24,153.88,155.97,153.65,154.81,2207120,154.81
2021-06-25,154.16,155.89,153.73,154.81,3396410,154.81
2021-06-28,151.77,152.66,150.18,151.42,4918134,151.42
2021-06-29,156.77,158.14,155.5,156.82,7171638,156.82
2021-06-30,155.89,158.78,155.42,157.1,7195684,157.1
2021-07-01,158.46,158.79,157.43,158.11,7835106,158.11
2021-07-02,155.47,155.76,153.82,154.79,8724795,154.79
2021-07-06,154.38,155.13,152.13,153.63,4168465,153.63
2021-07-07,153.64,154.11,151.49,152.8,4163192,152.8
2021-07-08,158.02,159.41,157.01,158.21,3267072,158.21
2021-07-09,159.43,160.13,156.81,158.47,2325029,158.47
2021-07-12,156.28,158.52,155.68,157.1,7119451,157.1
2021-07-13,154.8,155.54,153.08,154.31,7168380,154.31
2021-07-14,160.33,161.59,159.01,160.3,6194281,160.3
2021-07-15,156.27,158.29,155.27,156.78,2148663,156.78
2021-07-16,153.21,154.6,151.64,153.12,8450763,153.12
2021-07-19,155.52,156.1,153.34,154.72,6832149,154.72
2021-07-20,154.97,156.44,153.1,154.77,7605486,154.77
2021-07-21,157.71,158.1,156.04,157.07,4578151,157.07
2021-07-22,154.09,156.49,153.33,154.91,5498974,154.91
2021-07-23,155.8,157.92,154.98,156.45,2251058,156.45
2021-07-26,154.89,155.97,154.41,155.19,8605221,155.19
2021-07-27,155.81,157.44,155.08,156.26,6997221,156.26
2021-07-28,154.44,155.55,153.67,154.61,2744591,154.61
2021-07-29,159.62,161.49,157.83,159.66,7826199,159.66
2021-07-30,159.3,160.77,158.15,159.46,8882034,159.46
2021-08-02,155.69,156.76,155.12,155.94,9942425,155.94
2021-08-03,158.07,158.59,156.85,157.72,9805180,157.72
2021-08-04,154.3,157.26,153.74,155.5,6907846,155.5
2021-08-05,157.74,159.76,156.7,158.23,5961464,158.23
2021-08-06,158.65,159.17,156.13,157.65,3527913,157.65
2021-08-09,159.64,160.56,158.6,159.58,7718043,159.58
2021-08-10,155.81,157.72,155.42,156.57,9165367,156.57
2021-08-11,157.81,158.23,156.01,157.12,3137511,157.12
2021-08-12,160.34,160.82,158.8,159.81,5201746,159.81
2021-08-13,160.44,163.0,160.02,161.51,9268804,161.51
2021-08-16,156.83,157.73,156.09,156.91,8031475,156.91
2021-08-17,157.32,157.51,156.17,156.84,1514556,156.84
2021-08-18,164.69,165.28,163.3,164.29,3652940,164.29
2021-08-19,163.73,164.09,160.85,162.47,2113119,162.47
2021-08-20,158.45,159.08,157.24,158.16,7342136,158.16
2021-08-23,158.61,161.02,157.48,159.25,1962342,159.25
2021-08-24,162.32,164.25,161.77,163.01,8404572,163.01
2021-08-25,165.65,167.44,164.0,165.72,3904278,165.72
2021-08-26,157.98,160.74,157.46,159.1,8498326,159.1
2021-08-27,165.62,166.35,164.07,165.21,1796458,165.21
2021-08-30,164.66,166.41,164.33,165.37,6931846,165.37
2021-08-31,164.62,166.56,164.4,165.48,7970000,165.48
2021-09-01,164.17,165.35,163.91,164.63,6310808,164.63
2021-09-02,164.5,166.59,164.27,165.43,5164960,165.43
2021-09-03,160.38,160.7,158.02,159.36,1929038,159.36
2021-09-07,165.02,167.1,164.74,165.92,9479362,165.92
2021-09-08,164.47,165.26,162.44,163.85,7170142,163.85
2021-09-09,164.72,165.55,162.57,164.06,4552702,164.06
2021-09-10,161.69,162.07,160.33,161.2,5318228,161.2
2021-09-13,163.32,164.2,160.7,162.45,3994385,162.45
2021-09-14,161.82,162.82,161.28,162.05,5537065,162.05
2021-09-15,168.82,169.29,166.55,167.92,9494633,167.92
2021-09-16,166.41,168.02,164.66,166.34,6300122,166.34
2021-09-17,166.28,167.25,164.95,166.1,8132608,166.1
2021-09-20,165.53,166.94,164.66,165.8,9994908,165.8
2021-09-21,164.55,165.2,161.58,163.39,4994792,163.39
2021-09-22,161.84,162.99,161.49,162.24,3637613,162.24
2021-09-23,168.32,170.35,167.23,168.79,1918905,168.79
2021-09-24,165.04,167.17,163.95,165.56,7310664,165.56
2021-09-27,161.86,162.89,161.05,161.97,6073234,161.97
2021-09-28,168.58,170.99,168.25,169.62,7656082,169.62
2021-09-29,162.37,164.91,161.57,163.24,6008174,163.24
2021-09-30,166.58,167.38,165.16,166.27,7758854,166.27
2021-10-01,164.02,164.72,162.88,163.8,8497332,163.8
2021-10-04,164.57,166.09,162.93,164.51,6762362,164.51
2021-10-05,163.62,165.43,162.77,164.1,9946582,164.1
2021-10-06,165.96,167.3,164.44,165.87,9939643,165.87
2021-10-07,167.37,167.56,166.1,166.83,9830557,166.83
2021-10-08,171.47,172.03,168.55,170.29,5468474,170.29
2021-10-11,167.06,169.29,166.39,167.84,1694893,167.84
2021-10-12,168.32,168.87,166.39,167.63,6058068,167.63
2021-10-13,166.09,168.24,164.54,166.39,8286592,166.39
2021-10-14,165.09,166.58,163.4,164.99,8811563,164.99
2021-10-15,164.69,166.14,164.28,165.21,8641532,165.21
2021-10-18,169.77,171.03,168.23,169.63,3897085,169.63
2021-10-19,169.78,172.37,169.43,170.9,2480242,170.9
2021-10-20,165.67,166.87,165.49,166.18,2514803,166.18
2021-10-21,165.15,167.18,164.76,165.97,1860966,165.97
2021-10-22,172.94,173.85,171.63,172.74,3373249,172.74
2021-10-25,167.97,168.2,166.4,167.3,5799277,167.3
2021-10-26,168.55,169.48,166.28,167.88,8073261,167.88
2021-10-27,173.81,174.71,171.99,173.35,6813977,173.35
2021-10-28,170.87,172.9,169.96,171.43,6846741,171.43
2021-10-29,169.11,170.48,167.8,169.14,4433879,169.14
2021-11-01,170.12,171.23,169.01,170.12,7266200,170.12
