date,open,high,low,close,volume,adjusted_close
2021-01-04,111.55,112.0,110.88,111.44,4406770,111.44
2021-01-05,111.41,113.0,110.62,111.81,6828183,111.81
2021-01-06,109.9,111.5,109.34,110.42,9558016,110.42
2021-01-07,111.12,112.08,110.78,111.43,5103136,111.43
2021-01-08,110.18,110.53,108.17,109.35,8998635,109.35
2021-01-11,108.06,108.35,107.23,107.79,5725824,107.79
2021-01-12,111.52,112.58,111.22,111.9,5698892,111.9
2021-01-13,107.48,108.65,107.07,107.86,6266816,107.86
2021-01-14,112.69,113.73,111.73,112.73,6843398,112.73
2021-01-15,112.22,113.04,111.34,112.19,7993722,112.19
2021-01-19,111.78,111.89,110.89,111.39,7676559,111.39
2021-01-20,113.35,113.51,112.31,112.91,3377677,112.91
2021-01-21,110.55,111.87,109.81,110.84,5401306,110.84
2021-01-22,110.28,111.54,110.02,110.78,7524407,110.78
2021-01-25,111.66,112.45,111.09,111.77,1848592,111.77
2021-01-26,113.65,114.27,111.97,113.12,8685823,113.12
2021-01-27,113.5,114.62,112.66,113.64,9210593,113.64
2021-01-28,112.9,113.47,112.35,112.91,6402519,112.91
2021-01-29,112.62,113.64,111.94,112.79,7601070,112.79
2021-02-01,111.4,112.82,110.82,111.82,5543699,111.82
2021-02-02,112.75,114.37,112.53,113.45,4762882,113.45
2021-02-03,110.37,110.87,109.89,110.38,5929559,110.38
2021-02-04,110.67,111.19,110.27,110.73,4123953,110.73
2021-02-05,110.96,111.85,109.63,110.74,2481570,110.74
2021-02-08,114.92,115.76,114.74,115.25,7517208,115.25
2021-02-09,112.88,113.17,111.99,112.58,2792625,112.58
2021-02-10,116.47,116.7,114.62,115.66,8487999,115.66
2021-02-11,111.86,113.3,111.5,112.4,7651530,112.4
2021-02-12,111.7,112.18,111.1,111.64,6031566,111.64
2021-02-16,116.3,116.53,114.59,115.56,9547038,115.56
2021-02-17,114.99,117.12,114.64,115.88,9876884,115.88
2021-02-18,112.84,114.98,112.58,113.78,2994081,113.78
2021-02-19,115.09,115.98,114.48,115.23,6977551,115.23
2021-02-22,112.58,113.75,112.03,112.89,1899222,112.89
2021-02-23,111.46,111.98,110.62,111.3,7327092,111.3
2021-02-24,113.09,113.77,111.65,112.71,2521258,112.71
2021-02-25,111.43,112.46,110.48,111.47,9352598,111.47
2021-02-26,113.35,113.85,112.45,113.15,8283894,113.15
2021-03-01,114.53,115.39,113.67,114.53,5787720,114.53
2021-03-02,115.53,116.7,114.26,115.48,9828282,115.48
