date,open,high,low,close,volume,adjusted_close
2021-01-04,262.21,264.13,259.45,261.79,6845649,261.79
2021-01-05,263.74,266.32,261.72,264.02,9621394,264.02
2021-01-06,257.37,258.36,255.36,256.86,3543337,256.86
2021-01-07,268.15,269.48,266.32,267.9,5530288,267.9
2021-01-08,271.33,273.26,268.04,270.65,2113813,270.65
2021-01-11,268.39,270.09,267.73,268.91,2415458,268.91
2021-01-12,260.53,263.86,258.4,261.13,9075629,261.13
2021-01-13,267.82,269.81,264.71,267.26,4787011,267.26
2021-01-14,269.53,270.57,267.83,269.2,7666772,269.2
2021-01-15,263.02,266.26,261.88,264.07,5642336,264.07
2021-01-19,265.37,267.41,264.49,265.95,7148980,265.95
2021-01-20,265.55,268.14,265.02,266.58,3011687,266.58
2021-01-21,267.45,270.81,264.81,267.81,5854994,267.81
2021-01-22,264.52,267.3,262.88,265.09,3828187,265.09
2021-01-25,272.47,272.79,270.13,271.46,6329118,271.46
2021-01-26,263.25,267.58,262.36,264.97,3019367,264.97
2021-01-27,269.79,272.27,267.85,270.06,8268434,270.06
2021-01-28,276.4,279.12,275.96,277.54,2355684,277.54
2021-01-29,276.13,277.65,273.05,275.35,1787737,275.35
2021-02-01,281.42,282.06,276.22,279.14,4729679,279.14
2021-02-02,270.0,273.54,269.28,271.41,7449127,271.41
2021-02-03,281.1,283.81,278.89,281.35,3759395,281.35
2021-02-04,278.48,280.14,275.26,277.7,6011496,277.7
2021-02-05,273.39,275.37,273.09,274.23,9566003,274.23
2021-02-08,284.32,285.0,278.82,281.91,5898639,281.91
2021-02-09,276.12,279.3,274.94,277.12,5083777,277.12
2021-02-10,278.06,278.91,276.17,277.54,5083419,277.54
2021-02-11,281.71,285.38,280.9,283.14,2621128,283.14
2021-02-12,279.83,280.17,277.77,278.97,5707356,278.97
2021-02-16,281.55,281.87,279.43,280.65,5464157,280.65
2021-02-17,283.75,284.82,281.48,283.15,4405338,283.15
2021-02-18,286.08,288.52,284.08,286.3,7958675,286.3
2021-02-19,284.39,285.93,281.89,283.91,8319012,283.91
2021-02-22,281.63,284.4,278.38,281.39,9313484,281.39
2021-02-23,278.2,282.41,277.57,279.99,5801043,279.99
2021-02-24,278.93,279.3,276.96,278.13,8585354,278.13
2021-02-25,287.11,290.99,286.63,288.81,8644321,288.81
2021-02-26,281.52,282.34,277.8,280.07,5665832,280.07
