date,open,high,low,close,volume,adjusted_close
2021-01-04,491.77,492.69,488.33,490.51,3982309,490.51
2021-01-05,501.48,505.79,496.61,501.2,2064203,501.2
2021-01-06,508.93,511.43,504.67,508.05,5298853,508.05
2021-01-07,496.14,503.74,495.2,499.47,6032241,499.47
2021-01-08,496.67,498.84,488.52,493.68,5135829,493.68
2021-01-11,492.77,500.47,491.19,495.83,9850007,495.83
2021-01-12,506.09,510.1,504.82,507.46,9218974,507.46
2021-01-13,506.95,511.05,504.65,507.85,1913946,507.85
2021-01-14,502.74,506.3,499.32,502.81,3282359,502.81
2021-01-15,502.31,509.14,499.66,504.4,6827458,504.4
2021-01-19,513.93,517.14,508.22,512.68,6860294,512.68
2021-01-20,514.46,518.05,507.49,512.77,5936376,512.77
2021-01-21,510.55,515.08,508.22,511.65,6534104,511.65
2021-01-22,498.91,503.81,493.15,498.48,8633484,498.48
2021-01-25,493.31,496.39,487.83,492.11,5219494,492.11
2021-01-26,508.24,511.82,502.64,507.23,5641251,507.23
2021-01-27,508.1,510.28,503.24,506.76,6791259,506.76
2021-01-28,518.5,520.6,511.46,516.03,6654947,516.03
2021-01-29,508.37,516.3,506.74,511.52,4007207,511.52
2021-02-01,503.21,505.76,496.64,501.2,4504302,501.2
2021-02-02,502.94,510.85,501.43,506.14,9682806,506.14
2021-02-03,506.75,516.14,505.22,510.68,7217684,510.68
2021-02-04,506.8,511.71,505.65,508.68,1975689,508.68
2021-02-05,498.06,501.58,490.22,495.9,4566699,495.9
2021-02-08,499.59,501.08,493.62,497.35,8812870,497.35
2021-02-09,499.82,506.83,498.49,502.66,3686486,502.66
2021-02-10,500.16,507.33,496.63,501.98,2054183,501.98
2021-02-11,522.0,523.61,514.11,518.86,4598153,518.86
2021-02-12,518.38,522.35,510.67,516.51,5586296,516.51
2021-02-16,521.07,522.69,516.19,519.44,7413345,519.44
2021-02-17,518.57,523.42,516.86,520.14,4984896,520.14
2021-02-18,512.72,517.99,511.15,514.57,5044253,514.57
2021-02-19,520.27,526.26,514.96,520.61,4338837,520.61
2021-02-22,503.95,506.07,497.25,501.66,8092146,501.66
2021-02-23,520.32,523.12,515.74,519.43,6073012,519.43
2021-02-24,500.01,507.29,497.45,502.37,2753616,502.37
2021-02-25,499.97,502.96,494.18,498.57,6463496,498.57
2021-02-26,509.97,512.09,507.15,509.62,8263567,509.62
2021-03-01,520.41,524.77,513.87,519.32,5882530,519.32
2021-03-02,506.13,513.43,505.23,509.33,3323281,509.33
2021-03-03,511.42,512.59,503.59,508.09,4630797,508.09
2021-03-04,500.29,508.35,499.19,503.77,8050002,503.77
2021-03-05,516.73,518.86,513.8,516.33,7409168,516.33
2021-03-08,505.92,509.65,503.73,506.69,7699387,506.69
2021-03-09,503.27,507.96,499.74,503.85,5530833,503.85
2021-03-10,527.1,530.01,519.99,525.0,4708461,525.0
2021-03-11,519.76,523.53,519.15,521.34,9680804,521.34
2021-03-12,527.52,530.58,518.82,524.7,2180944,524.7
2021-03-15,500.82,503.74,498.52,501.13,1770274,501.13
2021-03-16,517.32,519.59,511.19,515.39,5216383,515.39
2021-03-17,523.42,530.27,521.01,525.64,5605296,525.64
2021-03-18,508.8,509.69,503.31,506.5,6399596,506.5
2021-03-19,505.9,510.39,501.23,505.81,9694601,505.81
2021-03-22,521.64,524.98,516.64,520.81,1525330,520.81
2021-03-23,513.08,516.53,509.19,512.86,1701963,512.86
2021-03-24,520.61,525.26,515.16,520.21,7410364,520.21
2021-03-25,526.22,530.81,522.75,526.78,4006273,526.78
2021-03-26,516.33,517.4,511.08,514.24,4542793,514.24
2021-03-29,522.71,526.39,517.63,522.01,3710288,522.01
2021-03-30,503.75,505.36,501.34,503.35,9696450,503.35
2021-03-31,522.82,523.9,519.42,521.66,3574306,521.66
2021-04-01,526.08,527.3,519.18,523.24,2846875,523.24
2021-04-05,508.77,514.39,507.09,510.74,1768413,510.74
2021-04-06,517.74,524.53,516.35,520.44,6591927,520.44
2021-04-07,507.1,512.14,506.54,509.34,2670080,509.34
2021-04-08,528.81,532.7,525.5,529.1,6116356,529.1
2021-04-09,527.12,529.5,520.36,524.93,5685344,524.93
2021-04-12,531.87,532.89,526.91,529.9,2609033,529.9
2021-04-13,508.97,509.61,504.69,507.15,8049517,507.15
2021-04-14,519.65,521.13,515.85,518.49,5119022,518.49
2021-04-15,523.46,530.31,520.23,525.27,1695462,525.27
2021-04-16,525.58,526.62,520.14,523.38,3877594,523.38
2021-04-19,524.52,528.15,522.73,525.44,7484423,525.44
2021-04-20,515.52,516.85,510.79,513.82,3221588,513.82
2021-04-21,509.54,512.81,506.13,509.47,2793401,509.47
2021-04-22,526.7,530.28,519.42,524.85,9423977,524.85
2021-04-23,512.89,514.07,509.87,511.97,9849102,511.97
2021-04-26,525.22,530.56,523.44,527.0,9589855,527.0
2021-04-27,508.3,517.0,507.22,512.11,2363361,512.11
2021-04-28,513.36,521.42,511.82,516.62,9150406,516.62
2021-04-29,514.06,522.92,513.08,518.0,1552560,518.0
2021-04-30,515.66,516.56,510.1,513.33,2249196,513.33
2021-05-03,509.99,513.74,506.8,510.27,2359156,510.27
2021-05-04,523.45,531.94,521.46,526.7,7914969,526.7
2021-05-05,509.76,513.9,509.14,511.52,1560963,511.52
2021-05-06,518.89,522.08,512.4,517.24,9371257,517.24
2021-05-07,524.39,527.71,521.67,524.69,6792835,524.69
2021-05-10,530.09,534.46,526.92,530.69,9953712,530.69
2021-05-11,516.46,520.81,512.75,516.78,9745076,516.78
2021-05-12,508.0,515.78,507.04,511.41,1514241,511.41
2021-05-13,537.95,539.64,532.3,535.97,3143107,535.97
2021-05-14,515.15,517.27,507.63,512.45,4925908,512.45
2021-05-17,526.36,531.85,522.99,527.42,9204188,527.42
2021-05-18,529.29,530.96,526.68,528.82,3191251,528.82
2021-05-19,527.79,531.05,519.39,525.22,2966942,525.22
2021-05-20,538.18,539.93,532.63,536.28,4083906,536.28
2021-05-21,519.83,526.58,517.34,521.96,1862097,521.96
2021-05-24,522.53,528.31,520.81,524.56,9015213,524.56
2021-05-25,538.68,540.66,531.66,536.16,3846388,536.16
2021-05-26,528.44,534.61,522.51,528.56,1847799,528.56
2021-05-27,536.99,543.29,532.43,537.86,7605872,537.86
2021-05-28,517.81,520.25,515.89,518.07,8233154,518.07
2021-06-01,527.52,533.76,525.66,529.71,6816573,529.71
2021-06-02,534.13,539.28,529.92,534.6,4959795,534.6
2021-06-03,534.56,543.87,531.93,537.9,3858492,537.9
