date,open,high,low,close,volume,adjusted_close
2021-01-04,90.47,91.58,90.24,90.91,9072967,90.91
2021-01-05,94.97,95.25,93.83,94.54,1586870,94.54
2021-01-06,92.33,92.43,91.51,91.97,9840719,91.97
2021-01-07,92.04,92.65,90.63,91.64,4106140,91.64
2021-01-08,92.72,93.02,91.66,92.34,6952468,92.34
2021-01-11,92.79,93.4,91.8,92.6,6181092,92.6
2021-01-12,94.87,95.57,93.77,94.67,1695011,94.67
2021-01-13,91.86,92.13,91.21,91.67,7171821,91.67
2021-01-14,90.99,92.17,90.55,91.36,9960097,91.36
2021-01-15,95.02,95.54,94.5,95.02,7457080,95.02
2021-01-19,95.14,96.01,94.45,95.23,5539234,95.23
2021-01-20,94.28,95.16,93.98,94.57,9398895,94.57
2021-01-21,96.1,96.57,95.59,96.08,5150922,96.08
2021-01-22,95.93,96.92,95.64,96.28,1795053,96.28
2021-01-25,97.65,98.05,96.33,97.19,5177347,97.19
2021-01-26,92.75,93.34,92.52,92.93,3547058,92.93
2021-01-27,96.2,96.51,94.45,95.48,8864235,95.48
2021-01-28,93.1,93.99,92.85,93.42,2908492,93.42
2021-01-29,94.84,95.81,94.53,95.17,2384254,95.17
2021-02-01,94.14,95.33,94.01,94.67,8059360,94.67
2021-02-02,94.45,94.75,93.25,94.0,7534630,94.0
2021-02-03,96.6,97.13,96.05,96.59,6548681,96.59
2021-02-04,95.35,96.55,94.81,95.68,2342901,95.68
2021-02-05,96.91,97.11,96.29,96.7,7218705,96.7
2021-02-08,94.89,95.33,94.55,94.94,7246753,94.94
2021-02-09,95.59,96.51,95.15,95.83,9096662,95.83
2021-02-10,97.96,98.52,96.44,97.48,6523583,97.48
2021-02-11,99.0,99.37,97.83,98.6,7135026,98.6
2021-02-12,96.08,96.32,95.18,95.75,9199589,95.75
2021-02-16,97.37,97.89,96.65,97.27,4384048,97.27
2021-02-17,97.89,98.51,97.39,97.95,6182435,97.95
2021-02-18,100.08,101.37,99.15,100.26,6376592,100.26
2021-02-19,96.18,97.09,95.71,96.4,4986664,96.4
2021-02-22,97.47,98.87,97.31,98.09,6854880,98.09
2021-02-23,97.62,99.01,97.41,98.21,3740883,98.21
2021-02-24,98.48,99.07,97.75,98.41,7413805,98.41
2021-02-25,100.23,100.78,99.52,100.15,1627246,100.15
2021-02-26,99.2,100.03,98.19,99.11,9155405,99.11
2021-03-01,100.59,101.88,99.92,100.9,5451064,100.9
2021-03-02,103.05,103.22,102.02,102.62,9830636,102.62
2021-03-03,101.32,102.37,100.65,101.51,3693789,101.51
2021-03-04,99.19,100.79,98.97,99.88,3395202,99.88
2021-03-05,101.25,103.06,101.0,102.03,2996722,102.03
2021-03-08,101.82,102.55,101.33,101.94,5104590,101.94
2021-03-09,100.69,100.86,99.82,100.34,5408074,100.34
2021-03-10,101.43,101.94,100.34,101.14,1580378,101.14
2021-03-11,99.76,101.65,99.53,100.59,6527281,100.59
2021-03-12,102.35,103.42,101.7,102.56,4606188,102.56
2021-03-15,102.16,102.74,100.58,101.66,2310383,101.66
2021-03-16,100.55,101.51,99.47,100.49,4173323,100.49
2021-03-17,104.74,105.38,104.38,104.88,3411866,104.88
2021-03-18,103.91,105.29,103.67,104.48,5734325,104.48
2021-03-19,99.94,101.64,99.38,100.51,4455695,100.51
2021-03-22,102.2,102.52,101.7,102.11,9446851,102.11
2021-03-23,105.41,105.79,104.53,105.16,2541740,105.16
2021-03-24,102.06,102.55,101.71,102.13,7898752,102.13
2021-03-25,102.51,103.13,101.75,102.44,2031805,102.44
2021-03-26,105.05,105.93,104.65,105.29,9171141,105.29
2021-03-29,106.85,107.39,105.33,106.36,6020864,106.36
2021-03-30,102.5,103.08,102.0,102.54,2242676,102.54
2021-03-31,106.3,106.65,105.63,106.14,5433816,106.14
2021-04-01,104.05,105.23,103.79,104.51,3790008,104.51
2021-04-05,106.48,107.35,105.37,106.36,9817406,106.36
2021-04-06,102.6,104.2,101.94,103.07,5342739,103.07
2021-04-07,107.83,108.84,106.94,107.89,9481797,107.89
2021-04-08,103.42,103.66,102.82,103.24,9662702,103.24
2021-04-09,107.17,108.31,106.97,107.64,1516645,107.64
2021-04-12,107.94,108.39,106.61,107.5,6184385,107.5
2021-04-13,104.67,105.03,103.75,104.39,9304542,104.39
2021-04-14,104.25,105.03,103.81,104.42,8020986,104.42
2021-04-15,103.44,104.9,103.18,104.04,2241685,104.04
2021-04-16,105.69,106.99,105.41,106.2,9459368,106.2
2021-04-19,106.6,107.26,106.24,106.75,7324265,106.75
2021-04-20,107.84,108.16,106.18,107.17,8708554,107.17
2021-04-21,104.62,105.61,104.07,104.84,5213066,104.84
2021-04-22,107.19,109.0,106.74,107.87,7800330,107.87
2021-04-23,107.88,109.13,107.69,108.41,8036803,108.41
2021-04-26,106.04,106.56,104.38,105.47,6591826,105.47
2021-04-27,108.01,108.81,107.03,107.92,9511485,107.92
2021-04-28,110.84,111.42,110.38,110.9,4747314,110.9
2021-04-29,106.68,107.35,105.79,106.57,4505567,106.57
2021-04-30,107.96,109.08,106.8,107.94,5330681,107.94
2021-05-03,110.71,111.1,110.1,110.6,2120611,110.6
2021-05-04,108.45,108.98,107.0,107.99,8343103,107.99
2021-05-05,108.46,109.11,107.63,108.37,6257406,108.37
2021-05-06,108.11,109.18,106.86,108.02,7041084,108.02
2021-05-07,108.55,108.77,107.83,108.3,8460307,108.3
2021-05-10,111.1,111.69,110.43,111.06,5866283,111.06
2021-05-11,112.56,113.61,112.19,112.9,1891696,112.9
2021-05-12,112.92,113.85,111.33,112.59,5525893,112.59
2021-05-13,109.7,110.25,108.81,109.53,5221652,109.53
2021-05-14,110.96,111.33,109.57,110.45,9429429,110.45
2021-05-17,112.71,113.11,111.09,112.1,4602950,112.1
2021-05-18,110.65,111.18,110.02,110.6,3679324,110.6
2021-05-19,112.96,113.25,112.05,112.65,4853826,112.65
2021-05-20,112.6,113.22,110.82,112.02,1646784,112.02
2021-05-21,112.3,112.6,111.44,112.02,5648224,112.02
2021-05-24,112.93,113.84,112.72,113.28,4286969,113.28
2021-05-25,109.91,111.23,108.73,109.98,4930997,109.98
2021-05-26,109.25,110.77,108.57,109.67,5287621,109.67
2021-05-27,110.37,111.93,109.41,110.67,4791948,110.67
2021-05-28,111.24,111.61,110.57,111.09,2568214,111.09
2021-06-01,113.98,114.99,113.09,114.04,5395637,114.04
2021-06-02,111.33,112.55,110.11,111.33,3679640,111.33
2021-06-03,111.59,111.94,110.7,111.32,1803982,111.32
2021-06-04,113.24,114.13,112.65,113.39,3999550,113.39
2021-06-07,112.79,113.7,111.18,112.44,8158294,112.44
2021-06-08,113.79,114.26,113.16,113.71,4400367,113.71
2021-06-09,113.93,114.69,112.59,113.64,3583254,113.64
2021-06-10,116.11,116.43,114.81,115.62,7758710,115.62
2021-06-11,112.61,113.6,112.06,112.83,8137706,112.83
2021-06-14,113.95,114.32,111.88,113.1,5428235,113.1
2021-06-15,117.2,118.21,116.41,117.31,2311874,117.31
2021-06-16,112.54,113.54,112.34,112.94,3565527,112.94
2021-06-17,114.81,115.42,112.96,114.19,4317185,114.19
2021-06-18,118.87,119.14,117.56,118.35,6498553,118.35
2021-06-21,117.18,118.61,116.27,117.44,6002269,117.44
2021-06-22,115.86,116.12,115.16,115.64,4383103,115.64
2021-06-23,117.82,119.83,117.55,118.69,3014562,118.69
2021-06-24,119.19,119.49,117.93,118.71,7656551,118.71
2021-06-25,117.37,118.11,115.93,117.02,2747656,117.02
2021-06-28,117.93,118.92,116.9,117.91,6403241,117.91
2021-06-29,117.04,118.67,116.13,117.4,6229786,117.4
2021-06-30,118.7,119.49,117.95,118.72,7224599,118.72
2021-07-01,116.87,117.69,116.05,116.87,8686360,116.87
2021-07-02,114.27,116.52,113.96,115.24,8434242,115.24
