date,open,high,low,close,volume,adjusted_close
2021-01-04,234.43,235.37,233.03,234.2,8034770,234.2
2021-01-05,228.27,229.62,225.88,227.75,6578134,227.75
2021-01-06,226.26,227.98,225.42,226.7,6232583,226.7
2021-01-07,227.41,227.85,225.29,226.57,5657833,226.57
2021-01-08,235.16,235.78,231.68,233.73,8257595,233.73
2021-01-11,230.6,231.9,230.02,230.96,7925701,230.96
2021-01-12,226.3,227.02,223.42,225.22,3329830,225.22
2021-01-13,226.55,227.63,225.77,226.7,4289552,226.7
2021-01-14,232.52,234.12,231.7,232.91,4796424,232.91
2021-01-15,227.34,228.75,223.73,226.24,4659342,226.24
2021-01-19,234.77,235.86,233.0,234.43,9715492,234.43
2021-01-20,230.03,231.32,229.48,230.4,6520900,230.4
2021-01-21,228.58,231.4,228.04,229.72,2974966,229.72
2021-01-22,231.58,232.29,227.57,229.93,4061675,229.93
2021-01-25,232.57,234.44,229.24,231.84,7515094,231.84
2021-01-26,235.52,236.06,231.92,233.99,4009997,233.99
2021-01-27,229.52,232.42,228.28,230.35,6342100,230.35
2021-01-28,234.28,235.33,233.23,234.28,1625560,234.28
2021-01-29,230.99,234.81,229.51,232.16,7257698,232.16
2021-02-01,233.04,233.74,230.82,232.28,4404546,232.28
2021-02-02,232.41,235.37,230.17,232.77,4400993,232.77
2021-02-03,230.74,232.92,229.56,231.24,6561865,231.24
2021-02-04,224.57,227.06,222.44,224.75,1617876,224.75
2021-02-05,224.77,225.84,224.02,224.93,5093151,224.93
2021-02-08,226.96,227.37,225.07,226.22,4973272,226.22
2021-02-09,223.84,225.82,223.38,224.6,6792729,224.6
2021-02-10,231.49,234.47,230.75,232.61,7484330,232.61
2021-02-11,230.06,231.06,226.52,228.79,5159668,228.79
2021-02-12,231.73,233.02,227.84,230.43,9058945,230.43
2021-02-16,226.72,228.74,226.36,227.55,4126725,227.55
2021-02-17,224.82,225.86,222.8,224.33,2870056,224.33
2021-02-18,231.38,233.9,231.1,232.5,7037840,232.5
2021-02-19,230.82,233.6,229.32,231.46,7958505,231.46
2021-02-22,227.66,228.86,225.62,227.24,5445013,227.24
2021-02-23,229.54,230.21,226.27,228.24,4585193,228.24
2021-02-24,225.78,227.35,222.45,224.9,7703338,224.9
2021-02-25,229.69,230.42,228.2,229.31,5453017,229.31
2021-02-26,225.21,228.53,224.53,226.53,6633047,226.53
2021-03-01,230.4,231.49,226.75,229.12,2265827,229.12
2021-03-02,230.79,234.02,228.72,231.37,9637549,231.37
2021-03-03,232.9,234.76,230.12,232.44,4789970,232.44
2021-03-04,229.07,230.14,228.2,229.17,9129155,229.17
2021-03-05,229.56,231.58,228.48,230.03,6368105,230.03
2021-03-08,224.42,225.86,222.58,224.22,6000366,224.22
2021-03-09,234.4,235.09,229.81,232.45,9467997,232.45
2021-03-10,225.95,226.83,222.83,224.83,1574148,224.83
2021-03-11,228.3,229.21,225.97,227.59,8636462,227.59
2021-03-12,231.86,232.46,229.46,230.96,6196550,230.96
2021-03-15,229.58,230.6,227.76,229.18,7835494,229.18
2021-03-16,225.99,227.02,222.34,224.68,3263828,224.68
2021-03-17,225.25,229.4,224.52,226.96,7574085,226.96
2021-03-18,232.68,236.01,231.39,233.7,2150418,233.7
2021-03-19,227.95,229.7,226.68,228.19,6736752,228.19
2021-03-22,228.01,229.23,224.87,227.05,7720462,227.05
2021-03-23,228.76,229.46,225.8,227.63,8076631,227.63
2021-03-24,228.88,230.19,225.33,227.76,6531983,227.76
2021-03-25,228.68,229.18,224.66,226.92,7544319,226.92
2021-03-26,231.18,232.58,230.28,231.43,1834669,231.43
2021-03-29,232.49,233.92,229.32,231.62,4595419,231.62
2021-03-30,227.13,229.01,226.21,227.61,8756743,227.61
2021-03-31,231.59,234.44,229.84,232.14,9752268,232.14
2021-04-01,233.53,236.06,232.64,234.35,5205616,234.35
2021-04-05,229.51,231.72,228.04,229.88,2764830,229.88
2021-04-06,223.97,226.22,223.14,224.68,8681057,224.68
2021-04-07,233.75,235.56,231.14,233.35,1626609,233.35
2021-04-08,224.52,227.59,222.71,225.15,8774587,225.15
2021-04-09,231.67,232.66,230.46,231.56,8552765,231.56
2021-04-12,229.42,229.82,227.46,228.64,8329273,228.64
2021-04-13,225.07,225.52,223.56,224.54,9956707,224.54
2021-04-14,233.37,233.6,231.54,232.57,7181359,232.57
2021-04-15,226.22,227.55,224.45,226.0,9771807,226.0
2021-04-16,223.93,225.42,222.56,223.99,4118598,223.99
2021-04-19,223.32,223.85,221.73,222.79,4255665,222.79
2021-04-20,229.46,230.13,225.93,228.03,9926954,228.03
2021-04-21,227.91,229.35,224.85,227.1,3141818,227.1
2021-04-22,231.78,235.47,230.41,232.94,7281537,232.94
2021-04-23,226.27,229.0,225.16,227.08,9273939,227.08
2021-04-26,231.08,234.0,230.72,232.36,8663361,232.36
2021-04-27,228.04,228.36,225.92,227.14,3869277,227.14
2021-04-28,225.52,226.33,222.29,224.31,5713750,224.31
2021-04-29,233.72,234.32,232.18,233.25,6906062,233.25
2021-04-30,223.71,225.47,220.45,222.96,6137095,222.96
2021-05-03,229.42,230.09,227.77,228.93,3645821,228.93
2021-05-04,228.04,229.01,226.85,227.93,1719165,227.93
2021-05-05,227.55,228.63,226.71,227.67,6361154,227.67
2021-05-06,224.85,225.42,223.04,224.23,4508626,224.23
2021-05-07,230.69,232.12,229.92,231.02,1879465,231.02
2021-05-10,228.79,230.54,228.0,229.27,1916981,229.27
2021-05-11,226.02,227.57,225.19,226.38,7462825,226.38
2021-05-12,227.54,229.11,225.27,227.19,2718289,227.19
2021-05-13,233.66,235.31,231.39,233.35,3895488,233.35
2021-05-14,231.97,234.27,231.63,232.95,6094883,232.95
2021-05-17,229.63,231.0,226.42,228.71,9454620,228.71
2021-05-18,221.74,225.24,221.12,223.18,5362405,223.18
2021-05-19,222.93,224.18,221.06,222.62,3561010,222.62
2021-05-20,224.45,225.32,221.86,223.59,9502625,223.59
2021-05-21,223.93,224.87,220.95,222.91,4982146,222.91
2021-05-24,232.42,233.72,231.86,232.79,8718900,232.79
2021-05-25,222.38,224.78,222.08,223.43,3218641,223.43
2021-05-26,224.26,228.08,223.36,225.72,3959129,225.72
2021-05-27,223.03,225.56,222.44,224.0,4952009,224.0
2021-05-28,227.54,229.5,225.04,227.27,2983566,227.27
