date,open,high,low,close,volume,adjusted_close
2021-01-04,43.87,44.07,43.31,43.69,5492944,43.69
2021-01-05,44.46,44.53,44.11,44.32,2985514,44.32
2021-01-06,43.49,43.69,42.99,43.34,9155182,43.34
2021-01-07,43.95,44.3,43.88,44.09,9687366,44.09
2021-01-08,43.66,43.9,43.5,43.7,9981311,43.7
2021-01-11,44.57,44.69,44.29,44.49,4052459,44.49
2021-01-12,44.81,45.5,44.58,45.04,6403775,45.04
2021-01-13,43.96,44.18,43.66,43.92,4878687,43.92
2021-01-14,45.74,46.13,45.13,45.63,9205091,45.63
2021-01-15,44.46,44.79,44.07,44.43,5563084,44.43
2021-01-19,45.22,45.59,45.15,45.37,2237367,45.37
2021-01-20,45.4,46.06,45.26,45.66,7130647,45.66
2021-01-21,44.12,44.47,44.03,44.25,9070170,44.25
2021-01-22,44.74,45.09,44.63,44.86,5957774,44.86
2021-01-25,44.82,45.17,44.39,44.78,4464845,44.78
2021-01-26,45.4,45.47,45.09,45.28,6973352,45.28
2021-01-27,45.98,46.13,45.69,45.91,6777017,45.91
2021-01-28,45.58,46.17,45.17,45.67,2471391,45.67
2021-01-29,45.64,45.82,45.3,45.56,6021335,45.56
2021-02-01,46.14,46.18,45.78,45.98,6737359,45.98
2021-02-02,46.34,46.73,45.89,46.31,7709403,46.31
2021-02-03,46.07,46.17,45.51,45.84,2926715,45.84
2021-02-04,44.95,45.36,44.5,44.93,2929162,44.93
2021-02-05,45.48,45.89,45.43,45.66,8602721,45.66
2021-02-08,46.57,46.84,45.8,46.32,2647744,46.32
2021-02-09,46.04,46.15,45.55,45.85,2095752,45.85
2021-02-10,47.03,47.51,46.89,47.2,2051453,47.2
2021-02-11,46.72,46.94,45.88,46.41,4434549,46.41
2021-02-12,46.25,46.77,45.95,46.36,8905546,46.36
2021-02-16,46.98,47.17,46.13,46.65,2731992,46.65
2021-02-17,46.34,46.77,46.17,46.47,1670499,46.47
2021-02-18,47.68,47.74,47.34,47.54,4656956,47.54
2021-02-19,46.37,46.51,46.11,46.31,5030455,46.31
2021-02-22,46.2,46.32,45.66,45.99,4607912,45.99
2021-02-23,46.24,46.33,45.61,45.97,7405678,45.97
2021-02-24,46.64,46.97,46.07,46.52,2794213,46.52
2021-02-25,47.94,48.32,47.42,47.87,5599808,47.87
2021-02-26,46.46,46.88,46.36,46.62,9215130,46.62
2021-03-01,46.88,47.1,46.52,46.81,3327092,46.81
2021-03-02,46.88,47.28,46.72,47.0,8475938,47.0
2021-03-03,46.86,47.41,46.33,46.87,3607399,46.87
2021-03-04,48.89,49.24,48.18,48.71,8757737,48.71
2021-03-05,48.57,48.83,47.73,48.28,1895746,48.28
2021-03-08,48.62,48.73,48.35,48.54,1869900,48.54
2021-03-09,47.41,47.6,46.98,47.29,8839100,47.29
2021-03-10,47.76,48.22,47.54,47.88,7677063,47.88
2021-03-11,47.8,48.63,47.71,48.17,3388160,48.17
2021-03-12,47.01,47.26,46.82,47.04,2795313,47.04
2021-03-15,47.45,47.53,47.05,47.29,7988073,47.29
2021-03-16,48.6,48.83,48.43,48.63,6387953,48.63
2021-03-17,48.61,49.5,48.46,48.98,8048484,48.98
2021-03-18,48.41,49.16,48.18,48.67,6092573,48.67
2021-03-19,49.73,50.05,48.97,49.51,2644940,49.51
2021-03-22,50.11,50.29,49.45,49.87,5658789,49.87
2021-03-23,48.46,48.6,48.16,48.38,3870059,48.38
2021-03-24,48.15,48.41,47.33,47.87,6302146,47.87
2021-03-25,48.48,48.72,48.24,48.48,5598121,48.48
2021-03-26,49.99,50.46,49.82,50.14,6958097,50.14
2021-03-29,48.23,48.56,48.04,48.3,5594426,48.3
2021-03-30,50.52,50.63,50.19,50.41,4701506,50.41
2021-03-31,50.74,50.82,50.3,50.56,6423274,50.56
2021-04-01,49.24,49.9,48.9,49.4,7070424,49.4
2021-04-05,48.3,49.05,48.21,48.63,4458241,48.63
2021-04-06,49.77,50.16,49.1,49.63,8581733,49.63
2021-04-07,50.64,51.14,50.34,50.74,1622427,50.74
2021-04-08,50.38,50.46,50.04,50.25,6459752,50.25
2021-04-09,50.69,51.46,50.42,50.94,8762976,50.94
2021-04-12,49.6,49.74,48.82,49.28,2476555,49.28
2021-04-13,50.75,50.91,50.49,50.7,6140452,50.7
2021-04-14,49.27,49.41,48.55,48.98,4007594,48.98
2021-04-15,51.39,51.56,51.08,51.32,3262614,51.32
2021-04-16,50.74,51.03,50.07,50.55,8270460,50.55
2021-04-19,50.93,51.3,50.8,51.05,3014816,51.05
2021-04-20,51.17,51.66,50.68,51.17,3169160,51.17
2021-04-21,49.83,50.4,49.32,49.86,5174037,49.86
2021-04-22,49.93,50.41,49.27,49.84,5228048,49.84
2021-04-23,51.65,52.38,51.26,51.82,2740985,51.82
2021-04-26,50.61,50.75,49.87,50.31,4376794,50.31
2021-04-27,50.87,51.55,50.75,51.15,8843925,51.15
2021-04-28,51.81,52.3,51.68,51.99,6058091,51.99
2021-04-29,50.89,51.75,50.77,51.26,2021362,51.26
2021-04-30,52.2,52.36,51.84,52.1,7528620,52.1
2021-05-03,51.06,51.38,50.42,50.9,8853657,50.9
2021-05-04,51.08,51.57,50.61,51.09,2058759,51.09
2021-05-05,52.3,52.71,52.19,52.45,5040571,52.45
2021-05-06,51.73,52.22,51.38,51.8,4396032,51.8
2021-05-07,52.16,52.86,52.06,52.46,3704322,52.46
2021-05-10,50.26,50.92,50.14,50.53,6431925,50.53
2021-05-11,52.21,52.7,51.86,52.28,3706432,52.28
2021-05-12,51.8,52.34,51.32,51.83,4937717,51.83
2021-05-13,52.94,53.2,52.24,52.72,5110703,52.72
2021-05-14,52.07,52.66,51.6,52.13,2379474,52.13
2021-05-17,53.07,53.59,52.75,53.17,6371628,53.17
2021-05-18,51.71,52.07,51.01,51.54,6478376,51.54
2021-05-19,51.94,52.04,51.28,51.66,8050317,51.66
2021-05-20,51.72,51.85,51.37,51.61,9056462,51.61
2021-05-21,53.38,53.6,53.08,53.34,2440767,53.34
