date,open,high,low,close,volume,adjusted_close
2021-01-04,157.68,158.68,157.36,158.02,1717454,158.02
2021-01-05,151.67,153.2,150.6,151.9,5790191,151.9
2021-01-06,155.16,156.1,154.0,155.05,6244205,155.05
2021-01-07,154.31,155.84,152.36,154.1,4392846,154.1
2021-01-08,156.16,156.53,155.27,155.9,8714301,155.9
2021-01-11,151.58,152.68,151.36,152.02,4148807,152.02
2021-01-12,154.91,157.31,154.11,155.71,1626975,155.71
2021-01-13,151.21,152.87,150.39,151.63,9373383,151.63
2021-01-14,152.73,154.65,152.49,153.57,3366561,153.57
2021-01-15,151.58,152.92,150.86,151.89,1619305,151.89
2021-01-19,152.37,153.38,150.78,152.08,5579091,152.08
2021-01-20,157.56,159.34,156.56,157.95,8899546,157.95
2021-01-21,154.26,156.57,153.85,155.21,8793045,155.21
2021-01-22,160.72,161.24,157.98,159.61,3089274,159.61
2021-01-25,156.6,157.01,154.45,155.73,7015434,155.73
2021-01-26,159.69,160.42,159.02,159.72,6807958,159.72
2021-01-27,158.86,159.6,157.92,158.76,2840126,158.76
2021-01-28,157.7,158.19,155.85,157.02,7144869,157.02
2021-01-29,155.28,156.66,154.06,155.36,2589637,155.36
2021-02-01,156.27,157.3,154.44,155.87,9954854,155.87
2021-02-02,159.68,160.13,158.09,159.11,4966548,159.11
2021-02-03,158.68,160.02,157.82,158.92,2440509,158.92
2021-02-04,157.07,158.28,155.52,156.9,8368846,156.9
2021-02-05,154.01,155.8,152.66,154.23,3026673,154.23
2021-02-08,157.83,159.7,157.3,158.5,3181372,158.5
2021-02-09,157.2,158.24,156.5,157.37,4669630,157.37
2021-02-10,156.1,158.81,155.55,157.18,3506327,157.18
2021-02-11,158.9,159.31,157.85,158.58,4098862,158.58
2021-02-12,160.05,161.47,158.17,159.82,7080127,159.82
2021-02-16,156.39,157.48,155.9,156.69,3119621,156.69
2021-02-17,158.95,160.21,158.57,159.39,5352173,159.39
2021-02-18,157.08,159.41,156.35,157.88,3847214,157.88
2021-02-19,157.46,158.67,155.49,157.08,1923972,157.08
2021-02-22,158.88,161.59,158.25,159.92,2559129,159.92
2021-02-23,162.48,163.94,162.24,163.09,3695524,163.09
2021-02-24,162.93,163.4,161.98,162.69,9112457,162.69
2021-02-25,163.03,164.71,161.95,163.33,4475389,163.33
2021-02-26,161.41,164.42,160.96,162.69,7280483,162.69
2021-03-01,159.41,160.02,157.36,158.69,1773587,158.69
2021-03-02,162.6,164.79,161.71,163.25,5117459,163.25
2021-03-03,160.23,161.21,158.23,159.72,2672057,159.72
2021-03-04,158.74,160.17,158.55,159.36,5320322,159.36
2021-03-05,157.86,159.51,155.99,157.75,9878443,157.75
2021-03-08,157.23,159.48,156.36,157.92,9628418,157.92
2021-03-09,163.08,165.11,162.13,163.62,4906102,163.62
2021-03-10,159.69,161.38,159.34,160.36,6069047,160.36
2021-03-11,165.24,166.54,163.66,165.1,9026845,165.1
2021-03-12,165.28,166.96,163.9,165.43,7694355,165.43
2021-03-15,164.22,165.01,163.67,164.34,6805151,164.34
2021-03-16,163.56,164.12,161.18,162.65,6707751,162.65
2021-03-17,160.99,162.31,158.93,160.62,9820531,160.62
2021-03-18,166.13,167.18,164.5,165.84,5997331,165.84
2021-03-19,163.45,163.79,162.17,162.98,8028469,162.98
2021-03-22,163.84,164.49,161.41,162.95,4764709,162.95
2021-03-23,161.29,161.83,160.29,161.06,3843415,161.06
2021-03-24,166.39,167.38,163.86,165.62,3296382,165.62
2021-03-25,161.93,162.45,160.65,161.55,1664381,161.55
2021-03-26,164.58,165.64,164.28,164.96,7393452,164.96
2021-03-29,161.39,163.16,160.26,161.71,3295949,161.71
2021-03-30,160.67,162.2,160.24,161.22,1742492,161.22
2021-03-31,163.06,164.68,162.86,163.77,7932881,163.77
2021-04-01,160.87,163.2,159.56,161.38,2701546,161.38
2021-04-05,160.7,161.38,159.86,160.62,2713165,160.62
2021-04-06,160.96,161.49,159.73,160.61,2404780,160.61
2021-04-07,164.08,165.3,163.4,164.35,9403386,164.35
2021-04-08,162.79,164.75,161.73,163.24,7162505,163.24
2021-04-09,162.05,164.22,161.4,162.81,7126893,162.81
2021-04-12,164.13,166.84,163.08,164.96,4699298,164.96
2021-04-13,167.72,169.56,167.14,168.35,6721614,168.35
2021-04-14,170.16,170.68,167.4,169.04,9957514,169.04
2021-04-15,163.15,164.21,161.01,162.61,2062617,162.61
2021-04-16,165.48,166.67,165.17,165.92,5742811,165.92
2021-04-19,167.27,167.51,165.93,166.72,7551515,166.72
2021-04-20,166.71,168.06,166.54,167.3,5288561,167.3
2021-04-21,163.93,166.3,163.64,164.97,8349281,164.97
2021-04-22,161.31,163.11,160.83,161.97,3941611,161.97
2021-04-23,167.57,168.39,165.13,166.76,9294865,166.76
2021-04-26,164.3,166.08,164.1,165.09,9343440,165.09
2021-04-27,170.36,171.05,169.09,170.07,6620535,170.07
2021-04-28,167.39,167.85,164.59,166.22,5959916,166.22
2021-04-29,167.89,169.34,167.38,168.36,6413536,168.36
2021-04-30,168.69,171.14,167.54,169.34,8012982,169.34
2021-05-03,167.36,167.86,164.28,166.07,6757436,166.07
2021-05-04,170.76,172.61,170.11,171.36,2840416,171.36
2021-05-05,165.35,167.0,163.26,165.13,5194446,165.13
2021-05-06,171.04,172.45,169.51,170.98,8229642,170.98
2021-05-07,169.56,171.44,169.0,170.22,6844013,170.22
2021-05-10,168.98,170.37,168.29,169.33,3967943,169.33
2021-05-11,168.81,171.56,167.68,169.62,7336899,169.62
2021-05-12,170.47,172.23,169.61,170.92,3518423,170.92
2021-05-13,171.14,174.08,170.5,172.29,8847128,172.29
2021-05-14,171.58,172.13,168.47,170.3,7912235,170.3
2021-05-17,169.65,170.76,168.88,169.82,4102431,169.82
2021-05-18,165.21,166.62,164.06,165.34,5126275,165.34
2021-05-19,169.72,171.92,168.9,170.41,6195697,170.41
2021-05-20,171.22,172.33,169.17,170.75,9447255,170.75
2021-05-21,165.92,167.24,165.5,166.37,8322174,166.37
2021-05-24,168.95,169.17,167.73,168.45,5618955,168.45
2021-05-25,167.73,169.35,166.41,167.88,8651795,167.88
2021-05-26,168.08,169.08,166.14,167.61,7279096,167.61
2021-05-27,172.87,174.74,172.64,173.69,4693041,173.69
2021-05-28,166.22,167.34,165.22,166.28,7094997,166.28
2021-06-01,170.21,170.96,169.42,170.19,9198361,170.19
2021-06-02,167.79,170.05,167.51,168.78,4770721,168.78
2021-06-03,166.93,167.26,165.82,166.54,1752707,166.54
2021-06-04,168.17,168.7,167.08,167.89,4394217,167.89
2021-06-07,167.17,167.68,166.3,166.99,2740053,166.99
2021-06-08,171.03,173.51,170.75,172.13,3574880,172.13
2021-06-09,173.37,174.14,170.94,172.54,1521106,172.54
2021-06-10,173.47,175.14,172.36,173.75,6332030,173.75
2021-06-11,174.21,175.47,173.37,174.42,3113390,174.42
2021-06-14,173.57,174.09,171.71,172.9,4697908,172.9
2021-06-15,169.89,170.31,167.33,168.82,7656796,168.82
2021-06-16,170.45,172.27,169.43,170.85,3715786,170.85
2021-06-17,172.39,174.67,171.37,173.02,1623861,173.02
2021-06-18,172.46,174.83,171.91,173.37,3095289,173.37
2021-06-21,170.28,170.77,169.03,169.9,6298222,169.9
2021-06-22,169.28,169.82,167.12,168.47,1848230,168.47
2021-06-23,167.86,169.92,167.1,168.51,5254737,168.51
2021-06-24,175.38,176.19,173.81,175.0,7472856,175.0
2021-06-25,172.98,173.67,171.45,172.56,9384299,172.56
2021-06-28,168.96,170.93,168.69,169.81,8442802,169.81
2021-06-29,170.04,170.62,167.74,169.18,7855190,169.18
2021-06-30,176.46,178.73,174.81,176.77,3728192,176.77
2021-07-01,174.03,175.3,172.94,174.12,2485156,174.12
2021-07-02,176.82,178.43,175.27,176.85,2178599,176.85
2021-07-06,173.69,175.48,172.28,173.88,1731554,173.88
2021-07-07,175.97,177.24,175.76,176.5,8472004,176.5
2021-07-08,176.74,177.87,174.81,176.34,9456293,176.34
2021-07-09,174.83,175.27,171.85,173.56,8042717,173.56
2021-07-12,174.05,174.93,173.21,174.07,6498919,174.07
2021-07-13,179.15,180.71,176.99,178.85,5232128,178.85
2021-07-14,173.86,174.42,170.9,172.66,5090074,172.66
2021-07-15,176.78,177.02,175.14,176.08,2012477,176.08
2021-07-16,176.27,177.26,174.34,175.8,1595336,175.8
2021-07-19,179.6,180.51,177.91,179.21,4482615,179.21
2021-07-20,171.32,172.55,170.97,171.76,5798012,171.76
2021-07-21,174.27,176.87,173.49,175.18,4614413,175.18
2021-07-22,177.01,178.88,176.24,177.56,9265619,177.56
2021-07-23,171.61,172.91,170.09,171.5,3591884,171.5
2021-07-26,176.66,177.13,175.55,176.34,9944860,176.34
2021-07-27,176.09,176.92,175.44,176.18,1840354,176.18
2021-07-28,180.11,181.57,178.71,180.14,5257079,180.14
2021-07-29,176.81,177.78,176.28,177.03,2534505,177.03
2021-07-30,174.33,176.11,173.41,174.76,6177224,174.76
2021-08-02,179.7,180.14,178.22,179.18,6779827,179.18
2021-08-03,174.77,176.66,174.1,175.38,4359616,175.38
2021-08-04,180.82,181.82,180.28,181.05,9968905,181.05
2021-08-05,176.99,178.56,174.9,176.73,8177327,176.73
2021-08-06,180.71,180.91,179.35,180.13,6799757,180.13
2021-08-09,176.03,177.99,175.15,176.57,8192181,176.57
2021-08-10,175.71,177.51,175.17,176.34,3304253,176.34
2021-08-11,182.54,182.89,181.29,182.09,5725108,182.09
2021-08-12,177.11,178.38,176.26,177.32,7692590,177.32
2021-08-13,180.66,183.56,179.64,181.6,6155136,181.6
2021-08-16,176.06,178.66,175.2,176.93,1915215,176.93
2021-08-17,178.58,179.22,176.42,177.82,4301027,177.82
2021-08-18,182.98,183.63,181.67,182.65,2629577,182.65
2021-08-19,177.78,178.84,175.3,177.07,2503020,177.07
2021-08-20,179.48,181.91,177.99,179.95,7593788,179.95
2021-08-23,180.48,182.61,179.23,180.92,4764507,180.92
2021-08-24,181.18,182.65,179.77,181.21,1929079,181.21
2021-08-25,178.12,180.02,177.38,178.7,8243618,178.7
2021-08-26,178.34,179.61,177.91,178.76,7907615,178.76
2021-08-27,184.73,185.39,182.51,183.95,1737027,183.95
2021-08-30,182.97,185.72,182.52,184.12,3932644,184.12
2021-08-31,177.81,178.79,175.83,177.31,9368537,177.31
2021-09-01,177.51,178.21,174.87,176.54,4612309,176.54
2021-09-02,181.5,181.94,178.56,180.25,2164157,180.25
2021-09-03,181.44,184.66,180.64,182.65,3752090,182.65
2021-09-07,183.37,184.54,181.62,183.08,7765730,183.08
2021-09-08,178.07,179.68,177.0,178.34,2758270,178.34
2021-09-09,178.51,179.64,177.58,178.61,6898435,178.61
2021-09-10,176.97,177.72,176.02,176.87,7449166,176.87
2021-09-13,181.92,185.01,181.19,183.1,3785129,183.1
2021-09-14,177.59,178.98,176.66,177.82,4933150,177.82
2021-09-15,184.84,186.28,183.88,185.08,1926750,185.08
2021-09-16,179.41,181.93,178.93,180.43,9143286,180.43
2021-09-17,184.13,185.46,183.76,184.61,8710812,184.61
2021-09-20,184.86,187.66,183.82,185.74,2058577,185.74
2021-09-21,179.57,179.87,178.01,178.94,2248474,178.94
2021-09-22,178.67,180.37,176.97,178.67,9833960,178.67
2021-09-23,186.92,188.95,184.81,186.88,2326441,186.88
2021-09-24,182.91,183.12,181.54,182.33,7472157,182.33
2021-09-27,184.99,186.5,184.18,185.34,4350345,185.34
2021-09-28,182.6,183.61,181.03,182.32,5402611,182.32
2021-09-29,184.74,185.33,182.39,183.86,3537030,183.86
2021-09-30,187.46,188.65,186.17,187.41,2579802,187.41
2021-10-01,181.56,182.55,180.53,181.54,9742281,181.54
2021-10-04,181.21,182.68,180.06,181.37,5768914,181.37
2021-10-05,182.61,183.65,180.19,181.92,7929260,181.92
2021-10-06,182.15,183.29,180.87,182.08,2128203,182.08
2021-10-07,185.92,186.92,185.22,186.07,4714511,186.07
2021-10-08,179.15,181.4,178.84,180.12,8916962,180.12
2021-10-11,187.05,189.48,185.86,187.67,4243063,187.67
2021-10-12,184.27,185.59,182.51,184.05,5213487,184.05
2021-10-13,184.05,185.71,183.27,184.49,7870502,184.49
2021-10-14,188.44,188.88,186.86,187.87,2293028,187.87
2021-10-15,188.89,189.56,187.54,188.55,8955977,188.55
2021-10-18,188.18,188.88,186.18,187.53,4801664,187.53
2021-10-19,185.29,188.04,184.16,186.1,6485379,186.1
2021-10-20,188.57,191.12,188.26,189.69,1619121,189.69
2021-10-21,189.36,190.82,188.76,189.79,5179379,189.79
2021-10-22,183.42,184.58,180.96,182.77,3114218,182.77
2021-10-25,185.15,186.77,184.27,185.52,4757705,185.52
2021-10-26,182.67,185.29,181.65,183.47,2247218,183.47
2021-10-27,190.55,191.84,189.8,190.82,8035627,190.82
2021-10-28,188.74,189.7,187.24,188.47,4249251,188.47
2021-10-29,190.48,191.86,189.6,190.73,1831789,190.73
2021-11-01,186.3,186.7,184.02,185.36,7829515,185.36
2021-11-02,190.73,191.4,188.62,190.01,8138866,190.01
2021-11-03,185.18,187.11,184.31,185.71,9932821,185.71
2021-11-04,183.92,185.11,183.03,184.07,2995233,184.07
2021-11-05,184.88,186.6,184.24,185.42,7247297,185.42
2021-11-08,183.41,185.64,182.54,184.09,5115938,184.09
2021-11-09,188.47,190.13,187.27,188.7,3722272,188.7
2021-11-10,189.72,191.56,188.86,190.21,4554662,190.21
2021-11-11,185.54,186.96,182.78,184.87,9534696,184.87
2021-11-12,191.8,192.37,190.19,191.28,2276784,191.28
2021-11-15,184.4,185.94,183.04,184.49,4838677,184.49
2021-11-16,186.37,187.97,185.81,186.89,6674336,186.89
2021-11-17,190.85,191.99,187.75,189.87,5852943,189.87
2021-11-18,186.94,188.09,183.97,186.03,8578942,186.03
2021-11-19,187.31,188.88,186.26,187.57,4890110,187.57
2021-11-22,194.52,195.15,192.29,193.72,6649268,193.72
2021-11-23,188.08,190.03,187.53,188.78,2554652,188.78
2021-11-24,189.56,190.63,186.81,188.72,2658622,188.72
2021-11-26,193.86,194.56,190.88,192.72,4377511,192.72
2021-11-29,190.58,191.62,189.5,190.56,9292681,190.56
2021-11-30,194.52,195.88,192.86,194.37,8202125,194.37
2021-12-01,185.17,187.59,183.49,185.54,9176991,185.54
2021-12-02,193.58,193.93,192.19,193.06,6483910,193.06
2021-12-03,191.52,194.34,190.58,192.46,7016815,192.46
2021-12-06,193.5,194.07,192.43,193.25,1642855,193.25
2021-12-07,190.52,191.89,190.13,191.01,3038412,191.01
2021-12-08,192.03,193.23,189.89,191.56,1885894,191.56
2021-12-09,195.27,195.64,193.68,194.66,9148871,194.66
2021-12-10,191.79,192.18,190.54,191.36,8686706,191.36
2021-12-13,194.32,196.08,192.34,194.21,6059963,194.21
2021-12-14,193.04,193.43,191.75,192.59,5488707,192.59
2021-12-15,192.99,193.68,191.64,192.66,9070776,192.66
2021-12-16,192.2,194.69,191.61,193.15,2269929,193.15
2021-12-17,191.74,193.64,190.62,192.13,7176427,192.13
2021-12-20,197.12,198.18,194.88,196.53,7142538,196.53
2021-12-21,196.89,197.19,194.47,195.83,7349359,195.83
2021-12-22,195.15,197.13,194.09,195.61,7351225,195.61
2021-12-23,187.51,190.41,186.27,188.34,4094740,188.34
2021-12-27,189.53,191.4,188.12,189.76,7962593,189.76
2021-12-28,188.54,189.65,186.57,188.11,2877334,188.11
2021-12-29,192.55,194.29,192.33,193.31,8629921,193.31
2021-12-30,197.8,198.38,196.38,197.38,3124621,197.38
2021-12-31,191.91,192.53,188.65,190.59,5511674,190.59
2022-01-03,190.43,192.56,189.18,190.87,9694347,190.87
2022-01-04,197.35,197.85,195.07,196.46,9614712,196.46
2022-01-05,189.77,192.19,187.95,190.07,6406193,190.07
2022-01-06,196.11,197.05,195.01,196.03,6408524,196.03
2022-01-07,192.41,193.07,189.61,191.34,7781351,191.34
2022-01-10,193.53,194.92,191.96,193.44,9940923,193.44
2022-01-11,198.55,200.52,196.8,198.66,3245957,198.66
2022-01-12,194.1,195.61,193.51,194.56,3375778,194.56
2022-01-13,194.19,196.61,192.51,194.56,2782031,194.56
2022-01-14,194.33,197.03,192.81,194.92,3966186,194.92
2022-01-18,192.72,193.62,189.86,191.74,8981666,191.74
2022-01-19,191.98,193.85,191.57,192.71,4662888,192.71
2022-01-20,197.98,201.26,197.36,199.31,4036566,199.31
2022-01-21,198.03,198.73,195.39,197.06,4532789,197.06
2022-01-24,195.14,196.25,192.79,194.52,1574298,194.52
2022-01-25,192.63,192.87,191.01,191.94,2720317,191.94
2022-01-26,191.9,192.77,191.07,191.92,3701159,191.92
2022-01-27,192.37,193.4,190.94,192.17,4576448,192.17
2022-01-28,191.23,192.77,190.85,191.81,7475370,191.81
2022-01-31,195.76,198.14,195.2,196.67,5715369,196.67
2022-02-01,197.84,198.97,195.45,197.21,5209098,197.21
2022-02-02,191.86,194.42,190.76,192.59,4051860,192.59
2022-02-03,193.89,194.32,192.72,193.52,5886703,193.52
2022-02-04,193.56,194.65,190.31,192.48,8587345,192.48
2022-02-07,194.5,195.57,192.11,193.84,2383499,193.84
2022-02-08,192.08,193.81,191.89,192.85,3077920,192.85
2022-02-09,199.41,200.47,196.21,198.34,7343985,198.34
2022-02-10,197.27,198.53,194.19,196.36,1894541,196.36
2022-02-11,197.41,199.46,196.86,198.16,3771051,198.16
2022-02-14,200.25,201.42,197.88,199.65,7137897,199.65
2022-02-15,197.93,199.85,197.51,198.68,2216488,198.68
2022-02-16,197.49,197.74,195.84,196.79,9327517,196.79
2022-02-17,194.01,195.97,191.61,193.79,8280445,193.79
2022-02-18,195.93,197.87,193.45,195.66,6827646,195.66
2022-02-22,200.21,202.52,199.36,200.94,6612977,200.94
2022-02-23,200.78,202.56,200.34,201.45,9437530,201.45
2022-02-24,196.11,196.66,193.92,195.29,2091510,195.29
2022-02-25,194.6,196.74,193.92,195.33,3983614,195.33
2022-02-28,199.99,201.34,199.2,200.27,3644427,200.27
2022-03-01,194.28,194.93,191.85,193.39,3733829,193.39
2022-03-02,194.11,195.19,191.05,193.12,8868784,193.12
2022-03-03,202.51,204.37,200.23,202.3,4875325,202.3
2022-03-04,195.43,197.13,194.47,195.8,4638106,195.8
2022-03-07,201.5,204.02,201.12,202.57,2076163,202.57
2022-03-08,197.29,197.7,195.76,196.73,3063269,196.73
2022-03-09,198.67,199.79,197.67,198.73,5114277,198.73
2022-03-10,199.06,201.02,198.74,199.88,3501284,199.88
2022-03-11,199.75,203.64,199.12,201.38,3997844,201.38
2022-03-14,201.49,203.38,200.12,201.75,4575232,201.75
2022-03-15,200.43,201.53,198.71,200.12,4073811,200.12
2022-03-16,196.01,196.82,192.94,194.88,8709269,194.88
2022-03-17,196.83,197.23,194.15,195.69,1941677,195.69
2022-03-18,198.31,201.75,197.61,199.68,4900327,199.68
2022-03-21,195.18,196.56,194.18,195.37,2182592,195.37
2022-03-22,197.78,198.82,195.48,197.15,4818539,197.15
2022-03-23,200.88,202.52,200.7,201.61,9516560,201.61
2022-03-24,202.51,203.01,199.69,201.35,5890635,201.35
2022-03-25,202.44,203.09,199.65,201.37,3603991,201.37
2022-03-28,196.86,198.29,195.03,196.66,9714286,196.66
2022-03-29,204.23,206.36,202.62,204.49,7848353,204.49
2022-03-30,197.67,198.1,194.2,196.15,2733919,196.15
2022-03-31,194.77,196.41,194.07,195.24,4433540,195.24
2022-04-01,196.16,198.85,195.49,197.17,3143690,197.17
2022-04-04,203.53,204.3,200.02,202.16,6258232,202.16
2022-04-05,201.56,204.18,200.98,202.58,2485528,202.58
2022-04-06,200.91,203.39,200.47,201.93,4453365,201.93
2022-04-07,196.79,198.04,196.26,197.15,5162260,197.15
2022-04-08,202.94,205.5,201.84,203.67,9563700,203.67
2022-04-11,198.6,199.18,195.76,197.47,7100393,197.47
2022-04-12,195.89,196.67,195.11,195.89,4004600,195.89
2022-04-13,197.03,198.02,194.92,196.47,3569978,196.47
2022-04-14,200.19,201.81,199.31,200.56,6512345,200.56
2022-04-18,201.55,202.93,199.79,201.36,5277726,201.36
2022-04-19,203.05,206.44,201.8,204.12,4525697,204.12
2022-04-20,196.97,199.35,195.69,197.52,3120905,197.52
2022-04-21,203.75,206.21,203.17,204.69,5526969,204.69
2022-04-22,196.99,197.8,195.56,196.68,5122934,196.68
2022-04-25,202.63,205.84,202.06,203.95,7294405,203.95
2022-04-26,198.64,199.41,197.09,198.25,2191737,198.25
2022-04-27,202.9,205.14,201.52,203.33,5783948,203.33
2022-04-28,197.96,198.34,196.34,197.34,7472871,197.34
2022-04-29,203.64,204.24,201.92,203.08,6107184,203.08
2022-05-02,205.72,207.81,203.45,205.63,2227482,205.63
2022-05-03,200.95,203.61,200.07,201.84,9947695,201.84
2022-05-04,207.98,208.3,205.66,206.98,2064798,206.98
2022-05-05,206.11,209.85,205.35,207.6,2378087,207.6
2022-05-06,205.8,207.03,203.95,205.49,8631170,205.49
2022-05-09,203.96,207.08,203.54,205.31,3688642,205.31
2022-05-10,200.27,203.84,199.74,201.79,7839123,201.79
2022-05-11,205.85,206.63,202.75,204.69,7386310,204.69
2022-05-12,207.63,209.07,205.29,207.18,7972452,207.18
2022-05-13,205.2,208.11,204.01,206.06,2190819,206.06
2022-05-16,198.03,199.27,197.47,198.37,6725461,198.37
2022-05-17,205.59,207.33,203.55,205.44,8536604,205.44
2022-05-18,200.23,201.43,199.03,200.23,8438040,200.23
2022-05-19,206.68,209.37,205.69,207.53,3045297,207.53
2022-05-20,199.34,200.74,198.74,199.74,4945620,199.74
