date,open,high,low,close,volume,adjusted_close
2021-01-04,86.85,87.42,86.16,86.79,7822365,86.79
2021-01-05,83.62,83.81,83.13,83.47,6820702,83.47
2021-01-06,85.27,86.2,84.96,85.58,3390415,85.58
2021-01-07,85.97,87.1,85.44,86.27,1776262,86.27
2021-01-08,85.0,86.41,84.75,85.58,9476165,85.58
2021-01-11,84.88,85.28,84.24,84.76,7749892,84.76
2021-01-12,83.85,84.67,82.99,83.83,4805321,83.83
2021-01-13,86.46,87.23,86.33,86.78,8723524,86.78
2021-01-14,83.46,84.2,82.8,83.5,6709637,83.5
2021-01-15,85.79,86.58,84.82,85.7,9061725,85.7
2021-01-19,83.85,84.48,83.54,84.01,5743783,84.01
2021-01-20,85.24,85.64,84.72,85.18,5996527,85.18
2021-01-21,84.46,85.72,84.24,84.98,6741045,84.98
2021-01-22,86.32,86.66,85.66,86.16,9842936,86.16
2021-01-25,86.64,87.98,86.34,87.16,8320808,87.16
2021-01-26,84.31,85.05,83.77,84.41,4329072,84.41
2021-01-27,85.02,85.96,84.74,85.35,3980413,85.35
2021-01-28,83.24,83.97,83.01,83.49,2658334,83.49
2021-01-29,83.64,84.6,83.0,83.8,4460110,83.8
2021-02-01,84.7,85.85,84.11,84.98,1614024,84.98
2021-02-02,84.48,84.65,83.07,83.86,3730559,83.86
2021-02-03,86.09,86.8,85.98,86.39,2225364,86.39
2021-02-04,84.28,85.31,83.53,84.42,5536832,84.42
2021-02-05,84.31,85.65,83.81,84.73,7971937,84.73
2021-02-08,86.89,87.94,86.32,87.13,9892505,87.13
2021-02-09,85.35,86.06,84.28,85.17,4060130,85.17
2021-02-10,84.41,85.0,84.18,84.59,4525618,84.59
2021-02-11,83.49,84.52,83.32,83.92,1692164,83.92
2021-02-12,87.69,88.06,86.74,87.4,8796622,87.4
2021-02-16,84.63,85.2,84.3,84.75,2398027,84.75
2021-02-17,83.45,84.53,83.03,83.78,6209698,83.78
2021-02-18,84.42,84.69,83.25,83.97,3937591,83.97
2021-02-19,85.22,85.47,84.29,84.88,4857509,84.88
2021-02-22,85.41,85.79,84.61,85.2,9670458,85.2
2021-02-23,85.54,86.24,85.46,85.85,4228960,85.85
2021-02-24,84.5,84.88,83.14,84.01,7667028,84.01
2021-02-25,83.71,84.54,83.62,84.08,2049280,84.08
2021-02-26,85.92,86.59,85.19,85.89,8921882,85.89
2021-03-01,86.83,87.8,86.4,87.1,8735381,87.1
2021-03-02,83.63,84.07,82.87,83.47,6454213,83.47
2021-03-03,85.16,86.03,84.89,85.46,2844654,85.46
2021-03-04,87.33,87.84,86.3,87.07,5429897,87.07
2021-03-05,84.02,85.32,83.46,84.39,6091940,84.39
2021-03-08,84.06,84.39,83.01,83.7,9622786,83.7
2021-03-09,85.26,86.1,84.28,85.19,7614284,85.19
2021-03-10,88.03,88.23,86.59,87.41,4234958,87.41
2021-03-11,86.09,87.14,85.2,86.17,6869396,86.17
2021-03-12,86.76,87.09,85.65,86.37,7032787,86.37
2021-03-15,84.8,85.06,84.1,84.58,9713583,84.58
2021-03-16,86.63,86.77,85.97,86.37,2080713,86.37
2021-03-17,86.92,87.06,85.96,86.51,5884397,86.51
2021-03-18,86.26,87.46,85.86,86.66,6102255,86.66
2021-03-19,84.56,85.09,83.85,84.47,8310367,84.47
2021-03-22,86.25,86.84,85.5,86.17,7898126,86.17
2021-03-23,84.07,84.3,82.5,83.4,1995037,83.4
2021-03-24,87.1,87.8,86.92,87.36,4626571,87.36
2021-03-25,86.63,87.65,86.31,86.98,4961774,86.98
2021-03-26,86.34,86.52,85.56,86.04,8133031,86.04
2021-03-29,84.44,85.1,83.84,84.47,5123318,84.47
2021-03-30,85.78,86.79,85.49,86.14,3063372,86.14
2021-03-31,86.62,86.74,85.72,86.23,8147038,86.23
