date,open,high,low,close,volume,adjusted_close
2021-01-04,40.36,40.52,40.04,40.28,2477737,40.28
2021-01-05,39.55,39.85,39.25,39.55,8922920,39.55
2021-01-06,39.74,40.02,39.36,39.69,6601488,39.69
2021-01-07,40.5,40.88,40.1,40.49,3415961,40.49
2021-01-08,41.46,41.65,40.83,41.24,6413667,41.24
2021-01-11,40.36,40.59,39.77,40.18,9307422,40.18
2021-01-12,41.54,41.77,41.33,41.55,4338677,41.55
2021-01-13,40.93,41.27,40.45,40.86,6659969,40.86
2021-01-14,41.87,42.17,41.27,41.72,2287337,41.72
2021-01-15,40.89,41.29,40.79,41.04,3488490,41.04
2021-01-19,41.6,41.82,41.18,41.5,3312375,41.5
2021-01-20,41.74,42.32,41.48,41.9,4922421,41.9
2021-01-21,42.59,42.86,41.98,42.42,9940779,42.42
2021-01-22,41.88,42.29,41.55,41.92,7318995,41.92
2021-01-25,42.83,43.57,42.61,43.09,8413693,43.09
2021-01-26,42.14,42.34,42.0,42.17,8307152,42.17
2021-01-27,41.86,42.04,41.46,41.75,6761259,41.75
2021-01-28,42.92,43.16,42.64,42.9,3229243,42.9
2021-01-29,42.36,42.44,41.74,42.09,8873838,42.09
2021-02-01,43.13,43.46,43.02,43.24,2622174,43.24
2021-02-02,42.24,42.34,41.88,42.11,3584629,42.11
2021-02-03,43.21,43.67,42.83,43.25,2595315,43.25
2021-02-04,42.39,42.76,42.0,42.38,3763801,42.38
2021-02-05,43.74,44.2,43.54,43.87,9329620,43.87
2021-02-08,44.5,44.6,44.12,44.36,5875830,44.36
2021-02-09,43.04,43.54,42.96,43.25,7746403,43.25
2021-02-10,44.52,44.74,44.28,44.51,5732122,44.51
2021-02-11,43.08,43.31,42.49,42.9,7560462,42.9
2021-02-12,43.62,43.95,43.47,43.71,5498582,43.71
2021-02-16,43.89,43.96,43.5,43.73,8135675,43.73
2021-02-17,44.2,44.52,43.8,44.16,7609885,44.16
2021-02-18,43.71,44.0,43.44,43.72,9222998,43.72
2021-02-19,44.91,45.49,44.55,45.02,7003628,45.02
2021-02-22,45.03,45.8,44.92,45.36,9126963,45.36
2021-02-23,44.17,44.82,44.04,44.43,2219047,44.43
2021-02-24,44.96,45.53,44.81,45.17,1831131,45.17
2021-02-25,45.28,45.52,44.76,45.14,4132938,45.14
2021-02-26,45.61,45.92,45.28,45.6,4097961,45.6
2021-03-01,46.0,46.27,45.35,45.81,7856221,45.81
2021-03-02,45.14,45.48,44.52,45.0,7938535,45.0
2021-03-03,46.04,46.31,45.61,45.96,2450371,45.96
2021-03-04,45.21,45.27,44.83,45.05,9396317,45.05
2021-03-05,45.06,45.41,44.81,45.11,2819552,45.11
