date,open,high,low,close,volume,adjusted_close
2021-01-04,214.69,216.02,211.28,213.65,8256542,213.65
2021-01-05,213.23,213.75,210.71,212.23,2889913,212.23
2021-01-06,213.16,215.08,211.88,213.48,5331870,213.48
2021-01-07,211.71,214.31,210.11,212.21,9171068,212.21
2021-01-08,207.97,209.08,205.6,207.34,2715738,207.34
2021-01-11,206.83,209.23,205.65,207.44,5664743,207.44
2021-01-12,212.13,215.88,211.52,213.7,7426724,213.7
2021-01-13,214.29,215.81,211.69,213.75,2004213,213.75
2021-01-14,205.47,208.76,204.98,206.87,1807603,206.87
2021-01-15,212.81,213.25,210.65,211.95,4241193,211.95
2021-01-19,206.87,209.36,204.66,207.01,8664197,207.01
2021-01-20,205.61,208.25,204.25,206.25,5151864,206.25
2021-01-21,213.33,214.57,209.81,212.19,5634144,212.19
2021-01-22,210.29,211.14,209.06,210.1,8933969,210.1
2021-01-25,213.76,214.44,212.08,213.26,7728381,213.26
2021-01-26,211.29,212.79,210.73,211.76,1656417,211.76
2021-01-27,209.07,210.2,208.34,209.27,7430909,209.27
2021-01-28,205.11,207.5,204.78,206.14,9298402,206.14
2021-01-29,213.65,215.67,211.07,213.37,7374286,213.37
2021-02-01,213.19,213.5,211.76,212.63,4123352,212.63
2021-02-02,206.55,207.87,204.31,206.09,4746293,206.09
2021-02-03,215.86,217.69,215.11,216.4,4980739,216.4
2021-02-04,207.45,208.42,206.22,207.32,9545726,207.32
2021-02-05,213.95,215.05,210.45,212.75,6153586,212.75
2021-02-08,211.0,213.24,210.54,211.89,6804247,211.89
2021-02-09,205.5,207.97,204.49,206.23,2566739,206.23
2021-02-10,208.35,210.98,206.6,208.79,6610830,208.79
2021-02-11,212.4,215.38,210.8,213.09,5146985,213.09
2021-02-12,211.39,211.64,209.58,210.61,8215518,210.61
2021-02-16,207.59,208.5,206.6,207.55,3813162,207.55
2021-02-17,209.56,210.39,207.43,208.91,8558062,208.91
2021-02-18,210.01,210.88,206.72,208.8,9314469,208.8
2021-02-19,206.11,207.06,204.26,205.66,5333256,205.66
2021-02-22,210.04,212.12,208.2,210.16,5929957,210.16
2021-02-23,214.9,215.36,212.26,213.81,8586315,213.81
2021-02-24,214.95,215.89,211.43,213.66,4261429,213.66
2021-02-25,212.6,213.22,211.08,212.15,4842621,212.15
2021-02-26,206.51,208.53,205.27,206.9,1920028,206.9
2021-03-01,209.55,210.32,207.84,209.08,2122939,209.08
2021-03-02,214.3,215.16,213.44,214.3,1553400,214.3
2021-03-03,214.09,215.75,211.71,213.73,9837809,213.73
2021-03-04,207.3,209.21,206.13,207.67,4094268,207.67
2021-03-05,213.64,215.43,210.95,213.19,2926530,213.19
2021-03-08,208.89,209.16,206.92,208.04,9696078,208.04
2021-03-09,213.06,214.17,210.07,212.12,5713263,212.12
2021-03-10,206.59,207.35,205.53,206.44,8769008,206.44
2021-03-11,216.84,217.79,213.29,215.54,6393829,215.54
2021-03-12,213.4,214.94,213.06,214.0,6428808,214.0
2021-03-15,213.21,215.64,211.9,213.77,9446345,213.77
2021-03-16,210.56,213.13,209.99,211.56,9584168,211.56
2021-03-17,212.19,213.42,211.22,212.32,6410674,212.32
2021-03-18,211.1,212.6,210.62,211.61,1774014,211.61
2021-03-19,208.59,209.17,206.27,207.72,9380710,207.72
2021-03-22,214.17,215.35,213.51,214.43,8296106,214.43
2021-03-23,208.09,209.09,205.77,207.43,9795980,207.43
2021-03-24,209.0,209.66,206.8,208.23,6699907,208.23
2021-03-25,209.31,213.08,208.48,210.78,7504488,210.78
2021-03-26,205.42,208.94,204.98,206.96,2249361,206.96
2021-03-29,210.92,212.52,209.72,211.12,2435953,211.12
2021-03-30,210.31,211.87,209.03,210.45,4919555,210.45
2021-03-31,210.33,213.17,208.87,211.02,8017224,211.02
2021-04-01,205.53,208.08,204.68,206.38,7261935,206.38
2021-04-05,211.63,213.2,210.74,211.97,2351386,211.97
2021-04-06,211.19,213.89,210.47,212.18,2441931,212.18
2021-04-07,210.51,212.03,210.11,211.07,1891211,211.07
2021-04-08,206.62,207.0,204.9,205.95,3504472,205.95
2021-04-09,206.78,208.05,204.19,206.12,7139657,206.12
2021-04-12,210.99,211.5,209.52,210.51,3380464,210.51
2021-04-13,210.11,212.72,209.24,210.98,5507535,210.98
2021-04-14,212.78,213.27,208.85,211.06,5799279,211.06
2021-04-15,204.18,207.44,202.98,205.21,8163937,205.21
2021-04-16,213.89,215.55,212.41,213.98,9720117,213.98
2021-04-19,210.42,212.32,209.56,210.94,9638901,210.94
2021-04-20,211.9,212.56,208.7,210.63,2084953,210.63
2021-04-21,208.6,209.89,206.81,208.35,4813568,208.35
2021-04-22,211.54,212.23,210.21,211.22,3501816,211.22
2021-04-23,206.46,207.01,204.11,205.56,7615911,205.56
2021-04-26,208.65,209.63,207.45,208.54,2030925,208.54
2021-04-27,206.06,208.24,204.2,206.22,7638116,206.22
2021-04-28,208.78,210.19,207.53,208.86,3838597,208.86
2021-04-29,211.35,212.89,210.37,211.63,8144589,211.63
2021-04-30,209.25,209.65,207.29,208.47,7386233,208.47
2021-05-03,208.02,210.05,207.11,208.58,3663061,208.58
2021-05-04,206.68,207.24,203.22,205.23,5961916,205.23
2021-05-05,205.95,208.28,205.4,206.84,2998809,206.84
2021-05-06,207.97,208.83,205.65,207.24,4243823,207.24
2021-05-07,212.68,215.17,211.51,213.34,5842742,213.34
2021-05-10,205.74,209.09,205.33,207.21,2358401,207.21
2021-05-11,205.22,207.83,204.15,205.99,3217299,205.99
2021-05-12,214.62,215.39,211.55,213.47,5673750,213.47
2021-05-13,207.64,209.88,207.34,208.61,8210242,208.61
2021-05-14,203.87,207.76,203.44,205.6,3109680,205.6
2021-05-17,210.98,212.73,210.15,211.44,7642342,211.44
2021-05-18,204.77,205.87,204.01,204.94,6544911,204.94
2021-05-19,202.77,206.82,202.32,204.57,4540640,204.57
2021-05-20,208.79,209.98,207.74,208.86,9686677,208.86
2021-05-21,207.0,208.86,206.72,207.79,1746723,207.79
2021-05-24,206.84,207.4,203.38,205.39,1834316,205.39
2021-05-25,209.46,210.13,207.55,208.84,2786944,208.84
2021-05-26,211.04,213.94,209.34,211.64,3520587,211.64
2021-05-27,212.43,214.31,211.99,213.15,8939529,213.15
2021-05-28,208.23,210.51,207.11,208.81,4158983,208.81
2021-06-01,207.58,208.43,204.55,206.49,5913108,206.49
2021-06-02,208.16,209.07,205.93,207.5,2832621,207.5
2021-06-03,208.73,209.56,207.48,208.52,2135170,208.52
2021-06-04,212.04,212.45,210.31,211.38,3446871,211.38
2021-06-07,207.0,208.57,206.23,207.4,6817783,207.4
2021-06-08,210.36,211.53,206.83,209.18,2870945,209.18
2021-06-09,207.5,208.47,205.97,207.22,4753091,207.22
2021-06-10,204.2,205.62,203.56,204.59,7794821,204.59
2021-06-11,210.5,212.01,210.07,211.04,8826812,211.04
2021-06-14,207.18,208.55,205.57,207.06,5643164,207.06
2021-06-15,212.96,215.2,210.72,212.96,4888680,212.96
2021-06-16,211.65,213.17,209.63,211.4,8497887,211.4
2021-06-17,211.85,214.38,210.76,212.57,5803140,212.57
2021-06-18,204.85,206.8,203.5,205.15,5790831,205.15
