date,open,high,low,close,volume,adjusted_close
2021-01-04,82.92,83.81,82.19,83.0,7362915,83.0
2021-01-05,85.29,85.4,84.68,85.04,7322155,85.04
2021-01-06,86.03,86.39,85.55,85.97,7840367,85.97
2021-01-07,85.04,85.65,84.61,85.13,7538591,85.13
2021-01-08,83.25,84.1,82.7,83.4,4786589,83.4
2021-01-11,85.18,85.31,84.31,84.81,8951037,84.81
2021-01-12,84.18,84.9,83.48,84.19,5120039,84.19
2021-01-13,85.76,86.3,85.5,85.9,3768263,85.9
2021-01-14,86.77,87.27,85.85,86.56,4100935,86.56
2021-01-15,85.19,85.59,84.69,85.14,7342126,85.14
2021-01-19,85.8,86.25,85.43,85.84,2445715,85.84
2021-01-20,84.58,85.37,84.29,84.83,2278097,84.83
2021-01-21,87.77,88.58,87.46,88.02,9126098,88.02
2021-01-22,86.98,87.61,86.91,87.26,7113200,87.26
2021-01-25,85.07,85.24,84.5,84.87,9282307,84.87
2021-01-26,84.27,85.26,83.82,84.54,6874741,84.54
2021-01-27,88.49,89.08,87.7,88.39,2889727,88.39
2021-01-28,88.69,90.04,88.06,89.05,2923142,89.05
2021-01-29,88.0,88.12,87.18,87.65,2680877,87.65
2021-02-01,87.38,87.66,86.58,87.12,7508944,87.12
2021-02-02,87.72,88.45,86.71,87.58,5982768,87.58
2021-02-03,87.75,88.01,86.13,87.07,2679036,87.07
2021-02-04,88.92,89.3,88.32,88.81,4457331,88.81
2021-02-05,88.23,88.56,87.52,88.04,5700938,88.04
2021-02-08,86.3,87.58,85.88,86.73,9069615,86.73
2021-02-09,90.09,90.57,89.75,90.16,4238111,90.16
2021-02-10,88.53,88.85,88.05,88.45,7251010,88.45
2021-02-11,85.87,86.72,85.72,86.22,9634485,86.22
2021-02-12,87.21,87.83,87.13,87.48,7566801,87.48
2021-02-16,90.11,90.98,89.68,90.33,7430263,90.33
2021-02-17,89.58,90.62,89.4,90.01,5315205,90.01
2021-02-18,88.46,89.01,88.17,88.59,6831864,88.59
2021-02-19,90.42,91.09,90.03,90.56,4459787,90.56
2021-02-22,90.03,90.67,89.93,90.3,9778403,90.3
2021-02-23,89.84,90.08,88.72,89.4,6509272,89.4
2021-02-24,91.7,92.27,90.25,91.26,1879742,91.26
2021-02-25,87.38,87.62,86.84,87.23,5716059,87.23
2021-02-26,90.45,91.11,89.37,90.24,7580612,90.24
2021-03-01,88.59,89.97,88.31,89.14,8816407,89.14
2021-03-02,89.15,90.19,89.01,89.6,8639602,89.6
2021-03-03,88.33,89.04,87.9,88.47,5063148,88.47
2021-03-04,91.56,92.08,90.24,91.16,7814222,91.16
2021-03-05,90.95,91.12,89.88,90.5,7344156,90.5
2021-03-08,91.15,91.92,90.84,91.38,9500739,91.38
2021-03-09,88.66,89.29,87.37,88.33,2744537,88.33
2021-03-10,90.67,91.04,90.0,90.52,8498934,90.52
2021-03-11,91.82,92.73,91.71,92.22,3452481,92.22
2021-03-12,91.78,92.53,91.65,92.09,6614165,92.09
2021-03-15,90.3,91.09,89.11,90.1,1747490,90.1
2021-03-16,93.39,93.83,91.91,92.87,5195827,92.87
2021-03-17,93.98,94.29,92.59,93.44,4513752,93.44
2021-03-18,91.09,92.48,90.6,91.54,4202976,91.54
2021-03-19,92.72,93.98,92.1,93.04,9085223,93.04
2021-03-22,91.64,92.84,91.08,91.96,2075462,91.96
2021-03-23,90.52,90.67,89.33,90.0,5224719,90.0
2021-03-24,90.54,90.75,90.01,90.38,6017501,90.38
2021-03-25,90.28,90.97,88.93,89.95,2243096,89.95
2021-03-26,91.78,92.52,90.58,91.55,7586132,91.55
2021-03-29,92.3,93.63,91.95,92.79,5507851,92.79
2021-03-30,93.4,93.55,92.47,93.01,6914236,93.01
2021-03-31,92.9,93.74,92.06,92.9,1727800,92.9
2021-04-01,90.68,91.88,90.16,91.02,9109860,91.02
2021-04-05,90.12,91.56,89.72,90.64,1876572,90.64
2021-04-06,92.29,92.74,91.78,92.26,3500923,92.26
2021-04-07,90.69,91.75,90.33,91.04,3228575,91.04
2021-04-08,92.64,92.96,91.96,92.46,2607578,92.46
2021-04-09,93.1,93.68,92.3,92.99,5528768,92.99
2021-04-12,95.76,96.09,94.81,95.45,8403104,95.45
2021-04-13,94.43,94.72,93.66,94.19,5411983,94.19
2021-04-14,93.02,94.02,92.48,93.25,8315385,93.25
2021-04-15,93.78,94.13,93.33,93.73,2463806,93.73
2021-04-16,94.2,96.0,94.0,95.0,7526080,95.0
2021-04-19,96.22,97.0,96.04,96.52,8232569,96.52
2021-04-20,92.41,92.96,91.86,92.41,7252440,92.41
2021-04-21,92.85,93.18,91.12,92.15,2905994,92.15
2021-04-22,94.91,95.32,94.42,94.87,6134765,94.87
2021-04-23,95.31,95.91,94.37,95.14,9335331,95.14
2021-04-26,94.19,95.39,93.55,94.47,5895865,94.47
2021-04-27,93.46,94.63,92.65,93.64,8572431,93.64
2021-04-28,96.24,96.93,95.99,96.46,2906817,96.46
2021-04-29,95.46,95.67,94.75,95.21,7464467,95.21
2021-04-30,96.43,96.73,95.65,96.19,8334782,96.19
2021-05-03,96.23,96.96,95.68,96.32,5024753,96.32
2021-05-04,95.0,95.67,94.73,95.2,8476819,95.2
2021-05-05,94.83,95.75,94.63,95.19,4762888,95.19
2021-05-06,94.35,95.02,92.86,93.94,8553499,93.94
2021-05-07,95.72,96.0,94.9,95.45,6065185,95.45
2021-05-10,93.56,94.45,93.31,93.88,4798892,93.88
2021-05-11,97.85,98.76,96.9,97.83,6044361,97.83
2021-05-12,97.35,97.85,95.75,96.8,5909586,96.8
2021-05-13,94.23,94.72,93.82,94.27,6938116,94.27
2021-05-14,97.55,98.64,97.24,97.94,2587212,97.94
2021-05-17,97.54,99.39,97.31,98.35,2260081,98.35
2021-05-18,98.73,99.61,97.57,98.59,7726927,98.59
2021-05-19,98.69,99.02,98.08,98.55,6993415,98.55
2021-05-20,95.18,96.83,94.69,95.76,6021693,95.76
