date,open,high,low,close,volume,adjusted_close
2021-01-04,274.09,275.94,269.96,272.95,4850939,272.95
2021-01-05,270.35,274.09,269.03,271.56,5843856,271.56
2021-01-06,267.47,269.21,265.73,267.47,4465800,267.47
2021-01-07,269.19,270.43,268.09,269.26,1895157,269.26
2021-01-08,267.18,268.49,263.63,266.06,9803503,266.06
2021-01-11,272.95,273.71,267.83,270.77,9760637,270.77
2021-01-12,267.85,270.62,266.08,268.35,3316989,268.35
2021-01-13,267.43,267.81,265.27,266.54,5199515,266.54
2021-01-14,273.82,274.95,269.83,272.39,7389908,272.39
2021-01-15,276.13,276.9,273.06,274.98,2653110,274.98
2021-01-19,272.09,273.17,267.47,270.32,3527031,270.32
2021-01-20,275.64,276.77,272.57,274.67,2469823,274.67
2021-01-21,268.15,271.22,265.74,268.48,4951874,268.48
2021-01-22,269.66,270.11,267.63,268.87,2857912,268.87
2021-01-25,273.79,279.1,272.92,276.01,6177444,276.01
2021-01-26,273.34,275.76,270.82,273.29,9393401,273.29
2021-01-27,274.6,276.33,273.83,275.08,3806661,275.08
2021-01-28,268.94,269.96,266.44,268.2,3367101,268.2
2021-01-29,277.88,280.91,276.87,278.89,2302415,278.89
2021-02-01,275.66,280.61,274.99,277.8,5939122,277.8
2021-02-02,274.82,276.08,272.0,274.04,1684619,274.04
2021-02-03,273.08,275.81,270.35,273.08,8735320,273.08
2021-02-04,274.21,276.51,270.77,273.64,7590930,273.64
2021-02-05,279.68,281.23,277.71,279.47,7567646,279.47
2021-02-08,280.53,281.78,279.22,280.5,9107561,280.5
2021-02-09,278.13,282.63,277.57,280.1,2046401,280.1
2021-02-10,274.67,276.4,273.9,275.15,4185061,275.15
2021-02-11,277.95,282.2,276.04,279.12,2971541,279.12
2021-02-12,273.61,275.6,273.34,274.47,7097202,274.47
2021-02-16,277.13,278.0,275.76,276.88,3264451,276.88
2021-02-17,276.03,277.41,274.19,275.8,7323887,275.8
2021-02-18,283.4,284.49,280.45,282.47,4140463,282.47
2021-02-19,277.73,278.89,276.19,277.54,6506767,277.54
