date,open,high,low,close,volume,adjusted_close
2021-01-04,318.1,321.07,314.17,317.62,4926287,317.62
2021-01-05,319.48,321.79,319.19,320.49,8756401,320.49
2021-01-06,326.38,329.5,324.78,327.14,2733464,327.14
2021-01-07,323.68,327.29,320.61,323.95,4947876,323.95
2021-01-08,317.23,321.68,316.38,319.03,7610086,319.03
2021-01-11,316.59,318.35,315.65,317.0,7504505,317.0
2021-01-12,327.5,328.68,321.76,325.22,4009433,325.22
2021-01-13,323.42,327.0,321.74,324.37,4610982,324.37
2021-01-14,333.64,334.32,329.48,331.9,4718316,331.9
2021-01-15,329.89,331.46,328.04,329.75,3618924,329.75
2021-01-19,328.19,333.19,327.51,330.35,4227842,330.35
2021-01-20,335.32,339.25,333.47,336.36,7139942,336.36
2021-01-21,325.44,325.76,322.88,324.32,4202159,324.32
2021-01-22,329.95,330.67,327.91,329.29,5734704,329.29
2021-01-25,325.2,327.99,320.83,324.41,6577491,324.41
2021-01-26,329.45,331.63,326.89,329.26,8964364,329.26
2021-01-27,327.02,327.81,325.19,326.5,5561100,326.5
2021-01-28,326.98,331.28,325.54,328.41,2300095,328.41
2021-01-29,334.7,336.26,330.5,333.38,7943743,333.38
2021-02-01,331.29,335.9,329.22,332.56,3118021,332.56
2021-02-02,338.8,340.38,333.78,337.08,3982066,337.08
2021-02-03,339.94,344.43,337.41,340.92,4527226,340.92
2021-02-04,338.49,339.76,336.24,338.0,4231174,338.0
2021-02-05,331.2,333.4,326.92,330.16,3047016,330.16
2021-02-08,329.64,332.39,326.29,329.34,3677805,329.34
2021-02-09,338.28,339.76,336.62,338.19,3529163,338.19
2021-02-10,333.83,338.27,333.11,335.69,4169124,335.69
2021-02-11,339.12,339.63,336.45,338.04,4815914,338.04
2021-02-12,340.28,342.46,339.52,340.99,1621856,340.99
2021-02-16,332.21,335.22,330.86,333.04,4461701,333.04
2021-02-17,345.57,349.59,343.59,346.59,8059143,346.59
2021-02-18,340.22,345.19,337.99,341.59,9600581,341.59
2021-02-19,332.48,336.87,330.01,333.44,3604026,333.44
2021-02-22,345.77,349.76,343.72,346.74,1788344,346.74
2021-02-23,341.0,343.36,339.84,341.6,8542023,341.6
2021-02-24,345.08,350.36,343.76,347.06,6215210,347.06
2021-02-25,345.62,346.28,342.8,344.54,3890471,344.54
2021-02-26,338.76,342.42,338.26,340.34,1534242,340.34
2021-03-01,341.36,345.87,339.33,342.6,5025061,342.6
2021-03-02,343.97,348.47,341.85,345.16,9969862,345.16
2021-03-03,351.93,356.15,350.81,353.48,2153371,353.48
2021-03-04,345.59,351.53,344.29,347.91,2503528,347.91
2021-03-05,353.85,354.34,350.56,352.45,7579277,352.45
2021-03-08,343.54,345.08,339.94,342.51,3626220,342.51
2021-03-09,350.59,353.41,345.59,349.5,8159094,349.5
2021-03-10,347.47,348.86,344.38,346.62,5103099,346.62
2021-03-11,350.01,353.53,348.71,351.12,8017857,351.12
2021-03-12,353.72,356.07,351.55,353.81,2350598,353.81
2021-03-15,343.78,348.65,340.79,344.72,6338348,344.72
2021-03-16,351.23,354.82,350.1,352.46,7969454,352.46
2021-03-17,349.12,350.38,343.76,347.07,8314311,347.07
2021-03-18,343.32,346.23,339.91,343.07,9963404,343.07
2021-03-19,355.01,358.54,354.62,356.58,6868080,356.58
2021-03-22,351.41,353.0,347.32,350.16,4826782,350.16
2021-03-23,350.12,351.31,343.87,347.59,8106634,347.59
2021-03-24,357.24,362.04,356.58,359.31,4958722,359.31
2021-03-25,345.11,350.79,343.95,347.37,9299367,347.37
2021-03-26,350.98,351.68,348.64,350.16,1873107,350.16
2021-03-29,359.2,363.39,356.63,360.01,7434508,360.01
2021-03-30,349.98,352.83,348.45,350.64,6812745,350.64
2021-03-31,352.07,357.37,350.01,353.69,9057378,353.69
2021-04-01,361.27,364.67,358.81,361.74,8742032,361.74
