date,open,high,low,close,volume,adjusted_close
2021-01-04,50.23,50.52,49.62,50.07,7819498,50.07
2021-01-05,49.95,50.92,49.8,50.36,9302643,50.36
2021-01-06,49.57,49.92,49.32,49.62,9150992,49.62
2021-01-07,51.25,51.71,50.65,51.18,5873327,51.18
2021-01-08,49.81,50.2,49.4,49.8,7012281,49.8
2021-01-11,50.46,50.57,49.73,50.15,1642637,50.15
2021-01-12,51.33,51.59,51.11,51.35,2076115,51.35
2021-01-13,51.94,52.06,51.1,51.58,7368158,51.58
2021-01-14,51.73,52.32,51.42,51.87,4639145,51.87
2021-01-15,52.5,52.82,52.28,52.55,3806271,52.55
2021-01-19,53.15,53.49,52.57,53.03,8618693,53.03
2021-01-20,52.38,52.59,51.91,52.25,3343899,52.25
2021-01-21,52.97,53.5,52.58,53.04,2639792,53.04
2021-01-22,51.87,52.11,51.03,51.57,6831828,51.57
2021-01-25,52.36,52.76,51.64,52.2,6876934,52.2
2021-01-26,51.97,52.03,51.57,51.8,6569357,51.8
2021-01-27,52.03,52.62,51.5,52.06,4565637,52.06
2021-01-28,51.97,52.58,51.68,52.13,1833942,52.13
2021-01-29,52.96,53.12,52.52,52.82,7276383,52.82
2021-02-01,53.56,53.88,52.74,53.31,2694782,53.31
2021-02-02,53.46,54.24,53.02,53.63,8739146,53.63
2021-02-03,54.36,54.76,53.54,54.15,8328297,54.15
2021-02-04,53.75,54.35,53.57,53.96,6743613,53.96
2021-02-05,53.4,54.29,53.25,53.77,4601364,53.77
2021-02-08,53.55,53.94,53.5,53.72,5439201,53.72
2021-02-09,53.48,54.42,53.32,53.87,3503925,53.87
2021-02-10,52.54,53.26,52.46,52.86,3722320,52.86
2021-02-11,53.68,54.26,53.22,53.74,3464114,53.74
2021-02-12,53.17,53.41,52.93,53.17,8681160,53.17
2021-02-16,54.68,55.15,54.15,54.65,3365803,54.65
2021-02-17,56.02,56.56,55.88,56.22,7452490,56.22
2021-02-18,54.57,54.8,53.66,54.23,7591830,54.23
2021-02-19,55.84,55.89,55.39,55.64,4727759,55.64
2021-02-22,56.65,56.9,56.06,56.48,2006220,56.48
2021-02-23,54.81,55.7,54.5,55.1,3776736,55.1
2021-02-24,54.74,55.42,54.26,54.84,4158831,54.84
2021-02-25,56.26,57.09,55.81,56.45,4767545,56.45
2021-02-26,55.11,55.71,54.49,55.1,4019241,55.1
2021-03-01,56.03,56.21,54.95,55.58,9576396,55.58
2021-03-02,55.26,55.78,54.52,55.15,1579649,55.15
2021-03-03,54.94,55.8,54.6,55.2,7445938,55.2
2021-03-04,56.03,56.29,55.71,56.0,3815725,56.0
2021-03-05,55.46,55.94,55.18,55.56,4974107,55.56
2021-03-08,56.9,57.12,56.04,56.58,7531510,56.58
2021-03-09,56.79,57.02,56.08,56.55,3417186,56.55
2021-03-10,57.68,58.47,57.47,57.97,5312091,57.97
2021-03-11,57.97,58.3,57.42,57.86,8299973,57.86
2021-03-12,57.92,58.57,57.55,58.06,9444746,58.06
2021-03-15,57.49,57.77,56.71,57.24,7227504,57.24
2021-03-16,56.96,57.35,56.73,57.04,4133227,57.04
