date,open,high,low,close,volume,adjusted_close
2021-01-04,87.17,87.34,86.26,86.8,2270794,86.8
2021-01-05,90.33,90.69,89.53,90.11,6957099,90.11
2021-01-06,88.8,89.38,88.38,88.88,2056032,88.88
2021-01-07,88.11,88.37,87.37,87.87,8866384,87.87
2021-01-08,88.41,89.68,87.66,88.67,7756347,88.67
2021-01-11,88.1,88.51,87.45,87.98,2624291,87.98
2021-01-12,91.51,91.73,90.13,90.93,6682396,90.93
2021-01-13,89.06,90.24,88.4,89.32,5146026,89.32
2021-01-14,92.15,92.47,91.03,91.75,1755028,91.75
2021-01-15,90.31,91.57,89.75,90.66,8761621,90.66
2021-01-19,91.23,91.42,89.7,90.56,9903359,90.56
2021-01-20,91.56,92.49,90.55,91.52,9188682,91.52
2021-01-21,88.03,89.26,87.8,88.53,6901686,88.53
2021-01-22,93.19,93.78,92.56,93.17,7981002,93.17
2021-01-25,92.08,93.54,91.54,92.54,6070737,92.54
2021-01-26,92.31,92.78,91.58,92.18,3388851,92.18
2021-01-27,92.84,93.13,92.21,92.67,3838619,92.67
2021-01-28,91.2,91.35,89.99,90.67,9388319,90.67
2021-01-29,93.22,94.77,92.93,93.85,7515766,93.85
2021-02-01,92.56,93.38,92.14,92.76,5377704,92.76
2021-02-02,91.0,92.12,90.8,91.46,9254565,91.46
2021-02-03,94.19,94.48,93.68,94.08,9189254,94.08
2021-02-04,91.85,92.81,90.99,91.9,4744117,91.9
2021-02-05,92.01,92.63,91.31,91.97,5654763,91.97
2021-02-08,93.85,94.06,93.16,93.61,2676867,93.61
2021-02-09,93.62,94.11,92.53,93.32,6838539,93.32
2021-02-10,95.65,96.99,95.41,96.2,8094885,96.2
2021-02-11,93.74,95.22,93.3,94.26,7804973,94.26
2021-02-12,95.67,96.37,94.31,95.34,1949736,95.34
2021-02-16,93.83,94.83,92.87,93.85,7233479,93.85
2021-02-17,95.23,95.62,94.4,95.01,8715898,95.01
2021-02-18,92.73,93.48,92.64,93.06,7999761,93.06
2021-02-19,97.27,97.69,96.77,97.23,4355564,97.23
2021-02-22,97.52,98.31,97.09,97.7,4964345,97.7
2021-02-23,95.72,96.13,94.47,95.3,5306145,95.3
2021-02-24,97.19,97.67,95.57,96.62,7423987,96.62
2021-02-25,96.02,96.4,94.6,95.5,3705109,95.5
2021-02-26,97.3,97.55,95.97,96.76,4949034,96.76
2021-03-01,98.46,98.82,97.52,98.17,2472702,98.17
2021-03-02,99.45,99.94,98.5,99.22,4851816,99.22
2021-03-03,98.86,99.09,98.29,98.69,9537101,98.69
2021-03-04,95.39,96.73,95.13,95.93,9808086,95.93
2021-03-05,95.27,96.57,94.93,95.75,2831691,95.75
2021-03-08,99.96,100.63,99.35,99.99,6686198,99.99
2021-03-09,96.38,97.27,95.55,96.41,3588198,96.41
2021-03-10,98.64,98.99,96.79,97.89,3914794,97.89
2021-03-11,98.46,99.32,97.98,98.65,6719306,98.65
2021-03-12,100.06,100.85,98.97,99.91,5106208,99.91
2021-03-15,97.63,98.66,97.02,97.84,3706187,97.84
2021-03-16,96.4,97.81,95.91,96.86,6905616,96.86
2021-03-17,97.16,98.11,96.97,97.54,8599287,97.54
2021-03-18,100.41,100.93,99.49,100.21,4857414,100.21
2021-03-19,99.11,99.62,98.34,98.98,8863250,98.98
2021-03-22,98.93,100.01,98.09,99.05,6719314,99.05
2021-03-23,97.62,98.73,97.19,97.96,9678978,97.96
2021-03-24,101.17,102.47,100.85,101.66,9503130,101.66
2021-03-25,98.3,99.27,98.13,98.7,2027285,98.7
2021-03-26,98.81,99.71,97.67,98.69,6298526,98.69
2021-03-29,101.69,102.27,100.85,101.56,3314609,101.56
2021-03-30,101.87,102.68,101.62,102.15,2936574,102.15
2021-03-31,100.47,101.79,99.85,100.82,9457462,100.82
2021-04-01,102.74,103.76,102.32,103.04,8558259,103.04
2021-04-05,103.39,103.82,102.38,103.1,3548060,103.1
2021-04-06,101.23,101.67,100.39,101.03,9239896,101.03
2021-04-07,100.52,102.54,100.3,101.42,6681040,101.42
2021-04-08,105.18,106.2,103.82,105.01,4085247,105.01
2021-04-09,101.17,102.43,100.43,101.43,4584267,101.43
2021-04-12,101.81,102.22,101.4,101.81,9701800,101.81
2021-04-13,102.0,102.86,101.26,102.06,7089076,102.06
2021-04-14,102.07,103.26,101.88,102.57,2967204,102.57
2021-04-15,104.24,104.73,103.87,104.3,2369953,104.3
2021-04-16,105.49,106.26,104.38,105.32,9452849,105.32
2021-04-19,105.32,106.52,104.52,105.52,7562510,105.52
2021-04-20,104.7,105.59,103.97,104.78,7872275,104.78
2021-04-21,106.64,107.18,105.64,106.41,5961415,106.41
2021-04-22,107.31,107.73,106.85,107.29,6544202,107.29
2021-04-23,105.02,106.07,103.83,104.95,7977883,104.95
2021-04-26,107.23,108.8,106.52,107.66,5627781,107.66
2021-04-27,107.37,108.14,106.22,107.18,1556450,107.18
2021-04-28,106.33,106.63,105.27,105.95,3859348,105.95
2021-04-29,104.3,104.95,103.97,104.46,8340264,104.46
2021-04-30,106.94,107.25,104.85,106.05,6796797,106.05
2021-05-03,108.48,109.27,107.99,108.63,4909388,108.63
2021-05-04,107.79,108.22,106.44,107.33,5327986,107.33
2021-05-05,107.68,108.56,106.3,107.43,3771731,107.43
2021-05-06,109.07,109.77,108.83,109.3,4167056,109.3
2021-05-07,108.12,108.8,106.8,107.8,1658456,107.8
2021-05-10,110.17,110.66,109.44,110.05,8064530,110.05
2021-05-11,105.84,106.95,104.59,105.77,8712843,105.77
2021-05-12,107.7,109.46,107.5,108.48,3939200,108.48
2021-05-13,111.3,111.81,110.15,110.98,9099019,110.98
2021-05-14,105.67,106.57,105.09,105.83,5908909,105.83
2021-05-17,110.82,111.07,109.01,110.04,2737758,110.04
2021-05-18,111.21,111.54,110.02,110.78,6180308,110.78
2021-05-19,109.38,110.17,107.69,108.93,5493898,108.93
2021-05-20,112.58,113.09,110.65,111.87,7023989,111.87
2021-05-21,108.22,108.57,107.37,107.97,4207581,107.97
2021-05-24,110.27,112.09,109.73,110.91,2292333,110.91
2021-05-25,108.42,109.08,108.0,108.54,5061069,108.54
2021-05-26,110.99,111.19,109.55,110.37,5128718,110.37
2021-05-27,111.29,111.76,110.08,110.92,2867022,110.92
2021-05-28,111.29,111.89,109.89,110.89,9423900,110.89
2021-06-01,113.87,114.49,112.89,113.69,6303011,113.69
2021-06-02,113.68,113.9,112.5,113.2,3160394,113.2
2021-06-03,112.41,113.47,111.05,112.26,7939886,112.26
2021-06-04,110.87,112.17,110.69,111.43,1732402,111.43
2021-06-07,112.84,112.99,111.77,112.38,9177678,112.38
2021-06-08,113.43,114.22,111.76,112.99,8115338,112.99
2021-06-09,113.78,115.04,112.7,113.87,9170676,113.87
2021-06-10,114.03,116.07,113.75,114.91,4041522,114.91
2021-06-11,115.05,116.9,114.4,115.65,5315536,115.65
2021-06-14,112.0,113.09,111.31,112.2,2391629,112.2
2021-06-15,115.66,116.37,114.65,115.51,8095169,115.51
2021-06-16,115.15,117.23,114.89,116.06,7459921,116.06
2021-06-17,113.34,113.78,112.46,113.12,9853337,113.12
2021-06-18,114.17,114.52,113.56,114.04,7725254,114.04
2021-06-21,114.39,115.02,113.76,114.39,6880680,114.39
2021-06-22,111.32,113.45,110.91,112.18,4380646,112.18
2021-06-23,113.04,114.55,112.39,113.47,8062260,113.47
2021-06-24,117.9,118.12,116.8,117.46,2229433,117.46
2021-06-25,117.42,117.72,116.64,117.18,8532462,117.18
2021-06-28,117.45,117.8,116.82,117.31,8248054,117.31
2021-06-29,118.55,119.0,117.76,118.38,2264774,118.38
2021-06-30,116.52,117.03,115.57,116.3,6677495,116.3
2021-07-01,113.65,114.31,113.13,113.72,9121474,113.72
2021-07-02,115.2,116.29,114.85,115.57,2522494,115.57
2021-07-06,116.48,118.08,115.54,116.81,6672587,116.81
2021-07-07,115.95,117.62,115.76,116.69,1638880,116.69
2021-07-08,117.57,117.72,116.58,117.15,6987917,117.15
2021-07-09,116.55,117.74,116.16,116.95,9679455,116.95
2021-07-12,118.45,119.78,118.12,118.95,5703210,118.95
2021-07-13,117.63,118.91,116.63,117.77,2687714,117.77
2021-07-14,114.81,116.01,114.27,115.14,5078821,115.14
2021-07-15,117.77,118.12,117.12,117.62,6971255,117.62
