date,open,high,low,close,volume,adjusted_close
2021-01-04,264.67,267.67,263.45,265.56,8879379,265.56
2021-01-05,267.47,268.4,265.18,266.79,5597741,266.79
2021-01-06,268.23,269.61,267.01,268.31,2022517,268.31
2021-01-07,267.37,268.3,264.72,266.51,2712304,266.51
2021-01-08,262.63,265.02,261.1,263.06,5693469,263.06
2021-01-11,271.05,272.51,270.07,271.29,3741310,271.29
2021-01-12,269.88,274.42,268.28,271.35,3530496,271.35
2021-01-13,269.64,270.97,267.05,269.01,7074616,269.01
2021-01-14,270.88,271.53,265.65,268.59,4015839,268.59
2021-01-15,265.46,267.55,261.91,264.73,9501733,264.73
2021-01-19,268.4,269.64,264.7,267.17,4298705,267.17
2021-01-20,274.39,276.13,272.51,274.32,7171002,274.32
2021-01-21,270.56,272.08,266.64,269.36,8606622,269.36
2021-01-22,270.98,273.08,267.96,270.52,4655009,270.52
2021-01-25,265.55,267.45,264.95,266.2,7584014,266.2
2021-01-26,272.62,274.82,271.38,273.1,9919946,273.1
2021-01-27,274.38,276.82,273.84,275.33,3455928,275.33
2021-01-28,277.66,280.1,274.0,277.05,3765890,277.05
2021-01-29,272.86,276.24,272.26,274.25,2723765,274.25
2021-02-01,278.0,282.64,277.18,279.91,3776565,279.91
2021-02-02,268.19,271.31,266.65,268.98,5283543,268.98
2021-02-03,277.51,280.16,276.76,278.46,5960892,278.46
2021-02-04,268.0,269.61,266.93,268.27,5144270,268.27
2021-02-05,267.01,272.12,266.04,269.08,7235046,269.08
2021-02-08,282.42,283.15,279.83,281.49,8718788,281.49
2021-02-09,275.98,278.46,275.58,277.02,8928324,277.02
2021-02-10,273.18,275.85,271.09,273.47,5690994,273.47
2021-02-11,278.42,282.11,277.77,279.94,4734325,279.94
2021-02-12,278.98,280.71,277.45,279.08,9828837,279.08
2021-02-16,274.64,275.36,272.48,273.92,5681825,273.92
2021-02-17,282.14,283.11,277.43,280.27,7378073,280.27
2021-02-18,271.98,275.13,269.97,272.55,5884109,272.55
2021-02-19,275.05,278.65,273.35,276.0,8266662,276.0
2021-02-22,283.21,284.68,280.24,282.46,5587977,282.46
2021-02-23,275.48,277.25,275.01,276.13,8887051,276.13
2021-02-24,274.66,278.17,273.73,275.95,2633531,275.95
2021-02-25,288.53,289.79,285.11,287.45,7013583,287.45
2021-02-26,283.22,283.78,280.28,282.03,2581194,282.03
2021-03-01,285.43,286.27,283.81,285.04,3790856,285.04
2021-03-02,283.99,287.11,283.01,285.06,4082014,285.06
2021-03-03,282.51,286.35,281.01,283.68,7048258,283.68
2021-03-04,292.25,293.76,287.48,290.62,3214386,290.62
2021-03-05,283.6,284.87,281.35,283.11,3943094,283.11
2021-03-08,291.75,292.28,288.96,290.62,6052634,290.62
2021-03-09,293.31,294.09,289.97,292.03,6914311,292.03
2021-03-10,287.47,289.39,286.25,287.82,7485629,287.82
2021-03-11,290.4,292.94,286.9,289.92,6948528,289.92
2021-03-12,284.48,289.13,283.01,286.07,3798334,286.07
2021-03-15,288.36,288.87,284.93,286.9,6916957,286.9
2021-03-16,287.42,288.73,282.79,285.76,8741028,285.76
2021-03-17,286.9,291.42,286.04,288.73,5684006,288.73
2021-03-18,282.6,285.04,280.68,282.86,3904274,282.86
2021-03-19,280.65,284.54,279.8,282.17,5089688,282.17
2021-03-22,292.94,298.18,292.22,295.2,7288322,295.2
2021-03-23,291.66,295.62,291.22,293.42,6462320,293.42
2021-03-24,283.05,287.34,281.46,284.4,8277377,284.4
2021-03-25,284.15,286.69,283.67,285.18,4827926,285.18
2021-03-26,288.06,292.71,287.43,290.07,6924002,290.07
2021-03-29,285.03,286.71,283.81,285.26,4870272,285.26
2021-03-30,294.75,298.17,292.17,295.17,2345073,295.17
2021-03-31,288.35,289.33,284.45,286.89,7919590,286.89
2021-04-01,288.64,289.5,287.04,288.27,7892455,288.27
2021-04-05,300.09,302.78,299.62,301.2,4487925,301.2
2021-04-06,295.32,298.62,293.38,296.0,8656347,296.0
2021-04-07,293.44,297.6,291.74,294.67,8936819,294.67
2021-04-08,302.78,303.53,300.29,301.91,7923827,301.91
2021-04-09,295.7,298.81,294.37,296.59,4187220,296.59
2021-04-12,296.27,298.97,295.11,297.04,8401700,297.04
2021-04-13,294.41,296.86,292.7,294.78,3505711,294.78
2021-04-14,296.95,298.46,293.42,295.94,4762140,295.94
2021-04-15,294.18,297.16,290.54,293.85,4602445,293.85
2021-04-16,301.31,302.31,298.61,300.46,3512143,300.46
2021-04-19,305.66,306.44,302.12,304.28,2596312,304.28
2021-04-20,293.82,295.68,292.3,293.99,7046435,293.99
2021-04-21,296.04,298.96,295.6,297.28,8744883,297.28
2021-04-22,297.12,298.66,294.8,296.73,3508850,296.73
2021-04-23,292.85,296.11,291.39,293.75,2702981,293.75
2021-04-26,306.32,308.02,305.48,306.75,3792103,306.75
2021-04-27,305.61,309.64,304.84,307.24,8600726,307.24
2021-04-28,303.26,308.93,301.93,305.43,8148649,305.43
2021-04-29,300.04,303.1,297.54,300.32,1990355,300.32
2021-04-30,305.75,306.8,300.96,303.88,2880712,303.88
2021-05-03,308.72,311.44,307.26,309.35,9474105,309.35
2021-05-04,297.61,303.25,296.91,300.08,4363681,300.08
2021-05-05,298.3,299.21,294.43,296.82,8368631,296.82
2021-05-06,298.89,302.39,297.73,300.06,1970175,300.06
2021-05-07,301.97,303.91,299.95,301.93,3385401,301.93
2021-05-10,313.14,314.43,309.65,312.04,6969823,312.04
2021-05-11,304.58,306.19,302.27,304.23,3723249,304.23
2021-05-12,305.24,307.9,304.4,306.15,6559934,306.15
2021-05-13,300.46,301.22,298.04,299.63,7653426,299.63
2021-05-14,302.65,305.54,299.4,302.47,6537323,302.47
2021-05-17,313.81,314.54,309.7,312.12,8220475,312.12
2021-05-18,309.71,313.77,308.29,311.03,8253696,311.03
2021-05-19,301.62,303.7,298.22,300.96,6846052,300.96
2021-05-20,307.64,310.54,305.54,308.04,5836432,308.04
2021-05-21,312.2,313.44,306.56,310.0,9789992,310.0
2021-05-24,302.67,308.35,301.89,305.12,6277682,305.12
2021-05-25,307.73,308.71,306.21,307.46,3537651,307.46
2021-05-26,308.65,310.84,306.08,308.46,5853724,308.46
2021-05-27,307.71,311.15,306.79,308.97,9958011,308.97
2021-05-28,315.78,317.15,313.65,315.4,5934931,315.4
2021-06-01,304.6,307.18,303.54,305.36,6315139,305.36
2021-06-02,312.67,313.82,309.7,311.76,4635102,311.76
2021-06-03,314.62,320.9,313.92,317.41,1804640,317.41
2021-06-04,305.57,308.0,304.88,306.44,6652972,306.44
2021-06-07,321.39,323.68,320.58,322.13,6080416,322.13
2021-06-08,311.01,311.34,308.62,309.98,5132958,309.98
2021-06-09,314.43,317.77,313.07,315.42,7230419,315.42
2021-06-10,317.98,320.45,316.97,318.71,7401779,318.71
2021-06-11,312.7,315.18,311.96,313.57,1614173,313.57
2021-06-14,323.14,327.26,322.04,324.65,2275931,324.65
2021-06-15,316.96,318.68,315.16,316.92,8133481,316.92
2021-06-16,320.05,326.22,318.96,322.59,7784245,322.59
2021-06-17,317.84,318.87,313.47,316.17,1627591,316.17
2021-06-18,318.79,319.74,314.98,317.36,5610870,317.36
2021-06-21,317.12,317.64,313.28,315.46,3459758,315.46
2021-06-22,324.42,325.61,321.35,323.48,7901902,323.48
2021-06-23,312.83,314.8,312.02,313.41,9802259,313.41
2021-06-24,315.27,321.39,314.27,317.83,2594244,317.83
2021-06-25,320.59,322.41,318.97,320.69,6246677,320.69
2021-06-28,320.22,322.45,316.25,319.35,1646614,319.35
2021-06-29,319.98,321.21,316.65,318.93,4000863,318.93
2021-06-30,327.77,329.98,324.84,327.41,2378127,327.41
2021-07-01,324.13,326.18,322.46,324.32,6666435,324.32
2021-07-02,320.49,326.12,319.5,322.81,5739525,322.81
2021-07-06,326.31,327.09,324.49,325.79,4695900,325.79
2021-07-07,334.09,334.74,328.8,331.77,9437999,331.77
2021-07-08,322.5,324.54,321.66,323.1,3760259,323.1
2021-07-09,318.26,322.24,317.0,319.62,9935134,319.62
2021-07-12,330.65,333.63,328.67,331.15,8249470,331.15
2021-07-13,320.39,321.98,315.06,318.52,3516787,318.52
2021-07-14,327.19,329.3,322.48,325.89,9837979,325.89
2021-07-15,322.96,325.48,321.98,323.73,5379778,323.73
2021-07-16,333.17,333.76,329.22,331.49,5797757,331.49
2021-07-19,324.68,325.43,320.07,322.75,4471836,322.75
2021-07-20,330.47,334.16,326.92,330.54,4501239,330.54
2021-07-21,324.83,327.09,320.81,323.95,9805814,323.95
2021-07-22,327.37,331.8,326.82,329.31,4940721,329.31
2021-07-23,328.14,331.27,325.97,328.62,6876031,328.62
2021-07-26,335.14,337.11,333.65,335.38,3195073,335.38
2021-07-27,340.25,340.98,337.66,339.32,9496468,339.32
2021-07-28,327.54,329.82,323.1,326.46,3455576,326.46
2021-07-29,333.9,336.87,331.83,334.35,7079871,334.35
2021-07-30,324.87,325.91,323.31,324.61,2806050,324.61
2021-08-02,328.16,328.74,323.92,326.33,9189918,326.33
2021-08-03,334.47,338.99,333.91,336.45,3116721,336.45
2021-08-04,336.29,337.63,332.47,335.05,3914624,335.05
2021-08-05,332.86,334.25,330.49,332.37,1939333,332.37
2021-08-06,333.33,335.74,333.06,334.4,5065600,334.4
2021-08-09,331.7,334.36,330.14,332.25,5809947,332.25
2021-08-10,328.1,330.64,327.06,328.85,2323379,328.85
2021-08-11,331.93,336.58,331.04,333.81,5621286,333.81
2021-08-12,338.13,340.46,334.32,337.39,9064852,337.39
2021-08-13,328.98,332.7,327.46,330.08,7448179,330.08
2021-08-16,345.97,346.5,342.1,344.3,7050398,344.3
2021-08-17,343.27,345.76,342.76,344.26,4285207,344.26
2021-08-18,342.56,346.33,341.37,343.85,8475614,343.85
