date,open,high,low,close,volume,adjusted_close
2021-01-04,270.89,272.67,266.73,269.7,5144940,269.7
2021-01-05,272.55,273.95,271.31,272.63,3140917,272.63
2021-01-06,272.87,274.2,271.42,272.81,1723322,272.81
2021-01-07,260.09,264.38,258.42,261.4,6309698,261.4
2021-01-08,275.11,275.59,272.77,274.18,2365673,274.18
2021-01-11,265.97,266.74,261.58,264.16,4019915,264.16
2021-01-12,269.35,273.27,268.43,270.85,2027849,270.85
2021-01-13,274.49,278.34,273.76,276.05,2744086,276.05
2021-01-14,267.9,271.51,267.45,269.48,1682721,269.48
2021-01-15,273.95,275.23,270.83,273.03,8575981,273.03
2021-01-19,270.38,271.23,267.53,269.38,8685107,269.38
2021-01-20,274.02,275.35,272.53,273.94,6104123,273.94
2021-01-21,271.91,273.97,270.35,272.16,6185953,272.16
2021-01-22,270.44,271.73,269.51,270.62,7851552,270.62
2021-01-25,275.97,276.38,274.12,275.25,6389352,275.25
2021-01-26,281.94,283.09,279.49,281.29,2140698,281.29
2021-01-27,277.73,278.77,276.35,277.56,9203007,277.56
2021-01-28,275.04,277.28,272.52,274.9,5192043,274.9
2021-01-29,276.83,279.35,275.75,277.55,4409300,277.55
2021-02-01,272.42,274.13,270.97,272.55,4032036,272.55
2021-02-02,277.9,281.08,275.4,278.24,7943874,278.24
2021-02-03,281.33,282.41,278.41,280.41,4268863,280.41
2021-02-04,284.36,288.03,282.11,285.07,3155228,285.07
2021-02-05,277.89,280.5,275.58,278.04,2353797,278.04
2021-02-08,278.36,281.94,276.52,279.23,7788664,279.23
2021-02-09,278.26,281.23,275.41,278.32,5545079,278.32
2021-02-10,283.13,284.94,280.06,282.5,9104293,282.5
2021-02-11,278.97,280.32,276.58,278.45,9596054,278.45
2021-02-12,282.22,282.82,279.06,280.94,4984554,280.94
2021-02-16,279.53,282.95,278.83,280.89,8409367,280.89
2021-02-17,278.65,279.9,277.4,278.65,2869960,278.65
2021-02-18,286.65,287.54,283.28,285.41,8055269,285.41
2021-02-19,281.43,284.41,278.89,281.65,6112116,281.65
2021-02-22,285.53,286.42,282.86,284.64,8090145,284.64
2021-02-23,292.31,295.97,290.67,293.32,7483301,293.32
2021-02-24,290.77,291.39,287.51,289.45,4244554,289.45
2021-02-25,287.1,292.22,286.34,289.28,3642723,289.28
2021-02-26,290.48,294.32,288.76,291.54,6764661,291.54
2021-03-01,284.3,285.49,281.53,283.51,5048060,283.51
2021-03-02,290.98,293.34,290.72,292.03,8500160,292.03
2021-03-03,291.39,292.53,287.37,289.95,6616148,289.95
2021-03-04,290.82,291.4,287.8,289.6,3494794,289.6
2021-03-05,296.24,298.38,295.86,297.12,7910005,297.12
2021-03-08,288.55,289.99,283.45,286.72,8442548,286.72
2021-03-09,291.53,292.63,287.13,289.88,6724710,289.88
2021-03-10,293.66,294.72,290.48,292.6,8263265,292.6
2021-03-11,287.53,290.32,286.88,288.6,9620489,288.6
2021-03-12,299.94,302.09,299.23,300.66,6328015,300.66
2021-03-15,293.85,296.05,289.75,292.9,7761335,292.9
2021-03-16,302.66,303.86,297.84,300.85,5900470,300.85
2021-03-17,303.53,305.68,301.0,303.34,7684524,303.34
2021-03-18,291.71,294.27,290.33,292.3,2436105,292.3
2021-03-19,291.18,292.06,289.62,290.84,9193254,290.84
2021-03-22,300.68,303.23,299.05,301.14,5514109,301.14
2021-03-23,296.33,298.24,292.08,295.16,7856379,295.16
2021-03-24,306.32,307.55,304.03,305.79,8665335,305.79
2021-03-25,305.65,306.75,303.09,304.92,8344940,304.92
2021-03-26,298.64,301.1,294.46,297.78,3169493,297.78
2021-03-29,306.91,310.04,305.3,307.67,8761624,307.67
