date,open,high,low,close,volume,adjusted_close
2021-01-04,118.36,119.12,116.94,118.03,7296055,118.03
2021-01-05,117.22,119.07,116.89,117.98,5134805,117.98
2021-01-06,117.49,118.33,116.37,117.35,7719487,117.35
2021-01-07,120.12,121.19,119.57,120.38,1908104,120.38
2021-01-08,120.22,121.47,119.89,120.68,8882251,120.68
2021-01-11,118.12,119.57,117.23,118.4,4426268,118.4
2021-01-12,121.26,123.58,120.82,122.2,4724646,122.2
2021-01-13,119.16,119.73,117.83,118.78,7683980,118.78
2021-01-14,115.8,118.06,115.46,116.76,4795843,116.76
2021-01-15,117.99,118.2,116.72,117.46,7568796,117.46
2021-01-19,119.39,119.71,117.25,118.48,3737277,118.48
2021-01-20,121.28,122.67,121.01,121.84,8812406,121.84
2021-01-21,118.95,119.67,118.07,118.87,5279405,118.87
2021-01-22,118.77,119.4,118.08,118.74,9599082,118.74
2021-01-25,118.07,119.08,117.68,118.38,4772738,118.38
2021-01-26,122.95,124.08,121.4,122.74,7354288,122.74
2021-01-27,117.9,118.94,117.64,118.29,8101130,118.29
2021-01-28,121.54,121.85,119.23,120.54,3812638,120.54
2021-01-29,119.31,119.79,118.61,119.2,6142369,119.2
2021-02-01,117.65,119.31,116.79,118.05,8675384,118.05
2021-02-02,119.34,119.84,117.22,118.53,8128791,118.53
2021-02-03,117.8,119.44,117.46,118.45,3989287,118.45
2021-02-04,119.2,120.91,118.19,119.55,9337147,119.55
2021-02-05,119.41,119.66,118.34,119.0,2752631,119.0
2021-02-08,119.19,120.44,117.94,119.19,5263880,119.19
2021-02-09,123.97,124.61,121.95,123.28,8077986,123.28
2021-02-10,123.19,123.85,122.75,123.3,5218510,123.3
2021-02-11,122.24,122.59,121.51,122.05,2108058,122.05
2021-02-12,122.89,123.7,121.0,122.35,3814540,122.35
2021-02-16,122.65,124.75,122.39,123.57,7200561,123.57
2021-02-17,120.84,121.58,119.48,120.53,5603895,120.53
2021-02-18,121.34,122.21,120.35,121.28,7655323,121.28
2021-02-19,120.99,121.34,120.1,120.72,9166622,120.72
2021-02-22,123.73,124.22,122.32,123.27,6570224,123.27
2021-02-23,118.61,119.13,117.07,118.1,6086945,118.1
2021-02-24,118.52,119.14,117.62,118.38,2977649,118.38
2021-02-25,120.33,122.1,119.38,120.74,8142345,120.74
2021-02-26,119.88,121.14,119.14,120.14,4984987,120.14
2021-03-01,122.61,124.16,122.42,123.29,3287361,123.29
2021-03-02,119.32,121.69,119.03,120.36,6237841,120.36
