date,open,high,low,close,volume,adjusted_close
2021-01-04,158.84,159.64,156.58,158.11,3581664,158.11
2021-01-05,158.65,159.77,157.33,158.55,9442124,158.55
2021-01-06,158.89,160.24,158.34,159.29,3563939,159.29
2021-01-07,155.62,156.17,154.29,155.23,9159341,155.23
2021-01-08,156.5,156.71,155.39,156.05,8817754,156.05
2021-01-11,154.31,156.46,153.6,155.03,3236655,155.03
2021-01-12,158.56,158.85,157.05,157.95,5918234,157.95
2021-01-13,155.35,157.46,154.06,155.76,5251388,155.76
2021-01-14,154.26,155.72,153.48,154.6,8459465,154.6
2021-01-15,160.52,161.17,159.13,160.15,9405498,160.15
2021-01-19,158.52,160.02,157.74,158.88,5791064,158.88
2021-01-20,157.0,159.76,156.26,158.01,7997691,158.01
2021-01-21,162.01,163.1,161.04,162.07,9810597,162.07
2021-01-22,157.63,158.03,156.59,157.31,3302462,157.31
2021-01-25,153.31,155.81,153.03,154.42,5504000,154.42
2021-01-26,156.39,156.87,153.85,155.36,2109114,155.36
2021-01-27,160.6,161.07,159.45,160.26,6907021,160.26
2021-01-28,157.71,158.18,156.6,157.39,8283420,157.39
2021-01-29,156.14,157.48,155.32,156.4,8235708,156.4
2021-02-01,156.4,157.24,153.72,155.48,7713346,155.48
2021-02-02,160.49,161.1,158.06,159.58,6082710,159.58
2021-02-03,155.9,156.77,155.07,155.92,3094279,155.92
2021-02-04,160.18,162.13,158.93,160.53,3652669,160.53
2021-02-05,155.28,156.0,154.66,155.33,8669956,155.33
2021-02-08,157.57,158.15,156.79,157.47,2139407,157.47
2021-02-09,160.32,161.45,159.47,160.46,5096593,160.46
2021-02-10,157.29,159.94,156.36,158.15,5190496,158.15
2021-02-11,158.85,160.47,157.77,159.12,9482590,159.12
2021-02-12,160.18,160.77,159.37,160.07,9888608,160.07
2021-02-16,154.24,156.88,153.4,155.14,8767694,155.14
2021-02-17,156.3,157.4,155.5,156.45,2991392,156.45
2021-02-18,155.97,157.25,155.31,156.28,2297144,156.28
2021-02-19,156.96,157.27,155.17,156.22,1634155,156.22
2021-02-22,158.14,158.7,155.18,156.94,6987994,156.94
2021-02-23,156.57,157.4,154.22,155.81,5673424,155.81
2021-02-24,155.53,157.61,154.41,156.01,2584825,156.01
2021-02-25,157.72,158.41,155.85,157.13,3273983,157.13
2021-02-26,156.18,157.64,154.88,156.26,9259797,156.26
2021-03-01,158.53,159.28,157.64,158.46,7451724,158.46
2021-03-02,161.45,164.07,161.13,162.6,7918401,162.6
2021-03-03,155.37,157.99,154.71,156.35,6302330,156.35
2021-03-04,160.3,160.64,158.86,159.75,8149031,159.75
2021-03-05,162.29,163.34,160.34,161.84,9500055,161.84
2021-03-08,159.46,160.26,158.66,159.46,2722520,159.46
2021-03-09,161.68,164.32,160.84,162.58,9181934,162.58
2021-03-10,162.01,163.3,161.62,162.46,5197373,162.46
2021-03-11,160.12,161.74,158.14,159.94,5524045,159.94
2021-03-12,160.42,161.06,157.7,159.38,3440231,159.38
2021-03-15,158.59,160.47,157.75,159.11,5769541,159.11
2021-03-16,163.82,165.54,162.1,163.82,8783480,163.82
2021-03-17,157.77,158.59,156.55,157.57,5932450,157.57
2021-03-18,157.76,157.98,156.68,157.33,1986553,157.33
2021-03-19,157.38,159.91,157.03,158.47,1665202,158.47
2021-03-22,158.14,159.97,156.97,158.47,9575309,158.47
2021-03-23,160.45,162.63,159.87,161.25,6303691,161.25
2021-03-24,160.19,161.29,159.63,160.46,3572824,160.46
2021-03-25,163.39,164.1,160.7,162.4,8046629,162.4
2021-03-26,163.57,165.88,162.88,164.38,1791053,164.38
2021-03-29,160.31,161.17,159.37,160.27,7442682,160.27
2021-03-30,163.46,163.78,162.34,163.06,5823908,163.06
2021-03-31,160.22,161.3,159.58,160.44,1524827,160.44
2021-04-01,157.26,159.12,155.74,157.43,2797635,157.43
2021-04-05,164.06,164.88,163.24,164.06,7711720,164.06
2021-04-06,158.81,159.22,156.46,157.84,7433995,157.84
2021-04-07,164.05,165.28,162.6,163.94,9131484,163.94
2021-04-08,160.89,162.33,160.61,161.47,5954726,161.47
2021-04-09,164.18,164.5,163.06,163.78,5272708,163.78
2021-04-12,160.23,160.81,158.89,159.85,1746940,159.85
2021-04-13,160.35,161.5,158.82,160.16,4731487,160.16
2021-04-14,163.55,164.46,162.68,163.57,3076279,163.57
2021-04-15,158.82,159.07,157.81,158.44,5460950,158.44
2021-04-16,163.31,164.17,161.41,162.79,4140539,162.79
2021-04-19,160.88,162.0,159.5,160.75,8733325,160.75
2021-04-20,161.23,162.07,159.97,161.02,2508450,161.02
2021-04-21,157.69,159.34,157.3,158.32,5155049,158.32
2021-04-22,162.32,164.33,161.37,162.85,4825302,162.85
2021-04-23,163.54,164.7,161.56,163.13,2655813,163.13
2021-04-26,164.53,166.08,164.04,165.06,7486094,165.06
2021-04-27,159.02,161.64,158.24,159.94,6283133,159.94
2021-04-28,164.13,165.42,163.3,164.36,9953149,164.36
2021-04-29,164.01,164.51,162.25,163.38,6507508,163.38
2021-04-30,164.77,165.33,161.83,163.58,2989834,163.58
2021-05-03,159.69,160.57,157.73,159.15,9611499,159.15
2021-05-04,159.41,160.07,158.53,159.3,5128767,159.3
2021-05-05,159.13,159.79,158.25,159.02,2783167,159.02
2021-05-06,161.91,162.13,160.59,161.36,7867116,161.36
2021-05-07,163.33,164.8,162.08,163.44,4330036,163.44
2021-05-10,161.97,162.43,161.03,161.73,5967257,161.73
2021-05-11,159.39,159.98,158.6,159.29,4609807,159.29
2021-05-12,159.5,161.93,158.89,160.41,8658810,160.41
2021-05-13,159.45,159.97,156.73,158.35,8492874,158.35
2021-05-14,159.62,160.25,156.73,158.49,4354392,158.49
2021-05-17,165.01,165.53,164.17,164.85,7515252,164.85
2021-05-18,163.13,164.42,161.36,162.89,5630208,162.89
2021-05-19,159.41,160.05,157.25,158.65,7736547,158.65
2021-05-20,159.03,160.0,158.46,159.23,3771067,159.23
2021-05-21,158.59,159.87,158.27,159.07,7410970,159.07
2021-05-24,165.47,168.31,164.85,166.58,3485928,166.58
2021-05-25,161.08,162.66,159.22,160.94,4140684,160.94
2021-05-26,161.36,163.08,161.06,162.07,3156245,162.07
2021-05-27,166.34,167.03,164.29,165.66,9827585,165.66
2021-05-28,158.63,159.81,157.99,158.9,9649785,158.9
2021-06-01,165.61,166.19,164.43,165.31,7322377,165.31
2021-06-02,162.09,163.31,161.13,162.22,7353954,162.22
2021-06-03,165.99,166.73,165.21,165.97,9520761,165.97
2021-06-04,166.73,167.4,165.48,166.44,5401335,166.44
2021-06-07,163.7,164.73,162.33,163.53,4573967,163.53
2021-06-08,159.04,161.14,157.86,159.5,3000026,159.5
2021-06-09,165.33,166.34,164.76,165.55,3541066,165.55
2021-06-10,159.94,162.14,159.42,160.78,4518089,160.78
2021-06-11,165.06,165.97,164.59,165.28,7600504,165.28
2021-06-14,163.32,164.74,162.52,163.63,5668906,163.63
2021-06-15,166.83,167.86,165.16,166.51,6182132,166.51
2021-06-16,165.17,165.55,163.01,164.28,9255275,164.28
2021-06-17,162.0,162.76,161.36,162.06,2617556,162.06
2021-06-18,159.79,162.11,159.53,160.82,4412480,160.82
2021-06-21,160.64,161.52,159.48,160.5,7918047,160.5
2021-06-22,163.79,166.74,163.42,165.08,1945921,165.08
2021-06-23,161.55,162.11,159.77,160.94,2816866,160.94
2021-06-24,164.44,165.18,163.38,164.28,9086529,164.28
2021-06-25,167.89,168.34,166.6,167.47,9392624,167.47
2021-06-28,162.12,163.04,160.16,161.6,4941098,161.6
2021-06-29,159.93,161.02,159.32,160.17,2329626,160.17
2021-06-30,160.68,162.65,159.71,161.18,5411703,161.18
2021-07-01,164.09,165.32,162.86,164.09,9282120,164.09
2021-07-02,164.32,165.24,163.92,164.58,3430900,164.58
2021-07-06,166.19,166.46,164.94,165.7,5400312,165.7
2021-07-07,167.13,168.17,166.21,167.19,4502837,167.19
2021-07-08,162.98,164.66,161.9,163.28,5552189,163.28
2021-07-09,166.81,169.14,165.32,167.23,3099549,167.23
2021-07-12,165.35,165.98,163.24,164.61,5330787,164.61
2021-07-13,165.59,167.91,165.15,166.53,8401286,166.53
2021-07-14,165.42,166.41,163.93,165.17,7264370,165.17
2021-07-15,168.69,168.96,167.02,167.99,4096636,167.99
2021-07-16,164.83,165.33,161.79,163.56,8342636,163.56
2021-07-19,163.66,165.14,161.78,163.46,5303726,163.46
2021-07-20,161.94,164.43,161.07,162.75,7479376,162.75
2021-07-21,161.73,163.07,159.87,161.47,3836768,161.47
2021-07-22,161.32,163.24,160.24,161.74,2197306,161.74
2021-07-23,167.48,167.68,166.04,166.86,6965518,166.86
2021-07-26,161.86,163.89,160.95,162.42,5139701,162.42
2021-07-27,166.38,168.44,166.04,167.24,3872564,167.24
2021-07-28,161.91,163.65,161.27,162.46,4176817,162.46
2021-07-29,169.62,169.97,168.29,169.13,4223669,169.13
2021-07-30,162.86,164.13,161.73,162.93,3583317,162.93
2021-08-02,163.39,163.95,161.01,162.48,6293751,162.48
2021-08-03,165.25,166.67,164.41,165.54,5309307,165.54
2021-08-04,166.41,168.3,165.64,166.97,8432579,166.97
2021-08-05,164.7,165.06,163.68,164.37,6065904,164.37
2021-08-06,161.04,162.28,160.48,161.38,3353381,161.38
2021-08-09,164.73,167.52,163.8,165.66,5000895,165.66
2021-08-10,168.73,169.02,167.48,168.25,5488711,168.25
2021-08-11,167.87,169.25,165.51,167.38,6313493,167.38
2021-08-12,168.9,170.61,168.33,169.47,1592655,169.47
2021-08-13,164.88,165.19,163.13,164.16,3214795,164.16
2021-08-16,165.84,167.04,165.54,166.29,9075210,166.29
2021-08-17,163.69,164.86,163.36,164.11,5965212,164.11
2021-08-18,165.0,167.85,164.15,166.0,6652493,166.0
2021-08-19,168.97,169.9,168.42,169.16,2388107,169.16
2021-08-20,167.5,168.96,165.92,167.44,6187802,167.44
2021-08-23,165.75,167.64,164.74,166.19,8706345,166.19
2021-08-24,165.1,166.63,163.69,165.16,7955798,165.16
2021-08-25,165.83,168.0,164.56,166.28,3696427,166.28
2021-08-26,164.17,165.65,163.93,164.79,1911524,164.79
2021-08-27,162.35,163.48,160.96,162.22,9047725,162.22
2021-08-30,167.52,169.46,167.18,168.32,5860805,168.32
2021-08-31,162.6,164.37,162.01,163.19,8205615,163.19
2021-09-01,165.26,167.87,164.25,166.06,2802338,166.06
2021-09-02,168.19,169.36,167.64,168.5,1866822,168.5
2021-09-03,163.88,164.97,161.77,163.37,9924616,163.37
2021-09-07,167.79,170.18,167.12,168.65,8363452,168.65
2021-09-08,167.74,169.06,166.12,167.59,8678845,167.59
2021-09-09,171.57,172.46,169.16,170.81,2842863,170.81
2021-09-10,169.55,169.74,168.26,169.0,4312157,169.0
2021-09-13,170.16,171.42,168.18,169.8,2591411,169.8
2021-09-14,162.16,164.72,161.16,162.94,8453938,162.94
2021-09-15,171.65,172.4,169.62,171.01,7163183,171.01
2021-09-16,167.72,170.05,166.41,168.23,7090586,168.23
2021-09-17,165.87,166.78,164.44,165.61,6264211,165.61
2021-09-20,169.31,169.65,167.01,168.33,2264077,168.33
2021-09-21,168.82,170.25,168.21,169.23,9248340,169.23
2021-09-22,165.04,167.38,164.34,165.86,7210653,165.86
2021-09-23,164.48,166.1,162.58,164.34,4859884,164.34
2021-09-24,170.36,171.13,168.81,169.97,2762857,169.97
2021-09-27,166.15,168.31,165.35,166.83,3597697,166.83
2021-09-28,168.24,168.46,166.66,167.56,9116478,167.56
