date,open,high,low,close,volume,adjusted_close
2021-01-04,54.57,55.36,54.12,54.74,8689146,54.74
2021-01-05,54.08,54.3,53.1,53.7,8205992,53.7
2021-01-06,55.1,55.7,54.88,55.29,7737217,55.29
2021-01-07,54.15,54.92,53.68,54.3,7690348,54.3
2021-01-08,54.49,54.86,54.16,54.51,6654197,54.51
2021-01-11,53.78,54.26,53.36,53.81,3284037,53.81
2021-01-12,53.43,54.19,53.11,53.65,6222020,53.65
2021-01-13,55.13,55.67,54.55,55.11,4673322,55.11
2021-01-14,55.5,56.21,55.05,55.63,8046829,55.63
2021-01-15,53.75,54.18,53.24,53.71,9146844,53.71
2021-01-19,55.35,55.48,55.04,55.26,8802300,55.26
2021-01-20,54.83,55.19,54.47,54.83,6385000,54.83
2021-01-21,55.68,56.44,55.58,56.01,2220722,56.01
2021-01-22,54.48,55.06,54.4,54.73,2629442,54.73
2021-01-25,54.61,55.15,54.13,54.64,5317557,54.64
2021-01-26,56.27,56.46,55.2,55.83,2282795,55.83
2021-01-27,55.38,55.95,54.79,55.37,5244681,55.37
2021-01-28,56.0,56.27,55.69,55.98,4726523,55.98
2021-01-29,54.15,54.63,54.05,54.34,2330727,54.34
2021-02-01,55.11,55.26,54.62,54.94,6220386,54.94
2021-02-02,54.6,55.41,54.35,54.88,5940814,54.88
2021-02-03,55.35,55.62,55.04,55.33,7357724,55.33
2021-02-04,56.32,56.68,55.72,56.2,4293492,56.2
2021-02-05,55.96,56.68,55.8,56.24,5273528,56.24
2021-02-08,54.73,54.89,54.33,54.61,4121021,54.61
2021-02-09,55.11,55.76,54.58,55.17,6416835,55.17
2021-02-10,54.37,54.68,53.78,54.23,2184135,54.23
2021-02-11,56.66,57.08,55.94,56.51,4975173,56.51
2021-02-12,54.9,55.18,54.38,54.78,8405815,54.78
2021-02-16,56.24,56.36,55.68,56.02,4191992,56.02
2021-02-17,55.03,55.86,54.9,55.38,6481044,55.38
2021-02-18,54.62,55.46,54.34,54.9,5949375,54.9
2021-02-19,54.39,54.48,54.04,54.26,3352150,54.26
2021-02-22,57.02,57.17,55.99,56.58,1812477,56.58
2021-02-23,55.26,55.84,54.6,55.22,9993243,55.22
2021-02-24,54.4,54.8,54.18,54.49,8236985,54.49
2021-02-25,55.36,55.53,55.07,55.3,3467652,55.3
2021-02-26,54.99,55.88,54.86,55.37,4720003,55.37
2021-03-01,55.29,55.41,54.87,55.14,9076467,55.14
2021-03-02,56.31,57.14,55.94,56.54,2718581,56.54
2021-03-03,55.99,56.53,55.47,56.0,4745559,56.0
2021-03-04,55.78,56.23,55.69,55.96,8948966,55.96
2021-03-05,55.15,55.42,54.7,55.06,9310852,55.06
2021-03-08,55.2,55.92,54.78,55.35,3518027,55.35
2021-03-09,55.6,56.09,55.47,55.78,5751131,55.78
2021-03-10,55.69,56.36,55.42,55.89,4794739,55.89
2021-03-11,55.11,55.64,54.94,55.29,9102895,55.29
2021-03-12,56.12,56.32,55.5,55.91,5699265,55.91
2021-03-15,57.18,57.37,56.61,56.99,7801105,56.99
2021-03-16,55.23,55.71,54.95,55.33,8266907,55.33
2021-03-17,55.23,55.64,54.88,55.26,4621556,55.26
2021-03-18,56.96,57.13,56.09,56.61,7728554,56.61
2021-03-19,54.94,55.67,54.83,55.25,6605923,55.25
2021-03-22,54.83,55.45,54.25,54.85,2492838,54.85
2021-03-23,54.54,55.28,54.46,54.87,9896720,54.87
2021-03-24,56.95,57.22,56.76,56.99,3072352,56.99
2021-03-25,56.27,56.69,55.85,56.27,6649720,56.27
2021-03-26,55.29,55.42,54.98,55.2,6316700,55.2
2021-03-29,56.63,56.94,55.92,56.43,9994700,56.43
2021-03-30,56.2,56.52,55.92,56.22,8929477,56.22
2021-03-31,56.41,56.68,55.92,56.3,3833255,56.3
2021-04-01,55.65,56.08,54.82,55.45,5212696,55.45
2021-04-05,55.74,55.94,55.2,55.57,5435503,55.57
2021-04-06,56.21,56.85,55.85,56.35,8666746,56.35
2021-04-07,57.28,57.52,56.46,56.99,4765907,56.99
2021-04-08,57.69,57.85,56.91,57.38,6064233,57.38
2021-04-09,55.6,56.11,54.97,55.54,5809325,55.54
2021-04-12,55.15,55.66,54.76,55.21,3270033,55.21
2021-04-13,57.52,57.89,56.97,57.43,9123330,57.43
2021-04-14,56.63,57.25,56.33,56.79,9506183,56.79
2021-04-15,55.81,56.15,55.49,55.82,1922839,55.82
2021-04-16,56.52,56.79,55.51,56.15,8871349,56.15
2021-04-19,55.07,55.5,54.62,55.06,8723081,55.06
2021-04-20,56.15,56.59,55.95,56.27,6187382,56.27
2021-04-21,56.26,56.37,55.55,55.96,7988316,55.96
2021-04-22,57.54,57.86,57.24,57.55,2029079,57.55
2021-04-23,55.87,56.27,55.75,56.01,6750413,56.01
2021-04-26,56.94,57.52,56.74,57.13,7534656,57.13
2021-04-27,55.99,56.1,55.34,55.72,4476555,55.72
2021-04-28,56.99,57.5,56.88,57.19,8133128,57.19
2021-04-29,56.11,56.69,55.65,56.17,3133154,56.17
2021-04-30,56.95,57.16,56.28,56.72,6301026,56.72
2021-05-03,55.32,56.14,54.98,55.56,4135379,55.56
2021-05-04,55.84,56.25,55.41,55.83,5272121,55.83
2021-05-05,55.93,55.99,55.43,55.71,4104719,55.71
2021-05-06,55.16,56.11,54.95,55.53,8007928,55.53
2021-05-07,57.23,57.35,56.47,56.91,7902876,56.91
2021-05-10,55.66,56.25,55.23,55.74,6137952,55.74
2021-05-11,57.47,58.05,57.25,57.65,5617858,57.65
2021-05-12,56.09,56.37,55.09,55.73,4496548,55.73
2021-05-13,55.71,56.29,55.27,55.78,3236753,55.78
2021-05-14,55.23,55.66,54.68,55.17,9271246,55.17
2021-05-17,57.31,57.56,56.3,56.93,2367590,56.93
2021-05-18,54.99,55.62,54.66,55.14,8800344,55.14
2021-05-19,57.43,58.16,56.96,57.56,5145229,57.56
2021-05-20,56.82,57.88,56.66,57.27,8828883,57.27
2021-05-21,56.38,56.51,55.57,56.04,6353436,56.04
2021-05-24,55.98,56.29,55.81,56.05,4480105,56.05
2021-05-25,56.37,56.94,56.06,56.5,6873225,56.5
2021-05-26,55.42,56.02,55.34,55.68,7609042,55.68
2021-05-27,55.81,56.39,55.21,55.8,9408681,55.8
2021-05-28,55.66,56.63,55.39,56.01,9552892,56.01
2021-06-01,57.22,57.46,56.8,57.13,5298134,57.13
2021-06-02,56.29,56.42,55.26,55.84,2956879,55.84
2021-06-03,55.53,55.98,55.42,55.7,3672970,55.7
2021-06-04,56.16,56.37,55.63,56.0,8542302,56.0
2021-06-07,55.78,55.88,55.0,55.44,6290079,55.44
2021-06-08,56.22,56.3,55.84,56.07,2822152,56.07
2021-06-09,56.67,57.4,56.48,56.94,5512731,56.94
2021-06-10,56.6,56.91,56.41,56.66,2994908,56.66
2021-06-11,55.99,56.43,55.53,55.98,3319881,55.98
2021-06-14,57.02,57.8,56.84,57.32,3389689,57.32
2021-06-15,58.3,58.4,57.6,58.0,5036157,58.0
2021-06-16,57.52,57.72,56.62,57.17,8327112,57.17
2021-06-17,57.53,57.89,56.61,57.25,9799742,57.25
2021-06-18,56.85,57.35,56.39,56.87,8003638,56.87
2021-06-21,57.38,58.23,57.11,57.67,4312014,57.67
2021-06-22,56.77,57.56,56.62,57.09,4492486,57.09
2021-06-23,56.64,57.1,56.3,56.7,4229712,56.7
2021-06-24,56.69,57.18,56.54,56.86,5376334,56.86
2021-06-25,55.58,55.95,55.23,55.59,6884198,55.59
2021-06-28,57.26,57.37,56.79,57.08,4777671,57.08
2021-06-29,56.0,56.13,55.69,55.91,5380700,55.91
2021-06-30,57.07,57.53,56.93,57.23,5559774,57.23
2021-07-01,55.8,55.96,55.46,55.71,9365259,55.71
2021-07-02,56.27,56.49,55.31,55.9,9961831,55.9
2021-07-06,56.38,57.0,56.2,56.6,8049212,56.6
2021-07-07,57.11,57.83,56.81,57.32,2518499,57.32
2021-07-08,57.3,57.71,57.23,57.47,8922405,57.47
2021-07-09,57.83,58.43,57.29,57.86,8764517,57.86
2021-07-12,57.85,58.16,57.64,57.9,9664911,57.9
2021-07-13,56.41,56.53,55.41,55.97,6915919,55.97
2021-07-14,58.0,58.9,57.9,58.4,4552640,58.4
2021-07-15,58.53,58.74,58.2,58.47,1727812,58.47
2021-07-16,58.07,58.96,57.96,58.46,9711041,58.46
2021-07-19,58.61,58.96,57.8,58.38,5599020,58.38
2021-07-20,57.39,57.73,57.17,57.45,5977869,57.45
2021-07-21,57.71,57.89,57.41,57.65,4710452,57.65
2021-07-22,56.99,57.12,56.18,56.65,4217836,56.65
2021-07-23,58.13,59.06,57.88,58.47,4091771,58.47
2021-07-26,57.17,57.49,56.41,56.95,9428860,56.95
2021-07-27,56.23,56.81,55.95,56.38,5572023,56.38
2021-07-28,58.09,58.26,57.78,58.02,1736854,58.02
2021-07-29,56.63,56.82,56.0,56.41,2998067,56.41
2021-07-30,58.55,59.05,57.91,58.48,4531166,58.48
2021-08-02,58.98,59.2,58.42,58.81,2231502,58.81
2021-08-03,58.99,59.2,58.02,58.61,4780872,58.61
2021-08-04,56.84,57.71,56.45,57.08,7483141,57.08
2021-08-05,56.67,56.96,55.88,56.42,8098463,56.42
2021-08-06,56.54,57.1,56.46,56.78,8258482,56.78
2021-08-09,56.19,57.05,55.79,56.42,6364342,56.42
2021-08-10,56.17,57.01,55.93,56.47,4128012,56.47
2021-08-11,56.93,57.08,56.34,56.71,5556150,56.71
2021-08-12,58.14,58.74,57.76,58.25,3338189,58.25
2021-08-13,56.15,57.07,55.97,56.52,2517366,56.52
2021-08-16,58.75,58.97,58.13,58.55,3424064,58.55
