date,open,high,low,close,volume,adjusted_close
2021-01-04,266.76,269.3,266.04,267.67,1574892,267.67
2021-01-05,261.09,262.47,260.01,261.24,5303714,261.24
2021-01-06,258.94,262.06,258.16,260.11,7698570,260.11
2021-01-07,261.74,265.34,260.9,263.12,5019689,263.12
2021-01-08,271.05,272.31,267.63,269.97,8040143,269.97
2021-01-11,263.44,266.59,262.09,264.34,7729140,264.34
2021-01-12,263.09,264.96,259.28,262.12,2960937,262.12
2021-01-13,262.02,263.26,257.86,260.56,3146227,260.56
2021-01-14,262.34,264.63,260.61,262.62,2027073,262.62
2021-01-15,261.77,262.91,257.75,260.33,9685268,260.33
2021-01-19,270.13,274.29,269.67,271.98,5210640,271.98
2021-01-20,263.97,265.07,261.73,263.4,1626697,263.4
2021-01-21,271.14,272.22,268.74,270.48,5341899,270.48
2021-01-22,273.4,274.33,269.41,271.87,9943751,271.87
2021-01-25,264.15,267.4,262.16,264.78,6000668,264.78
2021-01-26,263.98,266.14,261.24,263.69,8188206,263.69
2021-01-27,273.0,277.1,271.84,274.47,2452412,274.47
2021-01-28,270.49,272.89,269.93,271.41,3964329,271.41
2021-01-29,265.39,266.04,261.98,264.01,3410074,264.01
2021-02-01,269.24,271.39,268.67,270.03,4000971,270.03
2021-02-02,274.32,278.14,272.6,275.37,2832421,275.37
2021-02-03,270.74,272.01,266.73,269.37,5368466,269.37
2021-02-04,270.13,273.52,268.22,270.87,7384666,270.87
2021-02-05,272.33,274.77,270.25,272.51,2693636,272.51
2021-02-08,272.33,274.26,270.94,272.6,9020192,272.6
2021-02-09,269.25,270.92,267.76,269.34,4718437,269.34
2021-02-10,272.35,273.51,270.47,271.99,4592932,271.99
2021-02-11,270.64,272.66,267.84,270.25,9369248,270.25
2021-02-12,269.32,271.42,268.5,269.96,6346978,269.96
2021-02-16,275.88,280.72,275.02,277.87,6908725,277.87
2021-02-17,272.63,273.15,269.17,271.16,7918717,271.16
2021-02-18,271.68,272.82,270.18,271.5,9346767,271.5
2021-02-19,274.47,276.62,273.64,275.13,7356978,275.13
2021-02-22,270.61,272.85,269.51,271.18,4511143,271.18
2021-02-23,271.39,274.9,269.24,272.07,7955228,272.07
2021-02-24,271.52,273.28,270.2,271.74,3171233,271.74
2021-02-25,273.52,273.85,271.51,272.68,6953356,272.68
2021-02-26,270.55,275.09,268.95,272.02,1658096,272.02
2021-03-01,280.26,282.05,279.57,280.81,7910658,280.81
2021-03-02,274.78,276.76,272.96,274.86,8053158,274.86
2021-03-03,276.73,277.7,274.36,276.03,2445341,276.03
2021-03-04,281.43,284.37,279.63,282.0,7733388,282.0
2021-03-05,274.06,275.36,269.72,272.54,8334627,272.54
2021-03-08,286.5,287.79,282.17,284.98,8625267,284.98
2021-03-09,279.93,281.32,277.24,279.28,5098616,279.28
2021-03-10,283.78,288.52,282.94,285.73,9902965,285.73
2021-03-11,280.88,281.73,279.37,280.55,6948454,280.55
2021-03-12,286.94,287.37,284.69,286.03,6672714,286.03
2021-03-15,274.23,274.58,271.92,273.25,6489917,273.25
2021-03-16,285.12,285.72,280.68,283.2,7612398,283.2
2021-03-17,283.65,284.41,280.77,282.59,3703349,282.59
2021-03-18,274.43,276.3,273.38,274.84,3700026,274.84
2021-03-19,280.16,285.76,279.54,282.65,7229840,282.65
2021-03-22,279.24,284.66,278.36,281.51,9496644,281.51
2021-03-23,284.77,285.44,282.38,283.91,2867828,283.91
2021-03-24,283.88,284.68,278.56,281.62,9575037,281.62
2021-03-25,286.43,288.2,281.88,285.04,4533342,285.04
2021-03-26,283.2,284.87,278.89,281.88,3222382,281.88
2021-03-29,277.63,279.13,275.57,277.35,3357648,277.35
2021-03-30,276.56,278.31,275.13,276.72,6600835,276.72
2021-03-31,286.37,287.78,283.24,285.51,9499979,285.51
2021-04-01,279.7,280.71,277.75,279.23,9061176,279.23
2021-04-05,289.16,293.38,287.68,290.53,6972016,290.53
2021-04-06,279.85,282.6,276.62,279.61,7133884,279.61
2021-04-07,283.23,284.71,279.93,282.32,6839739,282.32
2021-04-08,290.69,293.62,288.2,290.91,9148756,290.91
2021-04-09,286.31,291.09,285.47,288.28,8502965,288.28
2021-04-12,283.24,284.8,282.36,283.58,6953706,283.58
2021-04-13,282.49,286.45,281.73,284.09,8531286,284.09
2021-04-14,282.0,284.02,281.4,282.71,2177213,282.71
2021-04-15,288.02,292.93,287.35,290.14,8247362,290.14
2021-04-16,280.14,282.94,278.56,280.75,6681626,280.75
2021-04-19,288.93,291.78,288.5,290.14,7338083,290.14
2021-04-20,284.04,285.6,281.6,283.6,3745811,283.6
2021-04-21,284.94,286.07,283.77,284.92,8548201,284.92
2021-04-22,291.34,293.84,287.42,290.63,8947091,290.63
2021-04-23,281.65,284.05,279.69,281.87,4576275,281.87
2021-04-26,284.3,286.54,282.86,284.7,7233949,284.7
2021-04-27,285.85,289.74,284.34,287.04,6463858,287.04
