date,open,high,low,close,volume,adjusted_close
2021-01-04,158.76,159.84,157.14,158.49,5335490,158.49
2021-01-05,159.09,159.41,156.93,158.17,7079277,158.17
2021-01-06,159.38,161.66,158.74,160.2,1647852,160.2
2021-01-07,158.71,161.3,158.14,159.72,7924568,159.72
2021-01-08,164.92,165.92,164.28,165.1,5509069,165.1
2021-01-11,163.41,166.67,163.05,164.86,8894640,164.86
2021-01-12,164.67,165.3,162.76,164.03,3328625,164.03
2021-01-13,167.22,168.64,166.64,167.64,8853139,167.64
2021-01-14,162.95,164.71,162.01,163.36,1899385,163.36
2021-01-15,165.45,166.28,164.62,165.45,2942920,165.45
2021-01-19,161.52,164.2,160.76,162.48,1628332,162.48
2021-01-20,163.67,163.91,162.57,163.24,9031752,163.24
2021-01-21,169.41,170.17,168.35,169.26,4140928,169.26
2021-01-22,168.66,168.97,167.25,168.11,6602872,168.11
2021-01-25,168.93,170.44,167.88,169.16,9338271,169.16
2021-01-26,170.72,171.01,169.05,170.03,6731835,170.03
2021-01-27,164.13,166.07,163.55,164.81,2061773,164.81
2021-01-28,171.08,172.24,168.5,170.37,9957339,170.37
2021-01-29,168.69,169.98,166.18,168.08,5340696,168.08
2021-02-01,165.74,165.95,164.35,165.15,4688717,165.15
2021-02-02,171.37,171.97,169.47,170.72,7183266,170.72
2021-02-03,166.26,166.86,163.88,165.37,8150550,165.37
2021-02-04,172.01,174.29,171.29,172.79,7880094,172.79
2021-02-05,168.43,170.86,167.82,169.34,8705450,169.34
2021-02-08,175.05,175.48,172.6,174.04,2539835,174.04
2021-02-09,173.48,173.94,170.38,172.16,7139277,172.16
2021-02-10,168.87,171.31,168.57,169.94,3224881,169.94
2021-02-11,170.18,171.58,169.46,170.52,6747544,170.52
2021-02-12,168.51,170.1,167.36,168.73,7012032,168.73
2021-02-16,174.22,176.63,173.69,175.16,3275688,175.16
2021-02-17,173.49,174.43,172.89,173.66,7582509,173.66
2021-02-18,174.89,177.02,174.42,175.72,4014968,175.72
2021-02-19,168.92,170.86,168.2,169.53,5530977,169.53
2021-02-22,172.08,173.71,170.45,172.08,2216360,172.08
2021-02-23,170.3,172.96,169.76,171.36,5807207,171.36
2021-02-24,171.95,173.64,171.22,172.43,7795460,172.43
2021-02-25,175.96,176.54,174.6,175.57,4771580,175.57
2021-02-26,173.74,174.68,170.78,172.73,9972546,172.73
2021-03-01,178.6,178.84,177.14,177.99,6822716,177.99
2021-03-02,176.41,177.66,175.5,176.58,8410992,176.58
2021-03-03,176.41,177.78,174.92,176.35,4628682,176.35
2021-03-04,174.01,177.29,173.29,175.29,6324648,175.29
2021-03-05,181.24,182.39,178.81,180.6,4823818,180.6
2021-03-08,174.0,174.7,173.3,174.0,7852200,174.0
2021-03-09,176.89,177.53,175.93,176.73,6741410,176.73
2021-03-10,179.28,181.2,177.94,179.57,7267151,179.57
2021-03-11,176.06,178.32,174.9,176.61,5083064,176.61
2021-03-12,182.02,184.84,181.08,182.96,3802175,182.96
2021-03-15,184.03,184.38,182.52,183.45,2776471,183.45
2021-03-16,185.91,186.5,182.54,184.52,5157435,184.52
2021-03-17,184.16,185.83,182.79,184.31,2258835,184.31
2021-03-18,177.59,178.73,177.29,178.01,5665451,178.01
2021-03-19,182.72,183.81,181.99,182.9,4130670,182.9
2021-03-22,178.62,179.9,177.76,178.83,1738190,178.83
2021-03-23,182.38,184.94,181.28,183.11,9723620,183.11
2021-03-24,182.62,183.34,181.84,182.59,3027802,182.59
2021-03-25,177.94,179.46,177.38,178.42,8835537,178.42
2021-03-26,179.05,179.62,177.88,178.75,3338217,178.75
2021-03-29,184.52,186.32,182.14,184.23,2208847,184.23
2021-03-30,183.65,184.54,182.36,183.45,7643889,183.45
2021-03-31,188.16,189.36,187.22,188.29,6957634,188.29
2021-04-01,189.29,189.6,187.42,188.51,2808236,188.51
2021-04-05,181.32,182.39,179.91,181.15,4966207,181.15
2021-04-06,184.9,185.57,181.65,183.61,8440633,183.61
2021-04-07,182.28,183.71,181.73,182.72,7638178,182.72
2021-04-08,186.06,188.03,185.25,186.64,1663219,186.64
2021-04-09,187.17,187.81,184.03,185.92,5633673,185.92
2021-04-12,187.82,188.45,185.93,187.19,7193905,187.19
2021-04-13,189.38,191.01,188.83,189.92,6913535,189.92
2021-04-14,189.04,189.76,186.62,188.19,3827987,188.19
2021-04-15,188.05,188.9,185.02,186.96,3554628,186.96
2021-04-16,191.96,192.21,190.15,191.18,9259278,191.18
2021-04-19,193.38,194.3,190.76,192.53,5403104,192.53
2021-04-20,186.74,189.88,185.64,187.76,4064896,187.76
2021-04-21,192.76,195.45,191.87,193.66,6759055,193.66
2021-04-22,192.76,195.64,191.9,193.77,3109613,193.77
2021-04-23,188.0,188.69,187.01,187.85,4307409,187.85
2021-04-26,186.62,188.09,185.37,186.73,9856116,186.73
2021-04-27,187.46,188.76,185.14,186.95,6575414,186.95
2021-04-28,193.72,195.61,191.21,193.41,6225247,193.41
2021-04-29,196.84,197.33,193.27,195.3,4120878,195.3
2021-04-30,190.27,191.82,190.04,190.93,5360963,190.93
2021-05-03,190.45,191.96,189.52,190.74,5201148,190.74
2021-05-04,189.2,192.14,188.56,190.35,2650008,190.35
2021-05-05,196.27,197.0,194.96,195.98,3410774,195.98
2021-05-06,192.78,195.21,192.05,193.63,5400733,193.63
2021-05-07,190.99,192.19,189.39,190.79,5191567,190.79
2021-05-10,192.35,194.24,192.02,193.13,3057285,193.13
2021-05-11,196.06,197.6,194.18,195.89,8297245,195.89
2021-05-12,199.34,201.35,197.63,199.49,3975956,199.49
2021-05-13,198.46,201.12,196.76,198.94,1522589,198.94
2021-05-14,198.96,199.37,197.67,198.52,9645506,198.52
2021-05-17,194.63,195.85,192.47,194.16,2422694,194.16
2021-05-18,196.26,198.08,195.58,196.83,6874497,196.83
2021-05-19,193.35,193.58,191.92,192.75,7738156,192.75
2021-05-20,200.05,202.61,199.01,200.81,3277299,200.81
2021-05-21,197.71,201.05,196.87,198.96,1593930,198.96
2021-05-24,197.49,198.73,196.91,197.82,3489862,197.82
2021-05-25,197.16,198.49,194.89,196.69,9410053,196.69
2021-05-26,202.71,203.43,198.93,201.18,3589994,201.18
2021-05-27,196.52,197.96,193.72,195.84,9668936,195.84
2021-05-28,199.29,201.54,198.76,200.15,1680809,200.15
2021-06-01,204.68,205.59,203.73,204.66,4923161,204.66
2021-06-02,202.06,205.61,201.43,203.52,3625125,203.52
2021-06-03,200.9,202.42,200.12,201.27,8333384,201.27
2021-06-04,200.23,201.36,198.3,199.83,5768373,199.83
2021-06-07,205.6,206.58,204.12,205.35,7077890,205.35
2021-06-08,198.13,201.31,197.01,199.16,1874736,199.16
2021-06-09,203.99,206.23,202.01,204.12,2461477,204.12
2021-06-10,200.69,202.63,199.77,201.2,9624262,201.2
2021-06-11,206.24,207.09,203.95,205.52,3562623,205.52
2021-06-14,205.28,208.16,203.44,205.8,2053549,205.8
2021-06-15,202.93,203.93,201.89,202.91,4902921,202.91
2021-06-16,207.79,208.28,206.32,207.3,7750865,207.3
2021-06-17,202.93,203.46,201.34,202.4,5333025,202.4
2021-06-18,209.08,209.98,208.02,209.0,2753164,209.0
2021-06-21,206.24,207.71,205.77,206.74,5281214,206.74
2021-06-22,208.19,208.64,205.42,207.03,3024476,207.03
2021-06-23,210.15,212.48,209.06,210.77,8082182,210.77
2021-06-24,200.8,204.04,200.36,202.2,8063602,202.2
2021-06-25,205.76,206.73,205.03,205.88,5812353,205.88
2021-06-28,212.07,214.25,211.45,212.85,7658652,212.85
2021-06-29,212.83,213.23,209.89,211.56,8779278,211.56
2021-06-30,208.05,209.05,207.39,208.22,4757950,208.22
2021-07-01,205.63,206.7,204.72,205.71,3795316,205.71
2021-07-02,205.86,206.17,203.55,204.86,2821598,204.86
2021-07-06,213.9,214.76,212.3,213.53,1656135,213.53
2021-07-07,212.62,215.31,212.29,213.8,5974161,213.8
2021-07-08,208.25,211.66,206.86,209.26,7462499,209.26
2021-07-09,208.0,209.0,204.26,206.63,2679749,206.63
2021-07-12,214.74,215.73,212.81,214.27,2063256,214.27
2021-07-13,216.83,218.4,215.82,217.11,3120589,217.11
2021-07-14,209.26,210.43,207.51,208.97,9780610,208.97
2021-07-15,218.24,219.08,216.54,217.81,6494937,217.81
2021-07-16,213.86,215.47,211.97,213.72,5886684,213.72
2021-07-19,208.23,210.47,207.03,208.75,4105385,208.75
2021-07-20,215.86,218.15,214.21,216.18,2157552,216.18
2021-07-21,212.97,213.49,211.49,212.49,7260464,212.49
2021-07-22,211.34,213.03,209.35,211.19,3352044,211.19
2021-07-23,217.45,218.76,214.68,216.72,3203258,216.72
2021-07-26,211.64,213.57,209.79,211.68,4628999,211.68
2021-07-27,210.46,213.11,208.97,211.04,1935466,211.04
2021-07-28,212.8,213.08,211.3,212.19,7350554,212.19
2021-07-29,217.14,217.65,215.31,216.48,9219828,216.48
2021-07-30,215.13,216.92,213.54,215.23,5990677,215.23
2021-08-02,214.98,215.59,213.41,214.5,4971422,214.5
2021-08-03,215.29,217.7,213.88,215.79,5937147,215.79
2021-08-04,214.92,216.62,213.84,215.23,9492349,215.23
2021-08-05,215.57,215.9,213.38,214.64,9241037,214.64
2021-08-06,213.84,216.75,213.07,214.91,3287291,214.91
2021-08-09,217.21,219.0,214.42,216.71,1800531,216.71
2021-08-10,217.37,218.1,214.92,216.51,6751267,216.51
2021-08-11,221.36,222.99,219.97,221.48,6853956,221.48
2021-08-12,217.97,218.6,215.08,216.84,8019032,216.84
2021-08-13,216.86,217.64,213.52,215.58,6141911,215.58
2021-08-16,225.92,227.73,223.51,225.62,4429407,225.62
2021-08-17,219.96,221.06,216.82,218.94,6019664,218.94
2021-08-18,221.36,221.81,218.59,220.2,2396716,220.2
2021-08-19,226.17,228.13,225.55,226.84,5861134,226.84
2021-08-20,223.5,223.97,221.23,222.6,9290393,222.6
2021-08-23,226.71,227.51,223.69,225.6,5932389,225.6
2021-08-24,227.58,228.29,224.91,226.6,3010469,226.6
2021-08-25,224.74,225.45,222.93,224.19,7461582,224.19
2021-08-26,221.76,224.01,221.01,222.51,5810255,222.51
2021-08-27,225.99,226.36,223.5,224.93,5926397,224.93
2021-08-30,229.2,232.39,227.77,230.08,7356421,230.08
2021-08-31,231.24,232.49,229.21,230.85,1709012,230.85
2021-09-01,226.7,229.72,225.4,227.56,4819860,227.56
2021-09-02,227.7,228.5,226.44,227.47,9282211,227.47
2021-09-03,230.41,231.17,228.65,229.91,5480380,229.91
2021-09-07,226.09,227.07,222.61,224.84,8061668,224.84
2021-09-08,233.42,234.24,230.32,232.28,2037989,232.28
2021-09-09,224.66,227.36,223.98,225.67,2141370,225.67
2021-09-10,231.62,232.72,230.28,231.5,9189325,231.5
2021-09-13,223.04,225.22,222.62,223.92,2217286,223.92
2021-09-14,232.83,233.3,230.18,231.74,7222155,231.74
2021-09-15,234.39,234.9,232.34,233.62,4944630,233.62
2021-09-16,233.64,235.68,231.42,233.55,6028602,233.55
2021-09-17,226.29,228.01,223.71,225.86,5194210,225.86
2021-09-20,232.08,232.62,229.04,230.83,8845675,230.83
2021-09-21,228.89,230.21,226.45,228.33,9814535,228.33
2021-09-22,226.02,227.32,223.9,225.61,9666772,225.61
2021-09-23,233.44,233.98,231.16,232.57,6320391,232.57
2021-09-24,236.22,237.56,233.36,235.46,7191498,235.46
2021-09-27,236.52,238.19,234.91,236.55,3348759,236.55
2021-09-28,227.65,229.95,224.83,227.39,8544445,227.39
2021-09-29,228.19,230.39,227.67,229.03,9999289,229.03
2021-09-30,230.5,233.68,229.38,231.53,9622656,231.53
2021-10-01,238.46,239.36,234.86,237.11,3989110,237.11
2021-10-04,234.64,238.52,233.9,236.21,6493366,236.21
2021-10-05,233.84,235.65,231.87,233.76,4530682,233.76
2021-10-06,232.1,232.99,231.05,232.02,6854204,232.02
2021-10-07,234.71,236.45,233.69,235.07,7288587,235.07
2021-10-08,241.53,242.26,239.54,240.9,5075183,240.9
2021-10-11,234.16,234.7,231.34,233.02,5145114,233.02
2021-10-12,235.56,237.1,233.06,235.08,6603492,235.08
2021-10-13,238.42,241.06,236.8,238.93,9980748,238.93
2021-10-14,237.13,239.43,236.59,238.01,9661289,238.01
2021-10-15,242.58,244.54,241.04,242.79,9147714,242.79
2021-10-18,236.51,236.98,233.04,235.01,6221838,235.01
2021-10-19,235.43,236.3,233.2,234.75,3511902,234.75
2021-10-20,244.91,245.61,242.81,244.21,5436785,244.21
2021-10-21,241.76,243.86,241.1,242.48,7973534,242.48
2021-10-22,244.27,245.8,241.56,243.68,6455494,243.68
2021-10-25,240.47,243.32,238.14,240.73,9023235,240.73
2021-10-26,237.63,238.86,235.78,237.32,5123250,237.32
2021-10-27,239.93,243.77,238.91,241.34,1822571,241.34
2021-10-28,239.73,243.32,238.66,240.99,7526413,240.99
