date,open,high,low,close,volume,adjusted_close
2021-01-04,360.7,362.51,355.55,359.03,8865264,359.03
2021-01-05,364.59,366.66,360.2,363.43,9653498,363.43
2021-01-06,350.1,351.77,346.19,348.98,5277580,348.98
2021-01-07,349.41,353.79,348.81,351.3,7632562,351.3
2021-01-08,358.56,360.61,353.01,356.81,2537583,356.81
2021-01-11,362.2,364.63,359.45,362.04,3283563,362.04
2021-01-12,356.2,363.27,355.33,359.3,9579841,359.3
2021-01-13,352.62,354.77,351.35,353.06,8704667,353.06
2021-01-14,360.63,363.59,357.89,360.74,9335078,360.74
2021-01-15,365.24,368.67,362.75,365.71,5911232,365.71
2021-01-19,368.25,368.97,362.43,365.7,9869199,365.7
2021-01-20,352.61,355.55,350.01,352.78,2345077,352.78
2021-01-21,356.45,360.05,354.51,357.28,4982025,357.28
2021-01-22,357.59,360.5,356.02,358.26,4043145,358.26
2021-01-25,351.47,355.24,348.38,351.81,3222515,351.81
2021-01-26,356.08,358.32,353.1,355.71,9273567,355.71
2021-01-27,366.24,367.52,362.2,364.86,9974466,364.86
2021-01-28,359.24,364.8,356.86,360.83,4710340,360.83
2021-01-29,365.25,367.52,364.08,365.8,8945064,365.8
2021-02-01,362.23,365.71,360.51,363.11,8500263,363.11
2021-02-02,348.33,351.76,344.76,348.26,3409321,348.26
2021-02-03,362.54,367.27,359.25,363.26,9396191,363.26
2021-02-04,350.23,353.97,347.63,350.8,4685551,350.8
2021-02-05,367.78,368.9,363.0,365.95,7817431,365.95
2021-02-08,364.85,365.44,361.22,363.33,1722636,363.33
2021-02-09,348.72,350.72,347.02,348.87,7998676,348.87
2021-02-10,366.72,367.93,363.91,365.92,8486780,365.92
2021-02-11,350.21,354.34,347.78,351.06,5542107,351.06
2021-02-12,351.22,354.89,348.97,351.93,7090988,351.93
2021-02-16,361.99,365.19,359.15,362.17,4929637,362.17
2021-02-17,350.63,351.65,345.99,348.82,7387432,348.82
2021-02-18,352.64,354.26,349.02,351.64,6962619,351.64
2021-02-19,349.98,350.42,347.46,348.94,8787755,348.94
2021-02-22,351.45,354.64,348.84,351.74,2413635,351.74
2021-02-23,357.62,360.52,354.34,357.43,2129643,357.43
2021-02-24,350.53,352.11,345.25,348.68,2730067,348.68
2021-02-25,356.28,359.34,352.82,356.08,9743403,356.08
2021-02-26,359.34,364.65,358.25,361.45,8183847,361.45
2021-03-01,352.29,354.49,348.37,351.43,4911894,351.43
2021-03-02,355.86,357.98,350.9,354.44,4903020,354.44
2021-03-03,359.82,362.52,354.8,358.66,6939735,358.66
2021-03-04,352.92,356.68,350.8,353.74,2978986,353.74
2021-03-05,361.19,364.64,360.22,362.43,6621292,362.43
2021-03-08,351.5,353.59,347.43,350.51,2668296,350.51
2021-03-09,362.86,364.16,357.66,360.91,3687350,360.91
2021-03-10,353.03,357.02,352.1,354.56,7430409,354.56
2021-03-11,354.36,356.04,348.74,352.39,6868627,352.39
2021-03-12,364.91,368.66,360.5,364.58,6548444,364.58
2021-03-15,356.68,358.22,354.26,356.24,6455331,356.24
2021-03-16,356.61,359.68,353.66,356.67,7207639,356.67
2021-03-17,351.46,353.1,347.46,350.28,4048381,350.28
2021-03-18,362.14,368.96,360.64,364.8,3085448,364.8
2021-03-19,358.11,363.09,355.87,359.48,4211221,359.48
2021-03-22,361.71,366.38,358.84,362.61,8623228,362.61
2021-03-23,351.87,357.84,349.88,353.86,2553695,353.86
2021-03-24,356.64,357.57,351.37,354.47,4512795,354.47
2021-03-25,354.92,355.67,352.65,354.16,4821105,354.16
2021-03-26,353.07,355.53,350.07,352.8,5357725,352.8
2021-03-29,355.58,357.28,353.02,355.15,8369490,355.15
2021-03-30,361.68,363.22,359.18,361.2,4107332,361.2
2021-03-31,364.39,367.42,361.7,364.56,6060677,364.56
2021-04-01,355.29,358.82,350.8,354.81,2820446,354.81
2021-04-05,359.66,361.27,357.99,359.63,1564361,359.63
2021-04-06,351.21,352.02,348.66,350.34,8897666,350.34
2021-04-07,350.37,353.31,347.31,350.31,1706441,350.31
2021-04-08,354.66,357.99,351.71,354.85,3227797,354.85
2021-04-09,348.87,350.72,346.78,348.75,9365083,348.75
2021-04-12,364.01,365.12,361.02,363.07,4765983,363.07
2021-04-13,354.91,355.86,348.56,352.21,5515277,352.21
2021-04-14,358.46,362.89,356.91,359.9,7534736,359.9
2021-04-15,362.52,367.62,360.34,363.98,7683220,363.98
2021-04-16,355.18,357.76,349.7,353.73,9838298,353.73
2021-04-19,350.57,353.01,345.39,349.2,1849738,349.2
2021-04-20,356.01,359.43,355.15,357.29,9346090,357.29
2021-04-21,352.59,356.85,351.53,354.19,9054570,354.19
2021-04-22,349.73,353.27,347.83,350.55,6536025,350.55
2021-04-23,356.5,362.8,355.48,359.14,5684724,359.14
2021-04-26,354.85,356.26,350.82,353.54,8184624,353.54
2021-04-27,365.13,365.88,362.74,364.31,6222306,364.31
2021-04-28,362.67,365.23,361.63,363.43,3746819,363.43
2021-04-29,353.81,356.45,348.45,352.45,8127897,352.45
2021-04-30,362.78,365.05,357.47,361.26,4767580,361.26
2021-05-03,352.82,355.32,350.42,352.87,3323559,352.87
2021-05-04,366.28,368.52,363.06,365.79,2297169,365.79
2021-05-05,351.23,355.85,350.35,353.1,9719526,353.1
2021-05-06,354.38,355.59,351.27,353.43,9102942,353.43
2021-05-07,350.06,352.88,349.48,351.18,8010967,351.18
2021-05-10,357.37,359.73,355.11,357.42,5658999,357.42
2021-05-11,366.79,368.22,363.46,365.84,8949500,365.84
2021-05-12,363.45,365.9,360.2,363.05,4094127,363.05
2021-05-13,356.22,358.81,354.57,356.69,7027789,356.69
2021-05-14,365.69,366.72,362.06,364.39,2383348,364.39
2021-05-17,362.86,367.33,359.63,363.48,3905632,363.48
2021-05-18,367.43,368.04,364.66,366.35,6345112,366.35
2021-05-19,356.28,360.72,353.68,357.2,6563867,357.2
2021-05-20,361.59,363.12,357.22,360.17,2316384,360.17
2021-05-21,352.98,354.11,351.29,352.7,8637650,352.7
2021-05-24,350.61,353.24,348.54,350.89,6195154,350.89
2021-05-25,354.4,359.66,352.74,356.2,4650414,356.2
2021-05-26,350.69,352.57,348.09,350.33,5675648,350.33
2021-05-27,348.51,351.24,347.5,349.37,3774977,349.37
2021-05-28,352.36,358.18,350.1,354.14,5875298,354.14
2021-06-01,367.51,369.05,363.91,366.48,8138860,366.48
2021-06-02,352.47,357.68,350.24,353.96,5358580,353.96
2021-06-03,354.83,358.66,353.42,356.04,8137617,356.04
2021-06-04,366.05,367.3,362.84,365.07,5842942,365.07
2021-06-07,353.86,357.6,351.16,354.38,6663952,354.38
2021-06-08,350.39,352.25,346.79,349.52,2605576,349.52
2021-06-09,352.3,353.07,349.21,351.14,6737430,351.14
2021-06-10,355.27,358.69,352.99,355.84,3678830,355.84
2021-06-11,354.02,355.29,348.95,352.12,1917350,352.12
2021-06-14,360.5,364.14,358.54,361.34,6618825,361.34
2021-06-15,365.52,367.04,359.02,363.03,3729591,363.03
2021-06-16,364.55,365.14,360.92,363.03,3857836,363.03
2021-06-17,360.97,363.06,358.08,360.57,6145008,360.57
2021-06-18,364.77,368.6,360.94,364.77,4300680,364.77
2021-06-21,361.25,364.26,357.58,360.92,2840205,360.92
2021-06-22,359.81,361.47,357.09,359.28,3489892,359.28
2021-06-23,352.98,354.84,347.68,351.26,1995824,351.26
2021-06-24,360.34,362.11,357.33,359.72,5020853,359.72
2021-06-25,355.22,357.59,353.71,355.65,7826029,355.65
2021-06-28,348.57,353.21,347.81,350.51,4311524,350.51
2021-06-29,353.42,360.11,352.59,356.35,2302481,356.35
