date,open,high,low,close,volume,adjusted_close
2021-01-04,79.08,80.14,78.64,79.39,8372259,79.39
2021-01-05,80.68,81.08,80.28,80.68,9467720,80.68
2021-01-06,80.12,80.62,79.88,80.25,3386662,80.25
2021-01-07,79.3,79.48,77.84,78.66,4166479,78.66
2021-01-08,77.96,78.51,77.55,78.03,7566593,78.03
2021-01-11,79.9,80.48,79.74,80.11,7892412,80.11
2021-01-12,78.16,78.42,77.46,77.94,8517343,77.94
2021-01-13,80.16,81.21,79.43,80.32,8215791,80.32
2021-01-14,77.54,78.46,77.14,77.8,5071940,77.8
2021-01-15,78.39,79.01,77.75,78.38,3257481,78.38
2021-01-19,79.19,79.89,78.67,79.28,3113073,79.28
2021-01-20,77.98,78.82,77.4,78.11,5562351,78.11
2021-01-21,80.18,81.02,79.8,80.41,5252821,80.41
2021-01-22,79.41,79.85,78.53,79.19,8033337,79.19
2021-01-25,79.55,79.95,79.15,79.55,6118920,79.55
2021-01-26,77.92,78.76,77.82,78.29,9525841,78.29
2021-01-27,79.02,80.06,78.82,79.44,6656726,79.44
2021-01-28,78.15,78.91,77.79,78.35,6847062,78.35
2021-01-29,80.26,81.59,79.99,80.79,7016967,80.79
2021-02-01,80.87,81.17,79.65,80.41,4581110,80.41
2021-02-02,80.1,81.14,79.46,80.3,9510028,80.3
2021-02-03,80.49,81.04,80.18,80.61,7715626,80.61
2021-02-04,79.5,80.02,79.16,79.59,8553229,79.59
2021-02-05,80.22,81.73,80.03,80.88,9495681,80.88
2021-02-08,79.24,80.31,78.69,79.5,4625624,79.5
2021-02-09,80.73,81.34,80.12,80.73,2294920,80.73
2021-02-10,81.0,81.56,80.54,81.05,5125795,81.05
2021-02-11,80.36,80.51,79.81,80.16,7502308,80.16
2021-02-12,77.57,78.51,77.35,77.93,4084169,77.93
2021-02-16,79.03,79.35,78.35,78.85,3350298,78.85
2021-02-17,79.21,79.92,78.3,79.11,6791726,79.11
2021-02-18,79.02,80.52,78.84,79.68,2388881,79.68
2021-02-19,81.5,81.66,80.74,81.2,3825433,81.2
2021-02-22,80.92,81.88,80.62,81.25,9675774,81.25
2021-02-23,80.92,81.79,80.45,81.12,7096985,81.12
2021-02-24,81.19,81.6,80.66,81.13,8275886,81.13
2021-02-25,80.21,81.47,79.97,80.72,6287206,80.72
2021-02-26,79.35,79.51,78.73,79.12,8239669,79.12
2021-03-01,80.29,80.62,78.86,79.74,6532391,79.74
2021-03-02,77.65,78.32,77.4,77.86,2621137,77.86
2021-03-03,79.59,79.78,78.94,79.36,9556627,79.36
2021-03-04,80.53,81.47,79.95,80.71,2566508,80.71
2021-03-05,79.72,79.99,78.29,79.14,3369034,79.14
2021-03-08,77.5,77.99,76.97,77.48,8583802,77.48
2021-03-09,77.03,78.12,76.84,77.48,4814085,77.48
2021-03-10,78.54,79.38,77.74,78.56,4821479,78.56
2021-03-11,80.64,81.22,79.78,80.5,9151650,80.5
2021-03-12,78.93,79.38,78.28,78.83,7215009,78.83
2021-03-15,77.8,78.72,77.04,77.88,7338035,77.88
2021-03-16,80.61,81.65,80.21,80.93,9289298,80.93
2021-03-17,80.09,81.39,79.77,80.58,4109770,80.58
2021-03-18,78.58,78.7,77.88,78.29,5049275,78.29
2021-03-19,78.11,78.27,77.49,77.88,7616469,77.88
2021-03-22,78.95,79.88,78.28,79.08,9747472,79.08
2021-03-23,78.79,79.31,78.45,78.88,7774030,78.88
2021-03-24,79.68,79.86,79.1,79.48,4304866,79.48
2021-03-25,78.19,78.73,77.93,78.33,6650422,78.33
2021-03-26,81.27,81.55,80.57,81.06,1581741,81.06
2021-03-29,78.07,78.37,77.07,77.72,8297187,77.72
2021-03-30,79.59,79.87,78.53,79.2,1821189,79.2
2021-03-31,79.63,80.77,79.45,80.11,2790884,80.11
2021-04-01,78.38,78.6,77.7,78.15,7701185,78.15
2021-04-05,79.8,80.43,79.41,79.92,5544748,79.92
2021-04-06,78.47,79.26,77.8,78.53,8369156,78.53
2021-04-07,80.53,81.53,80.39,80.96,8526562,80.96
2021-04-08,77.33,78.56,77.0,77.78,8826171,77.78
2021-04-09,79.97,80.41,79.29,79.85,3883811,79.85
2021-04-12,80.61,81.0,80.16,80.58,6598524,80.58
2021-04-13,80.46,81.16,79.4,80.28,6113090,80.28
2021-04-14,77.31,77.58,76.54,77.06,4435904,77.06
2021-04-15,80.42,81.52,80.14,80.83,3148490,80.83
2021-04-16,80.73,80.95,79.73,80.34,7178472,80.34
2021-04-19,79.6,80.28,78.94,79.61,1763239,79.61
2021-04-20,79.25,79.47,78.55,79.01,9162386,79.01
2021-04-21,80.27,80.75,79.05,79.9,2067182,79.9
2021-04-22,79.38,79.76,78.4,79.08,6657742,79.08
2021-04-23,80.5,81.25,80.09,80.67,8984665,80.67
2021-04-26,79.53,80.68,78.88,79.78,5829546,79.78
2021-04-27,80.32,80.5,79.84,80.17,6759903,80.17
2021-04-28,78.91,79.54,78.54,79.04,8056747,79.04
2021-04-29,80.43,80.97,80.09,80.53,6768429,80.53
2021-04-30,80.27,81.27,79.69,80.48,7320267,80.48
2021-05-03,80.48,81.04,79.68,80.36,6487489,80.36
2021-05-04,77.27,78.02,76.36,77.19,7051885,77.19
2021-05-05,77.52,78.12,77.28,77.7,4139779,77.7
2021-05-06,77.04,77.52,76.18,76.85,2661494,76.85
2021-05-07,78.63,79.2,78.54,78.87,3924404,78.87
2021-05-10,80.6,80.72,79.96,80.34,2155914,80.34
2021-05-11,79.23,80.23,78.69,79.46,2750665,79.46
2021-05-12,77.42,78.13,76.55,77.34,8446925,77.34
2021-05-13,77.41,78.05,76.33,77.19,4549493,77.19
2021-05-14,76.63,77.26,76.56,76.91,6786960,76.91
2021-05-17,78.87,79.64,77.96,78.8,5875884,78.8
2021-05-18,80.32,80.71,79.77,80.24,3473088,80.24
2021-05-19,77.1,77.65,76.25,76.95,2354851,76.95
2021-05-20,77.82,78.14,77.06,77.6,9905660,77.6
2021-05-21,77.35,77.53,76.33,76.93,2541275,76.93
2021-05-24,78.94,79.75,77.99,78.87,6980044,78.87
2021-05-25,76.76,77.34,75.98,76.66,9289647,76.66
2021-05-26,78.8,79.19,78.27,78.73,5568688,78.73
2021-05-27,77.4,77.8,77.04,77.42,1576117,77.42
2021-05-28,78.4,79.21,77.45,78.33,6519644,78.33
2021-06-01,79.06,79.46,78.68,79.07,5827319,79.07
2021-06-02,76.56,77.78,76.24,77.01,7598971,77.01
2021-06-03,79.26,79.84,78.64,79.24,7158922,79.24
2021-06-04,78.81,79.18,78.0,78.59,9276619,78.59
2021-06-07,77.42,77.77,76.09,76.93,3148389,76.93
2021-06-08,78.92,79.76,78.8,79.28,5413042,79.28
2021-06-09,77.53,78.45,76.99,77.72,8728107,77.72
2021-06-10,76.43,77.42,75.72,76.57,5276992,76.57
2021-06-11,76.95,77.27,76.29,76.78,7594297,76.78
