date,open,high,low,close,volume,adjusted_close
2021-01-04,107.1,107.29,106.21,106.75,4716472,106.75
2021-01-05,107.54,108.51,106.89,107.7,6049070,107.7
2021-01-06,104.38,105.12,104.1,104.61,3605617,104.61
2021-01-07,107.75,108.15,106.61,107.38,8994864,107.38
2021-01-08,108.43,109.04,107.52,108.28,4256210,108.28
2021-01-11,107.26,108.03,106.55,107.29,9387158,107.29
2021-01-12,109.4,109.56,108.54,109.05,5137914,109.05
2021-01-13,109.64,110.38,109.22,109.8,2293626,109.8
2021-01-14,107.41,108.01,106.35,107.18,5529574,107.18
2021-01-15,110.62,112.48,110.32,111.4,6058164,111.4
2021-01-19,111.41,111.82,110.84,111.33,2653008,111.33
2021-01-20,110.01,110.99,109.51,110.25,8597704,110.25
2021-01-21,112.29,112.9,111.04,111.97,3896137,111.97
2021-01-22,113.29,115.29,112.97,114.13,2699124,114.13
2021-01-25,116.3,117.57,115.67,116.62,4611383,116.62
2021-01-26,114.36,114.94,113.14,114.04,3564778,114.04
2021-01-27,111.97,113.44,111.28,112.36,7951862,112.36
2021-01-28,115.42,116.35,115.21,115.78,4464168,115.78
2021-01-29,118.15,119.24,117.32,118.28,5612833,118.28
2021-02-01,117.94,119.27,117.63,118.45,5580009,118.45
2021-02-02,119.84,120.66,118.98,119.82,8634361,119.82
2021-02-03,119.33,120.12,118.82,119.47,9685229,119.47
2021-02-04,117.1,117.49,116.37,116.93,3109815,116.93
2021-02-05,118.48,118.63,117.63,118.13,7416955,118.13
2021-02-08,120.64,121.73,119.25,120.49,5308526,120.49
2021-02-09,122.84,123.43,121.79,122.61,7772054,122.61
2021-02-10,117.78,119.76,117.08,118.42,7228096,118.42
2021-02-11,120.15,120.38,118.76,119.57,3531756,119.57
2021-02-12,120.57,122.6,120.06,121.33,6932330,121.33
2021-02-16,126.11,126.74,124.02,125.38,7950387,125.38
2021-02-17,126.1,126.69,125.17,125.93,6829491,125.93
2021-02-18,125.51,126.39,124.29,125.34,7490288,125.34
2021-02-19,124.52,125.48,123.14,124.31,7341009,124.31
2021-02-22,126.37,127.02,125.04,126.03,6214777,126.03
2021-02-23,125.38,126.2,124.04,125.12,3788292,125.12
2021-02-24,127.66,127.92,126.64,127.28,2489270,127.28
2021-02-25,125.01,125.3,123.1,124.2,4889997,124.2
2021-02-26,126.87,127.93,126.37,127.15,2272342,127.15
2021-03-01,132.12,132.45,129.45,130.95,5666799,130.95
2021-03-02,129.71,130.61,129.29,129.95,8816422,129.95
2021-03-03,128.21,129.55,127.03,128.29,7099717,128.29
2021-03-04,129.02,130.1,128.54,129.32,8542341,129.32
2021-03-05,133.56,134.15,132.13,133.14,5623821,133.14
2021-03-08,127.8,129.48,127.46,128.47,8844727,128.47
2021-03-09,129.89,130.48,127.66,129.07,5776789,129.07
2021-03-10,133.12,135.17,132.43,133.8,6164975,133.8
2021-03-11,136.14,137.12,134.68,135.9,4434450,135.9
2021-03-12,130.49,131.68,130.0,130.84,6042899,130.84
2021-03-15,136.92,137.39,134.77,136.08,6953512,136.08
2021-03-16,138.2,138.46,136.28,137.37,5277678,137.37
2021-03-17,138.24,138.85,137.33,138.09,7466130,138.09
2021-03-18,139.98,140.39,137.99,139.19,7201993,139.19
2021-03-19,136.53,137.65,134.61,136.13,8121893,136.13
2021-03-22,136.23,137.21,135.13,136.17,6406523,136.17
2021-03-23,135.35,136.11,135.03,135.57,8593700,135.57
2021-03-24,141.96,142.58,140.1,141.34,1863345,141.34
2021-03-25,139.15,141.37,138.79,140.08,6866004,140.08
2021-03-26,139.48,141.46,138.46,139.96,4083384,139.96
2021-03-29,142.99,143.91,142.75,143.33,2011851,143.33
2021-03-30,139.0,140.64,138.26,139.45,9253141,139.45
2021-03-31,140.89,141.18,138.54,139.86,1921759,139.86
2021-04-01,141.77,144.22,141.04,142.63,8933293,142.63
2021-04-05,143.17,143.97,140.77,142.37,6280145,142.37
2021-04-06,144.92,145.73,144.51,145.12,8081704,145.12
2021-04-07,147.13,148.33,146.49,147.41,2627145,147.41
2021-04-08,142.59,143.52,141.92,142.72,4133632,142.72
2021-04-09,141.75,142.85,141.01,141.93,5110350,141.93
2021-04-12,146.09,147.32,145.56,146.44,2795940,146.44
2021-04-13,149.82,150.91,147.51,149.21,5320698,149.21
2021-04-14,146.91,148.37,146.73,147.55,3727681,147.55
2021-04-15,150.71,151.06,149.24,150.15,1991591,150.15
2021-04-16,148.77,149.0,147.8,148.4,7229751,148.4
2021-04-19,148.46,150.45,147.61,149.03,9185860,149.03
2021-04-20,146.96,147.71,146.29,147.0,9583317,147.0
2021-04-21,151.48,151.93,148.69,150.31,2558636,150.31
2021-04-22,149.13,150.61,148.97,149.79,5493280,149.79
2021-04-23,147.66,148.81,147.25,148.03,9023376,148.03
2021-04-26,156.35,156.78,153.9,155.34,6654555,155.34
2021-04-27,150.05,151.61,149.09,150.35,9956188,150.35
2021-04-28,152.76,153.9,150.44,152.17,8022697,152.17
2021-04-29,152.42,153.91,152.11,153.01,7247687,153.01
2021-04-30,157.3,157.77,155.43,156.6,7615670,156.6
2021-05-03,151.98,152.71,150.49,151.6,1957817,151.6
2021-05-04,157.35,159.33,156.73,158.03,7435534,158.03
2021-05-05,153.54,153.76,152.3,153.03,4756715,153.03
2021-05-06,154.35,155.81,153.91,154.86,2938493,154.86
2021-05-07,156.76,157.92,155.56,156.74,2941721,156.74
2021-05-10,158.51,158.97,157.59,158.28,3533657,158.28
2021-05-11,160.47,162.15,160.05,161.1,2771450,161.1
2021-05-12,155.68,156.88,155.16,156.02,6601780,156.02
2021-05-13,159.24,160.67,159.03,159.85,4804723,159.85
2021-05-14,158.93,161.25,157.89,159.57,6158181,159.57
2021-05-17,159.42,162.01,158.81,160.41,4758569,160.41
2021-05-18,161.54,164.27,161.13,162.7,7305363,162.7
2021-05-19,158.22,159.1,157.84,158.47,2900900,158.47
2021-05-20,163.88,164.66,163.32,163.99,2333152,163.99
2021-05-21,161.83,163.12,161.44,162.28,4063773,162.28
2021-05-24,159.59,160.4,158.56,159.48,6681086,159.48
2021-05-25,167.1,168.56,166.64,167.6,9263534,167.6
2021-05-26,162.82,164.14,162.64,163.39,9357762,163.39
2021-05-27,167.15,167.47,165.21,166.34,1745356,166.34
2021-05-28,161.94,162.78,160.06,161.42,4799339,161.42
2021-06-01,163.4,164.58,163.08,163.83,5846811,163.83
2021-06-02,170.89,171.19,169.05,170.12,4667196,170.12
2021-06-03,163.23,164.99,163.03,164.01,7556640,164.01
2021-06-04,171.16,172.16,170.4,171.28,4684273,171.28
2021-06-07,168.6,171.23,167.53,169.38,5645139,169.38
2021-06-08,171.35,173.08,170.74,171.91,5491856,171.91
2021-06-09,171.72,174.31,171.33,172.82,7845043,172.82
2021-06-10,173.86,175.31,172.09,173.7,8768205,173.7
2021-06-11,170.56,171.62,169.62,170.62,2459237,170.62
2021-06-14,176.0,176.83,173.21,175.02,9513027,175.02
2021-06-15,174.08,174.9,173.08,173.99,7974525,173.99
2021-06-16,172.18,173.28,171.32,172.3,6322834,172.3
2021-06-17,169.47,170.41,169.01,169.71,4717703,169.71
2021-06-18,170.04,171.09,169.45,170.27,9125066,170.27
2021-06-21,179.08,179.81,177.29,178.55,2123261,178.55
2021-06-22,180.52,180.89,177.51,179.2,7845759,179.2
2021-06-23,174.46,174.74,173.12,173.93,1815513,173.93
2021-06-24,176.28,176.98,175.56,176.27,7829001,176.27
2021-06-25,174.93,175.29,172.01,173.65,7105759,173.65
2021-06-28,176.42,177.5,175.42,176.46,8138038,176.46
2021-06-29,178.82,179.49,176.71,178.1,2697826,178.1
2021-06-30,176.48,178.33,175.35,176.84,8557388,176.84
2021-07-01,178.16,178.45,176.61,177.53,3738474,177.53
2021-07-02,180.47,181.76,180.08,180.92,2244013,180.92
2021-07-06,185.1,185.54,183.32,184.43,5376390,184.43
2021-07-07,182.46,184.73,180.61,182.67,5005395,182.67
2021-07-08,178.21,178.81,177.13,177.97,9671414,177.97
2021-07-09,185.38,187.12,184.4,185.76,5082666,185.76
2021-07-12,188.63,189.67,186.09,187.88,4694461,187.88
2021-07-13,189.48,189.97,185.87,187.92,5923438,187.92
2021-07-14,187.45,188.29,186.25,187.27,3028129,187.27
2021-07-15,189.36,189.82,186.92,188.37,2846874,188.37
2021-07-16,184.72,185.23,183.09,184.16,6322786,184.16
2021-07-19,188.89,189.51,186.09,187.8,2964952,187.8
2021-07-20,185.27,186.57,183.47,185.02,6304688,185.02
2021-07-21,188.99,191.55,187.99,189.77,5276658,189.77
2021-07-22,188.81,191.3,187.98,189.64,9171695,189.64
2021-07-23,191.26,192.41,190.49,191.45,7021470,191.45
2021-07-26,189.18,190.16,186.52,188.34,3250463,188.34
2021-07-27,193.94,196.21,192.29,194.25,3977072,194.25
2021-07-28,194.12,195.19,192.45,193.82,6087411,193.82
2021-07-29,191.65,192.64,190.8,191.72,8278916,191.72
2021-07-30,186.42,188.22,184.7,186.46,2085159,186.46
2021-08-02,195.32,196.36,194.56,195.46,5420512,195.46
2021-08-03,190.37,191.68,189.0,190.34,4522361,190.34
2021-08-04,191.33,192.49,189.91,191.2,9438605,191.2
2021-08-05,196.54,198.26,196.06,197.16,7645932,197.16
2021-08-06,199.35,199.76,196.64,198.2,5006077,198.2
2021-08-09,200.42,201.37,197.25,199.31,7219427,199.31
2021-08-10,197.66,198.89,197.05,197.97,6518663,197.97
2021-08-11,191.89,192.08,190.38,191.23,6187359,191.23
2021-08-12,200.09,201.39,198.21,199.8,2149729,199.8
2021-08-13,199.77,202.35,199.13,200.74,3250730,200.74
2021-08-16,196.38,197.36,193.12,195.24,3999987,195.24
2021-08-17,202.5,203.47,200.01,201.74,9550542,201.74
2021-08-18,202.75,203.66,200.62,202.14,2915020,202.14
2021-08-19,196.02,197.24,195.44,196.34,9279062,196.34
2021-08-20,195.67,195.98,194.16,195.07,4307113,195.07
2021-08-23,198.6,200.29,197.97,199.13,4487537,199.13
2021-08-24,206.73,207.83,203.41,205.62,4136785,205.62
2021-08-25,201.21,202.35,199.01,200.68,5664536,200.68
2021-08-26,200.25,202.74,199.84,201.29,8266964,201.29
2021-08-27,199.43,200.39,196.97,198.68,5674542,198.68
2021-08-30,208.72,209.24,204.94,207.09,1587278,207.09
2021-08-31,200.71,201.63,199.49,200.56,2589727,200.56
2021-09-01,209.7,210.9,206.46,208.68,9057183,208.68
2021-09-02,200.14,201.93,198.61,200.27,7323636,200.27
2021-09-03,209.65,210.21,207.27,208.74,4840311,208.74
2021-09-07,211.37,214.49,210.03,212.26,8840980,212.26
2021-09-08,208.86,209.89,207.43,208.66,8800288,208.66
2021-09-09,209.61,213.78,209.1,211.44,2183041,211.44
2021-09-10,207.2,209.11,204.87,206.99,3174125,206.99
2021-09-13,205.81,207.9,203.8,205.85,6687319,205.85
2021-09-14,214.42,215.76,211.28,213.52,7251180,213.52
